StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
2	SC-5489-DG	1775000	2014-01-30					False	False	10	26	0	House	House	3	5	1632
3	PK-6240-JE	784000	2019-11-04					False	False	8	26	2	House	House	2	5	976
4	UC-1287-GO	635000	2000-06-07					False	False	6	26		House	House			976
5	RK-3689-XG		2015-07-24					False	False	4	26	2	House	House	3	4	895
6	MF-3743-OT	1425000	2016-02-11	PURNELL	900	2014	33	False	False	1	26	1	House	House	2	4	1249
7	MC-4462-KO	2050000	2019-03-18					False	False	16	26	2	House	House	3	4	982
8	UJ-9064-QZ	425000	1993-04-16					False	False	8	25		House	House			929
9	MD-6238-HX	2150000	2017-07-21	Total Property Management - Bright	1200	2018	70	True	False	15	26	1	House	House	2	4	797
10	EK-8113-UA							False	False			0	House	House	2	3	
11	UL-1957-DC	1430000	2018-07-06	C21 City Walk Canberra		2014	434	False	False	14	26	2	House	House	2	4	1081
12	DJ-2243-YC							False	False				House	House			
13	XR-6395-OG	1705000	2007-11-13					False	False	13	26	1	House	House	2	4	1257
14	DM-3363-AN							False	False				House	House			
15	DI-9726-TO	412900	2015-04-08					False	True	14	9		Unit	Unit			
16	TK-5009-XN	1486800	2018-11-13					False	True	8	9		Commercial	Commercial			
17	OS-0572-QN	608000	2007-08-03	LJH Manuka	620	2012		True	True	22	6	2	Unit	Unit	2	3	
18	LL-6181-SR			Total Property Management - Bright Partners	790	2018	54	False	True			2	Unit	Unit	2	3	
19	MH-3733-XT			IPG Inner North & City	575	2007	55	False	True			2	Unit	Unit	2	3	
20	NL-4665-WG							False	True			2	Unit	Unit	2	3	
21	VM-7063-XD							False	False				Unit	Unit			
22	AF-1947-CO			Office Hub		2019		False	True				Commercial	Commercial			
23	GZ-1850-EU							False	False				Unit	Unit			
24	DK-8189-BG	890000	2018-12-19					False	True	14	9	2	Unit	Unit	2	3	
25	GT-1180-LK							False	True				Unit	Unit			
26	ES-3571-GN		2018-06-02					False	True	22	6	2	Unit	Unit	2	2	
27	CG-0026-OA			Luton Properties - Manuka	415	2014	63	False	True			1	Unit	Unit	1	1	
28	CD-9833-KV			Luton Properties - Manuka	540	2015	27	False	True			2	Unit	Unit	2	2	
29	IP-5178-PO			Independent Property Management	575	2018	26	False	True			2	Unit	Unit	2	2	
30	DL-3861-YO							False	True				Unit	Unit			
31	ZP-4125-VX							False	True				Unit	Unit			
32	DL-3468-EO			LJ Hooker Manuka	0	2019	57	False	True			2	Unit	Unit	2	2	
33	UD-2073-HH							False	True				Unit	Unit			
34	AZ-6618-XD							False	True				Unit	Unit			
35	ZR-5471-JR							False	True				Unit	Unit			
36	DL-4155-FD							False	True				Unit	Unit			
37	ZR-6448-FT							False	True				Unit	Unit			
