StreetAddressID	Year	UnImprovedValue	YearlyGrowthRation
2	2009-2010	1029000.0	0.0
2	2010-2011	1076000.0	4.56754130223518
2	2011-2012	1076000.0	0.0
2	2012-2013	1076000.0	0.0
2	2013-2014	1076000.0	0.0
2	2014-2015	1076000.0	0.0
2	2015-2016	1117000.0	3.8104089219330852
2	2016-2017	1146000.0	2.5962399283795885
2	2017-2018	1293000.0	12.827225130890053
2	2018-2019	1411000.0	9.126063418406806
2	2019-2020	1440000.0	2.0552799433026223
3	2009-2010	947000.0	0.0
3	2010-2011	990000.0	4.540654699049631
3	2011-2012	990000.0	0.0
3	2012-2013	990000.0	0.0
3	2013-2014	990000.0	0.0
3	2014-2015	990000.0	0.0
3	2015-2016	1028000.0	3.8383838383838382
3	2016-2017	1055000.0	2.6264591439688716
3	2017-2018	1190000.0	12.796208530805686
3	2018-2019	1298000.0	9.07563025210084
3	2019-2020	1325000.0	2.0801232665639446
4	2009-2010	947000.0	0.0
4	2010-2011	990000.0	4.540654699049631
4	2011-2012	990000.0	0.0
4	2012-2013	990000.0	0.0
4	2013-2014	990000.0	0.0
4	2014-2015	990000.0	0.0
4	2015-2016	1028000.0	3.8383838383838382
4	2016-2017	1055000.0	2.6264591439688716
4	2017-2018	1190000.0	12.796208530805686
4	2018-2019	1298000.0	9.07563025210084
4	2019-2020	1325000.0	2.0801232665639446
5	2009-2010	930000.0	0.0
5	2010-2011	973000.0	4.623655913978494
5	2011-2012	973000.0	0.0
5	2012-2013	973000.0	0.0
5	2013-2014	973000.0	0.0
5	2014-2015	973000.0	0.0
5	2015-2016	1010000.0	3.802672147995889
5	2016-2017	1037000.0	2.6732673267326734
5	2017-2018	1170000.0	12.825458052073287
5	2018-2019	1276000.0	9.05982905982906
5	2019-2020	1303000.0	2.115987460815047
6	2009-2010	897000.0	0.0
6	2010-2011	938000.0	4.570791527313267
6	2011-2012	938000.0	0.0
6	2012-2013	938000.0	0.0
6	2013-2014	938000.0	0.0
6	2014-2015	938000.0	0.0
6	2015-2016	974000.0	3.8379530916844353
6	2016-2017	1000000.0	2.6694045174537986
6	2017-2018	1128000.0	12.8
6	2018-2019	1231000.0	9.131205673758865
6	2019-2020	1257000.0	2.1121039805036554
7	2009-2010	875000.0	0.0
7	2010-2011	915000.0	4.571428571428571
7	2011-2012	915000.0	0.0
7	2012-2013	915000.0	0.0
7	2013-2014	915000.0	0.0
7	2014-2015	915000.0	0.0
7	2015-2016	950000.0	3.825136612021858
7	2016-2017	975000.0	2.631578947368421
7	2017-2018	1100000.0	12.82051282051282
7	2018-2019	1200000.0	9.090909090909092
7	2019-2020	1225000.0	2.083333333333333
8	2009-2010	967000.0	0.0
8	2010-2011	1014000.0	4.860392967942089
8	2011-2012	1014000.0	0.0
8	2012-2013	1014000.0	0.0
8	2013-2014	1014000.0	0.0
8	2014-2015	1014000.0	0.0
8	2015-2016	1070000.0	5.522682445759369
8	2016-2017	1098000.0	2.6168224299065423
8	2017-2018	1239000.0	12.841530054644808
8	2018-2019	1352000.0	9.120258272800646
8	2019-2020	1380000.0	2.0710059171597637
9	2009-2010	814000.0	0.0
9	2010-2011	851000.0	4.545454545454546
9	2011-2012	851000.0	0.0
9	2012-2013	851000.0	0.0
9	2013-2014	851000.0	0.0
9	2014-2015	851000.0	0.0
9	2015-2016	884000.0	3.8777908343125738
9	2016-2017	907000.0	2.6018099547511313
9	2017-2018	1023000.0	12.78941565600882
9	2018-2019	1116000.0	9.090909090909092
9	2019-2020	1139000.0	2.0609318996415773
10	2009-2010	871000.0	0.0
