StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
2								Unknown	Unknown
3	2019-11-04T00:00:00	RecentlySold	785000	785000	785000			Unknown	Unknown
4						650		Unknown	Unknown
5								Unknown	Unknown
6								Unknown	Unknown
7								Unknown	Unknown
8						650		Unknown	Unknown
9								Unknown	Unknown
10								Unknown	Unknown
11								Unknown	Unknown
12						650		Unknown	Unknown
13								Unknown	Unknown
14						650		Unknown	Unknown
15	2020-01-22T10:30:07.47	Medium	460000	540000	620000	550	0.0596	Unknown	Unknown
16								Unknown	Unknown
17	2020-02-05T19:29:12.873	High	870000	1000000	1130000	825		Unknown	Unknown
18	2020-02-05T19:29:12.873	Medium	800000	940000	1080000	825		Unknown	Unknown
19	2020-02-05T19:29:12.873	Medium	860000	1000000	1140000	825		Unknown	Unknown
20	2020-01-22T10:30:07.47	High	860000	1010000	1160000	825		Unknown	Unknown
21	2020-02-05T19:29:12.873	High	420000	480000	540000	550	0.0596	Unknown	Unknown
22								Unknown	Unknown
23	2020-02-05T19:29:12.873	High	420000	480000	540000	550	0.0596	Unknown	Unknown
24	2020-02-05T19:29:12.873	High	770000	900000	1030000	825		Unknown	Unknown
25	2020-01-22T10:30:07.47	High	395000	460000	525000	550	0.0596	Unknown	Unknown
26	2020-02-05T19:29:12.873	High	550000	640000	730000	645	0.0541	Unknown	Unknown
27	2020-02-05T19:29:12.873	High	425000	460000	495000	485	0.0557	Unknown	Unknown
28	2020-02-05T19:29:12.873	High	625000	685000	745000	645	0.0541	Unknown	Unknown
29	2020-02-05T19:29:12.873	High	545000	630000	715000	645	0.0541	Unknown	Unknown
30	2020-01-22T10:30:07.47	Medium	475000	560000	645000	550	0.0596	Unknown	Unknown
31	2020-02-05T19:29:12.873	Medium	450000	520000	590000	550	0.0596	Unknown	Unknown
32	2020-02-05T19:29:12.873	High	640000	700000	760000	645	0.0541	Unknown	Unknown
33	2020-02-05T19:29:12.873	Medium	450000	520000	590000	550	0.0596	Unknown	Unknown
34	2020-01-22T10:30:07.47	Medium	475000	560000	645000	550	0.0596	Unknown	Unknown
35	2020-02-05T19:29:12.873	Medium	450000	520000	590000	550	0.0596	Unknown	Unknown
36	2020-01-22T10:30:07.47	Medium	475000	560000	645000	550	0.0596	Unknown	Unknown
37	2020-02-05T19:29:12.873	Medium	450000	520000	590000	550	0.0596	Unknown	Unknown
38	2020-01-22T10:30:07.47	Medium	475000	560000	645000	550	0.0596	Unknown	Unknown
39	2020-02-05T19:29:12.873	Medium	450000	520000	590000	550	0.0596	Unknown	Unknown
40	2020-02-05T19:29:12.873	High	400000	455000	510000	485	0.0557	Unknown	Unknown
