StreetAddressID	POI	Distance
4116	City GPO	0.5
4116	Major Shopping Centre - Woden Plaza	4.0
4116	Hospital - The Canberra Hospital	3.9
4116	Primary School - Yarralumla Primary	0.7
4116	High School - Alfred Deakin High School	1.4
4116	College - Royal College Of Nursing	1.1
4116	University - Australian National University	3.9
4117	City GPO	0.4
4117	Major Shopping Centre - Woden Plaza	4.0
4117	Hospital - The Canberra Hospital	3.9
4117	Primary School - Yarralumla Primary	0.7
4117	High School - Alfred Deakin High School	1.5
4117	College - Royal College Of Nursing	1.1
4117	University - Australian National University	3.9
4118	City GPO	0.5
4118	Major Shopping Centre - Woden Plaza	3.9
4118	Hospital - The Canberra Hospital	3.8
4118	Primary School - Yarralumla Primary	0.8
4118	High School - Alfred Deakin High School	1.4
4118	College - Royal College Of Nursing	1.1
4118	University - Australian National University	4.0
4119	City GPO	0.5
4119	Major Shopping Centre - Woden Plaza	3.9
4119	Hospital - The Canberra Hospital	3.8
4119	Primary School - Yarralumla Primary	0.8
4119	High School - Alfred Deakin High School	1.4
4119	College - Royal College Of Nursing	1.0
4119	University - Australian National University	4.0
4120	City GPO	0.5
4120	Major Shopping Centre - Woden Plaza	3.9
4120	Hospital - The Canberra Hospital	3.8
4120	Primary School - Yarralumla Primary	0.8
4120	High School - Alfred Deakin High School	1.3
4120	College - Royal College Of Nursing	1.0
4120	University - Australian National University	4.1
4121	City GPO	0.5
4121	Major Shopping Centre - Woden Plaza	3.9
4121	Hospital - The Canberra Hospital	3.9
4121	Primary School - Yarralumla Primary	0.8
4121	High School - Alfred Deakin High School	1.4
4121	College - Royal College Of Nursing	1.1
4121	University - Australian National University	4.0
4122	City GPO	0.5
4122	Major Shopping Centre - Woden Plaza	3.9
4122	Hospital - The Canberra Hospital	3.8
4122	Primary School - Yarralumla Primary	0.9
4122	High School - Alfred Deakin High School	1.3
4122	College - Royal College Of Nursing	1.0
4122	University - Australian National University	4.1
4123	City GPO	0.5
4123	Major Shopping Centre - Woden Plaza	3.9
4123	Hospital - The Canberra Hospital	3.9
4123	Primary School - Yarralumla Primary	0.8
4123	High School - Alfred Deakin High School	1.4
4123	College - Royal College Of Nursing	1.1
4123	University - Australian National University	4.0
4124	City GPO	0.4
