StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
5992	WE-8194-HE							False	False				House	House			
5993	ZX-4516-SF							False	False				House	House			
5994	YQ-3884-VB							False	False				House	House			
5995	NO-5373-CX							False	False				House	House			
5996	WW-1519-AO							False	False				House	House			
5997	ZJ-0738-ML							False	False				House	House			
5998	HV-8485-FD							False	False				House	House			
5999	UJ-8670-VF							False	False				House	House			
6000	WC-6574-WY							False	False				House	House			
6001	MQ-8943-SV							False	False				House	House			
6002	UG-4457-DF							False	False				House	House			
6003	CN-5460-KE							False	False				House	House			
6004	NJ-2978-XP							False	False				House	House			
6005	FK-0258-JF							False	False				House	House			
6006	KL-0321-GC							False	False				House	House			
6007	IK-2712-EF							False	False				House	House			
6008	KJ-6889-UG							False	False				House	House			
6009	OT-4070-NK							False	False				House	House			
6010	TD-4360-ID							False	False				House	House			
6011	XT-8664-DQ							False	False				House	House			
6012	JM-8515-DR							False	False				House	House			
6013	BK-3508-UE							False	False				House	House			
6014	OO-9633-VV							False	False				House	House			
6015	BZ-6409-QT							False	False				House	House			
6016	MB-1029-MQ							False	False				House	House			
6017	BN-2752-HH							False	False				House	House			
6018	RR-3477-HS							False	False				House	House			
6019	WT-3431-PK							False	False				House	House			
6020	EH-5271-MD							False	False				House	House			
6021	OM-6440-MP							False	False				House	House			
6022	LE-5543-MS							False	False				House	House			
6023	IR-6751-ZW							False	False				House	House			
6024	RK-3379-PK							False	False				House	House			
6025	HF-4407-TZ							False	False				House	House			
6026	ZK-2764-RX							False	False				House	House			
6027	LH-6338-WK							False	False				House	House			
6028	FU-1155-AU							False	False				House	House			
6029	GE-5255-MH							False	False				House	House			
6030	RW-0821-UK							False	False				House	House			
6031	VQ-4044-BP							False	False				House	House			
6032	PI-9621-KG							False	False				House	House			
6033	BG-1512-UQ							False	False				House	House			
6034	MB-3903-SY							False	False				House	House			
6035	BP-8458-HD							False	False				House	House			
6036	SX-6711-HG							False	False				House	House			
6037	AP-0310-IG							False	False				House	House			
6038	ZU-4910-WS							False	False				House	House			
6039	WR-4713-DP							False	False				House	House			
6040	CT-9315-IB							False	False				House	House			
6041	ED-6110-QF							False	False				House	House			
6042	AC-1695-PL							False	False				House	House			
6043	OI-5780-NO							False	False				House	House			
6044	BI-7339-DO							False	False				House	House			
6045	WP-1354-ME							False	False				House	House			
6046	LY-4357-SY							False	False				House	House			
6047	DQ-8128-IH							False	False				House	House			
6048	QK-9415-ZO							False	False				House	House			
6049	GV-6439-GD							False	False				House	House			
6050	KU-5263-QM							False	False				House	House			
6051	ZT-8398-HL							False	False				House	House			
6052	MR-7152-YL							False	False				House	House			
6053	FP-9840-SN							False	False				House	House			
6054	SU-6520-FH							False	False				House	House			
6055	DM-4882-KL							False	False				House	House			
6056	OV-3228-IE							False	False				House	House			
6057	BP-0384-RK							False	False				House	House			
6058	NI-9835-NE							False	False				House	House			
6059	WY-5626-JF							False	False				House	House			
6060	DT-3705-PI							False	False				House	House			
6061	JP-3962-CV							False	False				House	House			
6062	IV-1201-NC							False	False				House	House			
6063	IN-2316-PT							False	False				House	House			
6064	CT-0217-DO							False	False				House	House			
6065	WB-8966-ID							False	False				House	House			
6066	YF-7644-GJ							False	False				House	House			
6067	UK-6274-PS							False	False				House	House			
6068	WK-8887-UT							False	False				House	House			
6069	SI-8550-IS							False	False				House	House			
6070	PC-8534-FA							False	False				House	House			
6071	BU-0181-OM							False	False				House	House			
6072	QF-8920-JF							False	False				House	House			
6073	JR-1238-FF							False	False				House	House			
6074	QD-8108-RA							False	False				House	House			
6075	PL-1348-TL							False	False				Unit	Unit			
6076	VN-6898-CN							False	False				House	House			
6077	JC-6606-SC							False	False				House	House			
6078	AL-6560-KQ							False	False				House	House			
6079	BD-6626-KX							False	False				House	House			
6080	RP-8568-JD							False	False				House	House			
6081	MK-3938-MZ							False	False				Commercial	Commercial			
6082	MN-7467-PT							False	False				House	House			
6083	YE-0777-GR							False	False				House	House			
6084	WK-8893-NX							False	False				House	House			
6085	VQ-1366-EP							False	False				House	House			
6086	NB-0366-PW							False	False				House	House			
6087	RV-4692-DE							False	False				House	House			
6088	XI-8126-XW							False	False				House	House			
6089	GL-6949-KH							False	False				House	House			
6090	KK-4824-PE							False	False				House	House			
6091	HI-1138-VK							False	False				House	House			
6092	CA-7579-TC							False	False				House	House			
