StreetAddressID	POI	Distance
6208	City GPO	0.6
6208	Major Shopping Centre - Canberra Centre	0.8
6208	Hospital - Calvary Private Hospital	4.9
6208	Primary School - Ainslie Primary School, Ainslie	1.7
6208	High School - Campbell High School, Campbell	2.1
6208	College - Merici College	2.1
6208	University - Australian National University	0.7
6209	City GPO	0.6
6209	Major Shopping Centre - Canberra Centre	0.8
6209	Hospital - Calvary Private Hospital	4.9
6209	Primary School - Ainslie Primary School, Ainslie	1.7
6209	High School - Campbell High School, Campbell	2.1
6209	College - Merici College	2.1
6209	University - Australian National University	0.7
6210	City GPO	0.6
6210	Major Shopping Centre - Canberra Centre	0.8
6210	Hospital - Calvary Private Hospital	4.9
6210	Primary School - Ainslie Primary School, Ainslie	1.7
6210	High School - Campbell High School, Campbell	2.1
6210	College - Merici College	2.1
6210	University - Australian National University	0.7
6211	City GPO	0.6
6211	Major Shopping Centre - Canberra Centre	0.8
6211	Hospital - Calvary Private Hospital	4.9
6211	Primary School - Ainslie Primary School, Ainslie	1.7
6211	High School - Campbell High School, Campbell	2.1
6211	College - Merici College	2.1
6211	University - Australian National University	0.7
6212	City GPO	0.6
6212	Major Shopping Centre - Canberra Centre	0.8
6212	Hospital - Calvary Private Hospital	4.9
6212	Primary School - Ainslie Primary School, Ainslie	1.7
6212	High School - Campbell High School, Campbell	2.1
6212	College - Merici College	2.1
6212	University - Australian National University	0.7
6213	City GPO	0.6
6213	Major Shopping Centre - Canberra Centre	0.8
6213	Hospital - Calvary Private Hospital	4.9
6213	Primary School - Ainslie Primary School, Ainslie	1.7
6213	High School - Campbell High School, Campbell	2.1
6213	College - Merici College	2.1
6213	University - Australian National University	0.7
6214	City GPO	0.6
6214	Major Shopping Centre - Canberra Centre	0.8
6214	Hospital - Calvary Private Hospital	4.9
6214	Primary School - Ainslie Primary School, Ainslie	1.7
6214	High School - Campbell High School, Campbell	2.1
6214	College - Merici College	2.1
6214	University - Australian National University	0.7
6215	City GPO	0.6
6215	Major Shopping Centre - Canberra Centre	0.8
6215	Hospital - Calvary Private Hospital	4.9
6215	Primary School - Ainslie Primary School, Ainslie	1.7
6215	High School - Campbell High School, Campbell	2.1
6215	College - Merici College	2.1
6215	University - Australian National University	0.7
6216	City GPO	0.6
6216	Major Shopping Centre - Canberra Centre	0.8
6216	Hospital - Calvary Private Hospital	4.9
6216	Primary School - Ainslie Primary School, Ainslie	1.7
6216	High School - Campbell High School, Campbell	2.1
6216	College - Merici College	2.1
6216	University - Australian National University	0.7
6217	City GPO	0.6
6217	Major Shopping Centre - Canberra Centre	0.8
6217	Hospital - Calvary Private Hospital	4.9
