StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
11038	BV-1334-AY	882000	2019-06-18	McGrath Dickson	490	2018	225	False	False	8	106	1	House	House	1	3	762
11039	PT-0803-RU	210000	1999-09-30	LJ Hooker Canberra City	750	2016		True	False	3	106	0	House	House	2	4	688
11040	KM-5029-DR	180000	1999-06-25	Total Property Management - Bright	510	2017	7	True	False	2	106	1	House	House	1	3	640
11041	HR-9038-YH	440000	2005-05-20	Luton Properties - Dickson	650	2014	101	True	False	1	106	1	House	House	1	5	583
11042	IL-9609-BB							False	False	4	90		House	House			754
11043	FD-3534-NF							False	False				Unit	Unit			
11044	WL-0781-MF	641250	2013-08-21					False	False	20	108	1	House	House	1	3	775
11045	GG-6843-RT	164000	1995-05-05	Total Property Management - Bright Partners	540	2019		True	False	3	90	1	House	House	1	3	729
11046	EZ-2281-LR	146500	1993-03-16					False	False	2	90		House	House			709
11047	FW-1782-SG	345000	2002-02-05					False	False	16	93		House	House		3	711
11048	MC-8165-JI	1200000	2019-04-04					False	False	1	90	2	House	House	2	4	764
11049	AI-0872-DD							False	False				Unit	Unit			
11050	EG-5455-DB	747000	2011-07-20					False	False	7	106	2	House	House	2	4	671
11052	CM-2175-MW							False	False				House	House			
11053	CM-0042-XF							False	False				House	House			
11054	CJ-7049-MA							False	False				House	House			
11055	JA-7015-XU	407500	2000-01-24					False	False	7	14		Unit	Unit			
11056	CO-9177-TN	410000	2001-01-12					False	False	5	14		House	House			1544
11057	ME-2865-AS	775000	2005-02-15					False	False	4	14	1	House	House	2	4	1032
11058	ZX-7179-FR							False	False				Unit	Unit			
11059	AO-8958-YZ	1125000	2010-08-14					False	False	8	14	1	House	House	2	4	1032
11060	KS-4254-MO							False	False				House	House			
11061	ZM-8395-UA							False	False				House	House			1544
11062	CE-9736-TH							False	False				House	House			
11063	UB-7369-RU	390000	2013-07-04					False	False	26	25	1		Other Residential	1	2	
11064	YH-8791-LA							False	False	11	25		Unit	Unit			
11065	VY-0407-MY	555000	2010-07-05					False	True	17	24	1	Unit	Unit	2	3	
11066	WJ-7232-GL							False	False				House	House			
11067	FE-0137-WG			LJ Hooker Dickson	600	2015	54	False	True	17	24	2	Unit	Unit	1	4	
11068	FK-1178-ZL	1420000	2019-11-23					False	False	12	24	2	House	House	2	4	
11069	XY-7352-WQ							False	False				House	House			
11070	QP-3061-GU							False	False				House	House			
11071	YX-5459-CJ							False	False				House	House			
11072	AI-8125-XT	170000	1995-08-07					False	False	1	25	4	House	House	3	4	1168
11073	FP-5702-VQ	1035000	2019-11-27					False	False	2	25	1	House	House	1	3	1143
11075	SE-9971-OC	400000	2008-07-18					False	False	26	25	1		Other Residential	1	2	
11076	NZ-8845-DB							False	False				Unit	Unit			
11077	WC-3318-OS	840000	2016-08-13	Wright Dunn Real Estate 	740	2018	16	True	True	17	24	1	Unit	Unit	2	3	
11078	ZW-8015-VY							False	False				House	House			
11079	FP-3798-FD	1200000	2018-06-16	Paul & Robyn Sutton Properties	600	2018	7	True	False	6	25	2	House	House	1	3	1090
11080	UI-5731-UC							False	False				House	House			
11081	NU-5262-JB	1105000	2015-04-18					False	False	8	25	2	House	House	2	3	1054
11082	SA-2636-RZ	350000	2003-11-27					False	False	26	25			Other Residential			
11083	XI-6602-EH	420000	2003-11-21					False	True	17	24		Unit	Unit			
