StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
13749	Sale	1998-12-01T00:00:00	180000	PRIVATE TREATY			
13750	Sale		LJ Hooker Dickson	2016-06-22T00:00:00	846000.0	PRIVATE TREATY	
13751	Sale	1999-04-09T00:00:00	168000	PRIVATE TREATY			
13752	Sale		Peter Blackshaw Real Estate Belconn	2018-10-27T00:00:00	925000.0	AUCTION	
13753	Rental	28119	Belle Property Kingston	2018-05-09T00:00:00	610.0	PER WEEK	6.0
13753	Rental		First National Capital	2011-09-21T00:00:00	550.0	PER WEEK	20.0
13753	Rental		First National Capital	2007-12-05T00:00:00	425.0	PER WEEK	7.0
13753	Rental		First National Capital	2006-11-16T00:00:00	390.0	PER WEEK	
13753	Sale	2006-10-03T00:00:00	425000	PRIVATE TREATY			
13753	Sale	1999-09-30T00:00:00	184500	PRIVATE TREATY			
13754	Sale		Richard Luton Manuka	2009-06-10T00:00:00	652500.0	AUCTION	
13754	Sale	2000-02-28T00:00:00	215000	PRIVATE TREATY			
13755	Sale	1999-06-18T00:00:00	183000	PRIVATE TREATY			
13759	Sale	10311	Luton Properties - Dickson	2013-09-27T00:00:00	570000.0	PRIVATE TREATY	14.0
13760	Sale	1996-03-01T00:00:00	144000	PRIVATE TREATY			
13761	Rental	14174	Laurrie Scheele	2019-09-08T00:00:00	0.0	PER WEEK	23.0
13761	Rental		Laurrie Scheele Real Estate	2018-08-21T00:00:00	495.0	PER WEEK	18.0
13764	Sale		LJ Hooker Dickson	2014-05-21T00:00:00		AUCTION	
13764	Sale	2000-01-13T00:00:00	185000	PRIVATE TREATY			
13765	Sale	1999-04-14T00:00:00	157500	PRIVATE TREATY			
13765	Sale	1993-12-07T00:00:00	146000	PRIVATE TREATY			
13766	Sale		Luton Properties - Dickson	2017-10-07T00:00:00	974000.0	AUCTION	
13768	Sale	1997-12-18T00:00:00	122000	PRIVATE TREATY			
13769	Sale		LJ Hooker Dickson	2011-09-10T00:00:00	587500.0	AUCTION	
13769	Rental	14106	LJ Hooker Dickson	2010-01-21T00:00:00	400.0	PER WEEK	4.0
13769	Sale	1997-08-20T00:00:00	112500	PRIVATE TREATY			
13769	Sale	1992-04-14T00:00:00	142000	PRIVATE TREATY			
13770	Sale		LJ Hooker Dickson	2018-10-06T00:00:00	875000.0	PRIVATE TREATY	
13778	Rental	10311	Luton Properties - Dickson	2016-04-03T00:00:00	540.0	PER WEEK	24.0
