StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
13749	2020-02-05T19:29:12.873	High	840000	980000	1120000	630	0.0372	Unknown	Unknown
13750	2020-01-29T09:57:42.103	High	870000	1020000	1170000			Unknown	Unknown
13751	2020-01-29T09:57:42.103	High	770000	890000	1010000	630	0.0372	Unknown	Unknown
13752	2020-02-05T19:29:12.873	High	770000	890000	1010000			Unknown	Unknown
13753	2020-02-05T19:29:12.873	High	760000	880000	1000000	630		Unknown	Unknown
13754	2020-02-05T19:29:12.873	High	800000	940000	1080000			Unknown	Unknown
13755	2020-02-05T19:29:12.873	High	840000	970000	1100000	630	0.0372	Unknown	Unknown
13756	2020-01-29T09:57:42.103	High	850000	990000	1130000	630	0.0372	Unknown	Unknown
13757	2020-01-29T09:57:42.103	High	850000	980000	1110000	630	0.0372	Unknown	Unknown
13758	2020-02-05T19:29:12.873	High	840000	970000	1100000	630	0.0372	Unknown	Unknown
13759	2020-02-05T19:29:12.873	High	745000	865000	985000	630		Unknown	Unknown
13760	2020-02-05T19:29:12.873	High	820000	950000	1080000	630	0.0372	Unknown	Unknown
13761	2020-02-05T19:29:12.873	High	735000	855000	975000	630		Unknown	Unknown
13762	2020-01-29T09:57:42.103	High	800000	920000	1040000	630	0.0372	Unknown	Unknown
13763	2020-02-05T19:29:12.873	High	830000	960000	1090000	630	0.0372	Unknown	Unknown
13764	2020-02-05T19:29:12.873	High	770000	890000	1010000	630		Unknown	Unknown
13765	2020-02-05T19:29:12.873	High	840000	970000	1100000	630	0.0372	Unknown	Unknown
13766	2020-02-05T19:29:12.873	High	940000	1090000	1240000			Unknown	Unknown
13767	2020-02-05T19:29:12.873	High	840000	970000	1100000	630	0.0372	Unknown	Unknown
13768	2020-02-05T19:29:12.873	Medium	770000	900000	1030000	630	0.0372	Unknown	Unknown
13769	2020-02-05T19:29:12.873	High	675000	790000	905000	630		Unknown	Unknown
13770	2020-02-05T19:29:12.873	High	780000	900000	1020000	630		Unknown	Unknown
13771	2020-02-05T19:29:12.873	Medium	800000	930000	1060000	630	0.0372	Unknown	Unknown
13772						550	0.0595	Unknown	Unknown
13773	2020-02-05T19:29:12.873	High	830000	960000	1090000	630	0.0372	Unknown	Unknown
13774	2020-02-05T19:29:12.873	High	840000	970000	1100000	630	0.0372	Unknown	Unknown
13775	2020-02-05T19:29:12.873	High	820000	950000	1080000	630	0.0372	Unknown	Unknown
13776	2020-02-05T19:29:12.873	High	810000	930000	1050000	630	0.0372	Unknown	Unknown
13777	2020-02-05T19:29:12.873	High	820000	950000	1080000	630	0.0372	Unknown	Unknown
13778	2020-02-05T19:29:12.873	High	750000	870000	990000	630		Unknown	Unknown
13779	2020-02-05T19:29:12.873	High	780000	910000	1040000	630	0.0372	Unknown	Unknown
13780	2020-01-09T10:24:26.003	High	730000	845000	960000	630	0.0372	Unknown	Unknown
13781	2020-02-05T19:29:12.873	High	740000	855000	970000	630		Unknown	Unknown
13782	2020-01-29T09:57:42.103	High	800000	930000	1060000	630	0.0372	Unknown	Unknown
13783	2020-02-05T19:29:12.873	High	690000	805000	920000	630		Unknown	Unknown
13784	2020-02-05T19:29:12.873	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13785	2020-01-22T10:30:07.47	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13786	2020-01-22T10:30:07.47	Medium	385000	450000	515000	460	0.0504	Unknown	Unknown
13787	2020-01-22T10:30:07.47	Medium	400000	470000	540000	460	0.0504	Unknown	Unknown
13788	2020-01-22T10:30:07.47	Low	395000	455000	515000	460	0.0504	Unknown	Unknown
13789	2020-02-05T19:29:12.873	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13790	2020-02-05T19:29:12.873	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13792						630	0.0372	Unknown	Unknown
13793						630	0.0372	Unknown	Unknown
13794						630	0.0372	Unknown	Unknown
13796	2020-02-05T19:29:12.873	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13797	2020-01-22T10:30:07.47	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13798	2020-01-22T10:30:07.47	Medium	400000	470000	540000	460	0.0504	Unknown	Unknown
13799	2020-02-05T19:29:12.873	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13800						630	0.0372	Unknown	Unknown
13801	2020-02-05T19:29:12.873	High	790000	910000	1030000	630	0.0372	Unknown	Unknown
13803	2020-01-22T10:30:07.47	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13804	2020-02-05T19:29:12.873	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13805	2020-02-05T19:29:12.873	High	790000	910000	1030000	630	0.0372	Unknown	Unknown
13806						630	0.0372	Unknown	Unknown
13808	2020-01-22T10:30:07.47	Medium	400000	470000	540000	460	0.0504	Unknown	Unknown
13809	2020-02-05T19:29:12.873	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13811	2020-02-05T19:29:12.873	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13812						630	0.0372	Unknown	Unknown
13813	2020-02-05T19:29:12.873	Medium	405000	465000	525000	460	0.0504	Unknown	Unknown
13814						630	0.0372	Unknown	Unknown
13815						630	0.0372	Unknown	Unknown
13816	2020-02-05T19:29:12.873	High	850000	980000	1110000	630	0.0372	Unknown	Unknown
13817	2020-02-05T19:29:12.873	High	860000	990000	1120000	630	0.0372	Unknown	Unknown
13818	2020-02-05T19:29:12.873	High	880000	1030000	1180000			Unknown	Unknown
13819	2020-02-05T19:29:12.873	High	800000	940000	1080000			Unknown	Unknown
13820	2020-02-05T19:29:12.873	High	820000	960000	1100000	630	0.0372	Unknown	Unknown
13821	2020-02-05T19:29:12.873	High	800000	930000	1060000	630	0.0372	Unknown	Unknown
13822						630	0.0372	Unknown	Unknown
13823	2020-02-05T19:29:12.873	High	790000	920000	1050000	630		Unknown	Unknown
13824	2020-02-05T19:29:12.873	High	840000	980000	1120000			Unknown	Unknown
13825						630	0.0372	Unknown	Unknown
13826	2020-02-05T19:29:12.873	High	750000	880000	1010000	630		Unknown	Unknown
13827	2020-02-05T19:29:12.873	High	740000	870000	1000000	630		Unknown	Unknown
13828	2020-01-09T10:24:26.003	High	740000	870000	1000000	630		Unknown	Unknown
13829	2020-01-22T10:30:07.47	High	520000	605000	690000			Unknown	Unknown
13830	2020-02-05T19:29:12.873	High	850000	980000	1110000	630	0.0372	Unknown	Unknown
13831	2020-02-05T19:29:12.873	High	730000	850000	970000	460	0.0504	Unknown	Unknown
13832	2020-02-05T19:29:12.873	High	850000	990000	1130000	630		Unknown	Unknown
13833	2020-02-05T19:29:12.873	High	840000	970000	1100000	630	0.0372	Unknown	Unknown
13834	2020-01-29T09:57:42.103	High	840000	970000	1100000	630		Unknown	Unknown
