StreetAddressID	POI	Distance
15495	City GPO	0.5
15495	Major Shopping Centre - Woden Plaza	4.0
15495	Hospital - The Canberra Hospital	4.1
15495	Primary School - Yarralumla Primary	1.0
15495	High School - Alfred Deakin High School	1.6
15495	College - Royal College Of Nursing	1.2
15495	University - Australian National University	4.0
15496	City GPO	0.5
15496	Major Shopping Centre - Canberra Centre	3.7
15496	Hospital - Calvary Private Hospital	5.0
15496	Primary School - North Ainslie Primary School, Ainslie	0.8
15496	High School - Lyneham High, Lyneham	1.3
15496	College - Daramalan College	0.7
15496	University - Australian National University	4.2
15497	City GPO	0.6
15497	Major Shopping Centre - Canberra Centre	3.7
15497	Hospital - Calvary Private Hospital	5.0
15497	Primary School - North Ainslie Primary School, Ainslie	0.8
15497	High School - Lyneham High, Lyneham	1.4
15497	College - Dickson College	0.8
15497	University - Australian National University	4.3
15498	City GPO	0.5
15498	Major Shopping Centre - Canberra Centre	3.7
15498	Hospital - Calvary Private Hospital	5.0
15498	Primary School - North Ainslie Primary School, Ainslie	0.8
15498	High School - Lyneham High, Lyneham	1.3
15498	College - Daramalan College	0.8
15498	University - Australian National University	4.3
15499	City GPO	0.6
15499	Major Shopping Centre - Canberra Centre	3.7
15499	Hospital - Calvary Private Hospital	5.0
15499	Primary School - North Ainslie Primary School, Ainslie	0.8
15499	High School - Lyneham High, Lyneham	1.4
15499	College - Dickson College	0.8
15499	University - Australian National University	4.3
15500	City GPO	0.5
15500	Major Shopping Centre - Canberra Centre	3.7
15500	Hospital - Calvary Private Hospital	5.0
15500	Primary School - North Ainslie Primary School, Ainslie	0.8
15500	High School - Lyneham High, Lyneham	1.4
15500	College - Daramalan College	0.8
15500	University - Australian National University	4.3
15501	City GPO	0.6
15501	Major Shopping Centre - Canberra Centre	3.8
15501	Hospital - Calvary Private Hospital	5.1
15501	Primary School - North Ainslie Primary School, Ainslie	0.8
15501	High School - Lyneham High, Lyneham	1.4
15501	College - Dickson College	0.8
15501	University - Australian National University	4.4
15502	City GPO	0.6
15502	Major Shopping Centre - Canberra Centre	3.7
15502	Hospital - Calvary Private Hospital	5.0
15502	Primary School - North Ainslie Primary School, Ainslie	0.8
15502	High School - Lyneham High, Lyneham	1.4
15502	College - Dickson College	0.8
15502	University - Australian National University	4.3
15503	City GPO	0.6
15503	Major Shopping Centre - Canberra Centre	3.7
15503	Hospital - Calvary Private Hospital	5.1
15503	Primary School - North Ainslie Primary School, Ainslie	0.8
15503	High School - Lyneham High, Lyneham	1.4
15503	College - Dickson College	0.8
15503	University - Australian National University	4.3
15504	City GPO	0.6
15504	Major Shopping Centre - Canberra Centre	3.7
15504	Hospital - Calvary Private Hospital	5.1
15504	Primary School - North Ainslie Primary School, Ainslie	0.8
15504	High School - Lyneham High, Lyneham	1.4
15504	College - Dickson College	0.8
15504	University - Australian National University	4.3
15505	City GPO	0.6
15505	Major Shopping Centre - Canberra Centre	3.7
15505	Hospital - Calvary Private Hospital	5.1
15505	Primary School - North Ainslie Primary School, Ainslie	0.8
15505	High School - Lyneham High, Lyneham	1.4
15505	College - Dickson College	0.8
15505	University - Australian National University	4.3
15506	City GPO	0.6
15506	Major Shopping Centre - Canberra Centre	3.7
15506	Hospital - Calvary Private Hospital	5.1
15506	Primary School - North Ainslie Primary School, Ainslie	0.8
15506	High School - Lyneham High, Lyneham	1.4
15506	College - Dickson College	0.7
15506	University - Australian National University	4.3
15507	City GPO	0.6
15507	Major Shopping Centre - Canberra Centre	3.7
15507	Hospital - Calvary Private Hospital	5.1
15507	Primary School - North Ainslie Primary School, Ainslie	0.8
15507	High School - Lyneham High, Lyneham	1.4
15507	College - Dickson College	0.7
15507	University - Australian National University	4.3
15508	City GPO	0.6
15508	Major Shopping Centre - Canberra Centre	3.7
15508	Hospital - Calvary Private Hospital	5.1
15508	Primary School - North Ainslie Primary School, Ainslie	0.8
15508	High School - Lyneham High, Lyneham	1.4
15508	College - Dickson College	0.7
15508	University - Australian National University	4.3
15509	City GPO	0.6
15509	Major Shopping Centre - Canberra Centre	3.8
15509	Hospital - Calvary Private Hospital	5.1
15509	Primary School - North Ainslie Primary School, Ainslie	0.8
15509	High School - Lyneham High, Lyneham	1.5
15509	College - Dickson College	0.7
15509	University - Australian National University	4.4
15510	City GPO	0.7
15510	Major Shopping Centre - Canberra Centre	3.8
15510	Hospital - Calvary Private Hospital	5.1
15510	Primary School - North Ainslie Primary School, Ainslie	0.8
15510	High School - Lyneham High, Lyneham	1.5
15510	College - Dickson College	0.7
15510	University - Australian National University	4.4
15511	City GPO	0.7
15511	Major Shopping Centre - Canberra Centre	3.8
15511	Hospital - Calvary Private Hospital	5.1
15511	Primary School - North Ainslie Primary School, Ainslie	0.8
15511	High School - Lyneham High, Lyneham	1.5
15511	College - Dickson College	0.7
15511	University - Australian National University	4.4
15512	City GPO	0.7
15512	Major Shopping Centre - Canberra Centre	3.8
15512	Hospital - Calvary Private Hospital	5.1
