StreetAddressID	POI	Distance
18787	City GPO	0.1
18787	Major Shopping Centre - Canberra Centre	0.5
18787	Hospital - Calvary Private Hospital	4.8
18787	Primary School - Ainslie Primary School, Ainslie	1.2
18787	High School - Campbell High School, Campbell	1.8
18787	College - Merici College	1.6
18787	University - Australian National University	0.9
18788	City GPO	0.1
18788	Major Shopping Centre - Canberra Centre	0.5
18788	Hospital - Calvary Private Hospital	4.8
18788	Primary School - Ainslie Primary School, Ainslie	1.2
18788	High School - Campbell High School, Campbell	1.8
18788	College - Merici College	1.6
18788	University - Australian National University	0.9
18789	City GPO	0.1
18789	Major Shopping Centre - Canberra Centre	0.5
18789	Hospital - Calvary Private Hospital	4.8
18789	Primary School - Ainslie Primary School, Ainslie	1.2
18789	High School - Campbell High School, Campbell	1.8
18789	College - Merici College	1.6
18789	University - Australian National University	0.9
18790	City GPO	0.1
18790	Major Shopping Centre - Canberra Centre	0.5
18790	Hospital - Calvary Private Hospital	4.8
18790	Primary School - Ainslie Primary School, Ainslie	1.2
18790	High School - Campbell High School, Campbell	1.8
18790	College - Merici College	1.6
18790	University - Australian National University	0.9
18791	City GPO	0.1
18791	Major Shopping Centre - Canberra Centre	0.5
18791	Hospital - Calvary Private Hospital	4.8
18791	Primary School - Ainslie Primary School, Ainslie	1.2
18791	High School - Campbell High School, Campbell	1.8
18791	College - Merici College	1.6
18791	University - Australian National University	0.9
18792	City GPO	0.1
18792	Major Shopping Centre - Canberra Centre	0.5
18792	Hospital - Calvary Private Hospital	4.8
18792	Primary School - Ainslie Primary School, Ainslie	1.2
18792	High School - Campbell High School, Campbell	1.8
18792	College - Merici College	1.6
18792	University - Australian National University	0.9
18793	City GPO	0.1
18793	Major Shopping Centre - Canberra Centre	0.5
18793	Hospital - Calvary Private Hospital	4.8
18793	Primary School - Ainslie Primary School, Ainslie	1.2
18793	High School - Campbell High School, Campbell	1.8
18793	College - Merici College	1.6
18793	University - Australian National University	0.9
18794	City GPO	0.1
18794	Major Shopping Centre - Canberra Centre	0.5
18794	Hospital - Calvary Private Hospital	4.8
18794	Primary School - Ainslie Primary School, Ainslie	1.2
18794	High School - Campbell High School, Campbell	1.8
18794	College - Merici College	1.6
18794	University - Australian National University	0.9
18795	City GPO	0.1
18795	Major Shopping Centre - Canberra Centre	0.5
18795	Hospital - Calvary Private Hospital	4.8
18795	Primary School - Ainslie Primary School, Ainslie	1.2
18795	High School - Campbell High School, Campbell	1.8
18795	College - Merici College	1.6
18795	University - Australian National University	0.9
18796	City GPO	1.2
18796	Major Shopping Centre - Canberra Centre	3.9
18796	Hospital - Calvary Private Hospital	3.5
18796	Primary School - Lyneham Primary	0.7
18796	High School - Lyneham High, Lyneham	0.8
18796	College - Daramalan College	1.4
18796	University - University Of Canberra, Bruce	3.9
18797	City GPO	1.2
18797	Major Shopping Centre - Canberra Centre	3.9
18797	Hospital - Calvary Private Hospital	3.5
18797	Primary School - Lyneham Primary	0.7
18797	High School - Lyneham High, Lyneham	0.8
18797	College - Daramalan College	1.4
18797	University - University Of Canberra, Bruce	3.9
18798	City GPO	1.2
18798	Major Shopping Centre - Canberra Centre	3.9
18798	Hospital - Calvary Private Hospital	3.5
18798	Primary School - Lyneham Primary	0.7
18798	High School - Lyneham High, Lyneham	0.8
18798	College - Daramalan College	1.4
18798	University - University Of Canberra, Bruce	3.9
18799	City GPO	1.2
18799	Major Shopping Centre - Canberra Centre	3.9
18799	Hospital - Calvary Private Hospital	3.5
18799	Primary School - Lyneham Primary	0.7
18799	High School - Lyneham High, Lyneham	0.8
18799	College - Daramalan College	1.4
18799	University - University Of Canberra, Bruce	3.9
18800	City GPO	1.2
18800	Major Shopping Centre - Canberra Centre	3.9
18800	Hospital - Calvary Private Hospital	3.5
18800	Primary School - Lyneham Primary	0.7
18800	High School - Lyneham High, Lyneham	0.8
18800	College - Daramalan College	1.4
18800	University - University Of Canberra, Bruce	3.9
18801	City GPO	1.2
18801	Major Shopping Centre - Canberra Centre	3.9
18801	Hospital - Calvary Private Hospital	3.5
18801	Primary School - Lyneham Primary	0.7
18801	High School - Lyneham High, Lyneham	0.8
18801	College - Daramalan College	1.4
18801	University - University Of Canberra, Bruce	3.9
18802	City GPO	1.2
18802	Major Shopping Centre - Canberra Centre	3.9
18802	Hospital - Calvary Private Hospital	3.5
18802	Primary School - Lyneham Primary	0.7
18802	High School - Lyneham High, Lyneham	0.8
18802	College - Daramalan College	1.4
18802	University - University Of Canberra, Bruce	3.9
18803	City GPO	1.3
18803	Major Shopping Centre - Canberra Centre	3.9
18803	Hospital - Calvary Private Hospital	3.5
18803	Primary School - Lyneham Primary	0.7
18803	High School - Lyneham High, Lyneham	0.8
18803	College - Daramalan College	1.4
18803	University - University Of Canberra, Bruce	3.8
18804	City GPO	1.3
18804	Major Shopping Centre - Canberra Centre	3.9
18804	Hospital - Calvary Private Hospital	3.5
18804	Primary School - Lyneham Primary	0.7
18804	High School - Lyneham High, Lyneham	0.8
18804	College - Daramalan College	1.4
18804	University - University Of Canberra, Bruce	3.8
18805	City GPO	1.3
18805	Major Shopping Centre - Canberra Centre	3.9
18805	Hospital - Calvary Private Hospital	3.5
18805	Primary School - Lyneham Primary	0.7
18805	High School - Lyneham High, Lyneham	0.8
18805	College - Daramalan College	1.4
18805	University - University Of Canberra, Bruce	3.8
18806	City GPO	1.3
18806	Major Shopping Centre - Canberra Centre	3.9
18806	Hospital - Calvary Private Hospital	3.5
18806	Primary School - Lyneham Primary	0.7
18806	High School - Lyneham High, Lyneham	0.8
18806	College - Daramalan College	1.4
18806	University - University Of Canberra, Bruce	3.8
18807	City GPO	1.3
18807	Major Shopping Centre - Canberra Centre	3.9
18807	Hospital - Calvary Private Hospital	3.5
18807	Primary School - Lyneham Primary	0.7
18807	High School - Lyneham High, Lyneham	0.8
18807	College - Daramalan College	1.4
18807	University - University Of Canberra, Bruce	3.8
18808	City GPO	1.3
18808	Major Shopping Centre - Canberra Centre	3.9
18808	Hospital - Calvary Private Hospital	3.5
18808	Primary School - Lyneham Primary	0.7
18808	High School - Lyneham High, Lyneham	0.8
18808	College - Daramalan College	1.4
18808	University - University Of Canberra, Bruce	3.8
18809	City GPO	1.3
18809	Major Shopping Centre - Canberra Centre	3.9
18809	Hospital - Calvary Private Hospital	3.5
18809	Primary School - Lyneham Primary	0.7
18809	High School - Lyneham High, Lyneham	0.8
18809	College - Daramalan College	1.4
18809	University - University Of Canberra, Bruce	3.8
18810	City GPO	1.3
18810	Major Shopping Centre - Canberra Centre	3.9
18810	Hospital - Calvary Private Hospital	3.4
18810	Primary School - Lyneham Primary	0.7
18810	High School - Lyneham High, Lyneham	0.8
18810	College - Daramalan College	1.4
18810	University - University Of Canberra, Bruce	3.8
18811	City GPO	1.3
18811	Major Shopping Centre - Canberra Centre	3.9
18811	Hospital - Calvary Private Hospital	3.4
18811	Primary School - Lyneham Primary	0.7
18811	High School - Lyneham High, Lyneham	0.8
18811	College - Daramalan College	1.4
18811	University - University Of Canberra, Bruce	3.8
18812	City GPO	1.3
18812	Major Shopping Centre - Canberra Centre	3.9
18812	Hospital - Calvary Private Hospital	3.4
18812	Primary School - Lyneham Primary	0.7
18812	High School - Lyneham High, Lyneham	0.8
18812	College - Daramalan College	1.4
18812	University - University Of Canberra, Bruce	3.8
18813	City GPO	1.3
18813	Major Shopping Centre - Canberra Centre	3.9
18813	Hospital - Calvary Private Hospital	3.4
18813	Primary School - Lyneham Primary	0.7
18813	High School - Lyneham High, Lyneham	0.8
18813	College - Daramalan College	1.4
18813	University - University Of Canberra, Bruce	3.8
18814	City GPO	1.3
18814	Major Shopping Centre - Canberra Centre	3.9
18814	Hospital - Calvary Private Hospital	3.4
18814	Primary School - Lyneham Primary	0.7
18814	High School - Lyneham High, Lyneham	0.8
18814	College - Daramalan College	1.4
18814	University - University Of Canberra, Bruce	3.8
18815	City GPO	1.3
18815	Major Shopping Centre - Canberra Centre	3.9
18815	Hospital - Calvary Private Hospital	3.4
18815	Primary School - Lyneham Primary	0.7
18815	High School - Lyneham High, Lyneham	0.8
18815	College - Daramalan College	1.4
18815	University - University Of Canberra, Bruce	3.8
18816	City GPO	1.3
18816	Major Shopping Centre - Canberra Centre	3.9
18816	Hospital - Calvary Private Hospital	3.4
18816	Primary School - Lyneham Primary	0.7
18816	High School - Lyneham High, Lyneham	0.8
18816	College - Daramalan College	1.4
18816	University - University Of Canberra, Bruce	3.8
18817	City GPO	1.3
18817	Major Shopping Centre - Canberra Centre	3.9
18817	Hospital - Calvary Private Hospital	3.4
18817	Primary School - Lyneham Primary	0.7
18817	High School - Lyneham High, Lyneham	0.9
18817	College - Daramalan College	1.4
18817	University - University Of Canberra, Bruce	3.8
18818	City GPO	1.3
18818	Major Shopping Centre - Canberra Centre	3.9
18818	Hospital - Calvary Private Hospital	3.4
18818	Primary School - Lyneham Primary	0.7
18818	High School - Lyneham High, Lyneham	0.9
18818	College - Daramalan College	1.4
18818	University - University Of Canberra, Bruce	3.8
18819	City GPO	1.3
18819	Major Shopping Centre - Canberra Centre	3.9
18819	Hospital - Calvary Private Hospital	3.4
18819	Primary School - Lyneham Primary	0.7
18819	High School - Lyneham High, Lyneham	0.9
18819	College - Daramalan College	1.4
18819	University - University Of Canberra, Bruce	3.8
18820	City GPO	1.3
18820	Major Shopping Centre - Canberra Centre	3.9
18820	Hospital - Calvary Private Hospital	3.4
18820	Primary School - Lyneham Primary	0.7
