StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
18787	Sale	14106	LJ Hooker Dickson	2019-05-02T00:00:00	345000.0	PRIVATE TREATY	32.0
18787	Sale	2002-01-15T00:00:00	153000	PRIVATE TREATY			
18787	Sale	1996-11-20T00:00:00	107000	PRIVATE TREATY			
18787	Sale	1991-04-26T00:00:00	115000	PRIVATE TREATY			
18790	Sale	14099	LJ Hooker Belconnen	2013-08-26T00:00:00		PRIVATE TREATY	
18791	Sale	16565	McIntyre Property	2018-06-01T00:00:00	329000.0	PRIVATE TREATY	140.0
18791	Sale	2007-04-10T00:00:00	273000	PRIVATE TREATY			
18791	Sale	1992-05-07T00:00:00	141000	PRIVATE TREATY			
18791	Sale	1991-04-29T00:00:00	111500	PRIVATE TREATY			
18794	Sale	1999-03-19T00:00:00	107000	PRIVATE TREATY			
18794	Sale	1991-05-15T00:00:00	111500	PRIVATE TREATY			
18796	Rental	30622	Bolton & Co O'Connor	2019-08-16T00:00:00	0.0	PER WEEK	30.0
18796	Rental		First National Capital	2009-02-21T00:00:00	390.0	PER WEEK	66.0
18796	Rental		Raine & Horne Canberra City	2004-07-05T00:00:00	270.0	PER WEEK	21.0
18796	Sale	1995-02-07T00:00:00	130500	PRIVATE TREATY			
18797	Rental		Fox PM	2019-05-16T00:00:00	0.0	PER WEEK	3.0
18797	Rental	25465	Independent Property Management	2018-04-10T00:00:00	390.0	PER WEEK	21.0
18798	Rental	8695	Capital First National	2009-11-12T00:00:00	380.0	PER WEEK	14.0
18798	Sale	2008-07-02T00:00:00	300000	PRIVATE TREATY			
18798	Sale	1991-05-09T00:00:00	111500	PRIVATE TREATY			
18800	Rental	14533	Blue Property Marketing	2009-06-24T00:00:00	450.0	PER WEEK	6.0
18801	Rental	17473	Ray White Canberra	2019-05-16T00:00:00	370.0	PER WEEK	2.0
18801	Sale	1991-06-04T00:00:00	110000	PRIVATE TREATY			
18804	Sale	14106	LJ Hooker Dickson	2017-08-14T00:00:00	513000.0	PRIVATE TREATY	74.0
18805	Sale	2016-02-10T00:00:00	0	PRIVATE TREATY			
18805	Sale	1991-06-13T00:00:00	111500	PRIVATE TREATY			
18807	Rental	29918	Canberra Property Partners	2019-03-08T00:00:00	0.0	PER WEEK	1.0
18807	Sale	29918	Canberra Property Partners	2019-02-15T00:00:00	371000.0	PRIVATE TREATY	8.0
18807	Sale	14106	LJ Hooker Dickson	2011-05-24T00:00:00		PRIVATE TREATY	39.0
18807	Rental	14106	LJ Hooker Dickson	2010-01-14T00:00:00	390.0	PER WEEK	14.0
18807	Rental	14106	LJ Hooker Dickson	2008-08-27T00:00:00	340.0	PER WEEK	8.0
18808	Sale	2000-12-05T00:00:00	116000	PRIVATE TREATY			
18808	Sale	1991-05-09T00:00:00	109900	PRIVATE TREATY			
18810	Sale	16807	Blandfordia Real Estate	2011-03-22T00:00:00	562500.0	PRIVATE TREATY	122.0
18811	Rental		Luton Properties - Dickson	2015-10-15T00:00:00	420.0	PER WEEK	32.0
18811	Rental		Luton Properties - Dickson	2014-09-11T00:00:00	410.0	PER WEEK	156.0
18812	Sale	1998-08-07T00:00:00	99000	PRIVATE TREATY			
18815	Sale	2001-10-03T00:00:00	129950	PRIVATE TREATY			
18815	Sale	1994-01-10T00:00:00	65000	PRIVATE TREATY			
18815	Sale	1991-05-31T00:00:00	109900	PRIVATE TREATY			
18818	Rental	14106	LJ Hooker Dickson	2018-12-11T00:00:00	560.0	PER WEEK	7.0
18818	Rental		LJ Hooker Dickson	2015-12-23T00:00:00	520.0	PER WEEK	14.0
18818	Sale	10311	Luton Properties - Dickson	2015-06-17T00:00:00	494000.0	PRIVATE TREATY	76.0
18819	Sale	25392	Mates Rates Real Estate Australia	2016-11-25T00:00:00	340000.0	PRIVATE TREATY	33.0
18819	Sale	2005-07-13T00:00:00	230000	PRIVATE TREATY			
18819	Sale	2001-11-07T00:00:00	150000	PRIVATE TREATY			
18819	Sale	1991-06-12T00:00:00	111176	PRIVATE TREATY			
18821	Sale	21656	Independent Gungahlin	2017-05-04T00:00:00		PRIVATE TREATY	14.0
18822	Rental	18604	PRDnationwide Canberra	2020-01-14T00:00:00	410.0	PER WEEK	2.0
18822	Rental	18604	PRDnationwide Canberra	2016-08-09T00:00:00	340.0	PER WEEK	33.0
18822	Rental	18604	PRDnationwide Canberra	2013-02-14T00:00:00	390.0	PER WEEK	50.0
18822	Sale	1995-03-14T00:00:00	120000	PRIVATE TREATY			
18822	Sale	1991-05-14T00:00:00	109900	PRIVATE TREATY			
18824	Sale	10311	Luton Properties - Dickson	2013-10-11T00:00:00	575000.0	PRIVATE TREATY	28.0
18824	Sale	2011-11-03T00:00:00	537000	PRIVATE TREATY	155.0		
18824	Rental	8695	Capital First National	2008-03-19T00:00:00	495.0	PER WEEK	
18824	Sale		First National Capital	2008-02-02T00:00:00		Listed - not sold	46.0
18824	Sale	2005-04-05T00:00:00	220000	PRIVATE TREATY			
18824	Sale		Canreps Canberra	2002-07-06T00:00:00	438000.0	Listed - not sold	84.0
18824	Sale	2001-02-23T00:00:00	178500	PRIVATE TREATY	48.0		
18826	Sale	1996-04-11T00:00:00	120000	PRIVATE TREATY			
18826	Sale	1991-04-26T00:00:00	107900	PRIVATE TREATY			
18830	Sale	1159	Elders Dickson	2011-12-15T00:00:00		PRIVATE TREATY	23.0
18831	Rental	25201	EnVogue Property Management	2016-02-10T00:00:00	375.0	PER WEEK	
18831	Sale	10311	Luton Properties - Dickson	2009-06-04T00:00:00	338000.0	PRIVATE TREATY	29.0
18831	Sale	2001-05-09T00:00:00	122500	PRIVATE TREATY			
18831	Sale	1991-05-15T00:00:00	109900	PRIVATE TREATY			
18833	Sale	32650	Badenoch Real Estate Sales	2017-11-10T00:00:00		PRIVATE TREATY	14.0
18833	Rental		Badenoch Real Estate Sales	2010-09-22T00:00:00	540.0	PER WEEK	35.0
18833	Rental		Badenoch Real Estate Sales	2009-01-26T00:00:00	520.0	PER WEEK	
18834	Rental	14099	LJ Hooker Belconnen	2020-01-08T00:00:00	400.0	PER WEEK	
18834	Rental	14099	LJ Hooker Belconnen	2018-01-17T00:00:00	380.0	PER WEEK	3.0
18834	Rental		LJH Belconnen	2016-12-21T00:00:00	360.0	PER WEEK	
18834	Rental		LJH Belconnen	2015-02-11T00:00:00	330.0	PER WEEK	
18834	Sale	11155	Luton Properties - Weston Creek and Molonglo Valley	2010-03-30T00:00:00	367000.0	PRIVATE TREATY	45.0
18834	Sale	2007-03-20T00:00:00	259950	PRIVATE TREATY	108.0		
18834	Sale	1991-05-06T00:00:00	105000	PRIVATE TREATY			
18837	Sale	13913	Total Property Management - Bright Partners	2014-01-21T00:00:00	525000.0	PRIVATE TREATY	84.0
18837	Sale		Bright Partners Total Property Management	2009-02-06T00:00:00	438000.0	PRIVATE TREATY	174.0
18838	Rental		Badenoch Real Estate Sales	2009-09-05T00:00:00	330.0	PER WEEK	110.0
18838	Sale	1999-02-12T00:00:00	101000	PRIVATE TREATY			
18838	Sale	1994-08-29T00:00:00	129000	PRIVATE TREATY			
18838	Sale	1991-05-06T00:00:00	105000	PRIVATE TREATY			
18842	Sale		IPG Belconnen	2005-11-14T00:00:00	235000.0	PRIVATE TREATY	58.0
18842	Sale	1997-08-04T00:00:00	99950	PRIVATE TREATY			
18842	Sale	1991-05-31T00:00:00	109900	PRIVATE TREATY			
18845	Rental		LJ Hooker Dickson	2017-03-15T00:00:00	355.0	PER WEEK	21.0
18845	Rental	14106	LJ Hooker Dickson	2016-02-03T00:00:00	355.0	PER WEEK	20.0
18845	Sale	14106	LJ Hooker Dickson	2014-03-27T00:00:00	355000.0	PRIVATE TREATY	49.0
18845	Sale		LJ Hooker Dickson	2011-01-07T00:00:00		PRIVATE TREATY	76.0
18845	Sale	2010-01-25T00:00:00	370000	PRIVATE TREATY			
18845	Rental	14106	LJ Hooker Dickson	2009-08-07T00:00:00	350.0	PER WEEK	8.0
18845	Rental		LJ Hooker Dickson	2008-02-22T00:00:00	320.0	PER WEEK	9.0
18845	Sale	2002-08-30T00:00:00	189000	PRIVATE TREATY			
18845	Sale	1997-12-08T00:00:00	100000	PRIVATE TREATY			
18845	Sale	1993-12-08T00:00:00	127000	PRIVATE TREATY			
18845	Sale	1991-05-27T00:00:00	109900	PRIVATE TREATY			
18847	Sale	31430	Hayman Partners	2018-10-31T00:00:00		PRIVATE TREATY	5.0
18847	Rental	0	Private	2008-04-10T00:00:00	420.0	PER WEEK	2.0
18848	Rental		Luton Properties - Dickson	2015-12-10T00:00:00	350.0	PER WEEK	28.0
18848	Sale	2011-12-01T00:00:00	368000	PRIVATE TREATY			
18848	Sale	2005-09-27T00:00:00	255000	PRIVATE TREATY	38.0		
18848	Sale	1995-05-16T00:00:00	116500	PRIVATE TREATY			
18848	Sale	1991-06-03T00:00:00	109900	PRIVATE TREATY			
18850	Rental	25428	Key Real Estate ACT	2019-02-15T00:00:00	480.0	PER WEEK	7.0
18851	Rental		Badenoch Real Estate Sales	2011-11-09T00:00:00	370.0	PER WEEK	20.0
18851	Rental		Badenoch Real Estate Sales	2009-11-12T00:00:00	340.0	PER WEEK	
18851	Sale	2005-04-11T00:00:00	255000	PRIVATE TREATY			
18851	Sale	2002-08-13T00:00:00	193000	PRIVATE TREATY			
18851	Sale	2000-09-15T00:00:00	120000	PRIVATE TREATY			
18851	Sale	1991-06-04T00:00:00	118000	PRIVATE TREATY			
18855	Sale	2018-05-11T00:00:00	320000	PRIVATE TREATY			
18855	Sale	2008-10-08T00:00:00	306000	PRIVATE TREATY			
18855	Sale	2002-09-02T00:00:00	182000	PRIVATE TREATY			
