StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
18787	ZD-9096-YH	345000	2019-05-02					False	True	9	54	1	Unit	Unit	1	2	
18788	GQ-5765-MV							False	False				Unit	Unit			
18789	VP-4792-VK							False	False				Unit	Unit			
18790	HO-1874-EP		2013-08-26					False	True			2	House	Townhouse	2	2	
18791	UV-3230-GU	329000	2018-06-01					False	True	9	54	1	Unit	Unit	1	2	
18792	QD-2897-ZD							False	False				Unit	Unit			
18793	KG-7762-PK							False	True				Unit	Unit			
18794	PS-1524-WP	107000	1999-03-19					False	True	9	54		Unit	Unit			
18795	HM-8800-DF							False	False				Unit	Unit			
18796	DJ-1851-JI	130500	1995-02-07	Bolton & Co O'Connor	0	2019	30	True	False	7	26	0	House	House	2	3	488
18797	ZU-4019-OS			Fox PM	0	2019	3	False	False			1	House	House	1	1	
18798	PW-2831-NW	300000	2008-07-02	Capital First National	380	2009	14	True	True	9	54	1	Unit	Unit	1	2	
18799	TP-8089-WP							False	False				Unit	Unit			
18800	LB-0313-EO			Blue Property Marketing	450	2009	6	False	True			2	Unit	Unit	2	2	
18801	PW-3435-YJ	110000	1991-06-04	Ray White Canberra	370	2019	2	True	True	9	54	1	Unit	Unit	1	2	
18802	GY-6537-VP							False	False				Unit	Unit			
18803	YZ-5904-FC							False	False				House	House			
18804	LC-3721-NK	513000	2017-08-14					False	True			2	Unit	Unit	2	2	
18805	PY-1356-CB	0	2016-02-10					False	True	9	54		Unit	Unit			
18806	EZ-6396-KL							False	False				Unit	Unit			
18807	NW-8111-QB	371000	2019-02-15	Canberra Property Partners	0	2019	1	True	True			2	Unit	Unit	1	1	
18808	PV-4219-CP	116000	2000-12-05					False	True	9	54		Unit	Unit			
18809	XP-7785-OK							False	False				Unit	Unit			
18810	GH-0856-WG	562500	2011-03-22					False	False	5	26	1	House	House	1	3	604
18811	SE-0909-LX			Luton Properties - Dickson	420	2015	32	False	True			2	Unit	Unit	2	2	
18812	PW-7636-WD	99000	1998-08-07					False	True	9	54		Unit	Unit			
18813	MC-1194-II							False	False				Unit	Unit			
18814	LC-0539-SM							False	True				Unit	Unit			
18815	PZ-0928-SL	129950	2001-10-03					False	True	9	54		Unit	Unit			
18816	LL-1247-YX							False	False				Unit	Unit			
18817	HR-1535-AE							False	False				House	House			
18818	ZA-2913-UE	494000	2015-06-17	LJ Hooker Dickson	560	2018	7	True	True			2	House	Townhouse	2	2	
18819	LL-0767-HH	340000	2016-11-25					False	True	9	54	1	Unit	Unit	1	2	
18820	LB-1392-ZQ							False	False				Unit	Unit			
18821	KG-0436-AF		2017-05-04					False	True			2	House	Townhouse	2	2	
18822	UV-7702-FI	120000	1995-03-14	PRDnationwide Canberra	410	2020	2	True	True	9	54	1	Unit	Unit	1	2	
18823	IU-3447-JI							False	False				Unit	Unit			
18824	QF-3223-XR	575000	2013-10-11	Capital First National	495	2008		False	False	3	26	3	House	House	1	3	511
18825	KF-5464-JT							False	True				Unit	Unit			
18826	PX-2744-LM	120000	1996-04-11					False	True	9	54		Unit	Unit			
18827	PW-3753-HX							False	False				Unit	Unit			
18828	GY-2336-MJ							False	False				Unit	Unit			
18830	BR-6410-MM		2011-12-15					False	True			2	House	Townhouse	2	3	
18831	LT-3963-WM	338000	2009-06-04	EnVogue Property Management	375	2016		True	True	9	54	1	Unit	Unit	1	2	
18832	SO-9268-XK							False	False				Unit	Unit			
18833	TF-3079-OI		2017-11-10	Badenoch Real Estate Sales	540	2010	35	False	True			3	House	Townhouse	2	3	
18834	VL-3794-UQ	367000	2010-03-30	LJ Hooker Belconnen	400	2020		True	True	9	54	1	Unit	Unit	1	2	
18835	IU-1329-MF							False	False				Unit	Unit			
18836	UD-8921-XN							False	False				House	House			
18837	FE-8250-JI	525000	2014-01-21					False	True			2	House	Townhouse	2	3	
18838	OB-3378-QS	101000	1999-02-12	Badenoch Real Estate Sales	330	2009	110	True	True	9	54	1	Unit	Unit	1	2	
18839	EC-7395-SV							False	False				Unit	Unit			
18841	KG-3284-ON							False	True				Unit	Unit			
18842	LL-1154-FS	235000	2005-11-14					False	True	9	54		Unit	Unit		2	
18843	FW-2462-BQ							False	False				Unit	Unit			
18844	YZ-8215-PD							False	True				Unit	Unit			
18845	HE-9366-BK	355000	2014-03-27	LJ Hooker Dickson	355	2017	21	True	True	9	54	1	Unit	Unit	1	2	
18846	CN-6893-XK							False	False				Unit	Unit			
18847	UH-3913-MR		2018-10-31	Private	420	2008	2	False	False			2	House	House	2	2	
18848	PP-1357-UY	368000	2011-12-01	Luton Properties - Dickson	350	2015	28	True	True	9	54	0	Unit	Unit	1	2	
