StreetAddressID	Year	UnImprovedValue	YearlyGrowthRation
18796	2009-2010	299000.0	0.0
18796	2010-2011	329000.0	10.033444816053512
18796	2011-2012	361000.0	9.72644376899696
18796	2012-2013	361000.0	0.0
18796	2013-2014	361000.0	0.0
18796	2014-2015	351000.0	-2.7700831024930745
18796	2015-2016	359000.0	2.2792022792022792
18796	2016-2017	379000.0	5.571030640668524
18796	2017-2018	431000.0	13.720316622691293
18796	2018-2019	463000.0	7.424593967517401
18796	2019-2020	463000.0	0.0
18803	2009-2010	319000.0	0.0
18803	2010-2011	350000.0	9.717868338557993
18803	2011-2012	384000.0	9.714285714285714
18803	2012-2013	384000.0	0.0
18803	2013-2014	384000.0	0.0
18803	2014-2015	374000.0	-2.604166666666667
18803	2015-2016	383000.0	2.406417112299465
18803	2016-2017	404000.0	5.483028720626632
18803	2017-2018	459000.0	13.613861386138614
18803	2018-2019	493000.0	7.4074074074074066
18803	2019-2020	493000.0	0.0
18810	2009-2010	319000.0	0.0
18810	2010-2011	350000.0	9.717868338557993
18810	2011-2012	384000.0	9.714285714285714
18810	2012-2013	384000.0	0.0
18810	2013-2014	384000.0	0.0
18810	2014-2015	374000.0	-2.604166666666667
18810	2015-2016	383000.0	2.406417112299465
18810	2016-2017	404000.0	5.483028720626632
18810	2017-2018	459000.0	13.613861386138614
18810	2018-2019	493000.0	7.4074074074074066
18810	2019-2020	493000.0	0.0
18817	2009-2010	311000.0	0.0
18817	2010-2011	342000.0	9.967845659163988
18817	2011-2012	375000.0	9.649122807017543
18817	2012-2013	375000.0	0.0
18817	2013-2014	375000.0	0.0
18817	2014-2015	365000.0	-2.666666666666667
18817	2015-2016	373000.0	2.191780821917808
18817	2016-2017	394000.0	5.630026809651475
18817	2017-2018	448000.0	13.705583756345177
18817	2018-2019	481000.0	7.366071428571429
18817	2019-2020	481000.0	0.0
18824	2009-2010	311000.0	0.0
18824	2010-2011	342000.0	9.967845659163988
18824	2011-2012	375000.0	9.649122807017543
18824	2012-2013	375000.0	0.0
18824	2013-2014	375000.0	0.0
18824	2014-2015	365000.0	-2.666666666666667
18824	2015-2016	373000.0	2.191780821917808
18824	2016-2017	394000.0	5.630026809651475
18824	2017-2018	448000.0	13.705583756345177
18824	2018-2019	481000.0	7.366071428571429
18824	2019-2020	481000.0	0.0
18829	2009-2010	4743000.0	0.0
18829	2010-2011	5454000.0	14.990512333965844
18829	2011-2012	6024000.0	10.45104510451045
18829	2012-2013	6024000.0	0.0
18829	2013-2014	6024000.0	0.0
18829	2014-2015	6024000.0	0.0
18829	2015-2016	6024000.0	0.0
18829	2016-2017	6024000.0	0.0
18829	2017-2018	6024000.0	0.0
18829	2018-2019	6024000.0	0.0
18829	2019-2020	6024000.0	0.0
18836	2009-2010	363000.0	0.0
18836	2010-2011	399000.0	9.917355371900827
18836	2011-2012	438000.0	9.774436090225564
18836	2012-2013	438000.0	0.0
18836	2013-2014	438000.0	0.0
18836	2014-2015	426000.0	-2.73972602739726
18836	2015-2016	436000.0	2.3474178403755865
18836	2016-2017	460000.0	5.5045871559633035
18836	2017-2018	523000.0	13.695652173913043
18836	2018-2019	562000.0	7.45697896749522
18836	2019-2020	562000.0	0.0
18840	2009-2010	4830000.0	0.0
18840	2010-2011	4830000.0	0.0
18840	2011-2012	4589000.0	-4.9896480331262945
18840	2012-2013	4360000.0	-4.990193942035302
18840	2013-2014	4360000.0	0.0
18840	2014-2015	4360000.0	0.0
18840	2015-2016	4360000.0	0.0
18840	2016-2017	4360000.0	0.0
18840	2017-2018	4360000.0	0.0
18840	2018-2019	4360000.0	0.0
18840	2019-2020	4360000.0	0.0
18857	2009-2010	375000.0	0.0
18857	2010-2011	412000.0	9.866666666666667
18857	2011-2012	452000.0	9.70873786407767
18857	2012-2013	452000.0	0.0
18857	2013-2014	452000.0	0.0
18857	2014-2015	440000.0	-2.6548672566371683
18857	2015-2016	450000.0	2.272727272727273
18857	2016-2017	475000.0	5.555555555555555
