StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
18787	2020-02-05T19:29:12.873	High	285000	335000	385000	475	0.066	Unknown	Unknown
18788	2020-02-05T19:29:12.873	High	290000	340000	390000	420	0.059	Unknown	Unknown
18789						420	0.059	Unknown	Unknown
18790	2020-02-05T19:29:12.873	High	440000	515000	590000	480		Unknown	Unknown
18791	2020-02-05T19:29:12.873	High	265000	310000	355000	475	0.066	Unknown	Unknown
18792	2020-02-05T19:29:12.873	High	290000	340000	390000	420	0.059	Unknown	Unknown
18793	2020-02-05T19:29:12.873	High	395000	455000	515000	420	0.059	Unknown	Unknown
18794	2020-02-05T19:29:12.873	High	295000	335000	375000	420	0.059	Unknown	Unknown
18795	2020-02-05T19:29:12.873	High	290000	340000	390000	420	0.059	Unknown	Unknown
18796	2020-02-05T19:29:12.873	Medium	715000	835000	955000	580	0.0399	Unknown	Unknown
18797								Unknown	Unknown
18798	2020-02-05T19:29:12.873	High	285000	330000	375000	475	0.066	Unknown	Unknown
18799	2020-02-05T19:29:12.873	High	290000	340000	390000	420	0.059	Unknown	Unknown
18800	2020-02-05T19:29:12.873	High	440000	515000	590000	475	0.066	Unknown	Unknown
18801	2020-02-05T19:29:12.873	High	285000	330000	375000	475	0.066	Unknown	Unknown
18802	2020-02-05T19:29:12.873	High	290000	340000	390000	420	0.059	Unknown	Unknown
18803	2020-02-05T19:29:12.873	High	710000	825000	940000	575	0.0383	Unknown	Unknown
18804	2020-02-05T19:29:12.873	High	440000	515000	590000	475	0.066	Unknown	Unknown
18805	2020-02-05T19:29:12.873	High	295000	335000	375000	420	0.059	Unknown	Unknown
18806	2020-02-05T19:29:12.873	High	290000	340000	390000	420	0.059	Unknown	Unknown
18807						415	0.0668	Unknown	Unknown
18808	2020-02-05T19:29:12.873	High	295000	335000	375000	420	0.059	Unknown	Unknown
18809	2020-02-05T19:29:12.873	High	290000	340000	390000	420	0.059	Unknown	Unknown
18810	2020-02-05T19:29:12.873	High	705000	820000	935000	580	0.0399	Unknown	Unknown
18811	2020-02-05T19:29:12.873	High	440000	515000	590000	475	0.066	Unknown	Unknown
