StreetAddressID	POI	Distance
21925	City GPO	1.2
21925	Major Shopping Centre - Canberra Centre	1.5
21925	Hospital - Calvary Private Hospital	5.8
21925	Primary School - Ainslie Primary School, Ainslie	0.6
21925	High School - Campbell High School, Campbell	0.7
21925	College - Merici College	1.1
21925	University - Australian National University	2.7
21926	City GPO	1.2
21926	Major Shopping Centre - Canberra Centre	1.5
21926	Hospital - Calvary Private Hospital	5.8
21926	Primary School - Ainslie Primary School, Ainslie	0.6
21926	High School - Campbell High School, Campbell	0.7
21926	College - Merici College	1.1
21926	University - Australian National University	2.7
21927	City GPO	0.5
21927	Major Shopping Centre - Canberra Centre	5.3
21927	Hospital - Calvary Private Hospital	5.9
21927	Primary School - Majura Primary	0.6
21927	High School - Lyneham High, Lyneham	2.7
21927	College - Dickson College	1.5
21927	University - Australian National University	5.8
21928	City GPO	0.2
21928	Major Shopping Centre - Canberra Centre	4.9
21928	Hospital - Calvary Private Hospital	5.9
21928	Primary School - Majura Primary	0.3
21928	High School - Lyneham High, Lyneham	2.5
21928	College - Dickson College	1.0
21928	University - Australian National University	5.5
21929	City GPO	0.1
21929	Major Shopping Centre - Canberra Centre	4.9
21929	Hospital - Calvary Private Hospital	5.9
21929	Primary School - Majura Primary	0.3
21929	High School - Lyneham High, Lyneham	2.5
21929	College - Dickson College	1.0
21929	University - Australian National University	5.5
21930	City GPO	0.1
21930	Major Shopping Centre - Canberra Centre	4.9
21930	Hospital - Calvary Private Hospital	5.9
21930	Primary School - Majura Primary	0.3
21930	High School - Lyneham High, Lyneham	2.5
21930	College - Dickson College	1.1
21930	University - Australian National University	5.5
21931	City GPO	0.1
21931	Major Shopping Centre - Canberra Centre	4.9
21931	Hospital - Calvary Private Hospital	5.9
21931	Primary School - Majura Primary	0.3
21931	High School - Lyneham High, Lyneham	2.5
21931	College - Dickson College	1.1
21931	University - Australian National University	5.6
21932	City GPO	0.1
21932	Major Shopping Centre - Canberra Centre	4.9
21932	Hospital - Calvary Private Hospital	5.9
21932	Primary School - Majura Primary	0.3
21932	High School - Lyneham High, Lyneham	2.5
21932	College - Dickson College	1.1
21932	University - Australian National University	5.6
21933	City GPO	0.1
21933	Major Shopping Centre - Canberra Centre	4.9
21933	Hospital - Calvary Private Hospital	5.9
21933	Primary School - Majura Primary	0.3
21933	High School - Lyneham High, Lyneham	2.5
21933	College - Dickson College	1.1
21933	University - Australian National University	5.6
21934	City GPO	0.1
21934	Major Shopping Centre - Canberra Centre	5.0
21934	Hospital - Calvary Private Hospital	6.0
21934	Primary School - Majura Primary	0.2
21934	High School - Lyneham High, Lyneham	2.6
21934	College - Dickson College	1.1
21934	University - Australian National University	5.6
21935	City GPO	0.1
21935	Major Shopping Centre - Canberra Centre	5.0
21935	Hospital - Calvary Private Hospital	6.0
21935	Primary School - Majura Primary	0.2
21935	High School - Lyneham High, Lyneham	2.6
21935	College - Dickson College	1.1
21935	University - Australian National University	5.6
21936	City GPO	0.1
21936	Major Shopping Centre - Canberra Centre	5.0
21936	Hospital - Calvary Private Hospital	6.0
21936	Primary School - Majura Primary	0.2
21936	High School - Lyneham High, Lyneham	2.6
21936	College - Dickson College	1.1
21936	University - Australian National University	5.6
21937	City GPO	0.1
21937	Major Shopping Centre - Canberra Centre	5.0
21937	Hospital - Calvary Private Hospital	6.0
21937	Primary School - Majura Primary	0.2
21937	High School - Lyneham High, Lyneham	2.6
21937	College - Dickson College	1.1
21937	University - Australian National University	5.6
21938	City GPO	0.1
21938	Major Shopping Centre - Canberra Centre	5.0
21938	Hospital - Calvary Private Hospital	6.0
21938	Primary School - Majura Primary	0.2
21938	High School - Lyneham High, Lyneham	2.6
21938	College - Dickson College	1.1
21938	University - Australian National University	5.6
21939	City GPO	0.2
21939	Major Shopping Centre - Canberra Centre	5.0
21939	Hospital - Calvary Private Hospital	6.0
21939	Primary School - Majura Primary	0.2
21939	High School - Lyneham High, Lyneham	2.6
21939	College - Dickson College	1.1
21939	University - Australian National University	5.7
21940	City GPO	0.2
21940	Major Shopping Centre - Canberra Centre	5.0
21940	Hospital - Calvary Private Hospital	6.0
21940	Primary School - Majura Primary	0.2
21940	High School - Lyneham High, Lyneham	2.6
21940	College - Dickson College	1.1
21940	University - Australian National University	5.7
21941	City GPO	0.2
21941	Major Shopping Centre - Canberra Centre	5.0
21941	Hospital - Calvary Private Hospital	6.0
21941	Primary School - Majura Primary	0.2
21941	High School - Lyneham High, Lyneham	2.6
21941	College - Dickson College	1.1
21941	University - Australian National University	5.7
21942	City GPO	0.5
21942	Major Shopping Centre - Canberra Centre	5.2
21942	Hospital - Calvary Private Hospital	5.8
21942	Primary School - Majura Primary	0.6
21942	High School - Lyneham High, Lyneham	2.7
21942	College - Dickson College	1.5
21942	University - Australian National University	5.8
21943	City GPO	0.5
21943	Major Shopping Centre - Canberra Centre	5.2
21943	Hospital - Calvary Private Hospital	5.8
21943	Primary School - Majura Primary	0.6
21943	High School - Lyneham High, Lyneham	2.7
21943	College - Dickson College	1.5
21943	University - Australian National University	5.8
21944	City GPO	0.5
21944	Major Shopping Centre - Canberra Centre	5.2
21944	Hospital - Calvary Private Hospital	5.8
21944	Primary School - Majura Primary	0.6
21944	High School - Lyneham High, Lyneham	2.7
21944	College - Dickson College	1.5
21944	University - Australian National University	5.8
21945	City GPO	0.5
21945	Major Shopping Centre - Canberra Centre	5.2
21945	Hospital - Calvary Private Hospital	5.8
21945	Primary School - Majura Primary	0.6
21945	High School - Lyneham High, Lyneham	2.6
21945	College - Dickson College	1.4
21945	University - Australian National University	5.7
21946	City GPO	0.5
21946	Major Shopping Centre - Canberra Centre	5.2
21946	Hospital - Calvary Private Hospital	5.8
21946	Primary School - Majura Primary	0.6
21946	High School - Lyneham High, Lyneham	2.6
21946	College - Dickson College	1.4
21946	University - Australian National University	5.7
21947	City GPO	0.5
21947	Major Shopping Centre - Canberra Centre	5.2
21947	Hospital - Calvary Private Hospital	5.8
21947	Primary School - Majura Primary	0.6
21947	High School - Lyneham High, Lyneham	2.6
21947	College - Dickson College	1.4
21947	University - Australian National University	5.7
21948	City GPO	0.6
21948	Major Shopping Centre - Canberra Centre	5.2
21948	Hospital - Calvary Private Hospital	5.8
21948	Primary School - Majura Primary	0.6
21948	High School - Lyneham High, Lyneham	2.7
21948	College - Dickson College	1.5
21948	University - Australian National University	5.8
21949	City GPO	0.6
21949	Major Shopping Centre - Canberra Centre	5.2
21949	Hospital - Calvary Private Hospital	5.8
21949	Primary School - Majura Primary	0.6
21949	High School - Lyneham High, Lyneham	2.7
21949	College - Dickson College	1.5
21949	University - Australian National University	5.8
21950	City GPO	0.6
21950	Major Shopping Centre - Canberra Centre	5.2
21950	Hospital - Calvary Private Hospital	5.8
21950	Primary School - Majura Primary	0.6
21950	High School - Lyneham High, Lyneham	2.7
21950	College - Dickson College	1.5
21950	University - Australian National University	5.8
21951	City GPO	0.5
21951	Major Shopping Centre - Canberra Centre	5.2
21951	Hospital - Calvary Private Hospital	5.8
21951	Primary School - Majura Primary	0.6
21951	High School - Lyneham High, Lyneham	2.6
21951	College - Dickson College	1.4
21951	University - Australian National University	5.7
21952	City GPO	0.5
21952	Major Shopping Centre - Canberra Centre	5.2
21952	Hospital - Calvary Private Hospital	5.8
21952	Primary School - Majura Primary	0.6
21952	High School - Lyneham High, Lyneham	2.6
21952	College - Dickson College	1.4
21952	University - Australian National University	5.7
21953	City GPO	0.5
21953	Major Shopping Centre - Canberra Centre	5.2
21953	Hospital - Calvary Private Hospital	5.8
21953	Primary School - Majura Primary	0.6
21953	High School - Lyneham High, Lyneham	2.6
21953	College - Dickson College	1.4
21953	University - Australian National University	5.7
21954	City GPO	0.5
21954	Major Shopping Centre - Canberra Centre	5.2
21954	Hospital - Calvary Private Hospital	5.7
21954	Primary School - Majura Primary	0.6
21954	High School - Lyneham High, Lyneham	2.6
21954	College - Dickson College	1.4
21954	University - Australian National University	5.7
21955	City GPO	0.6
21955	Major Shopping Centre - Canberra Centre	5.2
21955	Hospital - Calvary Private Hospital	5.8
21955	Primary School - Majura Primary	0.7
21955	High School - Lyneham High, Lyneham	2.6
21955	College - Dickson College	1.5
21955	University - Australian National University	5.8
21956	City GPO	0.6
21956	Major Shopping Centre - Canberra Centre	5.2
21956	Hospital - Calvary Private Hospital	5.7
21956	Primary School - Majura Primary	0.6
21956	High School - Lyneham High, Lyneham	2.6
21956	College - Dickson College	1.5
21956	University - Australian National University	5.7
21957	City GPO	0.6
21957	Major Shopping Centre - Canberra Centre	5.2
21957	Hospital - Calvary Private Hospital	5.7
21957	Primary School - Majura Primary	0.6
21957	High School - Lyneham High, Lyneham	2.6
21957	College - Dickson College	1.5
21957	University - Australian National University	5.7
21958	City GPO	0.6
21958	Major Shopping Centre - Canberra Centre	5.2
21958	Hospital - Calvary Private Hospital	5.7
21958	Primary School - Majura Primary	0.7
21958	High School - Lyneham High, Lyneham	2.6
21958	College - Dickson College	1.5
21958	University - Australian National University	5.8
21959	City GPO	0.6
