StreetAddressID	Year	UnImprovedValue	YearlyGrowthRation
21927	2009-2010	293000.0	0.0
21927	2010-2011	353000.0	20.477815699658702
21927	2011-2012	389000.0	10.198300283286118
21927	2012-2013	389000.0	0.0
21927	2013-2014	432000.0	11.053984575835475
21927	2014-2015	432000.0	0.0
21927	2015-2016	432000.0	0.0
21927	2016-2017	447000.0	3.4722222222222223
21927	2017-2018	504000.0	12.751677852348994
21927	2018-2019	514000.0	1.984126984126984
21927	2019-2020	540000.0	5.058365758754864
21928	2009-2010	324000.0	0.0
21928	2010-2011	388000.0	19.753086419753085
21928	2011-2012	429000.0	10.56701030927835
21928	2012-2013	429000.0	0.0
21928	2013-2014	443000.0	3.263403263403263
21928	2014-2015	426000.0	-3.837471783295711
21928	2015-2016	440000.0	3.286384976525822
21928	2016-2017	473000.0	7.5
21928	2017-2018	520000.0	9.936575052854122
21928	2018-2019	567000.0	9.038461538461538
21928	2019-2020	567000.0	0.0
21929	2009-2010	324000.0	0.0
21929	2010-2011	388000.0	19.753086419753085
21929	2011-2012	429000.0	10.56701030927835
21929	2012-2013	429000.0	0.0
21929	2013-2014	443000.0	3.263403263403263
21929	2014-2015	426000.0	-3.837471783295711
21929	2015-2016	440000.0	3.286384976525822
21929	2016-2017	473000.0	7.5
21929	2017-2018	520000.0	9.936575052854122
21929	2018-2019	567000.0	9.038461538461538
21929	2019-2020	567000.0	0.0
21930	2009-2010	324000.0	0.0
21930	2010-2011	388000.0	19.753086419753085
21930	2011-2012	429000.0	10.56701030927835
21930	2012-2013	429000.0	0.0
21930	2013-2014	443000.0	3.263403263403263
21930	2014-2015	426000.0	-3.837471783295711
21930	2015-2016	440000.0	3.286384976525822
21930	2016-2017	473000.0	7.5
21930	2017-2018	520000.0	9.936575052854122
21930	2018-2019	567000.0	9.038461538461538
21930	2019-2020	567000.0	0.0
21931	2009-2010	314000.0	0.0
21931	2010-2011	376000.0	19.745222929936308
21931	2011-2012	415000.0	10.372340425531915
21931	2012-2013	415000.0	0.0
21931	2013-2014	429000.0	3.3734939759036147
21931	2014-2015	413000.0	-3.7296037296037294
21931	2015-2016	427000.0	3.389830508474576
21931	2016-2017	459000.0	7.494145199063232
21931	2017-2018	505000.0	10.021786492374728
21931	2018-2019	551000.0	9.108910891089108
21931	2019-2020	551000.0	0.0
21934	2009-2010	1336000.0	0.0
21934	2010-2011	1536000.0	14.97005988023952
21934	2011-2012	1697000.0	10.481770833333332
21934	2012-2013	1697000.0	0.0
21934	2013-2014	1697000.0	0.0
21934	2014-2015	1697000.0	0.0
21934	2015-2016	1697000.0	0.0
21934	2016-2017	1697000.0	0.0
21934	2017-2018	1697000.0	0.0
21934	2018-2019	1697000.0	0.0
21934	2019-2020	1697000.0	0.0
21935	2009-2010	1336000.0	0.0
21935	2010-2011	1536000.0	14.97005988023952
21935	2011-2012	1697000.0	10.481770833333332
21935	2012-2013	1697000.0	0.0
21935	2013-2014	1697000.0	0.0
21935	2014-2015	1697000.0	0.0
21935	2015-2016	1697000.0	0.0
21935	2016-2017	1697000.0	0.0
21935	2017-2018	1697000.0	0.0
21935	2018-2019	1697000.0	0.0
21935	2019-2020	1697000.0	0.0
21936	2009-2010	1336000.0	0.0
21936	2010-2011	1536000.0	14.97005988023952
21936	2011-2012	1697000.0	10.481770833333332
21936	2012-2013	1697000.0	0.0
21936	2013-2014	1697000.0	0.0
21936	2014-2015	1697000.0	0.0
21936	2015-2016	1697000.0	0.0
21936	2016-2017	1697000.0	0.0
21936	2017-2018	1697000.0	0.0
21936	2018-2019	1697000.0	0.0
21936	2019-2020	1697000.0	0.0
21937	2009-2010	351000.0	0.0
21937	2010-2011	421000.0	19.943019943019944
21937	2011-2012	465000.0	10.451306413301662
21937	2012-2013	465000.0	0.0
21937	2013-2014	480000.0	3.225806451612903
21937	2014-2015	462000.0	-3.75
21937	2015-2016	477000.0	3.2467532467532463
21937	2016-2017	513000.0	7.547169811320755
21937	2017-2018	564000.0	9.941520467836257
21937	2018-2019	615000.0	9.042553191489363
21937	2019-2020	615000.0	0.0
21938	2009-2010	1336000.0	0.0
21938	2010-2011	1536000.0	14.97005988023952
21938	2011-2012	1697000.0	10.481770833333332
21938	2012-2013	1697000.0	0.0
21938	2013-2014	1697000.0	0.0
21938	2014-2015	1697000.0	0.0
21938	2015-2016	1697000.0	0.0
21938	2016-2017	1697000.0	0.0
21938	2017-2018	1697000.0	0.0
21938	2018-2019	1697000.0	0.0
21938	2019-2020	1697000.0	0.0
21939	2009-2010	333000.0	0.0
21939	2010-2011	399000.0	19.81981981981982
21939	2011-2012	441000.0	10.526315789473683
21939	2012-2013	441000.0	0.0
21939	2013-2014	456000.0	3.4013605442176873
21939	2014-2015	438000.0	-3.9473684210526314
21939	2015-2016	453000.0	3.4246575342465753
21939	2016-2017	487000.0	7.505518763796909
21939	2017-2018	536000.0	10.061601642710473
21939	2018-2019	585000.0	9.14179104477612
21939	2019-2020	585000.0	0.0
21942	2009-2010	292000.0	0.0
21942	2010-2011	351000.0	20.205479452054796
21942	2011-2012	387000.0	10.256410256410255
21942	2012-2013	387000.0	0.0
21942	2013-2014	430000.0	11.11111111111111
21942	2014-2015	430000.0	0.0
21942	2015-2016	430000.0	0.0
21942	2016-2017	445000.0	3.488372093023256
21942	2017-2018	501000.0	12.584269662921349
21942	2018-2019	511000.0	1.996007984031936
21942	2019-2020	537000.0	5.088062622309197
21945	2009-2010	292000.0	0.0
21945	2010-2011	351000.0	20.205479452054796
21945	2011-2012	387000.0	10.256410256410255
21945	2012-2013	387000.0	0.0
21945	2013-2014	430000.0	11.11111111111111
21945	2014-2015	430000.0	0.0
21945	2015-2016	430000.0	0.0
21945	2016-2017	445000.0	3.488372093023256
21945	2017-2018	501000.0	12.584269662921349
21945	2018-2019	511000.0	1.996007984031936
21945	2019-2020	537000.0	5.088062622309197
21948	2009-2010	292000.0	0.0
21948	2010-2011	351000.0	20.205479452054796
21948	2011-2012	387000.0	10.256410256410255
21948	2012-2013	387000.0	0.0
21948	2013-2014	430000.0	11.11111111111111
21948	2014-2015	430000.0	0.0
21948	2015-2016	430000.0	0.0
21948	2016-2017	445000.0	3.488372093023256
21948	2017-2018	501000.0	12.584269662921349
21948	2018-2019	511000.0	1.996007984031936
21948	2019-2020	537000.0	5.088062622309197
21951	2009-2010	285000.0	0.0
21951	2010-2011	343000.0	20.350877192982455
21951	2011-2012	378000.0	10.204081632653061
21951	2012-2013	378000.0	0.0
21951	2013-2014	420000.0	11.11111111111111
21951	2014-2015	420000.0	0.0
21951	2015-2016	420000.0	0.0
21951	2016-2017	435000.0	3.571428571428571
21951	2017-2018	490000.0	12.643678160919542
21951	2018-2019	500000.0	2.0408163265306123
21951	2019-2020	525000.0	5.0
21954	2009-2010	285000.0	0.0
21954	2010-2011	343000.0	20.350877192982455
21954	2011-2012	378000.0	10.204081632653061
21954	2012-2013	378000.0	0.0
21954	2013-2014	420000.0	11.11111111111111
21954	2014-2015	420000.0	0.0
21954	2015-2016	420000.0	0.0
21954	2016-2017	435000.0	3.571428571428571
21954	2017-2018	490000.0	12.643678160919542
21954	2018-2019	500000.0	2.0408163265306123
21954	2019-2020	525000.0	5.0
21955	2009-2010	292000.0	0.0
21955	2010-2011	351000.0	20.205479452054796
21955	2011-2012	387000.0	10.256410256410255
