StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
25027	YA-8048-OG							False	False				Unit	Unit			
25028	IT-1980-OX	346250	2011-05-30	Maloney's - the Estate Agent	2600	2018	58	True	False	12	21	2	Unit	Unit	2	3	
25029	AL-2659-CQ	1550000	2018-09-21	Total Property Management - Bright	1150	2018	154	True	True	16	20	3	Unit	Unit	1	3	
25030	SY-4223-XA	1100000	2019-04-05					False	False	5	9		Unit	Unit		2	
25031	ZW-0754-BP							False	False			0	House	House	2	5	
25032	FU-4376-SS							False	False				House	House			
25033	VR-5850-OY							False	False			2	House	Townhouse	2	3	2661
25034	TC-0962-TG							False	False				House	House			
25035	MW-2993-DY							False	False				House	House			
25036	US-2132-HL		2018-08-25	Peter Blackshaw Real Estate Queanbeyan & Jerrabomberra	750	2020	302	True	False			2	House	Terrace	2	3	
25037	YD-5378-AM							False	False			2	House	Townhouse	2	3	
25039	BZ-3560-VN	450000	1997-08-07					False	False	8	44		House	House			1351
25040	MI-6159-TV	530000	1999-09-21					False	False	9	21		House	House			1747
25041	PN-7071-ON							False	False	9	44		House	House			1351
25042	YY-0464-LK							False	False	10	21		House	House			1516
25043	RI-0084-VM	2000000	2016-08-15					False	False	10	44	2	House	House	3	4	1351
25044	EZ-2047-DG							False	False	1	23		House	House			1148
25045	YS-0740-EG	3400000	2011-12-02					False	False	11	44	0	House	House	1	3	1351
25046	AJ-3813-AY	1535000	2012-10-26					False	False	13	23	3	House	House	1	4	982
25047	QS-7832-SO							False	False				House	House			
25048	QY-3754-RE							False	False				House	House			
25049	TW-0498-BN							False	False				Unit	Unit			
25050	SB-9533-FU							False	False				Unit	Unit			
25051	AS-6302-PC							False	False				Unit	Unit			
25052	AL-8899-OA	1690000	2019-07-03	Total Property Management - Bright	1200	2018	133	False	True	16	20	4	Unit	Unit	1	3	
25053	BU-8934-QM							False	False				House	House			
25054	MO-2866-YA	470000	1994-05-16					False	False	12	44		House	House			1351
25055	OF-7697-FV	1200000	2011-09-27					False	False	12	23	0	House	House	2	3	1137
25056	OO-5636-UB							False	False	13	44		House	House			1351
25057	AD-7552-YK	2570000	2017-04-08	ReDIY	1850	2018	198	True	False	14	44	3	House	House	3	5	1350
25058	BV-3705-UQ	1025000	2002-05-17					False	False	15	44	0	House	House	3	4	1303
25059	JP-9984-LY	750000	2001-12-06					False	False	6	43		House	House		4	1303
25060	TI-4449-NR							False	False				Unit	Unit			
25061	LZ-6481-YQ							False	False				Unit	Unit			
25062	ES-3029-EK			LJ Hooker Weston Creek	0	2020		False	True			3	House	Townhouse	2	3	
25063	AK-1053-ES							False	False				House	House			
25064	GH-0720-TG	1070000	2006-03-27					False	False	7	43		House	House		3	1350
25065	CK-5850-KF	2094000	2016-05-14					False	False	8	43	2	House	House	3	4	1351
25066	BU-6704-HS	2800000	2012-02-03	Berkely Residential	1950	2012	77	True	False	9	43	6	House	House	4	5	1351
25067	MQ-7963-BS	3500000	2017-04-01					False	False	10	43	2	House	House	4	5	1351
25068	VB-7652-OE	1670000	2010-05-08					False	False	11	43	1	House	House	2	4	1351
25069	PS-8065-KZ							False	False				Unit	Unit			
25070	SH-0196-MR							False	False				Unit	Unit			
25071	AK-1868-CM	1480000	2018-09-17	Total Property Management - Bright	1100	2015	35	False	True	16	20	3	Unit	Unit	2	3	
25072	GW-4954-RO	1885000	2016-07-23					False	False	5	11	2	House	House	2	3	1144
25073	WZ-9605-WR							False	False	12	43		House	House			1351
25074	GS-2113-CC			Belle Property Kingston	1095	2019	25	False	False	13	43	2	House	House	2	4	
25075	MQ-4407-QO	1280000	2006-06-28					False	False	14	43		House	House		4	1351
25076	LB-4629-MM	2100000	2013-11-08	Luton Properties - Manuka	1250	2013	23	True	False	15	43	3	House	House	4	6	1810
25077	PO-0242-XG	1138000	2004-12-21					False	False	6	42		House	House		3	1784
25078	WL-6332-IM							False	False				Unit	Unit			
25080	FC-2741-YL							False	False				House	House			
25081	AO-6546-AE	1316000	2006-10-14					False	False	8	42	0	House	House	2	3	1609
25082	ZD-5413-RT	490000	1993-04-30					False	False	9	42		House	House			1604
25083	VM-7802-EX	1720000	2012-02-03					False	False	10	42	2	House	House	4	6	1612
25084	AJ-9500-LV							False	False	11	42		House	House			1601
25085	GI-0791-RR							False	False				Unit	Unit			
25086	NA-0990-UQ	1900000	2014-07-19	Luton Properties - Manuka	1100	2015	77	True	False	6	11	1	House	House	3	3	1197
25087	BS-3021-AV	1290000	2003-05-26					False	False	12	42		House	House		5	1612
25088	GS-5448-HT	2400000	2005-05-20					False	False	13	42	0	House	House	4	6	1604
25089	OD-9724-TL	430000	1996-04-24					False	False	14	42		House	House			1593
25090	AO-5077-QO	1300000	2002-08-22					False	False	6	41	0	House	House	3	5	1596
25091	DE-5612-UR	2740000	2018-04-14					False	False	7	41	1	House	House	2	4	1633
25092	HF-9374-BB	525000	1997-04-12					False	False	15	20		House	House			
25093	MN-9517-PB	1050000	2017-07-17					False	False	8	41	2	House	House	2	4	
25094	FD-3678-MT	2520000	2020-02-08					False	False			1	House	House	2	4	
25095	FA-9823-IL	582500	1996-11-20					False	False	9	38		House	House			1770
25096	GU-7750-TN							False	False	10	41		House	House			1643
25097	OZ-3624-WS			Luton Properties - Manuka	350	2016	56	False	False			1	House	House	1	1	
25098	DD-3122-NR	2603500	2019-01-11					False	False	8	38		House	House			2106
25099	PT-7334-UD	2060000	2007-12-01	PRD Leader Real Estate	900	2008	45	True	False	11	41	4	House	House	5	6	1611
25100	KP-9273-NT	3300000	2016-04-07					False	False	7	46		House	House			2267
25101	OM-4325-MN	2480000	2011-07-07					False	False	12	41	4	House	House	2	4	1530
25102	AA-2392-AL							False	False				House	House			
25103	ZE-4246-VF	408500	1993-05-25					False	False	10	40		House	House			1394
25104	WT-8571-YW	722000	2001-11-08					False	False	11	40		House	House		5	1056
25105	YZ-6684-QO	1840000	2014-08-14					False	False	12	40	0	House	House	2	5	964
25106	GX-9912-WW	1950000	2012-03-29					False	False	13	40		House	House			990
25107	OE-1707-XP	1160000	2003-12-22					False	False	1	40	0	House	House	3	5	1581
25108	SB-2823-OC	2900000	2018-03-20	Belle Property Kingston	1500	2018	112	True	False	1	9	3	House	House	4	5	1515
25109	ZC-5013-RG	495000	1993-05-21					False	False	2	9		House	House			1158
25110	DK-5765-ZU	1530000	2005-05-14	Ray White Queanbeyan/Jerrabomberra	1650	2019	1	True	False	32	3	2	House	House	2	4	1562
25111	PE-3851-HK	1300000	2006-01-25					False	False	3	9	2	House	House	1	3	1197
25112	AW-1911-ZP							False	False				House	House			
25113	BW-8362-DT			Berkely Residential	620	2009	5	False	False			2	House	Townhouse	2	3	
25114	OQ-0071-SC	470000	1992-04-09					False	False	33	3		House	House			1652
25115	YA-9520-CB							False	False				House	House			
25116	WH-0554-FD	2220000	2019-02-08					False	False	19	4	4	House	House	2	3	1880
25117	WN-3042-MV							False	False				House	House			
25118	GY-0457-RN	2600000	2013-11-26					False	False	6	4	2	House	House	3	3	1711
25119	VN-5589-SP	2800000	2008-12-05					False	False	5	4	0	House	House	2	4	2031
25120	WY-2750-ES	2200000	2018-11-07					False	False	25	3		House	House			2280
25121	TI-6473-QG	2380000	2009-06-23	Luton Properties - Manuka	1850	2009	12	False	False	31	3	2	House	House	3	4	1424
25122	YF-9046-JS							False	False				House	House			
25123	KC-1531-YB	1700000	2011-03-10					False	False	30	3		House	House			1410
25124	XF-8845-CG	2950000	2017-11-04					False	False	18	3	2	House	House	2	4	1506
25125	FE-0483-HS							False	False	17	3		House	House			1696
25126	HV-3529-UT		2016-04-27					False	False	8	46	2	House	House	2	3	2624
25127	SN-9642-BN	2500000	2006-07-15					False	False	2	37	3	House	House	3	5	1391
25128	TQ-3007-AR	835000	1994-05-05					False	False	10	1	3	House	House	6	5	2180
25129	RB-6739-CT							False	False				House	House			
25130	RE-8388-TM							False	False	12	1	2	House	House	3	6	
25131	WU-1119-GJ	2660000	2015-10-22					False	False	6	37	3		Other Residential	3	5	1620
25132	FH-7455-AW	712000	1997-03-14					False	False	9	46		House	House			2846
25133	WI-0186-IM	1275000	2006-08-25	karen rush real estate	790	2010	35	True	False	5	37	1	House	House	1	4	1615
25134	DY-7310-EA	1300000	1997-05-12					False	False	10	46		House	House			2850
25135	PV-7288-PV	819000	2001-06-23					False	False	4	37		House	House		3	1744
25136	BY-9731-QC	615000	1993-02-08					False	False	11	46		House	House			2850
25137	FA-4798-RO	1385000	2002-11-27					False	False	3	37	0	House	House	3	5	1553
25138	MP-9725-FG	3710000	2015-05-28					False	False	12	46	3	House	House	6	7	2892
