StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
26464	XV-1878-XW	1475000	2014-03-06	Luton Properties - Manuka	1000	2016	669	True	False	5	3	1	House	House	2	3	1104
26465	TH-4854-CN	410000	1995-12-22					False	False	4	3		House	House			1015
26466	TO-3026-NM							False	False				House	House			
26467	TV-7480-VJ							False	False				House	House			
26468	RK-0778-QI	1450000	2017-03-01					False	False	1	3	2	House	House	2	4	1083
26469	HL-5668-JC							False	False				Unit	Unit			
26470	WV-9376-DX							False	False	3	61		House	House			924
26471	WI-5061-NB			LJ Hooker Belconnen	670	2020	309	False	False			2	House	House	1	3	
26472	XI-1817-YU	11375000	2013-06-14					False	False	15	42		Commercial	Leisure			
26473	RO-8395-TY		2013-10-03					False	False			2	House	House	2	4	
26474	KK-5297-FH	950000	2011-12-09	Maloney's the Estate Agent	1240	2013	20	True	False	3	60	1	House	House	1	4	1058
26475	VG-6630-JZ							False	False	2	60		House	House			
26476	UN-5955-SQ	2800000	2016-12-18					False	False	1	60		House	House			1162
26477	LH-9112-WR							False	False				House	House			
26478	CM-7324-SK	635000	2011-06-10					False	False	29	65		Unit	Unit			
26479	DK-8726-AA	781000	2017-02-11					False	False	28	65		Unit	Unit			
26480	WQ-2581-UB							False	False				House	House			
26481	UL-3705-UR	820000	2007-11-10					False	False	24	65		House	House			825
26482	BG-9768-PQ	942000	2014-11-22	Belle Property Kingston	750	2017	3	True	False	23	65	1	House	House	1	3	833
26483	ZH-1344-LE	455000	2000-12-02					False	False	22	65	0	House	House	2	5	830
26484	BN-8182-NI	1700000	2019-11-23					False	False			3	House	House	2	4	907
26485	CN-2905-YP			PURNELL	550	2015	119	False	False			1	Unit	Duplex	1	3	
26486	TF-6103-GJ							False	False				Unit	Unit			
26487	BN-2566-TU	781000	2017-02-11					False	False	28	65	0	House	House	2	3	
26488	FA-0332-TY	781000	2017-02-11					False	False			2	House	Townhouse	1	3	446
26489	FM-4934-XM							False	False			0	House	Townhouse	2	3	
26490	HZ-3769-OJ							False	False	27	65		House	House			948
