StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
30426	2020-02-05T19:29:12.873	High	290000	340000	390000	480	0.0555	Unknown	Unknown
30427								Unknown	Unknown
30428	2020-02-05T19:29:12.873	High	290000	340000	390000	480	0.0555	Unknown	Unknown
30429						770	0.0271	Unknown	Unknown
30430	2020-02-05T19:29:12.873	Medium	620000	725000	830000	685		Unknown	Unknown
30431	2019-10-18T12:32:42.017	Medium	510000	595000	680000	770	0.0271	Unknown	Unknown
30432	2020-02-05T19:29:12.873	High	290000	340000	390000	480	0.0555	Unknown	Unknown
30433						770	0.0271	Unknown	Unknown
30434								Unknown	Unknown
30436	2020-02-05T19:29:12.873	High	290000	340000	390000	480	0.0555	Unknown	Unknown
30437	2020-01-22T10:30:07.47	Medium	630000	735000	840000	685		Unknown	Unknown
30438						770	0.0271	Unknown	Unknown
30439	2020-01-22T10:30:07.47	Medium	630000	735000	840000	685		Unknown	Unknown
30440	2020-01-22T10:30:07.47	Medium	630000	735000	840000	685		Unknown	Unknown
30441						770	0.0271	Unknown	Unknown
30442	2020-02-05T19:29:12.873	Medium	620000	715000	810000	685		Unknown	Unknown
30443	2020-01-22T10:30:07.47	Medium	640000	745000	850000	685		Unknown	Unknown
