StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
30445	JO-9836-VH	910000	2003-08-01					False	False	3	19		Unit	Unit			
30446	SW-1278-UK	1235000	2018-03-24					False	False			2	House	Townhouse	2	4	1349
30447	QC-6268-NP							False	False				House	House			
30448	XI-3176-UX	420000	1999-08-19					False	False	2	19		House	House		3	1349
30449	HX-6178-JQ	970000	2002-02-09					False	False	3	19		House	House			1116
30450	AK-4344-LN	740000	2002-10-18					False	False	2	19		Unit	Unit			
30451	SV-5183-WJ							False	False	1	20		House	House			1259
30452	VO-4757-LZ	1375000	2012-12-12					False	False	2	20	2	House	House	3	4	1189
30453	TZ-0137-XQ	700000	1999-06-18					False	False	2	17		House	House			1946
30454	ZF-9322-AQ							False	False				House	House			
30455	FL-1293-OT	1210000	2015-09-19					False	False	8	36	2	House	House	2	4	1370
30456	BT-6618-SM	325000	1999-05-12	Peter Blackshaw Real Estate Manuka	975	2017	50	True	False	4	36	2	House	House	2	4	904
30457	AH-7909-LX							False	False	12	36		House	House			877
30458	JJ-8036-JM	1400000	2019-09-07	Maureen Dwyer Property Consultant	975	2018	33	False	False	5	36	2	House	House	2	3	1042
30459	HF-4247-FM	1870000	2018-08-25	Peter Blackshaw Manuka	1100	2019	290	True	False	11	36	2	House	House	3	4	848
30460	VZ-3156-ZM	980000	2014-09-06		820	2018		True	False	6	36	2	House	House	2	3	840
30461	AE-8631-OX							False	False	10	36		House	House			1204
30462	UG-3637-FW	955000	2008-09-01					False	False	7	36	2	House	House	3	6	996
30463	JK-0280-UK	925000	2007-03-24	LJ Hooker Canberra City	0	2019	107	True	False	9	36	2	House	House	2	4	1088
30464	HR-7865-EA							False	False			6	House	House	3	4	
30465	NN-3459-MM	1030000	1997-05-13					False	False	7	1		House	House			3823
30466	NG-9522-OV							False	False				House	House			
30467	CM-4701-KN	1595000	2016-01-11	Berkely Residential	2650	2012		False	False	5	1	4	House	House	7	6	5508
30468	HW-9719-WI	1403000	2017-05-15					False	False	3	27	4	House	House	2	4	997
30469	DY-3373-JF	920000	2011-08-24					False	False	5	28	4	House	House	2	4	685
30470	QY-8181-RU	855000	2015-09-16					False	False	6	28	1	House	House	2	4	685
30471	JG-7080-KT	855000	2015-04-15					False	False	7	28	1	House	House	2	4	796
30472	IY-9774-EI							False	False				House	House			
30473	XR-1803-ED							False	False				House	House			
30474	LS-8006-HP	1550000	2017-02-17	First National Capital	495	2008	49	False	False	9	28	2	House	House	3	5	727
30475	OU-1250-KR							False	False				House	House			
30477	BI-8550-KE	93750	1994-10-14					False	False	10	28	1	House	House	1	3	684
30479	YK-0585-NZ	750000	2003-05-13					False	False	11	28	2	House	House	2	4	693
30480	JM-4904-UM							False	False				House	House			
30481	XV-6682-TM	1170000	2019-10-19					False	False	12	28	2	House	House	2	4	714
30482	CQ-2941-QG	960000	2017-04-29					False	False	13	28	1	House	House	2	4	751
30483	SJ-8668-BI							False	False				House	House			
30484	TX-2300-PC	275000	1999-06-29					False	False	2	27		Unit	Unit			930
30485	JM-4904-UM							False	False				House	House			
30486	SW-7101-KV	1100000	2017-03-23					False	False	2	28	2	House	House	2	3	677
30487	QV-1277-FT	1355000	2019-08-10					False	False	1	27	2	House	House	2	4	961
30488	CC-5340-QF	950000	2011-03-11					False	False	3	28	2	House	House	2	4	707
30490	QT-3744-TM							False	False				House	House			
30491	UV-6939-HN							False	False				House	House			
30492	UF-3485-TF	398000	1998-08-27					False	False	46	31		House	House			1293
