StreetAddressID	POI	Distance
31973	City GPO	1.0
31973	Major Shopping Centre - Canberra Centre	4.5
31973	Hospital - The Canberra Hospital	5.7
31973	Primary School - Telopea Primary School, Barton	1.8
31973	High School - Telopea High School, Barton	1.8
31973	College - St Clare's College	0.9
31973	University - Australian National University	5.3
31974	City GPO	1.0
31974	Major Shopping Centre - Canberra Centre	4.5
31974	Hospital - The Canberra Hospital	5.7
31974	Primary School - Telopea Primary School, Barton	1.8
31974	High School - Telopea High School, Barton	1.8
31974	College - St Clare's College	0.9
31974	University - Australian National University	5.2
31975	City GPO	1.0
31975	Major Shopping Centre - Canberra Centre	4.5
31975	Hospital - The Canberra Hospital	5.7
31975	Primary School - Telopea Primary School, Barton	1.8
31975	High School - Telopea High School, Barton	1.8
31975	College - St Clare's College	0.9
31975	University - Australian National University	5.2
31976	City GPO	1.0
31976	Major Shopping Centre - Canberra Centre	4.5
31976	Hospital - The Canberra Hospital	5.7
31976	Primary School - Telopea Primary School, Barton	1.8
31976	High School - Telopea High School, Barton	1.8
31976	College - St Clare's College	1.0
31976	University - Australian National University	5.2
31977	City GPO	1.0
31977	Major Shopping Centre - Canberra Centre	4.5
31977	Hospital - The Canberra Hospital	5.8
31977	Primary School - Telopea Primary School, Barton	1.8
31977	High School - Telopea High School, Barton	1.8
31977	College - St Clare's College	1.0
31977	University - Australian National University	5.2
31978	City GPO	1.1
31978	Major Shopping Centre - Canberra Centre	4.6
31978	Hospital - The Canberra Hospital	5.7
31978	Primary School - Telopea Primary School, Barton	1.8
31978	High School - Telopea High School, Barton	1.8
31978	College - St Clare's College	0.8
31978	University - Australian National University	5.3
31979	City GPO	1.0
31979	Major Shopping Centre - Canberra Centre	4.5
31979	Hospital - The Canberra Hospital	5.8
31979	Primary School - Telopea Primary School, Barton	1.8
31979	High School - Telopea High School, Barton	1.8
31979	College - St Clare's College	1.0
31979	University - Australian National University	5.2
31980	City GPO	1.0
31980	Major Shopping Centre - Canberra Centre	4.5
31980	Hospital - The Canberra Hospital	5.8
31980	Primary School - Telopea Primary School, Barton	1.8
31980	High School - Telopea High School, Barton	1.8
31980	College - St Clare's College	1.0
31980	University - Australian National University	5.2
31981	City GPO	1.0
31981	Major Shopping Centre - Canberra Centre	4.4
31981	Hospital - The Canberra Hospital	5.8
31981	Primary School - Telopea Primary School, Barton	1.8
31981	High School - Telopea High School, Barton	1.8
31981	College - St Clare's College	1.0
31981	University - Australian National University	5.2
31982	City GPO	1.0
31982	Major Shopping Centre - Canberra Centre	4.4
31982	Hospital - The Canberra Hospital	5.8
31982	Primary School - Telopea Primary School, Barton	1.8
31982	High School - Telopea High School, Barton	1.8
31982	College - St Clare's College	1.0
31982	University - Australian National University	5.2
31983	City GPO	1.0
31983	Major Shopping Centre - Canberra Centre	4.6
31983	Hospital - The Canberra Hospital	5.6
31983	Primary School - Telopea Primary School, Barton	1.8
31983	High School - Telopea High School, Barton	1.8
31983	College - St Clare's College	0.8
31983	University - Australian National University	5.3
31984	City GPO	1.1
31984	Major Shopping Centre - Canberra Centre	4.4
31984	Hospital - The Canberra Hospital	5.8
31984	Primary School - Telopea Primary School, Barton	1.8
31984	High School - Telopea High School, Barton	1.8
31984	College - St Clare's College	1.1
31984	University - Australian National University	5.2
31985	City GPO	1.1
31985	Major Shopping Centre - Canberra Centre	4.4
31985	Hospital - The Canberra Hospital	5.8
31985	Primary School - Telopea Primary School, Barton	1.8
31985	High School - Telopea High School, Barton	1.8
31985	College - St Clare's College	1.1
31985	University - Australian National University	5.1
31986	City GPO	1.1
31986	Major Shopping Centre - Canberra Centre	4.4
31986	Hospital - The Canberra Hospital	5.8
31986	Primary School - Telopea Primary School, Barton	1.8
31986	High School - Telopea High School, Barton	1.8
31986	College - St Clare's College	1.1
31986	University - Australian National University	5.1
31987	City GPO	1.1
31987	Major Shopping Centre - Canberra Centre	4.4
31987	Hospital - The Canberra Hospital	5.9
31987	Primary School - Telopea Primary School, Barton	1.8
31987	High School - Telopea High School, Barton	1.8
31987	College - St Clare's College	1.1
31987	University - Australian National University	5.1
31988	City GPO	1.1
31988	Major Shopping Centre - Canberra Centre	4.4
31988	Hospital - The Canberra Hospital	5.9
31988	Primary School - Telopea Primary School, Barton	1.8
31988	High School - Telopea High School, Barton	1.8
31988	College - St Clare's College	1.1
31988	University - Australian National University	5.1
31989	City GPO	1.1
31989	Major Shopping Centre - Canberra Centre	4.6
31989	Hospital - The Canberra Hospital	5.7
31989	Primary School - Telopea Primary School, Barton	1.8
31989	High School - Telopea High School, Barton	1.8
31989	College - St Clare's College	0.9
31989	University - Australian National University	5.3
31990	City GPO	1.1
31990	Major Shopping Centre - Canberra Centre	4.3
31990	Hospital - The Canberra Hospital	5.9
31990	Primary School - Telopea Primary School, Barton	1.8
31990	High School - Telopea High School, Barton	1.8
31990	College - St Clare's College	1.1
31990	University - Australian National University	5.1
31991	City GPO	1.1
31991	Major Shopping Centre - Canberra Centre	4.3
31991	Hospital - The Canberra Hospital	5.9
31991	Primary School - Telopea Primary School, Barton	1.8
31991	High School - Telopea High School, Barton	1.8
31991	College - St Clare's College	1.1
31991	University - Australian National University	5.1
31992	City GPO	1.0
31992	Major Shopping Centre - Canberra Centre	4.5
31992	Hospital - The Canberra Hospital	5.7
31992	Primary School - Telopea Primary School, Barton	1.8
31992	High School - Telopea High School, Barton	1.8
31992	College - St Clare's College	0.9
31992	University - Australian National University	5.3
31993	City GPO	1.1
31993	Major Shopping Centre - Canberra Centre	4.6
31993	Hospital - The Canberra Hospital	5.7
31993	Primary School - Telopea Primary School, Barton	1.8
31993	High School - Telopea High School, Barton	1.8
31993	College - St Clare's College	0.9
31993	University - Australian National University	5.3
31994	City GPO	1.0
31994	Major Shopping Centre - Canberra Centre	4.5
31994	Hospital - The Canberra Hospital	5.7
31994	Primary School - Telopea Primary School, Barton	1.8
31994	High School - Telopea High School, Barton	1.8
31994	College - St Clare's College	0.9
31994	University - Australian National University	5.2
31995	City GPO	1.1
31995	Major Shopping Centre - Canberra Centre	4.6
31995	Hospital - The Canberra Hospital	5.7
31995	Primary School - Telopea Primary School, Barton	1.8
31995	High School - Telopea High School, Barton	1.8
31995	College - St Clare's College	0.9
31995	University - Australian National University	5.3
31996	City GPO	1.0
31996	Major Shopping Centre - Canberra Centre	4.5
31996	Hospital - The Canberra Hospital	5.7
31996	Primary School - Telopea Primary School, Barton	1.8
31996	High School - Telopea High School, Barton	1.8
31996	College - St Clare's College	0.9
31996	University - Australian National University	5.2
31997	City GPO	1.0
31997	Major Shopping Centre - Canberra Centre	4.5
31997	Hospital - The Canberra Hospital	5.7
31997	Primary School - Telopea Primary School, Barton	1.8
31997	High School - Telopea High School, Barton	1.8
31997	College - St Clare's College	0.9
31997	University - Australian National University	5.2
31998	City GPO	1.0
31998	Major Shopping Centre - Canberra Centre	4.5
31998	Hospital - The Canberra Hospital	5.7
31998	Primary School - Telopea Primary School, Barton	1.8
31998	High School - Telopea High School, Barton	1.8
31998	College - St Clare's College	0.9
31998	University - Australian National University	5.2
31999	City GPO	0.7
31999	Major Shopping Centre - Canberra Centre	4.7
31999	Hospital - The Canberra Hospital	5.0
31999	Primary School - Telopea Primary School, Barton	1.4
31999	High School - Telopea High School, Barton	1.4
31999	College - St Edmund's College	0.3
31999	University - Australian National University	5.2
32000	City GPO	0.7
32000	Major Shopping Centre - Canberra Centre	4.7
32000	Hospital - The Canberra Hospital	5.0
32000	Primary School - Telopea Primary School, Barton	1.4
32000	High School - Telopea High School, Barton	1.4
32000	College - St Edmund's College	0.3
32000	University - Australian National University	5.2
32001	City GPO	0.6
32001	Major Shopping Centre - Canberra Centre	4.6
32001	Hospital - The Canberra Hospital	5.0
32001	Primary School - Telopea Primary School, Barton	1.3
32001	High School - Telopea High School, Barton	1.3
32001	College - St Edmund's College	0.3
32001	University - Australian National University	5.1
32002	City GPO	0.6
32002	Major Shopping Centre - Canberra Centre	4.6
32002	Hospital - The Canberra Hospital	5.0
32002	Primary School - Telopea Primary School, Barton	1.3
32002	High School - Telopea High School, Barton	1.3
32002	College - St Edmund's College	0.3
32002	University - Australian National University	5.1
32003	City GPO	0.6
32003	Major Shopping Centre - Canberra Centre	4.6
32003	Hospital - The Canberra Hospital	5.0
32003	Primary School - Telopea Primary School, Barton	1.3
32003	High School - Telopea High School, Barton	1.3
32003	College - St Edmund's College	0.3
32003	University - Australian National University	5.1
32004	City GPO	0.6
32004	Major Shopping Centre - Canberra Centre	4.6
32004	Hospital - The Canberra Hospital	5.0
32004	Primary School - Telopea Primary School, Barton	1.3
32004	High School - Telopea High School, Barton	1.3
32004	College - St Edmund's College	0.3
32004	University - Australian National University	5.1
32005	City GPO	0.6
32005	Major Shopping Centre - Canberra Centre	4.6
32005	Hospital - The Canberra Hospital	5.0
32005	Primary School - Telopea Primary School, Barton	1.3
32005	High School - Telopea High School, Barton	1.3
32005	College - St Edmund's College	0.3
32005	University - Australian National University	5.1
32006	City GPO	0.6
32006	Major Shopping Centre - Canberra Centre	4.6
32006	Hospital - The Canberra Hospital	5.0
32006	Primary School - Telopea Primary School, Barton	1.3
32006	High School - Telopea High School, Barton	1.3
32006	College - St Edmund's College	0.3
32006	University - Australian National University	5.1
32007	City GPO	0.6
32007	Major Shopping Centre - Canberra Centre	4.6
32007	Hospital - The Canberra Hospital	5.0
32007	Primary School - Telopea Primary School, Barton	1.3
32007	High School - Telopea High School, Barton	1.3
32007	College - St Edmund's College	0.3
32007	University - Australian National University	5.1
32008	City GPO	0.6
32008	Major Shopping Centre - Canberra Centre	4.6
32008	Hospital - The Canberra Hospital	5.0
32008	Primary School - Telopea Primary School, Barton	1.3
32008	High School - Telopea High School, Barton	1.3
32008	College - St Edmund's College	0.3
32008	University - Australian National University	5.1
32009	City GPO	0.6
32009	Major Shopping Centre - Canberra Centre	4.6
