StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
31997	Sale		IPG Inner North	2014-04-15T00:00:00	394800.0	PRIVATE TREATY	53.0
31998	Rental	23819	Manage Me - Property Sales	2019-12-12T00:00:00	0.0	PER WEEK	28.0
31998	Rental	23819	Manage Me - Property Sales	2019-01-17T00:00:00	495.0	PER WEEK	7.0
31998	Rental	21130	Impact Property Management	2017-12-13T00:00:00	450.0	PER WEEK	41.0
31998	Rental	21130	Pinnacle Real Estate Agency	2015-07-08T00:00:00	450.0	PER WEEK	12.0
31998	Sale	20010	Peter Blackshaw Real Estate Manuka	2013-07-12T00:00:00	429000.0	Listed - not sold	201.0
31998	Sale	11155	Luton Properties - Weston Creek and Molonglo Valley	2011-12-20T00:00:00	425000.0	PRIVATE TREATY	193.0
31998	Sale	2005-10-14T00:00:00	299950	PRIVATE TREATY			
32000	Rental	17473	Ray White Canberra	2019-12-05T00:00:00	460.0	PER WEEK	2.0
32000	Rental	17473	Ray White Canberra	2019-01-02T00:00:00	410.0	PER WEEK	29.0
32000	Rental	17473	Ray White Canberra	2016-11-23T00:00:00	400.0	PER WEEK	43.0
32000	Sale	2005-11-14T00:00:00	299950	PRIVATE TREATY			
32002	Rental		Luton Properties - Manuka	2019-10-14T00:00:00	550.0	PER WEEK	17.0
32002	Sale	21655	Independent Inner North & City	2019-09-02T00:00:00	580000.0	PRIVATE TREATY	102.0
32002	Rental		Peter Blackshaw Manuka	2014-02-12T00:00:00	550.0	PER WEEK	6.0
32002	Sale	2008-10-16T00:00:00	413000	PRIVATE TREATY			
32002	Sale	2005-08-25T00:00:00	390000	PRIVATE TREATY			
32003	Sale	2018-09-13T00:00:00	595000	PRIVATE TREATY			
32004	Sale	2018-10-24T00:00:00	605000	PRIVATE TREATY			
32005	Rental	5795	Maloney's the Estate Agent	2019-07-26T00:00:00	475.0	PER WEEK	5.0
32005	Sale	21939	Independent Woden	2016-10-21T00:00:00	392500.0	PRIVATE TREATY	15.0
32005	Sale	2005-09-09T00:00:00	320000	PRIVATE TREATY			
32006	Sale	2019-11-20T00:00:00	590000	PRIVATE TREATY			
32007	Sale	30287	Peter Blackshaw City & Inner North	2019-04-26T00:00:00	580000.0	PRIVATE TREATY	56.0
32008	Rental	31462	Peter Blackshaw Canberra City Rentals	2019-10-04T00:00:00	0.0	PER WEEK	7.0
32008	Rental	20010	Peter Blackshaw Real Estate Manuka	2017-07-26T00:00:00	580.0	PER WEEK	50.0
32008	Sale	2006-02-17T00:00:00	435000	PRIVATE TREATY			
32009	Sale	2006-10-04T00:00:00	405000	PRIVATE TREATY			
32010	Sale	27223	inStyle Estate Agents	2019-12-07T00:00:00	610000.0	PRIVATE TREATY	18.0
32010	Sale	2006-03-07T00:00:00	425000	PRIVATE TREATY			
32011	Sale		LJH Tuggeranong	2010-07-17T00:00:00	512000.0	PRIVATE TREATY	27.0
32011	Sale	2006-06-15T00:00:00	440000	PRIVATE TREATY			
32012	Sale	17473	Ray White Canberra	2017-11-03T00:00:00	510000.0	PRIVATE TREATY	42.0
32012	Rental	17473	Ray White Canberra	2016-09-14T00:00:00	510.0	PER WEEK	56.0
32012	Rental	1570	Elders Real Estate Belconnen	2010-02-01T00:00:00	520.0	PER WEEK	1.0
32012	Sale	2009-12-11T00:00:00	485000	PRIVATE TREATY			
32012	Sale	2006-03-16T00:00:00	425000	PRIVATE TREATY			
32013	Sale	22965	PURNELL	2018-01-15T00:00:00		PRIVATE TREATY	25.0
32013	Sale	5795	Maloney's the Estate Agent	2013-02-21T00:00:00	609000.0	Listed - not sold	49.0
32013	Sale	2008-04-24T00:00:00	530000	PRIVATE TREATY	16.0		
32013	Sale	2005-03-31T00:00:00	420000	PRIVATE TREATY			
32014	Rental	22965	PURNELL	2016-09-07T00:00:00	570.0	PER WEEK	28.0
32014	Sale	2006-03-15T00:00:00	425000	PRIVATE TREATY			
32015	Rental	25465	Independent Property Management	2019-11-29T00:00:00	0.0	PER WEEK	9.0
