StreetAddressID	POI	Distance
36877	City GPO	2.2
36877	Major Shopping Centre - Canberra Centre	6.1
36877	Hospital - The Canberra Hospital	5.0
36877	Primary School - St Benedict's Primary School	0.6
36877	High School - Telopea High School, Barton	2.7
36877	College - Narrabundah College	0.8
36877	University - Australian National University	6.7
36878	City GPO	2.2
36878	Major Shopping Centre - Canberra Centre	6.1
36878	Hospital - The Canberra Hospital	5.1
36878	Primary School - St Benedict's Primary School	0.7
36878	High School - Telopea High School, Barton	2.8
36878	College - Narrabundah College	0.9
36878	University - Australian National University	6.7
36879	City GPO	2.2
36879	Major Shopping Centre - Canberra Centre	6.1
36879	Hospital - The Canberra Hospital	5.1
36879	Primary School - St Benedict's Primary School	0.7
36879	High School - Telopea High School, Barton	2.8
36879	College - Narrabundah College	0.9
36879	University - Australian National University	6.7
36880	City GPO	2.1
36880	Major Shopping Centre - Canberra Centre	6.0
36880	Hospital - The Canberra Hospital	5.1
36880	Primary School - St Benedict's Primary School	0.7
36880	High School - Telopea High School, Barton	2.7
36880	College - Narrabundah College	0.9
36880	University - Australian National University	6.6
36881	City GPO	2.2
36881	Major Shopping Centre - Canberra Centre	6.1
36881	Hospital - The Canberra Hospital	5.2
36881	Primary School - St Benedict's Primary School	0.7
36881	High School - Telopea High School, Barton	2.8
36881	College - Narrabundah College	0.9
36881	University - Australian National University	6.7
36882	City GPO	2.1
36882	Major Shopping Centre - Canberra Centre	6.0
36882	Hospital - The Canberra Hospital	5.1
36882	Primary School - St Benedict's Primary School	0.7
36882	High School - Telopea High School, Barton	2.7
36882	College - Narrabundah College	0.9
36882	University - Australian National University	6.6
36883	City GPO	2.2
36883	Major Shopping Centre - Canberra Centre	6.1
36883	Hospital - The Canberra Hospital	5.2
36883	Primary School - St Benedict's Primary School	0.8
36883	High School - Telopea High School, Barton	2.8
36883	College - Narrabundah College	0.9
36883	University - Australian National University	6.7
36884	City GPO	2.1
36884	Major Shopping Centre - Canberra Centre	6.0
36884	Hospital - The Canberra Hospital	5.1
36884	Primary School - St Benedict's Primary School	0.7
36884	High School - Telopea High School, Barton	2.7
36884	College - Narrabundah College	0.9
36884	University - Australian National University	6.6
36885	City GPO	2.2
36885	Major Shopping Centre - Canberra Centre	6.0
36885	Hospital - The Canberra Hospital	5.2
36885	Primary School - St Benedict's Primary School	0.8
36885	High School - Telopea High School, Barton	2.8
36885	College - Narrabundah College	0.9
36885	University - Australian National University	6.6
36886	City GPO	2.1
36886	Major Shopping Centre - Canberra Centre	6.0
36886	Hospital - The Canberra Hospital	5.1
36886	Primary School - St Benedict's Primary School	0.7
36886	High School - Telopea High School, Barton	2.7
36886	College - Narrabundah College	0.9
36886	University - Australian National University	6.6
36887	City GPO	2.2
36887	Major Shopping Centre - Canberra Centre	6.1
36887	Hospital - The Canberra Hospital	5.1
36887	Primary School - St Benedict's Primary School	0.7
36887	High School - Telopea High School, Barton	2.8
36887	College - Narrabundah College	0.8
36887	University - Australian National University	6.7
36888	City GPO	2.1
36888	Major Shopping Centre - Canberra Centre	6.0
36888	Hospital - The Canberra Hospital	5.2
36888	Primary School - St Benedict's Primary School	0.8
36888	High School - Telopea High School, Barton	2.8
36888	College - Narrabundah College	0.9
36888	University - Australian National University	6.6
36889	City GPO	2.1
36889	Major Shopping Centre - Canberra Centre	6.0
36889	Hospital - The Canberra Hospital	5.1
36889	Primary School - St Benedict's Primary School	0.7
36889	High School - Telopea High School, Barton	2.7
36889	College - Narrabundah College	0.9
36889	University - Australian National University	6.6
36890	City GPO	2.1
36890	Major Shopping Centre - Canberra Centre	6.0
36890	Hospital - The Canberra Hospital	5.2
36890	Primary School - St Benedict's Primary School	0.8
36890	High School - Telopea High School, Barton	2.7
36890	College - Narrabundah College	0.9
36890	University - Australian National University	6.6
36891	City GPO	2.1
36891	Major Shopping Centre - Canberra Centre	6.0
36891	Hospital - The Canberra Hospital	5.1
36891	Primary School - St Benedict's Primary School	0.7
36891	High School - Telopea High School, Barton	2.7
36891	College - Narrabundah College	0.8
36891	University - Australian National University	6.6
36892	City GPO	2.1
36892	Major Shopping Centre - Canberra Centre	6.0
36892	Hospital - The Canberra Hospital	5.2
36892	Primary School - St Benedict's Primary School	0.8
36892	High School - Telopea High School, Barton	2.7
36892	College - Narrabundah College	0.9
36892	University - Australian National University	6.6
36893	City GPO	2.1
36893	Major Shopping Centre - Canberra Centre	6.0
36893	Hospital - The Canberra Hospital	5.1
36893	Primary School - St Benedict's Primary School	0.7
36893	High School - Telopea High School, Barton	2.7
36893	College - Narrabundah College	0.8
36893	University - Australian National University	6.6
36894	City GPO	2.1
36894	Major Shopping Centre - Canberra Centre	6.0
36894	Hospital - The Canberra Hospital	5.1
36894	Primary School - St Benedict's Primary School	0.7
36894	High School - Telopea High School, Barton	2.7
36894	College - Narrabundah College	0.8
36894	University - Australian National University	6.6
36895	City GPO	2.1
36895	Major Shopping Centre - Canberra Centre	6.0
36895	Hospital - The Canberra Hospital	5.2
36895	Primary School - St Benedict's Primary School	0.8
36895	High School - Telopea High School, Barton	2.7
36895	College - Narrabundah College	0.9
36895	University - Australian National University	6.6
36896	City GPO	2.1
36896	Major Shopping Centre - Canberra Centre	6.0
36896	Hospital - The Canberra Hospital	5.1
36896	Primary School - St Benedict's Primary School	0.7
36896	High School - Telopea High School, Barton	2.7
36896	College - Narrabundah College	0.8
36896	University - Australian National University	6.6
36897	City GPO	2.2
36897	Major Shopping Centre - Canberra Centre	6.1
36897	Hospital - The Canberra Hospital	5.1
36897	Primary School - St Benedict's Primary School	0.7
36897	High School - Telopea High School, Barton	2.8
36897	College - Narrabundah College	0.8
36897	University - Australian National University	6.7
36898	City GPO	2.2
36898	Major Shopping Centre - Canberra Centre	6.1
36898	Hospital - The Canberra Hospital	5.1
36898	Primary School - St Benedict's Primary School	0.6
36898	High School - Telopea High School, Barton	2.7
36898	College - Narrabundah College	0.8
36898	University - Australian National University	6.7
36899	City GPO	2.1
36899	Major Shopping Centre - Canberra Centre	6.0
36899	Hospital - The Canberra Hospital	5.1
36899	Primary School - St Benedict's Primary School	0.8
36899	High School - Telopea High School, Barton	2.7
36899	College - Narrabundah College	0.9
36899	University - Australian National University	6.5
36900	City GPO	2.1
36900	Major Shopping Centre - Canberra Centre	6.0
36900	Hospital - The Canberra Hospital	5.0
36900	Primary School - St Benedict's Primary School	0.6
36900	High School - Telopea High School, Barton	2.7
36900	College - Narrabundah College	0.8
36900	University - Australian National University	6.6
36901	City GPO	2.0
36901	Major Shopping Centre - Canberra Centre	5.9
36901	Hospital - The Canberra Hospital	5.1
36901	Primary School - St Benedict's Primary School	0.8
36901	High School - Telopea High School, Barton	2.6
36901	College - Narrabundah College	0.9
36901	University - Australian National University	6.5
36902	City GPO	2.1
36902	Major Shopping Centre - Canberra Centre	6.1
36902	Hospital - The Canberra Hospital	5.0
36902	Primary School - St Benedict's Primary School	0.6
36902	High School - Telopea High School, Barton	2.7
36902	College - Narrabundah College	0.8
36902	University - Australian National University	6.6
36903	City GPO	2.0
36903	Major Shopping Centre - Canberra Centre	5.9
36903	Hospital - The Canberra Hospital	5.1
36903	Primary School - St Benedict's Primary School	0.7
36903	High School - Telopea High School, Barton	2.6
36903	College - Narrabundah College	0.9
36903	University - Australian National University	6.5
36904	City GPO	2.1
36904	Major Shopping Centre - Canberra Centre	6.1
36904	Hospital - The Canberra Hospital	5.0
36904	Primary School - St Benedict's Primary School	0.6
36904	High School - Telopea High School, Barton	2.7
36904	College - Narrabundah College	0.8
36904	University - Australian National University	6.6
36905	City GPO	2.0
36905	Major Shopping Centre - Canberra Centre	6.0
36905	Hospital - The Canberra Hospital	5.1
36905	Primary School - St Benedict's Primary School	0.7
36905	High School - Telopea High School, Barton	2.6
36905	College - Narrabundah College	0.9
36905	University - Australian National University	6.5
36906	City GPO	2.0
36906	Major Shopping Centre - Canberra Centre	6.0
36906	Hospital - The Canberra Hospital	5.1
36906	Primary School - St Benedict's Primary School	0.7
36906	High School - Telopea High School, Barton	2.6
36906	College - Narrabundah College	0.9
36906	University - Australian National University	6.5
36907	City GPO	2.2
36907	Major Shopping Centre - Canberra Centre	6.1
36907	Hospital - The Canberra Hospital	5.1
36907	Primary School - St Benedict's Primary School	0.7
36907	High School - Telopea High School, Barton	2.8
36907	College - Narrabundah College	0.8
36907	University - Australian National University	6.7
36908	City GPO	2.1
36908	Major Shopping Centre - Canberra Centre	6.0
36908	Hospital - The Canberra Hospital	5.1
36908	Primary School - St Benedict's Primary School	0.7
36908	High School - Telopea High School, Barton	2.7
36908	College - Narrabundah College	0.8
36908	University - Australian National University	6.6
36909	City GPO	2.1
36909	Major Shopping Centre - Canberra Centre	6.0
36909	Hospital - The Canberra Hospital	5.1
36909	Primary School - St Benedict's Primary School	0.7
36909	High School - Telopea High School, Barton	2.7
36909	College - Narrabundah College	0.8
36909	University - Australian National University	6.6
36910	City GPO	2.1
36910	Major Shopping Centre - Canberra Centre	6.0
36910	Hospital - The Canberra Hospital	5.0
36910	Primary School - St Benedict's Primary School	0.7
36910	High School - Telopea High School, Barton	2.7
36910	College - Narrabundah College	0.8
36910	University - Australian National University	6.6
36911	City GPO	2.1
36911	Major Shopping Centre - Canberra Centre	6.0
36911	Hospital - The Canberra Hospital	5.0
36911	Primary School - St Benedict's Primary School	0.6
36911	High School - Telopea High School, Barton	2.7
36911	College - Narrabundah College	0.8
36911	University - Australian National University	6.6
36912	City GPO	2.1
36912	Major Shopping Centre - Canberra Centre	6.0
36912	Hospital - The Canberra Hospital	5.0
36912	Primary School - St Benedict's Primary School	0.6
36912	High School - Telopea High School, Barton	2.7
36912	College - Narrabundah College	0.8
36912	University - Australian National University	6.6
36913	City GPO	2.1
36913	Major Shopping Centre - Canberra Centre	6.1
36913	Hospital - The Canberra Hospital	5.1
36913	Primary School - St Benedict's Primary School	0.7
36913	High School - Telopea High School, Barton	2.7
36913	College - Narrabundah College	0.8
36913	University - Australian National University	6.6
36914	City GPO	2.1
36914	Major Shopping Centre - Canberra Centre	6.0
36914	Hospital - The Canberra Hospital	5.0
36914	Primary School - St Benedict's Primary School	0.6
36914	High School - Telopea High School, Barton	2.7
36914	College - Narrabundah College	0.8
36914	University - Australian National University	6.6
36915	City GPO	2.1
36915	Major Shopping Centre - Canberra Centre	6.0
36915	Hospital - The Canberra Hospital	5.0
36915	Primary School - St Benedict's Primary School	0.6
36915	High School - Telopea High School, Barton	2.7
36915	College - Narrabundah College	0.7
36915	University - Australian National University	6.6
36916	City GPO	2.2
36916	Major Shopping Centre - Canberra Centre	6.1
36916	Hospital - The Canberra Hospital	5.1
36916	Primary School - St Benedict's Primary School	0.7
36916	High School - Telopea High School, Barton	2.8
36916	College - Narrabundah College	0.8
36916	University - Australian National University	6.7
36917	City GPO	2.2
36917	Major Shopping Centre - Canberra Centre	6.1
36917	Hospital - The Canberra Hospital	5.1
36917	Primary School - St Benedict's Primary School	0.7
36917	High School - Telopea High School, Barton	2.8
36917	College - Narrabundah College	0.8
36917	University - Australian National University	6.7
36918	City GPO	2.1
36918	Major Shopping Centre - Canberra Centre	6.1
36918	Hospital - The Canberra Hospital	5.1
36918	Primary School - St Benedict's Primary School	0.7
36918	High School - Telopea High School, Barton	2.7
36918	College - Narrabundah College	0.8
36918	University - Australian National University	6.6
36919	City GPO	2.2
36919	Major Shopping Centre - Canberra Centre	6.1
36919	Hospital - The Canberra Hospital	5.1
36919	Primary School - St Benedict's Primary School	0.7
36919	High School - Telopea High School, Barton	2.8
36919	College - Narrabundah College	0.8
36919	University - Australian National University	6.7
36920	City GPO	2.1
36920	Major Shopping Centre - Canberra Centre	6.1
36920	Hospital - The Canberra Hospital	5.1
36920	Primary School - St Benedict's Primary School	0.7
36920	High School - Telopea High School, Barton	2.7
36920	College - Narrabundah College	0.8
36920	University - Australian National University	6.6
36921	City GPO	2.4
36921	Major Shopping Centre - Canberra Centre	6.4
36921	Hospital - The Canberra Hospital	5.2
36921	Primary School - St Benedict's Primary School	0.7
36921	High School - Telopea High School, Barton	3.0
36921	College - Narrabundah College	0.9
36921	University - Australian National University	6.9
36922	City GPO	2.4
36922	Major Shopping Centre - Woden Plaza	6.4
36922	Hospital - The Canberra Hospital	5.1
36922	Primary School - St Benedict's Primary School	0.7
36922	High School - Telopea High School, Barton	3.1
36922	College - Narrabundah College	0.8
36922	University - Australian National University	7.1
36923	City GPO	2.4
36923	Major Shopping Centre - Canberra Centre	6.5
36923	Hospital - The Canberra Hospital	5.2
36923	Primary School - St Benedict's Primary School	0.8
36923	High School - Telopea High School, Barton	3.1
36923	College - Narrabundah College	0.9
36923	University - Australian National University	7.0
36924	City GPO	2.4
36924	Major Shopping Centre - Woden Plaza	6.4
36924	Hospital - The Canberra Hospital	5.1
36924	Primary School - St Benedict's Primary School	0.7
36924	High School - Telopea High School, Barton	3.1
36924	College - Narrabundah College	0.8
36924	University - Australian National University	7.1
36925	City GPO	2.4
36925	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.5
36925	Hospital - The Canberra Hospital	5.2
36925	Primary School - St Benedict's Primary School	0.8
36925	High School - Telopea High School, Barton	3.2
36925	College - Narrabundah College	0.9
36925	University - Australian National University	7.1
36926	City GPO	2.4
36926	Major Shopping Centre - Woden Plaza	6.4
36926	Hospital - The Canberra Hospital	5.1
36926	Primary School - St Benedict's Primary School	0.7
36926	High School - Telopea High School, Barton	3.2
36926	College - Narrabundah College	0.8
36926	University - Australian National University	7.1
36927	City GPO	2.4
36927	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.5
36927	Hospital - The Canberra Hospital	5.2
36927	Primary School - St Benedict's Primary School	0.8
36927	High School - Telopea High School, Barton	3.2
36927	College - Narrabundah College	0.9
36927	University - Australian National University	7.1
36928	City GPO	2.4
36928	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.5
36928	Hospital - The Canberra Hospital	5.2
36928	Primary School - St Benedict's Primary School	0.8
36928	High School - Telopea High School, Barton	3.2
36928	College - Narrabundah College	0.9
36928	University - Australian National University	7.1
36929	City GPO	2.4
36929	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.4
36929	Hospital - The Canberra Hospital	5.2
36929	Primary School - St Benedict's Primary School	0.8
36929	High School - Telopea High School, Barton	3.2
36929	College - Narrabundah College	0.9
36929	University - Australian National University	7.1
36930	City GPO	2.4
36930	Major Shopping Centre - Canberra Centre	6.4
36930	Hospital - The Canberra Hospital	5.1
36930	Primary School - St Benedict's Primary School	0.7
36930	High School - Telopea High School, Barton	3.0
36930	College - Narrabundah College	0.8
36930	University - Australian National University	7.0
36931	City GPO	2.4
36931	Major Shopping Centre - Canberra Centre	6.4
36931	Hospital - The Canberra Hospital	5.2
36931	Primary School - St Benedict's Primary School	0.8
36931	High School - Telopea High School, Barton	3.1
36931	College - Narrabundah College	0.9
36931	University - Australian National University	7.0
36932	City GPO	2.4
36932	Major Shopping Centre - Canberra Centre	6.4
36932	Hospital - The Canberra Hospital	5.1
36932	Primary School - St Benedict's Primary School	0.7
36932	High School - Telopea High School, Barton	3.1
36932	College - Narrabundah College	0.8
36932	University - Australian National University	7.0
36933	City GPO	2.4
36933	Major Shopping Centre - Canberra Centre	6.4
36933	Hospital - The Canberra Hospital	5.2
36933	Primary School - St Benedict's Primary School	0.8
36933	High School - Telopea High School, Barton	3.1
36933	College - Narrabundah College	0.9
36933	University - Australian National University	7.0
36934	City GPO	2.4
36934	Major Shopping Centre - Canberra Centre	6.4
36934	Hospital - The Canberra Hospital	5.1
36934	Primary School - St Benedict's Primary School	0.7
36934	High School - Telopea High School, Barton	3.1
36934	College - Narrabundah College	0.8
36934	University - Australian National University	7.0
36935	City GPO	2.4
36935	Major Shopping Centre - Canberra Centre	6.4
36935	Hospital - The Canberra Hospital	5.2
36935	Primary School - St Benedict's Primary School	0.8
36935	High School - Telopea High School, Barton	3.1
36935	College - Narrabundah College	0.9
36935	University - Australian National University	7.0
36936	City GPO	2.4
36936	Major Shopping Centre - Canberra Centre	6.4
36936	Hospital - The Canberra Hospital	5.1
36936	Primary School - St Benedict's Primary School	0.7
