StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
36879	Sale		LJH Manuka	2004-07-10T00:00:00	449000.0	Listed - not sold	14.0
36879	Sale	1992-01-16T00:00:00	148000	PRIVATE TREATY			
36881	Sale	2013-04-10T00:00:00	449999	PRIVATE TREATY			
36881	Sale	1998-08-28T00:00:00	118000	PRIVATE TREATY			
36881	Sale	1992-01-15T00:00:00	92000	PRIVATE TREATY			
36883	Sale	2001-10-31T00:00:00	255000	PRIVATE TREATY			
36883	Sale	1999-03-02T00:00:00	196000	PRIVATE TREATY			
36883	Sale	1994-02-14T00:00:00	159500	PRIVATE TREATY			
36883	Sale	1992-08-04T00:00:00	167000	PRIVATE TREATY			
36885	Sale	2002-07-08T00:00:00	300000	PRIVATE TREATY			
36886	Sale	2000-06-28T00:00:00	125000	PRIVATE TREATY			
36887	Sale	1992-08-05T00:00:00	175000	PRIVATE TREATY			
36888	Sale	1998-11-17T00:00:00	160000	PRIVATE TREATY			
36890	Sale	2001-08-14T00:00:00	160000	PRIVATE TREATY			
36890	Sale	1994-08-26T00:00:00	110000	PRIVATE TREATY			
36890	Sale	1991-11-06T00:00:00	95500	PRIVATE TREATY			
36892	Rental	5795	Maloney's the Estate Agent	2019-11-24T00:00:00	640.0	PER WEEK	207.0
36892	Sale		barrett ELTON Canberra	2015-02-26T00:00:00	545000.0	PRIVATE TREATY	16.0
36892	Sale	2006-11-03T00:00:00	480000	PRIVATE TREATY			
36892	Sale	2000-01-21T00:00:00	160000	PRIVATE TREATY			
36893	Sale	31710	Sale by Home Owner 	2019-06-20T00:00:00	690000.0	PRIVATE TREATY	28.0
36893	Sale	2007-03-11T00:00:00	399000	PRIVATE TREATY			
36893	Sale	2001-02-09T00:00:00	165000	PRIVATE TREATY			
36893	Sale	1997-01-29T00:00:00	53000	PRIVATE TREATY			
36894	Sale		LJH Manuka	2012-08-06T00:00:00	567000.0	PRIVATE TREATY	
36894	Sale	1998-08-13T00:00:00	170000	PRIVATE TREATY			
36894	Sale	1996-10-09T00:00:00	61000	PRIVATE TREATY			
36895	Rental	10310	Luton Properties - Manuka	2016-02-16T00:00:00	530.0	PER WEEK	4.0
36895	Sale	2012-03-22T00:00:00	505000	PRIVATE TREATY			
36895	Sale	2009-02-02T00:00:00	469000	PRIVATE TREATY			
36895	Sale	2004-05-28T00:00:00	390000	PRIVATE TREATY	104.0		
36895	Sale	2001-10-02T00:00:00	185000	PRIVATE TREATY			
36896	Sale	2000-11-29T00:00:00	100000	PRIVATE TREATY			
36896	Sale	1996-06-05T00:00:00	138000	PRIVATE TREATY			
36898	Rental		Laurrie Scheele Real Estate	2010-07-07T00:00:00	400.0	PER WEEK	11.0
36898	Sale		PBR Manuka	2006-02-28T00:00:00	315000.0	PRIVATE TREATY	3.0
36898	Sale	2000-11-30T00:00:00	172000	PRIVATE TREATY			
36899	Rental	14174	Laurrie Scheele	2017-09-28T00:00:00	415.0	PER WEEK	6.0
36899	Sale	1997-07-30T00:00:00	125000	PRIVATE TREATY			
36899	Sale	1993-08-31T00:00:00	130000	PRIVATE TREATY			
36900	Rental	14174	Laurrie Scheele	2016-11-20T00:00:00	480.0	PER WEEK	24.0
36900	Sale	14174	Laurrie Scheele	2016-10-19T00:00:00	650000.0	PRIVATE TREATY	28.0
36900	Sale	2005-08-03T00:00:00	355000	PRIVATE TREATY	62.0		
36900	Sale	1991-10-03T00:00:00	122000	PRIVATE TREATY			
36901	Sale		Luton Properties - Manuka	2013-08-24T00:00:00	440000.0	AUCTION	
36903	Rental	14174	Laurrie Scheele	2015-01-21T00:00:00	580.0	PER WEEK	12.0
36903	Rental		Laurrie Scheele Real Estate	2008-09-26T00:00:00	495.0	PER WEEK	
36903	Sale	2000-05-24T00:00:00	190000	PRIVATE TREATY			
36904	Rental	13981	Dwyer Dunn Property Consultants	2019-06-14T00:00:00	430.0	PER WEEK	10.0
36904	Rental		Dwyer Dunn Property Consultants	2015-04-16T00:00:00	380.0	PER WEEK	7.0
36904	Rental		Dwyer Dunn Property Consultants	2014-04-08T00:00:00	380.0	PER WEEK	37.0
36904	Sale		Dwyer & Dunn	2006-04-06T00:00:00	320000.0	PRIVATE TREATY	12.0
36904	Sale	1997-03-27T00:00:00	82000	PRIVATE TREATY			
36906	Rental	19011	McGrath Woden Property Management	2019-04-03T00:00:00	450.0	PER WEEK	33.0
36906	Sale	11155	Luton Properties - Weston Creek and Molonglo Valley	2013-07-22T00:00:00	422500.0	PRIVATE TREATY	72.0
36906	Rental	14174	Laurrie Scheele	2008-01-14T00:00:00	370.0	PER WEEK	10.0
36906	Sale	2003-01-17T00:00:00	258000	PRIVATE TREATY			
36906	Sale	2001-01-04T00:00:00	175000	PRIVATE TREATY			
36908	Sale	20068	McGrath Dickson	2019-05-31T00:00:00	560000.0	PRIVATE TREATY	59.0
36910	Rental	28119	Belle Property Kingston	2018-03-18T00:00:00	520.0	PER WEEK	7.0
36910	Sale	2010-05-29T00:00:00	542500	PRIVATE TREATY			
36910	Sale	2006-08-11T00:00:00	310000	PRIVATE TREATY			
36910	Sale	2004-09-29T00:00:00	200000	PRIVATE TREATY			
36910	Sale	1995-06-14T00:00:00	75000	PRIVATE TREATY			
36911	Rental	8634	Horizon Real Estate Kingston	2007-01-19T00:00:00	350.0	PER WEEK	10.0
36911	Sale	8634		2006-11-03T00:00:00	335000.0	PRIVATE TREATY	15.0
36911	Sale	2000-11-17T00:00:00	155000	PRIVATE TREATY	48.0		
36911	Sale	1993-04-13T00:00:00	136500	PRIVATE TREATY			
36912	Sale	2010-01-21T00:00:00	460000	PRIVATE TREATY			
36912	Rental	1610	Elders Kingston	2009-10-20T00:00:00	340.0	PER WEEK	26.0
36912	Rental	1610		2006-08-17T00:00:00	300.0	PER WEEK	
36912	Rental			2005-07-21T00:00:00	270.0	PER WEEK	21.0
36912	Sale	1610	Elders Kingston	2005-05-19T00:00:00	399000.0	Listed - not sold	21.0
36912	Sale	2000-07-19T00:00:00	154500	PRIVATE TREATY			
36912	Sale	1999-03-10T00:00:00	85000	PRIVATE TREATY			
36913	Sale	2015-05-23T00:00:00	460000	PRIVATE TREATY			
36914	Sale	2006-10-27T00:00:00	331000	PRIVATE TREATY			
36914	Sale		RW Launceston	2002-11-19T00:00:00	231500.0	AUCTION	
36916	Rental	8032	LJ Hooker Manuka	2015-12-09T00:00:00	395.0	PER WEEK	
36916	Rental		LJH Manuka	2014-06-11T00:00:00	395.0	PER WEEK	
36916	Sale	2007-07-31T00:00:00	360000	PRIVATE TREATY			
36916	Sale		LJH Manuka	2001-08-18T00:00:00	0.0	Listed - not sold	35.0
36918	Sale		Bertram Ellis	2007-05-05T00:00:00	385000.0	AUCTION	
