StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
36877	QT-6551-UH							False	False				House	House			
36878	YQ-4118-PG							False	False	8	116		House	House			465
36879	GQ-7053-MO	148000	1992-01-16					False	False	7	116		House	House		4	465
36880	QS-8135-MN							False	False				House	House			
36881	GL-9972-FF	449999	2013-04-10					False	False	6	116		House	House			465
36882	HW-3355-XW							False	False				House	House			
36883	FI-6649-WW	255000	2001-10-31					False	False	5	116		House	House			465
36884	JE-7675-FF							False	False				House	House			
36885	DT-6439-HH	300000	2002-07-08					False	False	4	116		House	House			690
36886	CM-8493-ZU	125000	2000-06-28					False	False	9	117	0	House	House	1	3	589
36887	HT-5915-FK	175000	1992-08-05					False	False	12	116		Commercial	Commercial			720
36888	GF-9098-FM	160000	1998-11-17					False	False	3	116		House	House			796
36889	QV-3539-MO							False	False				House	House			
36890	SJ-0031-NV	160000	2001-08-14					False	False	2	116		House	House			592
36891	RA-6586-GA							False	False				House	House			
36892	CP-0627-PA	545000	2015-02-26	Maloney's the Estate Agent	640	2019	207	True	False	1	116	2	House	House	1	3	465
36893	KP-9464-TZ	690000	2019-06-20					False	False	6	117	2	House	House	1	4	465
36894	EP-1346-FW	567000	2012-08-06					False	False	5	117	1	House	House	2	3	465
36895	KG-2412-AM	505000	2012-03-22	Luton Properties - Manuka	530	2016	4	True	False	26	118	2	House	House	2	3	465
36896	MW-2890-BL	100000	2000-11-29					False	False	4	117		House	House			465
36897	HQ-4200-TA							False	False				House	House			
36898	SU-5248-IM	315000	2006-02-28	Laurrie Scheele Real Estate	400	2010	11	True	False	17	117	1	House	House	1	2	465
36899	FI-0775-TU	125000	1997-07-30	Laurrie Scheele	415	2017	6	True	False	25	118	1	House	House	1	2	592
36900	MV-8309-AC	650000	2016-10-19	Laurrie Scheele	480	2016	24	True	False	3	117	1	House	House	1	3	465
36901	CM-0362-DH	440000	2013-08-24					False	False	24	118	1	House	House	1	3	807
36902	HX-8704-UQ							False	False				House	House			
36903	CR-5043-LZ	190000	2000-05-24	Laurrie Scheele	580	2015	12	True	False	23	118	2	House	House	2	4	680
36904	KP-7378-GX	320000	2006-04-06	Dwyer Dunn Property Consultants	430	2019	10	True	False	1	117	0	House	House	1	2	571
36905	JN-5168-JZ							False	False				House	House			
36906	CS-0744-ZP	422500	2013-07-22	McGrath Woden Property Management	450	2019	33	True	False	21	118	1	House	House	1	3	465
36907	IC-3583-DK							False	False				House	House			
36908	QW-6869-HL	560000	2019-05-31					False	False	20	118	0	House	House	1	3	465
36909	QW-9177-XY							False	False				House	House			
36910	YP-9992-IP	542500	2010-05-29	Belle Property Kingston	520	2018	7	True	False	18	118	1	House	House	1	3	465
36911	FG-8405-ME	335000	2006-11-03	Horizon Real Estate Kingston	350	2007	10	True	False	17	118	1	House	House	1	2	465
36912	OG-5762-LN	460000	2010-01-21	Elders Kingston	340	2009	26	False	False	16	118	1	House	House	1	2	465
36913	BT-2487-MI	460000	2015-05-23					False	False	16	117	2	House	House	1	2	465
36914	VF-3026-AD	331000	2006-10-27					False	False	15	118	1	House	House	1	2	465
36915	UC-5830-LI							False	False	14	118		House	House			657
36916	TG-9860-UW	360000	2007-07-31	LJ Hooker Manuka	395	2015		True	False	10	116	1	House	House	1	3	465
36917	QL-2964-KZ							False	False				House	House			
36918	OI-0794-AE	385000	2007-05-05					False	False	15	117	1	House	House	1	2	465
36919	GH-4098-HD	150000	1998-06-16					False	False	9	116		House	House			465
36920	ZE-0728-GR							False	False				House	House			
36921	EI-0982-UD							False	False				House	House			
36922	SO-2122-PG	685000	2011-03-21	Luton Properties - Manuka	695	2011	36	True	False	16	35	0	House	House	2	4	573
36923	CC-4410-RQ	287000	2001-05-11					False	False	17	31		House	House			776
36924	OI-3186-ZH	17000	2013-09-18					False	False	17	35	1	House	House	1	2	574
36925	SN-7920-NG							False	False				House	House			
36926	LO-3631-BV							False	False	18	35		House	House			567
36927	SM-2546-AL							False	False				House	House			
36928	PV-1620-NC							False	False				House	House			
36929	BF-3288-CW							False	False	24	33		House	House			536
36930	IT-2110-WX	837500	2016-10-22					False	False	19	36	2	House	House	2	3	784
36931	PR-2890-PG							False	False				House	House			
36932	BZ-4086-SP	740000	2018-06-04					False	False	20	36	2	House	House	1	3	699
36933	KA-6323-EU	490000	2013-01-22	Archived Peter Blackshaw Real Estate Woden & Weston Cre	460	2017	40	True	False	27	31	1	House	House	2	2	618
36934	PO-5941-PE	518000	2009-05-18	Luton Properties Woden	440	2015	21	True	False	21	36	4	House	House	1	3	670
36935	RC-7011-EN	490000	2010-10-07	Laurrie Scheele	350	2017	12	True	False	38	31	1	House	House	1	2	601
36936	BX-9789-OV							False	False			2	House	House	2	4	
36937	RD-6213-ZA	390500	2009-02-25					False	False	37	31	0	House	House	1	2	492
36938	RP-1798-SU							False	False				Unit	Unit			
36939	KU-7909-HM	555000	2012-12-13					False	False	7	43	0	House	House	1	3	746
36940	GP-8124-KB	279000	2002-08-01	Pal Property Management	510	2015	6	True	False	25	41	2	House	House	1	3	759
36941	MJ-1536-MR	394000	2007-12-21					False	False	8	43		House	House			737
36942	BZ-6875-XV	405000	2003-03-12					False	False	24	41	0	House	House	2	3	769
36943	VM-1919-FW							False	False				House	House			
36944	DK-0034-MP	538000	2013-12-20					False	False	23	41	2	House	House	1	3	769
36945	VN-6033-MU							False	False				House	House			
36946	VM-8968-UC							False	False				House	House			
36947	VJ-6253-QB							False	False				House	House			
36948	XL-4580-YP	415800	2006-12-20					False	False	21	41	0	House	House	1	3	769
36949	VI-1684-PE							False	False				House	House			
36950	QX-6326-GO							False	False				House	House			
36951	LM-8164-KH	690000	2017-07-10					False	False	19	41		House	House			756
36952	CA-1931-VM	153000	1999-03-05					False	False	18	41		House	House			890
36953	MT-7019-WK	710000	2017-05-06					False	False	4	42	1	House	House	1	2	834
36954	MN-2047-OL							False	False	5	42		House	House			989
36955	NP-1651-OK	512000	2009-05-08					False	False	29	41	2	House	House	1	2	749
36956	AO-9431-PX	1375000	2019-01-19	Belle Property Kingston	1100	2019	13	True	False	6	42	2	House	House	2	4	1004
36957	FK-7862-EB	200000	2000-05-24					False	False	7	42		House	House			772
36958	GN-6988-TV	564000	2013-09-07					False	False	8	42	1	House	House	1	2	797
36959	SU-9372-QC	145000	1994-05-11					False	False	9	42		House	House			711
36960	QL-3095-PX	560000	2013-04-26	Ray White Queanbeyan/Jerrabomberra	480	2017	64	True	False	4	43	0	House	House	1	3	885
36961	NU-4799-RE	285000	2002-07-19					False	False	28	41		House	House			747
36962	EN-1570-HB	128000	1996-03-08					False	False	5	43	0	House	House	1	3	803
36963	NW-0855-ES	900000	2018-05-31	Laurrie Scheele	470	2008	33	False	False	27	41	1	House	House	1	3	740
36964	FI-6575-XK	492000	2007-11-14					False	False	6	43	0	House	House	1	3	799
36965	SU-5611-PE	635000	2012-06-02	karen rush real estate	490	2011	35	False	False	26	41	2	House	House	2	4	736
36966	EZ-9592-DR	141000	1996-05-24	Luton Properties - Manuka	750	2015	19	True	False	13	37	2	House	House	2	4	801
36967	IG-9869-TV	815000	2016-11-19	Nook Real Estate	500	2016	9	True	False	9	37	1	House	House	1	4	646
36968	IE-7892-FQ	199950	1993-01-29	Bryan Rumble Real Estate	360	2008		True	False	5	37	2	House	House	1	2	758
36969	EZ-7177-AN			Total Property Management - Bright Partners	400	2016	36	False	False			1	Unit	Duplex	1	1	
36970	IJ-3336-RL	830000	2018-02-21	Laurrie Scheele	400	2016	16	False	False	10	37	1	House	House	1	3	715
36971	FR-8512-RS	880000	2017-05-20	Archived Peter Blackshaw Real Estate Woden & Weston Cre	750	2016	7	False	False	4	37	2	House	House	2	5	711
36972	PZ-6024-KQ							False	False				House	House			
36973	GT-1593-MM	225000	2000-10-05					False	False	12	37		House	House			723
36974	HY-5683-IV	1215000	2017-12-09	Belle Property Kingston		2017	267	False	False	1	53	3	House	House	2	3	797
36975	KZ-8919-WV	805000	2014-06-21	Luton Properties Woden	650	2011	11	False	False			2	House	House	2	4	1251
36976	HW-6327-HX	248000	1993-05-17					False	False	47	50		House	House			805
36977	IC-5899-ML	800000	2017-03-01					False	False	48	50		House	House			654
36978	RS-4323-FR							False	False	49	50		House	House			759
36979	IE-5235-GA	785000	2012-12-13					False	False	50	50	2	House	House	2	3	783
36980	VD-6220-IO	1100000	2017-11-30					False	False	42	50		House	House		3	797
36981	OC-6310-WQ	605000	2008-06-24	Belle Property Kingston	710	2019	15	True	False	51	50	2	House	House	1	4	521
36982	NW-8941-IC	812000	2015-11-13					False	False	52	50	1	House	House	1	3	481
36983	ZP-4055-WH	875000	2017-12-06					False	False	53	50	1	House	House	1	4	471
36984	EN-7012-BV	680000	2015-03-18					False	False	54	50	1	House	House	1	4	469
