StreetAddressID	POI	Distance
39949	City GPO	1.1
39949	Major Shopping Centre - Woden Plaza	2.7
39949	Hospital - The Canberra Hospital	3.0
39949	Primary School - Holy Trinity Primary School	0.9
39949	High School - Alfred Deakin High School	0.8
39949	College - Royal College Of Nursing	0.7
39949	University - Australian National University	5.4
39950	City GPO	1.1
39950	Major Shopping Centre - Woden Plaza	2.7
39950	Hospital - The Canberra Hospital	3.0
39950	Primary School - Holy Trinity Primary School	0.8
39950	High School - Alfred Deakin High School	0.8
39950	College - Royal College Of Nursing	0.7
39950	University - Australian National University	5.4
39951	City GPO	1.1
39951	Major Shopping Centre - Woden Plaza	2.8
39951	Hospital - The Canberra Hospital	3.1
39951	Primary School - Holy Trinity Primary School	0.9
39951	High School - Alfred Deakin High School	0.8
39951	College - Royal College Of Nursing	0.7
39951	University - Australian National University	5.4
39952	City GPO	1.1
39952	Major Shopping Centre - Woden Plaza	2.8
39952	Hospital - The Canberra Hospital	3.1
39952	Primary School - Holy Trinity Primary School	0.9
39952	High School - Alfred Deakin High School	0.8
39952	College - Royal College Of Nursing	0.7
39952	University - Australian National University	5.3
39953	City GPO	1.1
39953	Major Shopping Centre - Woden Plaza	2.8
39953	Hospital - The Canberra Hospital	3.1
39953	Primary School - Holy Trinity Primary School	0.9
39953	High School - Alfred Deakin High School	0.8
39953	College - Royal College Of Nursing	0.7
39953	University - Australian National University	5.3
39954	City GPO	1.1
39954	Major Shopping Centre - Woden Plaza	2.8
39954	Hospital - The Canberra Hospital	3.1
39954	Primary School - Holy Trinity Primary School	0.9
39954	High School - Alfred Deakin High School	0.8
39954	College - Royal College Of Nursing	0.6
39954	University - Australian National University	5.3
39955	City GPO	1.1
39955	Major Shopping Centre - Woden Plaza	2.8
39955	Hospital - The Canberra Hospital	3.1
39955	Primary School - Holy Trinity Primary School	0.9
39955	High School - Alfred Deakin High School	0.8
39955	College - Royal College Of Nursing	0.6
39955	University - Australian National University	5.3
39956	City GPO	1.1
39956	Major Shopping Centre - Woden Plaza	2.8
39956	Hospital - The Canberra Hospital	3.1
39956	Primary School - Holy Trinity Primary School	0.9
39956	High School - Alfred Deakin High School	0.8
39956	College - Royal College Of Nursing	0.6
39956	University - Australian National University	5.3
39957	City GPO	1.1
39957	Major Shopping Centre - Woden Plaza	2.8
39957	Hospital - The Canberra Hospital	3.1
