StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
39949	ZV-7710-XN	730000	2016-05-02	Archived Peter Blackshaw Real Estate Woden & Weston Cre	560	2016	46	True	False	2	10	1	House	House	1	4	721
39950	ZE-6543-ZM	695000	2007-10-06					False	False	3	10		House	House		3	764
39951	AF-8359-DO							False	False			2	House	House	2	4	
39952	YG-7241-IE							False	False				House	House			
39953	RT-0696-HP							False	False				House	House			
39954	AJ-2280-SI	675000	2012-11-08	CIVIUM	670	2020	23	True	False	5	9	1	House	House	1	4	883
39955	YM-3783-EJ	857500	2015-09-19					False	False	18	11		Unit	Unit			
39956	JL-3201-CL							False	False				Unit	Unit			
39957	HV-8545-HX							False	True			2	Unit	Unit	2	2	
39958	OL-9847-MY	140500	1996-07-16					False	False	9	9		House	House			735
39959	HV-7251-CB			Archived Peter Blackshaw Real Estate Woden & Weston Cre	375	2015	7	False	True			1	Unit	Unit	1	1	
39960	YJ-9698-YO	317500	2002-04-17	Hodgkinson Real Estate 	500	2018	34	True	False	22	11	2	House	House	1	3	705
39961	ZW-9766-UR	125000	1991-02-08					False	False	23	11		House	House			
39962	SF-9850-IY	420000	2002-09-27					False	False	24	11		House	House		3	697
39963	ZU-2784-IE	457000	2005-08-05					False	False	25	11		House	House		3	692
39964	AB-4855-LP	447000	2004-05-28					False	False	26	11	2	House	House	3	5	893
39965	YN-3443-NY							False	False				House	House			
39966	DU-9447-BG							False	False				Unit	Unit			
39967	XR-7790-WD	512500	2015-11-01	Hayman Partners	510	2019		True	True			1	Unit	Unit	2	2	
39968	OH-1301-BI	857500	2015-09-19					False	False	18	11	2	House	House	2	4	839
39969	FT-0364-VF	875000	2017-02-11	Hayman Partners	710	2019	19	True	False	5	10	3	House	House	2	3	851
39970	YM-7526-CO							False	False				House	House			
39971	KO-3869-SE							False	False				House	House			
39972	ZU-5896-OY	370000	2001-08-25	Hayman Partners	715	2019	20	True	False	7	10	1	House	House	2	4	714
39973	ZA-0731-CB							False	False				House	House			
39974	ZG-8349-YB	145000	1993-02-01					False	False	8	10		House	House			714
39975	KJ-8753-PY	867500	2017-05-22					False	False	11	14		House	House		4	739
39976	MC-9776-EC							False	False	9	10		House	House			906
39977	ID-8712-VJ			Archived Peter Blackshaw Real Estate Woden & Weston Cre	450	2015	22	False	True			3	Unit	Unit	2	2	
39978	IS-7312-LM	867500	2017-05-22					False	False	12	14		Land	Land			805
39979	RH-1979-GW	435000	2004-03-24					False	False	10	10		House	House		2	904
39980	GP-9488-XU	462500	2005-02-04					False	False	13	14	1	House	House	2	4	745
39981	YH-4855-TT	825000	2018-11-11					False	False	11	10	1	House	House	2	4	725
39982	XA-1628-LU	675000	2013-05-10					False	False	14	14		House	House			761
39983	YN-4134-TD							False	False				House	House			
39984	OG-2490-RW	160000	1994-06-06					False	False	15	14		House	House			778
39985	AJ-7846-VG	249000	2001-01-12					False	False	13	10	0	House	House	2	5	913
39986	ZB-0276-CT	900000	2018-07-14	Maloney's - the Estate Agent	1240	2018	22	False	False	16	14	2	House	House	1	3	807
39987	ZH-0883-EE	163000	1993-12-14					False	False	14	10		House	House			1024
39988	OR-1279-XO							False	True				Unit	Unit			
39989	OJ-0532-CV	634000	2006-09-28					False	False	19	11		House	House		5	755
39990	FS-7211-OB	505000	2002-06-28					False	False	15	10		House	House		4	763
39991	JD-9218-TZ	790000	2019-05-18					False	False	16	10	1	House	House	1	3	815
39992	AP-4048-EL	194000	1992-03-12					False	False	17	10	2	House	House	2	4	1106
39993	AN-3858-XB	570000	2003-11-25					False	False	18	10		House	House		4	1083
39994	LG-2236-BJ							False	False	19	10		House	House			793
39995	IH-4068-PN			Hayman Partners	490	2018	15	False	True			1	Unit	Unit	1	2	
39996	ZU-9316-RS	433000	2006-12-02					False	False	20	10	0	House	House	1	3	771
39997	ZE-4524-RF	247000	1995-03-23					False	False	21	10		House	House			1058
39998	TO-5875-FO	609000	2010-12-15	Archived Peter Blackshaw Real Estate Woden & Weston Cre	570	2015	194	True	False	22	10	2	House	House	1	4	986
39999	YJ-2681-ZI							False	False				House	House			
40000	YI-7812-HG							False	False	24	10		House	House			773
40001	FN-7335-FM			Hayman Partners	485	2018	50	False	True			2	Unit	Unit	2	2	
40002	ZS-9483-PW	907500	2015-08-08					False	False	20	11	1	House	House	2	3	720
40003	RF-2377-BA							False	False				House	House			
40004	FR-9294-AF	233000	2000-04-14					False	False	26	10		House	House		3	933
40005	ZF-3559-IG	420000	2006-10-17					False	False	27	10		House	House			785
40006	XA-8231-ZX	665000	2014-11-05					False	False	28	10	1	House	House	1	3	785
40007	RJ-0308-RD	780000	2011-09-14					False	False	29	10		House	House			929
40008	SJ-8846-CZ			Hayman Partners	520	2020	306	False	True			2	Unit	Unit	2	2	
40009	GM-4380-XD	740000	2015-02-13					False	False	30	10		House	House			930
40010	ZE-1572-WG	880000	2018-12-17					False	False	31	10	4	House	House	2	5	767
40011	DV-8600-WP	584500	2015-01-14					False	False	32	10	0	House	House	1	3	735
