StreetAddressID	Year	UnImprovedValue	YearlyGrowthRation
39949	2009-2010	353000.0	0.0
39949	2010-2011	407000.0	15.29745042492918
39949	2011-2012	449000.0	10.319410319410318
39949	2012-2013	449000.0	0.0
39949	2013-2014	449000.0	0.0
39949	2014-2015	449000.0	0.0
39949	2015-2016	449000.0	0.0
39949	2016-2017	472000.0	5.122494432071269
39949	2017-2018	511000.0	8.26271186440678
39949	2018-2019	537000.0	5.088062622309197
39949	2019-2020	537000.0	0.0
39950	2009-2010	359000.0	0.0
39950	2010-2011	414000.0	15.32033426183844
39950	2011-2012	456000.0	10.144927536231885
39950	2012-2013	456000.0	0.0
39950	2013-2014	456000.0	0.0
39950	2014-2015	456000.0	0.0
39950	2015-2016	456000.0	0.0
39950	2016-2017	480000.0	5.263157894736842
39950	2017-2018	520000.0	8.333333333333332
39950	2018-2019	546000.0	5.0
39950	2019-2020	546000.0	0.0
39951	2009-2010	359000.0	0.0
39951	2010-2011	414000.0	15.32033426183844
39951	2011-2012	456000.0	10.144927536231885
39951	2012-2013	456000.0	0.0
39951	2013-2014	456000.0	0.0
39951	2014-2015	456000.0	0.0
39951	2015-2016	456000.0	0.0
39951	2016-2017	480000.0	5.263157894736842
39951	2017-2018	520000.0	8.333333333333332
39951	2018-2019	546000.0	5.0
39951	2019-2020	546000.0	0.0
39952	2009-2010	371000.0	0.0
39952	2010-2011	427000.0	15.09433962264151
39952	2011-2012	471000.0	10.304449648711945
39952	2012-2013	471000.0	0.0
39952	2013-2014	471000.0	0.0
39952	2014-2015	471000.0	0.0
39952	2015-2016	471000.0	0.0
39952	2016-2017	496000.0	5.3078556263269645
39952	2017-2018	537000.0	8.266129032258064
39952	2018-2019	564000.0	5.027932960893855
39952	2019-2020	564000.0	0.0
39953	2009-2010	359000.0	0.0
39953	2010-2011	414000.0	15.32033426183844
39953	2011-2012	456000.0	10.144927536231885
39953	2012-2013	456000.0	0.0
39953	2013-2014	456000.0	0.0
39953	2014-2015	456000.0	0.0
39953	2015-2016	456000.0	0.0
39953	2016-2017	480000.0	5.263157894736842
39953	2017-2018	520000.0	8.333333333333332
39953	2018-2019	546000.0	5.0
39953	2019-2020	546000.0	0.0
39954	2009-2010	371000.0	0.0
39954	2010-2011	427000.0	15.09433962264151
39954	2011-2012	471000.0	10.304449648711945
39954	2012-2013	471000.0	0.0
39954	2013-2014	471000.0	0.0
39954	2014-2015	471000.0	0.0
39954	2015-2016	471000.0	0.0
39954	2016-2017	496000.0	5.3078556263269645
39954	2017-2018	537000.0	8.266129032258064
39954	2018-2019	564000.0	5.027932960893855
39954	2019-2020	564000.0	0.0
39958	2009-2010	359000.0	0.0
39958	2010-2011	414000.0	15.32033426183844
39958	2011-2012	456000.0	10.144927536231885
39958	2012-2013	456000.0	0.0
39958	2013-2014	456000.0	0.0
39958	2014-2015	456000.0	0.0
39958	2015-2016	456000.0	0.0
39958	2016-2017	480000.0	5.263157894736842
39958	2017-2018	520000.0	8.333333333333332
39958	2018-2019	546000.0	5.0
39958	2019-2020	546000.0	0.0
39960	2009-2010	377000.0	0.0
39960	2010-2011	434000.0	15.119363395225463
39960	2011-2012	478000.0	10.138248847926267
39960	2012-2013	478000.0	0.0
39960	2013-2014	478000.0	0.0
39960	2014-2015	478000.0	0.0
39960	2015-2016	478000.0	0.0
39960	2016-2017	503000.0	5.230125523012552
39960	2017-2018	545000.0	8.34990059642147
39960	2018-2019	573000.0	5.137614678899083
39960	2019-2020	573000.0	0.0
39961	2009-2010	377000.0	0.0
39961	2010-2011	434000.0	15.119363395225463
39961	2011-2012	478000.0	10.138248847926267
39961	2012-2013	478000.0	0.0
39961	2013-2014	478000.0	0.0
39961	2014-2015	478000.0	0.0
39961	2015-2016	478000.0	0.0
39961	2016-2017	503000.0	5.230125523012552
39961	2017-2018	545000.0	8.34990059642147
