StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
42324	Rental	18961	Philip Kouvelis Real estate	2012-06-14T00:00:00	725.0	PER WEEK	21.0
42324	Sale	2010-06-05T00:00:00	935500	PRIVATE TREATY			
42324	Sale	2000-06-02T00:00:00	420000	PRIVATE TREATY			
42326	Sale	1993-07-05T00:00:00	341600	PRIVATE TREATY			
42327	Sale		Philip Kouvelis Real estate	2014-09-19T00:00:00	1025000.0	PRIVATE TREATY	17.0
42330	Sale		PBR Manuka	2003-07-05T00:00:00	442000.0	AUCTION	
42330	Sale	1999-11-16T00:00:00	212000	PRIVATE TREATY			
42330	Sale	1993-11-02T00:00:00	185000	PRIVATE TREATY			
42332	Sale	15357	Civium Property Group	2017-05-30T00:00:00	860000.0	PRIVATE TREATY	70.0
42332	Sale	2003-06-10T00:00:00	480000	PRIVATE TREATY	24.0		
42334	Sale	1992-08-14T00:00:00	230000	PRIVATE TREATY			
42338	Sale		Cameron Real Estate	2001-05-16T00:00:00	290000.0	PRIVATE TREATY	74.0
42339	Sale		LJH Manuka	2015-07-11T00:00:00	875000.0	AUCTION	
42340	Rental		inStyle Estate Agents	2018-10-03T00:00:00	695.0	PER WEEK	56.0
42340	Sale		Independent Property Group Gungahlin	2018-06-08T00:00:00	854000.0	PRIVATE TREATY	
42340	Sale	2003-10-16T00:00:00	448000	PRIVATE TREATY	96.0		
42340	Sale		Richard Luton Dickson	2000-04-01T00:00:00	292000.0	Listed - not sold	
42340	Sale	1998-05-07T00:00:00	193000	PRIVATE TREATY			
42340	Sale	1993-03-09T00:00:00	212500	PRIVATE TREATY			
42342	Sale	2003-08-11T00:00:00	265000	PRIVATE TREATY			
42380	Sale	13922	Cream Residential	2018-03-29T00:00:00	1825000.0	PRIVATE TREATY	145.0
42380	Sale		McGrath Property Management Dickson	2015-06-13T00:00:00	1210000.0	AUCTION	
42383	Sale		Luton Properties Woden	2019-06-01T00:00:00	1390000.0	PRIVATE TREATY	
42383	Sale	2015-08-31T00:00:00	1262500	PRIVATE TREATY			
42386	Sale		Cream Residential	2017-05-27T00:00:00	1200000.0	AUCTION	
42386	Sale	2012-06-04T00:00:00	764000	PRIVATE TREATY			
42387	Sale		Richard Luton Woden	2009-02-28T00:00:00	850000.0	AUCTION	
42387	Sale		Philip Kouvelis Deakin	2003-10-04T00:00:00		Listed - not sold	
42387	Sale	1996-04-04T00:00:00	277500	PRIVATE TREATY			
42388	Sale	8032	LJ Hooker Manuka	2019-05-20T00:00:00	1525000.0	PRIVATE TREATY	37.0
42391	Sale	2008-01-10T00:00:00	420000	PRIVATE TREATY			
