StreetAddressID	POI	Distance
43905	City GPO	1.5
43905	Major Shopping Centre - Woden Plaza	2.0
43905	Hospital - The Canberra Hospital	1.9
43905	Primary School - Hughes Primary School	0.3
43905	High School - Alfred Deakin High School	0.6
43905	College - Royal College Of Nursing	1.0
43905	University - Australian National University	5.9
43906	City GPO	1.6
43906	Major Shopping Centre - Woden Plaza	2.0
43906	Hospital - The Canberra Hospital	1.8
43906	Primary School - Hughes Primary School	0.3
43906	High School - Alfred Deakin High School	0.7
43906	College - Royal College Of Nursing	1.0
43906	University - Australian National University	5.9
43907	City GPO	1.6
43907	Major Shopping Centre - Woden Plaza	2.0
43907	Hospital - The Canberra Hospital	1.8
43907	Primary School - Hughes Primary School	0.3
43907	High School - Alfred Deakin High School	0.7
43907	College - Royal College Of Nursing	1.0
43907	University - Australian National University	5.9
43908	City GPO	1.6
43908	Major Shopping Centre - Woden Plaza	2.0
43908	Hospital - The Canberra Hospital	1.8
43908	Primary School - Hughes Primary School	0.3
43908	High School - Alfred Deakin High School	0.7
43908	College - Royal College Of Nursing	1.0
43908	University - Australian National University	5.9
43909	City GPO	1.5
43909	Major Shopping Centre - Woden Plaza	2.0
43909	Hospital - The Canberra Hospital	1.8
43909	Primary School - Hughes Primary School	0.4
43909	High School - Alfred Deakin High School	0.7
43909	College - Royal College Of Nursing	1.0
43909	University - Australian National University	5.9
43910	City GPO	1.6
43910	Major Shopping Centre - Woden Plaza	2.0
43910	Hospital - The Canberra Hospital	1.8
43910	Primary School - Hughes Primary School	0.4
43910	High School - Alfred Deakin High School	0.7
43910	College - Royal College Of Nursing	1.0
43910	University - Australian National University	5.9
43911	City GPO	1.5
43911	Major Shopping Centre - Woden Plaza	2.0
43911	Hospital - The Canberra Hospital	1.8
43911	Primary School - Hughes Primary School	0.4
43911	High School - Alfred Deakin High School	0.7
43911	College - Royal College Of Nursing	1.0
43911	University - Australian National University	5.8
43912	City GPO	1.5
43912	Major Shopping Centre - Woden Plaza	2.0
43912	Hospital - The Canberra Hospital	1.8
43912	Primary School - Hughes Primary School	0.4
43912	High School - Alfred Deakin High School	0.7
43912	College - Royal College Of Nursing	1.0
43912	University - Australian National University	5.8
43913	City GPO	1.6
43913	Major Shopping Centre - Woden Plaza	2.0
43913	Hospital - The Canberra Hospital	1.8
43913	Primary School - Hughes Primary School	0.4
43913	High School - Alfred Deakin High School	0.7
43913	College - Royal College Of Nursing	1.0
43913	University - Australian National University	5.9
43914	City GPO	1.6
43914	Major Shopping Centre - Woden Plaza	2.0
43914	Hospital - The Canberra Hospital	1.8
43914	Primary School - Hughes Primary School	0.4
43914	High School - Alfred Deakin High School	0.7
43914	College - Royal College Of Nursing	1.1
43914	University - Australian National University	5.9
43915	City GPO	1.5
43915	Major Shopping Centre - Woden Plaza	2.1
43915	Hospital - The Canberra Hospital	1.8
43915	Primary School - Hughes Primary School	0.5
43915	High School - Alfred Deakin High School	0.7
43915	College - Royal College Of Nursing	1.0
43915	University - Australian National University	5.8
43916	City GPO	1.6
43916	Major Shopping Centre - Woden Plaza	2.0
43916	Hospital - The Canberra Hospital	1.8
43916	Primary School - Hughes Primary School	0.4
43916	High School - Alfred Deakin High School	0.7
43916	College - Royal College Of Nursing	1.1
43916	University - Australian National University	5.9
43917	City GPO	1.5
43917	Major Shopping Centre - Woden Plaza	2.1
43917	Hospital - The Canberra Hospital	1.8
43917	Primary School - Hughes Primary School	0.5
43917	High School - Alfred Deakin High School	0.7
43917	College - Royal College Of Nursing	1.0
43917	University - Australian National University	5.8
43918	City GPO	1.6
43918	Major Shopping Centre - Woden Plaza	2.0
43918	Hospital - The Canberra Hospital	1.8
43918	Primary School - Hughes Primary School	0.5
43918	High School - Alfred Deakin High School	0.8
43918	College - Royal College Of Nursing	1.1
43918	University - Australian National University	5.9
43919	City GPO	1.5
43919	Major Shopping Centre - Woden Plaza	2.0
43919	Hospital - The Canberra Hospital	1.9
43919	Primary School - Hughes Primary School	0.3
43919	High School - Alfred Deakin High School	0.6
43919	College - Royal College Of Nursing	1.0
43919	University - Australian National University	5.9
43920	City GPO	1.6
43920	Major Shopping Centre - Woden Plaza	2.0
43920	Hospital - The Canberra Hospital	1.8
43920	Primary School - Hughes Primary School	0.5
43920	High School - Alfred Deakin High School	0.8
43920	College - Royal College Of Nursing	1.1
43920	University - Australian National University	5.9
43921	City GPO	1.5
43921	Major Shopping Centre - Woden Plaza	2.1
43921	Hospital - The Canberra Hospital	1.8
43921	Primary School - Hughes Primary School	0.5
43921	High School - Alfred Deakin High School	0.7
43921	College - Royal College Of Nursing	1.0
43921	University - Australian National University	5.8
43922	City GPO	1.6
43922	Major Shopping Centre - Woden Plaza	2.1
43922	Hospital - The Canberra Hospital	1.7
43922	Primary School - Hughes Primary School	0.5
43922	High School - Alfred Deakin High School	0.8
43922	College - Royal College Of Nursing	1.1
43922	University - Australian National University	5.9
43923	City GPO	1.6
43923	Major Shopping Centre - Woden Plaza	2.1
43923	Hospital - The Canberra Hospital	1.8
43923	Primary School - Hughes Primary School	0.6
43923	High School - Alfred Deakin High School	0.8
43923	College - Royal College Of Nursing	1.1
43923	University - Australian National University	5.8
43924	City GPO	1.6
43924	Major Shopping Centre - Woden Plaza	2.1
43924	Hospital - The Canberra Hospital	1.7
43924	Primary School - Hughes Primary School	0.5
43924	High School - Alfred Deakin High School	0.8
43924	College - Royal College Of Nursing	1.1
43924	University - Australian National University	5.9
43925	City GPO	1.6
43925	Major Shopping Centre - Woden Plaza	2.1
43925	Hospital - The Canberra Hospital	1.8
43925	Primary School - Hughes Primary School	0.6
43925	High School - Alfred Deakin High School	0.8
43925	College - Royal College Of Nursing	1.1
43925	University - Australian National University	5.8
43926	City GPO	1.6
43926	Major Shopping Centre - Woden Plaza	2.1
43926	Hospital - The Canberra Hospital	1.7
43926	Primary School - Hughes Primary School	0.6
43926	High School - Alfred Deakin High School	0.8
43926	College - Royal College Of Nursing	1.1
43926	University - Australian National University	5.9
43927	City GPO	1.6
43927	Major Shopping Centre - Woden Plaza	2.1
43927	Hospital - The Canberra Hospital	1.8
43927	Primary School - Hughes Primary School	0.6
43927	High School - Alfred Deakin High School	0.8
43927	College - Royal College Of Nursing	1.1
43927	University - Australian National University	5.8
43928	City GPO	1.6
43928	Major Shopping Centre - Woden Plaza	2.1
43928	Hospital - The Canberra Hospital	1.7
43928	Primary School - Hughes Primary School	0.6
43928	High School - Alfred Deakin High School	0.8
43928	College - Royal College Of Nursing	1.1
43928	University - Australian National University	5.9
43929	City GPO	1.6
43929	Major Shopping Centre - Woden Plaza	2.1
43929	Hospital - The Canberra Hospital	1.8
43929	Primary School - Hughes Primary School	0.6
43929	High School - Alfred Deakin High School	0.8
43929	College - Royal College Of Nursing	1.1
43929	University - Australian National University	5.8
43930	City GPO	1.6
43930	Major Shopping Centre - Woden Plaza	1.9
43930	Hospital - The Canberra Hospital	1.8
43930	Primary School - Hughes Primary School	0.2
43930	High School - Alfred Deakin High School	0.7
43930	College - Royal College Of Nursing	1.0
43930	University - Australian National University	6.0
43931	City GPO	1.6
43931	Major Shopping Centre - Woden Plaza	2.1
43931	Hospital - The Canberra Hospital	1.8
43931	Primary School - Hughes Primary School	0.6
43931	High School - Alfred Deakin High School	0.8
43931	College - Royal College Of Nursing	1.1
43931	University - Australian National University	5.8
43932	City GPO	1.6
43932	Major Shopping Centre - Woden Plaza	2.2
43932	Hospital - The Canberra Hospital	1.8
43932	Primary School - Hughes Primary School	0.7
43932	High School - Alfred Deakin High School	0.8
43932	College - Royal College Of Nursing	1.1
43932	University - Australian National University	5.8
43933	City GPO	1.6
43933	Major Shopping Centre - Woden Plaza	2.2
43933	Hospital - The Canberra Hospital	1.7
43933	Primary School - Hughes Primary School	0.7
43933	High School - Alfred Deakin High School	0.9
43933	College - Royal College Of Nursing	1.2
43933	University - Australian National University	5.8
43934	City GPO	1.7
43934	Major Shopping Centre - Woden Plaza	2.1
43934	Hospital - The Canberra Hospital	1.7
43934	Primary School - Hughes Primary School	0.7
43934	High School - Alfred Deakin High School	0.9
43934	College - Royal College Of Nursing	1.2
43934	University - Australian National University	5.9
43935	City GPO	1.6
43935	Major Shopping Centre - Woden Plaza	2.2
43935	Hospital - The Canberra Hospital	1.7
43935	Primary School - Hughes Primary School	0.7
43935	High School - Alfred Deakin High School	0.9
43935	College - Royal College Of Nursing	1.2
43935	University - Australian National University	5.8
43936	City GPO	1.7
43936	Major Shopping Centre - Woden Plaza	2.1
43936	Hospital - The Canberra Hospital	1.6
43936	Primary School - Hughes Primary School	0.7
43936	High School - Alfred Deakin High School	0.9
43936	College - Royal College Of Nursing	1.2
43936	University - Australian National University	5.9
43937	City GPO	1.7
43937	Major Shopping Centre - Woden Plaza	2.1
43937	Hospital - The Canberra Hospital	1.6
43937	Primary School - Hughes Primary School	0.7
43937	High School - Alfred Deakin High School	1.0
43937	College - Royal College Of Nursing	1.3
43937	University - Australian National University	5.9
43938	City GPO	1.7
43938	Major Shopping Centre - Woden Plaza	2.1
43938	Hospital - The Canberra Hospital	1.7
43938	Primary School - Hughes Primary School	0.7
43938	High School - Alfred Deakin High School	0.9
43938	College - Royal College Of Nursing	1.2
43938	University - Australian National University	5.9
43939	City GPO	1.8
43939	Major Shopping Centre - Woden Plaza	2.1
43939	Hospital - The Canberra Hospital	1.6
43939	Primary School - Hughes Primary School	0.7
43939	High School - Alfred Deakin High School	1.0
43939	College - Royal College Of Nursing	1.3
43939	University - Australian National University	5.9
43940	City GPO	1.7
43940	Major Shopping Centre - Woden Plaza	2.1
43940	Hospital - The Canberra Hospital	1.7
43940	Primary School - Hughes Primary School	0.7
43940	High School - Alfred Deakin High School	1.0
43940	College - Royal College Of Nursing	1.3
43940	University - Australian National University	5.9
43941	City GPO	1.7
43941	Major Shopping Centre - Woden Plaza	2.1
43941	Hospital - The Canberra Hospital	1.6
43941	Primary School - Hughes Primary School	0.8
43941	High School - Alfred Deakin High School	1.0
43941	College - Royal College Of Nursing	1.3
43941	University - Australian National University	5.9
43942	City GPO	1.8
43942	Major Shopping Centre - Woden Plaza	2.1
43942	Hospital - The Canberra Hospital	1.6
43942	Primary School - Hughes Primary School	0.8
43942	High School - Alfred Deakin High School	1.0
43942	College - Royal College Of Nursing	1.3
43942	University - Australian National University	5.9
43943	City GPO	1.8
43943	Major Shopping Centre - Woden Plaza	2.0
43943	Hospital - The Canberra Hospital	1.5
43943	Primary School - Hughes Primary School	0.7
43943	High School - Alfred Deakin High School	1.1
43943	College - Royal College Of Nursing	1.4
43943	University - Australian National University	6.0
43944	City GPO	1.9
43944	Major Shopping Centre - Woden Plaza	2.0
43944	Hospital - The Canberra Hospital	1.5
43944	Primary School - Hughes Primary School	0.7
43944	High School - Alfred Deakin High School	1.1
43944	College - Royal College Of Nursing	1.4
43944	University - Australian National University	6.0
43945	City GPO	1.9
43945	Major Shopping Centre - Woden Plaza	2.0
43945	Hospital - The Canberra Hospital	1.5
43945	Primary School - Hughes Primary School	0.8
43945	High School - Alfred Deakin High School	1.1
43945	College - Royal College Of Nursing	1.4
43945	University - Australian National University	6.0
43946	City GPO	1.9
43946	Major Shopping Centre - Woden Plaza	2.0
43946	Hospital - The Canberra Hospital	1.5
43946	Primary School - Hughes Primary School	0.8
43946	High School - Alfred Deakin High School	1.1
43946	College - Royal College Of Nursing	1.4
43946	University - Australian National University	6.1
43947	City GPO	1.9
43947	Major Shopping Centre - Woden Plaza	2.1
43947	Hospital - The Canberra Hospital	1.5
43947	Primary School - Hughes Primary School	0.8
43947	High School - Alfred Deakin High School	1.1
43947	College - Royal College Of Nursing	1.4
43947	University - Australian National University	6.0
43948	City GPO	1.9
43948	Major Shopping Centre - Woden Plaza	2.0
43948	Hospital - The Canberra Hospital	1.4
43948	Primary School - Hughes Primary School	0.8
43948	High School - Alfred Deakin High School	1.2
43948	College - Canberra College	1.4
43948	University - Australian National University	6.1
43949	City GPO	1.9
43949	Major Shopping Centre - Woden Plaza	2.0
43949	Hospital - The Canberra Hospital	1.4
43949	Primary School - Hughes Primary School	0.8
43949	High School - Alfred Deakin High School	1.2
43949	College - Canberra College	1.4
43949	University - Australian National University	6.1
43950	City GPO	2.0
43950	Major Shopping Centre - Woden Plaza	2.0
43950	Hospital - The Canberra Hospital	1.4
43950	Primary School - Hughes Primary School	0.8
43950	High School - Alfred Deakin High School	1.2
43950	College - Canberra College	1.5
43950	University - Australian National University	6.1
43951	City GPO	1.9
43951	Major Shopping Centre - Woden Plaza	1.9
43951	Hospital - The Canberra Hospital	1.4
43951	Primary School - Hughes Primary School	0.8
43951	High School - Alfred Deakin High School	1.2
43951	College - Canberra College	1.4
43951	University - Australian National University	6.2
43952	City GPO	2.0
43952	Major Shopping Centre - Woden Plaza	2.0
43952	Hospital - The Canberra Hospital	1.4
43952	Primary School - Hughes Primary School	0.8
43952	High School - Alfred Deakin High School	1.2
43952	College - Canberra College	1.5
43952	University - Australian National University	6.1
43953	City GPO	1.9
43953	Major Shopping Centre - Woden Plaza	1.9
43953	Hospital - The Canberra Hospital	1.3
43953	Primary School - Hughes Primary School	0.8
43953	High School - Alfred Deakin High School	1.3
43953	College - Canberra College	1.4
43953	University - Australian National University	6.2
43954	City GPO	2.0
43954	Major Shopping Centre - Woden Plaza	2.0
43954	Hospital - The Canberra Hospital	1.4
43954	Primary School - Hughes Primary School	0.8
43954	High School - Alfred Deakin High School	1.2
43954	College - Canberra College	1.5
43954	University - Australian National University	6.1
43955	City GPO	2.0
43955	Major Shopping Centre - Woden Plaza	2.0
43955	Hospital - The Canberra Hospital	1.4
43955	Primary School - Hughes Primary School	0.8
43955	High School - Alfred Deakin High School	1.2
43955	College - Canberra College	1.5
43955	University - Australian National University	6.1
43956	City GPO	1.9
43956	Major Shopping Centre - Woden Plaza	1.9
43956	Hospital - The Canberra Hospital	1.3
43956	Primary School - Hughes Primary School	0.8
43956	High School - Alfred Deakin High School	1.3
43956	College - Canberra College	1.4
43956	University - Australian National University	6.2
43957	City GPO	1.9
43957	Major Shopping Centre - Woden Plaza	1.9
43957	Hospital - The Canberra Hospital	1.3
43957	Primary School - Hughes Primary School	0.9
43957	High School - Alfred Deakin High School	1.3
43957	College - Canberra College	1.4
43957	University - Australian National University	6.2
43958	City GPO	1.6
43958	Major Shopping Centre - Woden Plaza	1.9
43958	Hospital - The Canberra Hospital	1.8
43958	Primary School - Hughes Primary School	0.3
43958	High School - Alfred Deakin High School	0.7
43958	College - Royal College Of Nursing	1.0
43958	University - Australian National University	5.9
43959	City GPO	1.8
43959	Major Shopping Centre - Woden Plaza	1.8
43959	Hospital - The Canberra Hospital	1.2
43959	Primary School - Hughes Primary School	0.8
43959	High School - Alfred Deakin High School	1.4
43959	College - Canberra College	1.3
43959	University - Australian National University	6.3
43960	City GPO	1.8
43960	Major Shopping Centre - Woden Plaza	1.8
43960	Hospital - The Canberra Hospital	1.2
43960	Primary School - Hughes Primary School	0.8
43960	High School - Alfred Deakin High School	1.3
43960	College - Canberra College	1.3
43960	University - Australian National University	6.3
43961	City GPO	1.9
43961	Major Shopping Centre - Woden Plaza	1.9
43961	Hospital - The Canberra Hospital	1.2
43961	Primary School - Hughes Primary School	0.9
43961	High School - Alfred Deakin High School	1.3
43961	College - Canberra College	1.4
43961	University - Australian National University	6.3
43962	City GPO	1.8
43962	Major Shopping Centre - Woden Plaza	1.8
43962	Hospital - The Canberra Hospital	1.2
43962	Primary School - Hughes Primary School	0.9
43962	High School - Alfred Deakin High School	1.4
43962	College - Canberra College	1.3
43962	University - Australian National University	6.3
43963	City GPO	1.8
43963	Major Shopping Centre - Woden Plaza	1.8
43963	Hospital - The Canberra Hospital	1.2
43963	Primary School - Hughes Primary School	0.9
43963	High School - Alfred Deakin High School	1.4
43963	College - Canberra College	1.3
43963	University - Australian National University	6.3
43964	City GPO	1.8
43964	Major Shopping Centre - Woden Plaza	1.8
43964	Hospital - The Canberra Hospital	1.2
43964	Primary School - Hughes Primary School	0.9
43964	High School - Alfred Deakin High School	1.4
43964	College - Canberra College	1.3
43964	University - Australian National University	6.3
43965	City GPO	1.1
43965	Major Shopping Centre - Woden Plaza	1.2
43965	Hospital - The Canberra Hospital	1.5
43965	Primary School - Sts Peter And Paul Primary School	0.4
43965	High School - Alfred Deakin High School	1.4
43965	College - Canberra College	0.5
43965	University - Australian National University	6.7
43966	City GPO	1.1
43966	Major Shopping Centre - Woden Plaza	1.2
43966	Hospital - The Canberra Hospital	1.4
43966	Primary School - Sts Peter And Paul Primary School	0.4
43966	High School - Alfred Deakin High School	1.4
43966	College - Canberra College	0.6
43966	University - Australian National University	6.7
43967	City GPO	1.1
43967	Major Shopping Centre - Woden Plaza	1.2
43967	Hospital - The Canberra Hospital	1.4
43967	Primary School - Sts Peter And Paul Primary School	0.4
43967	High School - Alfred Deakin High School	1.4
43967	College - Canberra College	0.5
43967	University - Australian National University	6.7
43968	City GPO	1.1
43968	Major Shopping Centre - Woden Plaza	1.2
43968	Hospital - The Canberra Hospital	1.4
43968	Primary School - Sts Peter And Paul Primary School	0.4
43968	High School - Alfred Deakin High School	1.4
43968	College - Canberra College	0.6
43968	University - Australian National University	6.7
43969	City GPO	1.1
43969	Major Shopping Centre - Woden Plaza	1.2
43969	Hospital - The Canberra Hospital	1.4
43969	Primary School - Sts Peter And Paul Primary School	0.4
43969	High School - Alfred Deakin High School	1.4
43969	College - Canberra College	0.5
43969	University - Australian National University	6.7
43970	City GPO	1.2
43970	Major Shopping Centre - Woden Plaza	1.2
43970	Hospital - The Canberra Hospital	1.4
43970	Primary School - Sts Peter And Paul Primary School	0.4
43970	High School - Alfred Deakin High School	1.4
43970	College - Canberra College	0.6
43970	University - Australian National University	6.7
43971	City GPO	1.1
43971	Major Shopping Centre - Woden Plaza	1.2
43971	Hospital - The Canberra Hospital	1.4
43971	Primary School - Sts Peter And Paul Primary School	0.4
43971	High School - Alfred Deakin High School	1.4
43971	College - Canberra College	0.5
43971	University - Australian National University	6.7
43972	City GPO	1.2
43972	Major Shopping Centre - Woden Plaza	1.2
43972	Hospital - The Canberra Hospital	1.3
43972	Primary School - Sts Peter And Paul Primary School	0.3
43972	High School - Alfred Deakin High School	1.4
43972	College - Canberra College	0.6
43972	University - Australian National University	6.7
43973	City GPO	1.2
