StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
43906	Rental	8032	LJ Hooker Manuka	2009-09-17T00:00:00	650.0	PER WEEK	63.0
43906	Sale		Cameron Real Estate	2009-06-24T00:00:00	810500.0	PRIVATE TREATY	247.0
43908	Sale	1993-05-13T00:00:00	300000	PRIVATE TREATY			
43909	Sale		Luton Properties Woden	2013-02-02T00:00:00	927500.0	PRIVATE TREATY	
43909	Sale	1995-06-01T00:00:00	330000	PRIVATE TREATY			
43911	Sale		LJH Weston Creek	2019-04-06T00:00:00	1060000.0	AUCTION	
43911	Sale	2002-02-15T00:00:00	392000	PRIVATE TREATY			
43912	Sale	2014-07-19T00:00:00	830000	PRIVATE TREATY			
43913	Sale	1999-10-29T00:00:00	452500	PRIVATE TREATY			
43914	Sale	2010-08-02T00:00:00	1150000	PRIVATE TREATY			
43914	Sale		Berkely residential	2009-06-11T00:00:00	710000.0	PRIVATE TREATY	75.0
43914	Sale	2001-12-21T00:00:00	437000	PRIVATE TREATY			
43915	Sale		Philip Kouvelis Real estate	2012-09-22T00:00:00	865000.0	AUCTION	
43915	Sale	2005-11-12T00:00:00	511000	PRIVATE TREATY			
43915	Sale	2003-07-29T00:00:00	217500	PRIVATE TREATY			
43915	Sale	2002-01-29T00:00:00	395000	PRIVATE TREATY	87.0		
43916	Sale		RW Launceston	2004-11-02T00:00:00	580000.0	PRIVATE TREATY	31.0
43918	Sale		Sadil Quinlan	2010-01-31T00:00:00		Listed - not sold	108.0
43918	Rental		Sadil Quinlan	2010-01-05T00:00:00	1200.0	PER WEEK	
43918	Sale	14516	Luton Properties Woden	2009-02-24T00:00:00	600000.0	PRIVATE TREATY	38.0
43919	Rental	18961	Philip Kouvelis Real estate	2015-10-14T00:00:00	525.0	PER WEEK	24.0
43919	Sale	2008-09-25T00:00:00	579000	PRIVATE TREATY			
43919	Sale	2006-02-22T00:00:00	445000	PRIVATE TREATY	258.0		
43920	Sale		Philip Kouvelis Real estate	2015-09-19T00:00:00	1020000.0	PRIVATE TREATY	
43920	Sale	2006-11-29T00:00:00	615000	PRIVATE TREATY	25.0		
43923	Sale	2008-02-18T00:00:00	730000	PRIVATE TREATY			
43925	Sale	2011-11-11T00:00:00	785000	PRIVATE TREATY			
43927	Sale	14516	Luton Properties Woden	2018-02-13T00:00:00	1040000.0	PRIVATE TREATY	10.0
43928	Sale	2011-06-25T00:00:00	810000	PRIVATE TREATY			
43928	Sale	1995-06-26T00:00:00	220000	PRIVATE TREATY			
43929	Sale	2007-08-24T00:00:00	750000	PRIVATE TREATY			
43929	Sale	1994-05-20T00:00:00	257500	PRIVATE TREATY			
43930	Rental	25429	Distinct Property Management	2019-08-02T00:00:00	0.0	PER WEEK	17.0
43930	Rental		Distinct Property Management	2018-12-21T00:00:00	830.0	PER WEEK	24.0
43930	Rental		Distinct Property Management	2017-08-04T00:00:00	795.0	PER WEEK	47.0
43930	Sale		PBR Woden	2006-11-03T00:00:00	597500.0	PRIVATE TREATY	41.0
