StreetAddressID	POI	Distance
45262	City GPO	0.8
45262	Major Shopping Centre - Canberra Centre	4.4
45262	Hospital - The Canberra Hospital	5.5
45262	Primary School - Telopea Primary School, Barton	1.6
45262	High School - Telopea High School, Barton	1.6
45262	College - St Clare's College	0.8
45262	University - Australian National University	5.1
45263	City GPO	1.2
45263	Major Shopping Centre - Woden Plaza	1.1
45263	Hospital - The Canberra Hospital	2.0
45263	Primary School - Sacred Heart Primary School	1.3
45263	High School - Melrose High School, Pearce	1.1
45263	College - Marist College Canberra	0.6
45263	University - Australian National University	8.9
45264	City GPO	1.2
45264	Major Shopping Centre - Woden Plaza	1.0
45264	Hospital - The Canberra Hospital	1.9
45264	Primary School - Sacred Heart Primary School	1.3
45264	High School - Melrose High School, Pearce	1.1
45264	College - Marist College Canberra	0.6
45264	University - Australian National University	8.9
45265	City GPO	1.2
45265	Major Shopping Centre - Woden Plaza	1.1
45265	Hospital - The Canberra Hospital	2.0
45265	Primary School - Sacred Heart Primary School	1.3
45265	High School - Melrose High School, Pearce	1.1
45265	College - Marist College Canberra	0.6
45265	University - Australian National University	9.0
45266	City GPO	1.2
45266	Major Shopping Centre - Woden Plaza	1.1
45266	Hospital - The Canberra Hospital	1.9
45266	Primary School - Sacred Heart Primary School	1.3
45266	High School - Melrose High School, Pearce	1.1
45266	College - Marist College Canberra	0.6
45266	University - Australian National University	8.9
45267	City GPO	1.2
45267	Major Shopping Centre - Woden Plaza	1.1
45267	Hospital - The Canberra Hospital	2.0
45267	Primary School - Sacred Heart Primary School	1.3
45267	High School - Melrose High School, Pearce	1.1
45267	College - Marist College Canberra	0.6
45267	University - Australian National University	9.0
45268	City GPO	1.2
45268	Major Shopping Centre - Woden Plaza	1.1
45268	Hospital - The Canberra Hospital	1.9
45268	Primary School - Sacred Heart Primary School	1.3
45268	High School - Melrose High School, Pearce	1.0
45268	College - Marist College Canberra	0.6
45268	University - Australian National University	8.9
45269	City GPO	1.2
45269	Major Shopping Centre - Woden Plaza	1.1
45269	Hospital - The Canberra Hospital	2.0
45269	Primary School - Sacred Heart Primary School	1.3
45269	High School - Melrose High School, Pearce	1.0
45269	College - Marist College Canberra	0.6
45269	University - Australian National University	9.0
45270	City GPO	1.2
45270	Major Shopping Centre - Woden Plaza	1.1
45270	Hospital - The Canberra Hospital	1.9
45270	Primary School - Sacred Heart Primary School	1.3
