StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
45262	QB-4539-WX							False	False				Unit	Unit			
45263	CO-7593-SO	465000	2009-07-16	Sadil Quinlan	420	2009		True	False	7	36	2	House	House	2	4	
45264	WX-4579-KM							False	False				House	House			
45265	BB-3922-SU	359500	2004-03-31					False	False	8	36		House	House		3	738
45266	GO-5675-WG	995000	2016-11-05	Archived Peter Blackshaw Real Estate Woden & Weston Cre	875	2017	28	True	False	19	37	2	House	House	2	3	710
45267	GX-4955-OC							False	False				House	House			
45268	KP-8873-UT	542500	2014-06-04	Hayman Partners	530	2019	11	True	False	18	37	3	House	House	1	3	733
45269	MM-7185-CS	105000	1997-05-13					False	False	10	36		House	House			762
45270	LM-4575-DT							False	False	17	37		House	House			738
45271	GX-9130-QM							False	False				House	House			
45272	OY-3498-DO	630000	2014-05-02					False	False	16	37	2	House	House	2	4	733
45273	AE-6260-HB							False	False				Unit	Unit			
45274	QD-7222-VM							False	False				Unit	Unit			
45275	UR-3875-JD							False	False				House	House			
45276	HN-0180-LF	155000	2000-11-02					False	False	12	36		House	House			939
45277	WW-4382-AB							False	False				House	House			
45278	OS-3436-UR	110000	1997-09-05					False	False	13	36		House	House			856
45279	EF-1104-FI			White Rhino Property	600	2018	13	False	False			2	House	Townhouse	2	3	
45280	ZO-0473-ER	279000	2002-12-19	White Rhino Property	560	2018	13	True	False	13	36	2	House	House	2	3	
45281	KC-4560-ZW							False	False				House	House			
45282	WT-0682-VN							False	False				House	House			
45283	LA-6278-UJ	600000	2011-05-13	Archived Peter Blackshaw Real Estate Woden & Weston Cre	500	2015	14	True	False	9	35	1	House	House	1	3	990
45284	WT-0739-II							False	False				House	House			
45285	MQ-6762-KE	750000	2018-07-02	Hayman Partners	0	2019	77	True	False	8	35	2	House	House	1	3	887
45286	SH-5179-BV	360000	2007-05-11					False	False	16	36		House	House			800
45287	JO-6423-RU							False	False			2	House	Semi	1	3	
45288	TS-8360-KZ							False	False				House	House			
45289	KD-2395-GE							False	False	7	35		House	House			846
45290	OZ-7789-WY							False	False				House	House			
45291	AR-2001-CD							False	False				House	House			
45292	XB-8069-SM							False	False				House	House			
45293	GY-2052-DV							False	False				House	House			
45294	OE-6238-YJ	135000	1996-01-29					False	False	5	35		House	House		4	834
45295	OI-4860-ML	165000	1998-05-11					False	False	4	35		House	House			816
45296	PU-9984-HF	645000	2015-03-05					False	False	3	35	4	House	House	2	3	803
45297	PV-8471-QY	1210000	2017-09-16					False	False	4	36	3	House	House	2	4	769
45298	EV-3112-XV	318000	2019-04-24	Independent Property Management	460	2017	16	False	False	23	37	1	House	House	1	3	768
45299	OE-3646-DY	865000	2018-11-10	Distinct Property Management	750	2020	22	True	False	5	36	2	House	House	2	3	832
45300	PX-4803-IN	720000	2014-09-20					False	False	22	37	1	House	House	2	3	744
45301	BZ-8072-SD	428000	2004-11-25					False	False	6	36	2	House	House	2	4	787
45302	PZ-0117-IZ	520000	2014-08-30					False	False	21	37	2	House	House	1	3	710
45304	JD-6480-BD							False	False				Unit	Unit			
45305	YD-0888-IS	670000	2018-11-02					False	False	17	2		Unit	Unit			
45306	US-9010-GM	146000	1995-05-25					False	False	20	2		Unit	Unit			
45307	OT-3886-WH	533000	2018-07-28					False	False	21	2		Unit	Unit			
45308	MI-4047-RR	495000	2016-12-14					False	False	24	2		Unit	Unit			
45309	SX-0635-YZ							False	False				Unit	Unit			
45310	WH-3730-DR			barrett ELTON Canberra	340	2015	41	False	True	1	1	1	Unit	Unit	2	2	
45311	OU-8921-EB							False	False				Unit	Unit			
