StreetAddressID	Year	UnImprovedValue	YearlyGrowthRation
45263	2009-2010	390000.0	0.0
45263	2010-2011	410000.0	5.128205128205128
45263	2011-2012	451000.0	10.0
45263	2012-2013	440000.0	-2.4390243902439024
45263	2013-2014	440000.0	0.0
45263	2014-2015	450000.0	2.272727272727273
45263	2015-2016	465000.0	3.3333333333333335
45263	2016-2017	475000.0	2.1505376344086025
45263	2017-2018	0.0	0.0
45263	2018-2019	0.0	0.0
45263	2019-2020	0.0	0.0
45264	2009-2010	390000.0	0.0
45264	2010-2011	410000.0	5.128205128205128
45264	2011-2012	451000.0	10.0
45264	2012-2013	440000.0	-2.4390243902439024
45264	2013-2014	440000.0	0.0
45264	2014-2015	450000.0	2.272727272727273
45264	2015-2016	465000.0	3.3333333333333335
45264	2016-2017	475000.0	2.1505376344086025
45264	2017-2018	500000.0	5.263157894736842
45264	2018-2019	525000.0	5.0
45264	2019-2020	525000.0	0.0
45265	2009-2010	390000.0	0.0
45265	2010-2011	410000.0	5.128205128205128
45265	2011-2012	451000.0	10.0
45265	2012-2013	440000.0	-2.4390243902439024
45265	2013-2014	440000.0	0.0
45265	2014-2015	450000.0	2.272727272727273
45265	2015-2016	465000.0	3.3333333333333335
45265	2016-2017	475000.0	2.1505376344086025
45265	2017-2018	0.0	0.0
45265	2018-2019	0.0	0.0
45265	2019-2020	0.0	0.0
45266	2009-2010	390000.0	0.0
45266	2010-2011	410000.0	5.128205128205128
45266	2011-2012	451000.0	10.0
45266	2012-2013	440000.0	-2.4390243902439024
45266	2013-2014	440000.0	0.0
45266	2014-2015	450000.0	2.272727272727273
45266	2015-2016	465000.0	3.3333333333333335
45266	2016-2017	475000.0	2.1505376344086025
45266	2017-2018	500000.0	5.263157894736842
45266	2018-2019	525000.0	5.0
45266	2019-2020	525000.0	0.0
45267	2009-2010	390000.0	0.0
45267	2010-2011	410000.0	5.128205128205128
45267	2011-2012	451000.0	10.0
45267	2012-2013	440000.0	-2.4390243902439024
45267	2013-2014	440000.0	0.0
45267	2014-2015	450000.0	2.272727272727273
45267	2015-2016	465000.0	3.3333333333333335
45267	2016-2017	475000.0	2.1505376344086025
45267	2017-2018	500000.0	5.263157894736842
45267	2018-2019	525000.0	5.0
45267	2019-2020	525000.0	0.0
45268	2009-2010	390000.0	0.0
45268	2010-2011	410000.0	5.128205128205128
45268	2011-2012	451000.0	10.0
45268	2012-2013	440000.0	-2.4390243902439024
45268	2013-2014	440000.0	0.0
45268	2014-2015	450000.0	2.272727272727273
45268	2015-2016	465000.0	3.3333333333333335
45268	2016-2017	475000.0	2.1505376344086025
45268	2017-2018	500000.0	5.263157894736842
45268	2018-2019	525000.0	5.0
45268	2019-2020	525000.0	0.0
45269	2009-2010	390000.0	0.0
45269	2010-2011	410000.0	5.128205128205128
45269	2011-2012	451000.0	10.0
45269	2012-2013	440000.0	-2.4390243902439024
45269	2013-2014	440000.0	0.0
45269	2014-2015	450000.0	2.272727272727273
45269	2015-2016	465000.0	3.3333333333333335
45269	2016-2017	475000.0	2.1505376344086025
45269	2017-2018	500000.0	5.263157894736842
45269	2018-2019	525000.0	5.0
45269	2019-2020	525000.0	0.0
45270	2009-2010	390000.0	0.0
45270	2010-2011	410000.0	5.128205128205128
45270	2011-2012	451000.0	10.0
45270	2012-2013	440000.0	-2.4390243902439024
45270	2013-2014	440000.0	0.0
45270	2014-2015	450000.0	2.272727272727273
45270	2015-2016	465000.0	3.3333333333333335
45270	2016-2017	475000.0	2.1505376344086025
45270	2017-2018	500000.0	5.263157894736842
45270	2018-2019	525000.0	5.0
45270	2019-2020	525000.0	0.0
45271	2009-2010	450000.0	0.0
45271	2010-2011	473000.0	5.111111111111112
45271	2011-2012	520000.0	9.936575052854122
45271	2012-2013	507000.0	-2.5
45271	2013-2014	507000.0	0.0
45271	2014-2015	519000.0	2.366863905325444
45271	2015-2016	536000.0	3.275529865125241
45271	2016-2017	548000.0	2.2388059701492535
45271	2017-2018	577000.0	5.291970802919708
45271	2018-2019	606000.0	5.025996533795494
45271	2019-2020	606000.0	0.0
45272	2009-2010	390000.0	0.0
45272	2010-2011	410000.0	5.128205128205128
45272	2011-2012	451000.0	10.0
45272	2012-2013	440000.0	-2.4390243902439024
45272	2013-2014	440000.0	0.0
45272	2014-2015	450000.0	2.272727272727273
45272	2015-2016	465000.0	3.3333333333333335
45272	2016-2017	475000.0	2.1505376344086025
45272	2017-2018	500000.0	5.263157894736842
45272	2018-2019	525000.0	5.0
45272	2019-2020	525000.0	0.0
45276	2009-2010	450000.0	0.0
45276	2010-2011	473000.0	5.111111111111112
45276	2011-2012	520000.0	9.936575052854122
45276	2012-2013	507000.0	-2.5
45276	2013-2014	507000.0	0.0
45276	2014-2015	519000.0	2.366863905325444
45276	2015-2016	536000.0	3.275529865125241
45276	2016-2017	548000.0	2.2388059701492535
45276	2017-2018	577000.0	5.291970802919708
45276	2018-2019	606000.0	5.025996533795494
45276	2019-2020	606000.0	0.0
45277	2009-2010	390000.0	0.0
45277	2010-2011	410000.0	5.128205128205128
45277	2011-2012	451000.0	10.0
45277	2012-2013	440000.0	-2.4390243902439024
45277	2013-2014	440000.0	0.0
45277	2014-2015	450000.0	2.272727272727273
45277	2015-2016	465000.0	3.3333333333333335
45277	2016-2017	475000.0	2.1505376344086025
45277	2017-2018	500000.0	5.263157894736842
45277	2018-2019	525000.0	5.0
45277	2019-2020	525000.0	0.0
45278	2009-2010	0.0	0.0
45278	2010-2011	473000.0	0.0
45278	2011-2012	520000.0	9.936575052854122
45278	2012-2013	507000.0	-2.5
45278	2013-2014	507000.0	0.0
45278	2014-2015	519000.0	2.366863905325444
45278	2015-2016	536000.0	3.275529865125241
45278	2016-2017	548000.0	2.2388059701492535
45278	2017-2018	577000.0	5.291970802919708
45278	2018-2019	606000.0	5.025996533795494
45278	2019-2020	606000.0	0.0
45279	2009-2010	0.0	0.0
45279	2010-2011	473000.0	0.0
45279	2011-2012	520000.0	9.936575052854122
45279	2012-2013	507000.0	-2.5
45279	2013-2014	507000.0	0.0
45279	2014-2015	519000.0	2.366863905325444
45279	2015-2016	536000.0	3.275529865125241
45279	2016-2017	548000.0	2.2388059701492535
45279	2017-2018	577000.0	5.291970802919708
45279	2018-2019	606000.0	5.025996533795494
45279	2019-2020	606000.0	0.0
45280	2009-2010	0.0	0.0
45280	2010-2011	473000.0	0.0
45280	2011-2012	520000.0	9.936575052854122
45280	2012-2013	507000.0	-2.5
45280	2013-2014	507000.0	0.0
45280	2014-2015	519000.0	2.366863905325444
45280	2015-2016	536000.0	3.275529865125241
45280	2016-2017	548000.0	2.2388059701492535
45280	2017-2018	577000.0	5.291970802919708
45280	2018-2019	606000.0	5.025996533795494
45280	2019-2020	606000.0	0.0
45281	2009-2010	450000.0	0.0
45281	2010-2011	473000.0	5.111111111111112
45281	2011-2012	520000.0	9.936575052854122
45281	2012-2013	507000.0	-2.5
45281	2013-2014	507000.0	0.0
45281	2014-2015	519000.0	2.366863905325444
45281	2015-2016	536000.0	3.275529865125241
45281	2016-2017	548000.0	2.2388059701492535
45281	2017-2018	577000.0	5.291970802919708
45281	2018-2019	606000.0	5.025996533795494
45281	2019-2020	606000.0	0.0
45282	2009-2010	450000.0	0.0
45282	2010-2011	473000.0	5.111111111111112
45282	2011-2012	520000.0	9.936575052854122
45282	2012-2013	507000.0	-2.5
45282	2013-2014	507000.0	0.0
45282	2014-2015	519000.0	2.366863905325444
45282	2015-2016	536000.0	3.275529865125241
45282	2016-2017	548000.0	2.2388059701492535
45282	2017-2018	577000.0	5.291970802919708
45282	2018-2019	606000.0	5.025996533795494
45282	2019-2020	606000.0	0.0
45283	2009-2010	420000.0	0.0
45283	2010-2011	442000.0	5.238095238095238
45283	2011-2012	486000.0	9.95475113122172
45283	2012-2013	474000.0	-2.4691358024691357
45283	2013-2014	474000.0	0.0
45283	2014-2015	485000.0	2.320675105485232
45283	2015-2016	501000.0	3.2989690721649487
45283	2016-2017	512000.0	2.19560878243513
45283	2017-2018	539000.0	5.2734375
45283	2018-2019	566000.0	5.009276437847866
45283	2019-2020	566000.0	0.0
45284	2009-2010	390000.0	0.0
45284	2010-2011	410000.0	5.128205128205128
45284	2011-2012	451000.0	10.0
45284	2012-2013	440000.0	-2.4390243902439024
45284	2013-2014	440000.0	0.0
45284	2014-2015	450000.0	2.272727272727273
45284	2015-2016	465000.0	3.3333333333333335
45284	2016-2017	475000.0	2.1505376344086025
45284	2017-2018	500000.0	5.263157894736842
45284	2018-2019	525000.0	5.0
45284	2019-2020	525000.0	0.0
45285	2009-2010	420000.0	0.0
45285	2010-2011	442000.0	5.238095238095238
45285	2011-2012	486000.0	9.95475113122172
45285	2012-2013	474000.0	-2.4691358024691357
45285	2013-2014	474000.0	0.0
45285	2014-2015	485000.0	2.320675105485232
45285	2015-2016	501000.0	3.2989690721649487
45285	2016-2017	512000.0	2.19560878243513
45285	2017-2018	539000.0	5.2734375
45285	2018-2019	566000.0	5.009276437847866
45285	2019-2020	566000.0	0.0
45286	2009-2010	0.0	0.0
45286	2010-2011	0.0	0.0
45286	2011-2012	520000.0	0.0
45286	2012-2013	507000.0	-2.5
45286	2013-2014	507000.0	0.0
45286	2014-2015	519000.0	2.366863905325444
45286	2015-2016	536000.0	3.275529865125241
45286	2016-2017	548000.0	2.2388059701492535
45286	2017-2018	577000.0	5.291970802919708
45286	2018-2019	606000.0	5.025996533795494
45286	2019-2020	606000.0	0.0
45289	2009-2010	420000.0	0.0
45289	2010-2011	442000.0	5.238095238095238
45289	2011-2012	486000.0	9.95475113122172
45289	2012-2013	474000.0	-2.4691358024691357
45289	2013-2014	474000.0	0.0
45289	2014-2015	485000.0	2.320675105485232
45289	2015-2016	501000.0	3.2989690721649487
45289	2016-2017	512000.0	2.19560878243513
45289	2017-2018	539000.0	5.2734375
45289	2018-2019	566000.0	5.009276437847866
45289	2019-2020	566000.0	0.0
45290	2009-2010	390000.0	0.0
45290	2010-2011	410000.0	5.128205128205128
45290	2011-2012	451000.0	10.0
45290	2012-2013	440000.0	-2.4390243902439024
45290	2013-2014	440000.0	0.0
45290	2014-2015	450000.0	2.272727272727273
45290	2015-2016	465000.0	3.3333333333333335
45290	2016-2017	475000.0	2.1505376344086025
45290	2017-2018	500000.0	5.263157894736842
45290	2018-2019	525000.0	5.0
45290	2019-2020	525000.0	0.0
45291	2009-2010	0.0	0.0
45291	2010-2011	0.0	0.0
45291	2011-2012	410000.0	0.0
45291	2012-2013	400000.0	-2.4390243902439024
45291	2013-2014	400000.0	0.0
45291	2014-2015	409000.0	2.25
45291	2015-2016	423000.0	3.4229828850855744
45291	2016-2017	432000.0	2.127659574468085
45291	2017-2018	455000.0	5.324074074074074
45291	2018-2019	478000.0	5.054945054945055
45291	2019-2020	478000.0	0.0
45292	2009-2010	420000.0	0.0
45292	2010-2011	442000.0	5.238095238095238
45292	2011-2012	486000.0	9.95475113122172
45292	2012-2013	474000.0	-2.4691358024691357
45292	2013-2014	474000.0	0.0
45292	2014-2015	485000.0	2.320675105485232
