StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
46661	JV-5455-JU	965000	2019-11-16					False	False			2	House	House	2	3	
46662	VJ-1379-MJ	684000	2008-07-05					False	False	2	38		House	House		4	807
46663	NN-7352-OS	172000	1997-01-31					False	False	4	37		House	House			836
46664	AN-5330-QY	1201500	2019-07-13					False	False	3	38	1	House	House	3	5	1061
46665	SH-5622-YX	260000	2002-03-25					False	False	3	8		House	House			992
46666	JI-3018-DC	650000	2015-12-09					False	False	5	7	1	House	House	2	5	935
46667	SO-0739-UK	165000	1993-08-20					False	False	2	8		House	House			1036
46668	TU-6817-ZD	129000	1991-12-31	Philip Kouvelis Real estate	530	2011	21	True	False	6	7	2	House	House	1	3	
46669	FH-6567-MR							False	False	1	8		House	House			1027
46670	QK-2518-TL							False	False	7	7		House	House			847
46671	DF-9797-JT	810000	2017-05-19					False	False	5	17	1	House	House	2	3	1263
46672	UI-5394-TJ	740000	2012-08-31	Archived Peter Blackshaw Real Estate Woden & Weston Cre	630	2015	77	True	False	16	15	2	House	House	3	5	1012
46673	UK-2736-IU	500000	2013-08-29					False	False	17	15		House	House			971
46674	PW-8005-VE							False	False				House	House			
46675	BA-8087-UD	835000	2017-05-06	Archived Peter Blackshaw Real Estate Woden & Weston Cre	450	2014	14	False	False	18	15	3	House	House	1	3	1021
46676	LF-0648-AV							False	False				House	House			
46677	IS-2063-PF	685000	2006-02-16					False	False	4	17		House	House		4	1325
46678	RV-3122-XY	715000	2017-05-08					False	False	13	15		House	House			1149
46679	WS-1121-TL			Brady's Countrywide	550	2018	31	False	False			2	House	House	2	3	
46680	YV-2445-IJ	450000	2013-11-11					False	False	14	15		House	House			1079
46681	CS-5695-IL	456000	2001-11-24					False	False	2	17		House	House		3	900
