StreetAddressID	POI	Distance
48496	City GPO	1.0
48496	Major Shopping Centre - Woden Plaza	1.2
48496	Hospital - The Canberra Hospital	1.9
48496	Primary School - Curtin Primary	0.6
48496	High School - Alfred Deakin High School	1.6
48496	College - Canberra College	0.7
48496	University - Australian National University	6.9
48497	City GPO	1.0
48497	Major Shopping Centre - Woden Plaza	1.2
48497	Hospital - The Canberra Hospital	1.9
48497	Primary School - Curtin Primary	0.6
48497	High School - Alfred Deakin High School	1.6
48497	College - Canberra College	0.7
48497	University - Australian National University	6.9
48498	City GPO	1.0
48498	Major Shopping Centre - Woden Plaza	1.2
48498	Hospital - The Canberra Hospital	1.9
48498	Primary School - Curtin Primary	0.6
48498	High School - Alfred Deakin High School	1.6
48498	College - Canberra College	0.7
48498	University - Australian National University	6.9
48499	City GPO	1.0
48499	Major Shopping Centre - Woden Plaza	1.2
48499	Hospital - The Canberra Hospital	1.9
48499	Primary School - Curtin Primary	0.6
48499	High School - Alfred Deakin High School	1.6
48499	College - Canberra College	0.7
48499	University - Australian National University	6.9
48500	City GPO	1.0
48500	Major Shopping Centre - Woden Plaza	1.2
48500	Hospital - The Canberra Hospital	1.9
48500	Primary School - Curtin Primary	0.6
48500	High School - Alfred Deakin High School	1.6
48500	College - Canberra College	0.7
48500	University - Australian National University	6.9
48501	City GPO	1.0
48501	Major Shopping Centre - Woden Plaza	1.2
48501	Hospital - The Canberra Hospital	1.9
48501	Primary School - Curtin Primary	0.6
48501	High School - Alfred Deakin High School	1.6
48501	College - Canberra College	0.7
48501	University - Australian National University	6.9
48502	City GPO	1.0
48502	Major Shopping Centre - Woden Plaza	1.2
48502	Hospital - The Canberra Hospital	1.9
48502	Primary School - Curtin Primary	0.6
48502	High School - Alfred Deakin High School	1.6
48502	College - Canberra College	0.7
48502	University - Australian National University	6.9
48503	City GPO	1.0
48503	Major Shopping Centre - Woden Plaza	1.2
48503	Hospital - The Canberra Hospital	1.9
48503	Primary School - Curtin Primary	0.6
48503	High School - Alfred Deakin High School	1.6
48503	College - Canberra College	0.7
48503	University - Australian National University	6.9
48504	City GPO	1.0
48504	Major Shopping Centre - Woden Plaza	1.2
48504	Hospital - The Canberra Hospital	1.9
48504	Primary School - Curtin Primary	0.6
48504	High School - Alfred Deakin High School	1.6
48504	College - Canberra College	0.7
48504	University - Australian National University	6.9
48505	City GPO	1.0
48505	Major Shopping Centre - Woden Plaza	1.2
48505	Hospital - The Canberra Hospital	1.9
48505	Primary School - Curtin Primary	0.6
48505	High School - Alfred Deakin High School	1.6
48505	College - Canberra College	0.7
48505	University - Australian National University	6.9
48506	City GPO	1.0
48506	Major Shopping Centre - Woden Plaza	1.2
48506	Hospital - The Canberra Hospital	1.9
48506	Primary School - Curtin Primary	0.6
48506	High School - Alfred Deakin High School	1.6
48506	College - Canberra College	0.7
48506	University - Australian National University	6.9
48507	City GPO	1.0
48507	Major Shopping Centre - Woden Plaza	1.2
48507	Hospital - The Canberra Hospital	1.9
48507	Primary School - Curtin Primary	0.6
48507	High School - Alfred Deakin High School	1.6
48507	College - Canberra College	0.7
48507	University - Australian National University	6.9
48508	City GPO	1.0
