StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
48496	Rental	25201	EnVogue Property Management	2020-02-04T00:00:00	0.0	PER WEEK	28.0
48498	Sale	2001-01-19T00:00:00	140000	PRIVATE TREATY			
48499	Sale		PBR Woden	2000-12-22T00:00:00	146500.0	PRIVATE TREATY	76.0
48499	Sale	1991-10-14T00:00:00	125000	PRIVATE TREATY			
48503	Sale	17473	Ray White Canberra	2019-09-23T00:00:00	420000.0	PRIVATE TREATY	31.0
48505	Rental	25201	EnVogue Property Management	2016-06-02T00:00:00	380.0	PER WEEK	15.0
48505	Rental		Estaterealty Queanbeyan	2009-02-18T00:00:00	340.0	PER WEEK	6.0
48508	Rental		Luton Properties - Weston Creek and Molonglo Valley	2019-07-08T00:00:00	450.0	PER WEEK	34.0
48508	Rental		Luton Properties - Weston Creek and Molonglo Valley	2016-01-20T00:00:00	380.0	PER WEEK	55.0
48508	Rental	11155	Luton Properties - Weston Creek and Molonglo Valley	2009-03-05T00:00:00	325.0	PER WEEK	38.0
48515	Sale	10310	Luton Properties - Manuka	2016-07-15T00:00:00	389000.0	PRIVATE TREATY	142.0
48515	Rental	10310	Luton Properties - Manuka	2016-06-26T00:00:00	390.0	PER WEEK	18.0
48518	Sale	15357	Civium Property Group	2017-03-28T00:00:00	389000.0	PRIVATE TREATY	39.0
48520	Rental		Estaterealty Queanbeyan	2007-07-04T00:00:00	310.0	PER WEEK	8.0
48522	Sale	2019-10-11T00:00:00	372500	PRIVATE TREATY			
48522	Sale		Independent Tuggeranong	2014-12-01T00:00:00	372500.0	PRIVATE TREATY	122.0
48522	Sale	2001-03-30T00:00:00	140000	PRIVATE TREATY			
48523	Rental	14516	Luton Properties Woden	2008-01-30T00:00:00	325.0	PER WEEK	16.0
48523	Sale	2001-06-08T00:00:00	152000	PRIVATE TREATY			
48525	Sale		LJ Hooker Woden	2018-11-09T00:00:00	338000.0	PRIVATE TREATY	24.0
48525	Sale		Independent Woden	2005-05-28T00:00:00	299950.0	Listed - not sold	
48525	Sale		PBR Woden	2001-05-19T00:00:00	180000.0	Listed - not sold	21.0
48536	Rental	14516	Luton Properties Woden	2015-07-17T00:00:00	350.0	PER WEEK	45.0
48536	Rental	16810	R&H Woden	2010-12-15T00:00:00	410.0	PER WEEK	207.0
48536	Sale		R&H Woden	2010-05-01T00:00:00	398000.0	AUCTION	
48537	Sale	2013-08-22T00:00:00	375000	PRIVATE TREATY			
48537	Sale	2008-12-17T00:00:00	315000	PRIVATE TREATY			
48537	Sale	2001-11-19T00:00:00	171400	PRIVATE TREATY			
48537	Sale	1993-09-14T00:00:00	129400	PRIVATE TREATY			
48541	Sale		RW Canberra	2019-05-31T00:00:00	400000.0	PRIVATE TREATY	24.0
48543	Rental	15357	Civium Property Group	2019-09-22T00:00:00	430.0	PER WEEK	19.0
48543	Rental	15357	Civium Property Group	2018-09-05T00:00:00	390.0	PER WEEK	24.0
48543	Rental	26384	CIVIUM	2017-05-10T00:00:00	360.0	PER WEEK	13.0
48545	Sale	13922	Cream Residential	2014-08-20T00:00:00	365000.0	PRIVATE TREATY	166.0
48545	Sale	13922	Cream Residential	2012-03-15T00:00:00	449950.0	Listed - not sold	91.0
48545	Sale	1994-07-01T00:00:00	135000	PRIVATE TREATY			
48545	Sale	1991-05-22T00:00:00	110000	PRIVATE TREATY			
48548	Rental	13922	Cream Residential	2019-08-06T00:00:00	0.0	PER WEEK	18.0
48548	Rental		Cream Residential	2015-06-21T00:00:00	380.0	PER WEEK	23.0
48548	Sale	2007-12-10T00:00:00	320000	PRIVATE TREATY			
48548	Rental	7750	Strictly Rentals	2007-08-24T00:00:00	345.0	PER WEEK	14.0
48548	Rental	7750		2005-11-03T00:00:00	320.0	PER WEEK	14.0
48548	Sale	2002-10-02T00:00:00	209950	PRIVATE TREATY			
48548	Sale	1991-04-18T00:00:00	115000	PRIVATE TREATY			
48550	Sale	2016-07-15T00:00:00	389000	PRIVATE TREATY			
48550	Rental	14252	The Property Gallery	2008-10-26T00:00:00	355.0	PER WEEK	2.0
48550	Sale	2007-08-27T00:00:00	312000	PRIVATE TREATY			
48550	Sale		Private	2006-11-11T00:00:00	318000.0	Listed - not sold	
48550	Rental		Elders Woden	2004-05-10T00:00:00	280.0	PER WEEK	21.0
48552	Sale	1999-05-26T00:00:00	122000	PRIVATE TREATY			
48552	Sale	1994-03-18T00:00:00	134000	PRIVATE TREATY			
48553	Rental		Estaterealty Queanbeyan	2009-07-15T00:00:00	340.0	PER WEEK	13.0
48555	Rental	30622	Bolton & Co O'Connor	2018-05-30T00:00:00	395.0	PER WEEK	96.0
48555	Rental		First National Capital	2009-05-05T00:00:00	395.0	PER WEEK	12.0
48555	Sale	1992-07-20T00:00:00	160000	PRIVATE TREATY			
48557	Sale	2018-11-09T00:00:00	338000	PRIVATE TREATY			
48557	Sale	2013-12-20T00:00:00	395000	PRIVATE TREATY			
48557	Sale	2008-06-19T00:00:00	340000	PRIVATE TREATY			
48557	Sale	2005-06-10T00:00:00	286000	PRIVATE TREATY			
48557	Sale	2001-06-28T00:00:00	170000	PRIVATE TREATY			
48557	Sale	2000-07-07T00:00:00	160000	PRIVATE TREATY			
48570	Sale	2005-09-01T00:00:00	1350000	PRIVATE TREATY			
48582	Rental	11453	Raine & Horne Commercial Canberra	2018-07-04T00:00:00	0.0	PER WEEK	61.0
