StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
52415	VL-4210-PI							False	False				House	House			
52416	KV-0444-EF							False	False				House	House			
52417	GZ-3577-HC	582000	2010-02-19					False	False	29	11		House	House			925
52418	MF-0219-UZ	183000	1997-04-11					False	False	25	11		House	House			1364
52419	EU-8218-PJ							False	False	28	11		House	House			1283
52420	HI-6551-EA			Total Property Management - Bright	550	2015	42	False	False			1	House	House	2	4	
52421	OQ-8254-EX	410000	2004-03-12					False	False	27	11		House	House			1005
52422	UT-2021-WZ	630000	2017-07-04					False	False	35	17		House	House			837
52423	NP-4890-AK	479000	2014-09-24					False	False	34	17	2	House	House	1	3	
52424	ZD-3127-YS	521000	2013-09-04					False	False	32	17	2	House	House	1	3	740
52425	QT-3282-CA	452000	2005-12-05					False	False	33	17		House	House		3	1157
52426	MD-9349-SU							False	False				House	House			
52427	HR-6931-HP							False	False				Unit	Unit			
52428	PY-4388-DX							False	False				Unit	Unit			
52429	CA-5268-IQ							False	False				Unit	Unit			
52430	VW-7425-BT							False	False				Unit	Unit			
52431	OG-7346-IJ							False	False				Unit	Unit			
52432	XS-8771-XB							False	False				Unit	Unit			
52433	GZ-6543-KR							False	False				Unit	Unit			
52434	ZR-1813-FU	290000	2003-10-16					False	False	1	3		Unit	Unit		2	
52436	OK-7928-YL							False	False				House	House			
52437	US-1286-BS	180000	1992-10-29					False	False	1	2		House	House			1187
52438	MI-0632-XL	290000	2003-01-14					False	False	2	2		House	House			1045
52439	QE-5132-HP							False	False				House	House			
52440	TM-7498-UE	725000	2015-11-05					False	False	4	2	3	House	House	2	4	1045
52441	EB-5562-NV							False	False				House	Townhouse		3	
52442	OF-5794-WP							False	False				House	House			
52443	ZL-8406-WR			Bertram Ellis	365	2011	8	False	False			1	House	Townhouse	1	3	
52444	KD-5745-KA			PRD Leader Real Estate	435	2009		False	False			1	House	House	1	3	5031
52445	RA-8511-LW							False	False				House	Townhouse		3	
52446	IN-6119-BX			Homefinders Real Estate	430	2017	46	False	False			1	House	Townhouse	1	3	5031
52447	II-4976-YD							False	False				House	House			
52448	YI-6286-UO		2010-06-24	Colin McIntyre Property - Chisholm	420	2010	35	True	False			1	House	Townhouse	1	3	
52449	CV-2693-RD							False	False				House	House			
52450	CQ-5229-DP							False	False			2	House	Townhouse	1	2	
52451	HZ-3781-AN			PURNELL	370	2014	33	False	False			1	House	Townhouse	1	2	
52452	HZ-2265-RX							False	False			1	House	Townhouse	1	2	
52453	IA-2026-OY							False	False				House	House			
52454	XY-9165-YM							False	False				Unit	Unit			
52455	QE-8528-BK							False	False				Unit	Unit			
52456	UA-2488-FS							False	False				Unit	Unit			
52457	EY-5256-GN	750000	2018-02-16	Independent Property Management	490	2017	33	False	False	2	3	1	House	House	2	3	969
52458	PA-3029-SF							False	False				House	House			
52459	ST-1842-AB							False	False				House	House			
52460	FL-7122-XS			LJ Hooker Weston Creek	650	2018	14	False	False			2	House	House	2	4	
52461	GX-7472-CR	252000	2001-07-03					False	False	4	3		House	House			923
52462	ZI-3195-YA	377000	2005-06-10					False	False	5	3		House	House		3	860
52463	ZU-8958-AI	145000	2001-01-22					False	False	6	3		House	House			791
52464	OF-3538-NP	630000	2018-07-02					False	False	7	3	1	House	House	2	4	810
52465	ZQ-9874-FC			Peter Blackshaw Real Estate Manuka	315	2017	14	False	False			1	Unit	Duplex	1	2	
52466	NZ-1250-LQ							False	False				House	House			
52467	TR-0029-PG	500000	2018-01-15	Independent Property Management	470	2019	218	True	False	8	3	2	House	House	1	3	1003
52468	NW-5683-FX							False	False				House	House			
52469	QU-5308-CS	728000	2009-10-17					False	False	17	8	2	House	House	2	5	1025
52470	FV-7469-PX	720000	2016-06-03					False	False	18	8	1	House	House	2	4	1005
52471	NW-6035-RD	690000	2009-10-16					False	False	19	8	2	House	House	2	5	1000
52472	LJ-6386-TL	767000	2017-05-19					False	False	20	8		House	House			1108
52473	IU-2389-EK							False	False	21	8		House	House			988
52474	IN-9815-RY							False	False				House	House			
52475	WC-6786-LO	870000	2017-09-09					False	False	23	8	4	House	House	2	4	
52476	SV-1379-UY	817000	2016-07-16					False	False	24	8	4	House	House	2	4	998
52477	IU-5227-SQ							False	False				House	House			
52478	XJ-3057-VF	193000	2000-03-09					False	False	26	8		House	House			1096
52479	IS-3032-MV							False	False				House	House			
52480	WI-3405-TZ	743000	2017-12-03					False	False	28	8	1	House	House	1	4	1054
52481	DY-9186-ET	600000	2011-05-18					False	False	29	8	2	House	House	1	4	1101
52482	IT-7276-DK							False	False				House	House			
52483	EG-4520-JR			Luton Properties - Manuka	400	2009	1	False	False			1	Unit	Unit	2	3	
52484	KF-4407-PL							False	False				Unit	Unit			
52485	MD-1590-HJ							False	False				Unit	Unit			
52486	QG-1791-HQ							False	False				Unit	Unit			
52487	WO-0665-TP			McIntyre Property	420	2018	118	False	False			1	House	Townhouse	1	3	
52488	KD-9643-AI	164000	1999-09-20					False	False	9	27		House	House			793
52489	ZT-1000-LV	157500	1998-04-07					False	False	8	27		House	House			953
52490	ZS-2252-EW							False	False	2	26	1	House	House	2	4	911
52491	OT-3554-DW							False	False				House	House			
52492	XV-2947-IT	405000	2005-10-14					False	False	1	26		House	House		3	785
52493	KV-1076-YI	888888	2014-08-06					False	False	6	27	2	House	House	3	5	766
52494	VR-3435-MX	545000	2016-03-24	Luton Properties Tuggeranong CRE	400	2015	18	False	False	30	34	1	House	House	2	3	662
52495	EP-0691-OL	546000	2016-02-09					False	False	29	34	1	House	House	2	3	351
52496	ZP-0375-IP	495000	2012-04-02					False	False	28	34	1	House	House	2	3	421
52497	DK-7888-VE							False	False				Unit	Unit			
52498	ZV-5860-AJ	629950	2010-11-30					False	False	14	54	1	House	House	1	3	847
