StreetAddressID	POI	Distance
56591	City GPO	0.7
56591	Major Shopping Centre - Woden Plaza	2.2
56591	Hospital - The Canberra Hospital	2.5
56591	Primary School - Sacred Heart Primary School	0.3
56591	High School - Melrose High School, Pearce	0.4
56591	College - Marist College Canberra	0.8
56591	University - Australian National University	9.9
56592	City GPO	0.7
56592	Major Shopping Centre - Woden Plaza	2.2
56592	Hospital - The Canberra Hospital	2.5
56592	Primary School - Sacred Heart Primary School	0.3
56592	High School - Melrose High School, Pearce	0.4
56592	College - Marist College Canberra	0.8
56592	University - Australian National University	9.9
56593	City GPO	0.7
56593	Major Shopping Centre - Woden Plaza	2.2
56593	Hospital - The Canberra Hospital	2.5
56593	Primary School - Sacred Heart Primary School	0.3
56593	High School - Melrose High School, Pearce	0.4
56593	College - Marist College Canberra	0.8
56593	University - Australian National University	9.9
56594	City GPO	0.7
56594	Major Shopping Centre - Woden Plaza	2.2
56594	Hospital - The Canberra Hospital	2.5
56594	Primary School - Sacred Heart Primary School	0.3
56594	High School - Melrose High School, Pearce	0.4
56594	College - Marist College Canberra	0.9
56594	University - Australian National University	9.9
56595	City GPO	0.7
56595	Major Shopping Centre - Woden Plaza	2.2
56595	Hospital - The Canberra Hospital	2.6
56595	Primary School - Sacred Heart Primary School	0.2
56595	High School - Melrose High School, Pearce	0.4
56595	College - Marist College Canberra	0.9
56595	University - Australian National University	9.9
56596	City GPO	0.8
56596	Major Shopping Centre - Woden Plaza	2.2
56596	Hospital - The Canberra Hospital	2.6
56596	Primary School - Sacred Heart Primary School	0.2
56596	High School - Melrose High School, Pearce	0.5
56596	College - Marist College Canberra	0.9
56596	University - Australian National University	9.9
56597	City GPO	0.8
56597	Major Shopping Centre - Woden Plaza	2.2
56597	Hospital - The Canberra Hospital	2.6
56597	Primary School - Sacred Heart Primary School	0.2
56597	High School - Melrose High School, Pearce	0.5
56597	College - Marist College Canberra	0.9
56597	University - Australian National University	10.0
56598	City GPO	0.8
56598	Major Shopping Centre - Woden Plaza	2.2
56598	Hospital - The Canberra Hospital	2.6
56598	Primary School - Sacred Heart Primary School	0.2
56598	High School - Melrose High School, Pearce	0.5
56598	College - Marist College Canberra	0.9
56598	University - Australian National University	10.0
56599	City GPO	0.8
56599	Major Shopping Centre - Woden Plaza	2.2
56599	Hospital - The Canberra Hospital	2.6
56599	Primary School - Sacred Heart Primary School	0.1
56599	High School - Melrose High School, Pearce	0.5
56599	College - Marist College Canberra	0.9
56599	University - Australian National University	10.0
56600	City GPO	0.9
56600	Major Shopping Centre - Woden Plaza	2.3
56600	Hospital - The Canberra Hospital	2.7
56600	Primary School - Sacred Heart Primary School	0.1
56600	High School - Melrose High School, Pearce	0.5
56600	College - Marist College Canberra	1.0
56600	University - Australian National University	10.0
56601	City GPO	0.9
56601	Major Shopping Centre - Woden Plaza	2.3
56601	Hospital - The Canberra Hospital	2.7
56601	Primary School - Sacred Heart Primary School	0.1
56601	High School - Melrose High School, Pearce	0.6
56601	College - Marist College Canberra	1.0
56601	University - Australian National University	10.0
56602	City GPO	1.0
56602	Major Shopping Centre - Woden Plaza	2.4
56602	Hospital - The Canberra Hospital	2.9
56602	Primary School - Sacred Heart Primary School	0.1
56602	High School - Melrose High School, Pearce	0.8
56602	College - Marist College Canberra	1.2
56602	University - Australian National University	10.2
56603	City GPO	1.0
56603	Major Shopping Centre - Woden Plaza	2.5
56603	Hospital - The Canberra Hospital	2.9
56603	Primary School - Sacred Heart Primary School	0.1
56603	High School - Melrose High School, Pearce	0.8
56603	College - Marist College Canberra	1.2
56603	University - Australian National University	10.3
56604	City GPO	1.0
56604	Major Shopping Centre - Woden Plaza	2.5
56604	Hospital - The Canberra Hospital	2.9
56604	Primary School - Sacred Heart Primary School	0.1
56604	High School - Melrose High School, Pearce	0.8
56604	College - Marist College Canberra	1.2
56604	University - Australian National University	10.3
56605	City GPO	1.0
56605	Major Shopping Centre - Woden Plaza	2.5
56605	Hospital - The Canberra Hospital	2.9
56605	Primary School - Sacred Heart Primary School	0.2
56605	High School - Melrose High School, Pearce	0.8
56605	College - Marist College Canberra	1.2
56605	University - Australian National University	10.3
56606	City GPO	1.0
56606	Major Shopping Centre - Woden Plaza	2.6
56606	Hospital - The Canberra Hospital	3.0
56606	Primary School - Sacred Heart Primary School	0.2
56606	High School - Melrose High School, Pearce	0.8
56606	College - Marist College Canberra	1.3
56606	University - Australian National University	10.3
56607	City GPO	1.1
56607	Major Shopping Centre - Woden Plaza	2.6
56607	Hospital - The Canberra Hospital	3.0
56607	Primary School - Sacred Heart Primary School	0.2
56607	High School - Melrose High School, Pearce	0.9
56607	College - Marist College Canberra	1.3
56607	University - Australian National University	10.4
56608	City GPO	1.0
56608	Major Shopping Centre - Woden Plaza	2.6
56608	Hospital - The Canberra Hospital	3.0
56608	Primary School - Sacred Heart Primary School	0.2
56608	High School - Melrose High School, Pearce	0.8
56608	College - Marist College Canberra	1.3
56608	University - Australian National University	10.4
56609	City GPO	1.1
56609	Major Shopping Centre - Woden Plaza	2.6
56609	Hospital - The Canberra Hospital	3.0
56609	Primary School - Sacred Heart Primary School	0.2
56609	High School - Melrose High School, Pearce	0.9
56609	College - Marist College Canberra	1.3
56609	University - Australian National University	10.4
56610	City GPO	1.1
56610	Major Shopping Centre - Woden Plaza	2.6
56610	Hospital - The Canberra Hospital	3.0
56610	Primary School - Sacred Heart Primary School	0.2
56610	High School - Melrose High School, Pearce	0.9
56610	College - Marist College Canberra	1.3
56610	University - Australian National University	10.4
56611	City GPO	1.1
56611	Major Shopping Centre - Woden Plaza	2.6
56611	Hospital - The Canberra Hospital	3.0
56611	Primary School - Sacred Heart Primary School	0.2
56611	High School - Melrose High School, Pearce	0.9
56611	College - Marist College Canberra	1.3
56611	University - Australian National University	10.4
56612	City GPO	1.1
56612	Major Shopping Centre - Woden Plaza	2.6
56612	Hospital - The Canberra Hospital	3.0
56612	Primary School - Sacred Heart Primary School	0.2
56612	High School - Melrose High School, Pearce	0.9
56612	College - Marist College Canberra	1.3
56612	University - Australian National University	10.4
56613	City GPO	1.2
56613	Major Shopping Centre - Woden Plaza	1.8
56613	Hospital - The Canberra Hospital	2.5
56613	Primary School - Sacred Heart Primary School	0.7
56613	High School - Melrose High School, Pearce	0.8
56613	College - Marist College Canberra	0.8
56613	University - Australian National University	9.7
56614	City GPO	1.2
56614	Major Shopping Centre - Woden Plaza	1.8
56614	Hospital - The Canberra Hospital	2.5
56614	Primary School - Sacred Heart Primary School	0.7
56614	High School - Melrose High School, Pearce	0.8
56614	College - Marist College Canberra	0.8
56614	University - Australian National University	9.7
56615	City GPO	1.2
56615	Major Shopping Centre - Woden Plaza	1.8
56615	Hospital - The Canberra Hospital	2.5
56615	Primary School - Sacred Heart Primary School	0.7
56615	High School - Melrose High School, Pearce	0.8
56615	College - Marist College Canberra	0.8
56615	University - Australian National University	9.7
56616	City GPO	1.2
56616	Major Shopping Centre - Woden Plaza	1.8
56616	Hospital - The Canberra Hospital	2.5
56616	Primary School - Sacred Heart Primary School	0.7
56616	High School - Melrose High School, Pearce	0.8
56616	College - Marist College Canberra	0.8
56616	University - Australian National University	9.7
56617	City GPO	1.2
56617	Major Shopping Centre - Woden Plaza	1.8
56617	Hospital - The Canberra Hospital	2.5
56617	Primary School - Sacred Heart Primary School	0.7
56617	High School - Melrose High School, Pearce	0.8
56617	College - Marist College Canberra	0.8
56617	University - Australian National University	9.7
56618	City GPO	1.2
56618	Major Shopping Centre - Woden Plaza	1.8
56618	Hospital - The Canberra Hospital	2.5
56618	Primary School - Sacred Heart Primary School	0.7
56618	High School - Melrose High School, Pearce	0.8
56618	College - Marist College Canberra	0.8
56618	University - Australian National University	9.7
56619	City GPO	1.2
56619	Major Shopping Centre - Woden Plaza	1.8
56619	Hospital - The Canberra Hospital	2.5
56619	Primary School - Sacred Heart Primary School	0.7
56619	High School - Melrose High School, Pearce	0.8
56619	College - Marist College Canberra	0.8
56619	University - Australian National University	9.7
56620	City GPO	1.2
56620	Major Shopping Centre - Woden Plaza	1.8
56620	Hospital - The Canberra Hospital	2.5
56620	Primary School - Sacred Heart Primary School	0.7
56620	High School - Melrose High School, Pearce	0.8
56620	College - Marist College Canberra	0.8
56620	University - Australian National University	9.7
56621	City GPO	1.2
56621	Major Shopping Centre - Woden Plaza	1.8
56621	Hospital - The Canberra Hospital	2.5
56621	Primary School - Sacred Heart Primary School	0.7
56621	High School - Melrose High School, Pearce	0.8
56621	College - Marist College Canberra	0.8
56621	University - Australian National University	9.7
56622	City GPO	1.2
56622	Major Shopping Centre - Woden Plaza	1.8
56622	Hospital - The Canberra Hospital	2.5
56622	Primary School - Sacred Heart Primary School	0.7
56622	High School - Melrose High School, Pearce	0.8
56622	College - Marist College Canberra	0.8
