StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
56591	ZI-0912-MM							False	False				House	House			
56592	ZG-4603-GB							False	False				House	House			
56593	ZG-9215-YD	715000	2018-08-13					False	False	32	31		House	House			866
56594	ZO-0176-AY							False	False	33	31		House	House			826
56595	CK-5284-NP	600000	2007-05-30					False	False	34	31		House	House			862
56596	ND-5864-LJ	900000	2018-09-24					False	False	35	31		House	House			1169
56597	GK-0287-CM	790000	2012-12-01					False	False	36	31	3	House	House	2	4	1046
56598	AU-3694-QI	182000	1999-02-26					False	False	37	31		House	House			750
56599	AU-7529-JV	552000	2014-07-24					False	False	38	31		House	House			747
56600	AJ-4930-YL	725000	2011-02-23					False	False	39	31		House	House		4	743
56601	AN-7621-IC	588000	2010-08-15	Ian McNamee & Partners Projects	550	2014	35	True	False	40	31	2	House	House	1	3	929
56602	DS-3896-VM	145000	1995-02-17	Ian McNamee & Partners - Queanbeyan	500	2019	21	True	False	6	48	2	House	House	1	3	1267
56603	HU-5618-FK	700000	2018-01-09					False	False	7	48		House	House			904
56604	RM-8861-CB	148500	1995-12-22					False	False	8	48		House	House			944
56605	CH-7657-JO	200000	2000-12-07	Civium Property Group	490	2018	220	True	False	13	48	0	House	House	1	4	1099
56607	DT-0544-VF	540000	2005-12-05					False	False	15	48	2	House	House	1	4	1184
56608	HS-9746-PH							False	False				House	House			
56609	CG-5478-RE	900000	2019-10-08					False	False	17	48		House	House		3	864
56610	HM-7861-FM							False	False				Unit	Unit			
56611	ZL-7991-QN							False	False				Unit	Unit			
56612	ZG-2458-PJ							False	False				Unit	Unit			
56614	NP-4428-NK							False	False				Unit	Unit			
56615	NA-5800-WR							False	False				Unit	Unit			
56616	BI-9858-IB							False	False				Unit	Unit			
56617	FG-2461-KG							False	False				Unit	Unit			
56618	ZK-5781-RE							False	False				Unit	Unit			
56619	ZW-9057-KZ							False	False				Unit	Unit			
56620	KT-2012-IK							False	False				Unit	Unit			
56621	DE-7810-HA							False	False				Unit	Unit			
56622	KU-7525-ZU							False	False				Unit	Unit			
56623	TZ-2833-WV							False	False				House	House			
56624	SD-9961-HK	324000	2002-10-03					False	False	9	33		House	House			893
56625	CC-4612-RX			Civium Property Group	560	2018	17	False	False			2	House	House	2	4	
56626	UB-3866-QN							False	False				House	House			
56627	ZD-4594-JP							False	False				House	House			
56628	AV-3482-MR	1440000	2016-11-16	Philip Kouvelis Real estate	1300	2019	47	True	False	5	31	2	House	House	1	5	1147
56629	ZC-5469-UJ							False	False				House	House			
56630	YS-5119-HF	183000	1999-05-26					False	False	1	34	2	House	House	2	4	805
56631	DJ-1733-MD	720000	2017-11-11	Archived Peter Blackshaw Real Estate Woden & Weston Cre	520	2016	14	False	False	6	31	3	House	House	1	3	801
56632	MQ-6512-IF	120000	2001-09-05			2011	439	True	False	13	33	4	House	House	1	3	748
56633	HT-8522-KI	1010000	2018-05-17					False	False	2	34	3	House	House	2	4	857
56634	RQ-0952-YT	133000	1996-01-08					False	False	12	33		House	House			965
56635	QZ-6724-CO	392000	2007-03-31					False	False	3	34	0	House	House	1	2	742
56636	ZX-5004-UO							False	False				House	House			
56637	WB-0397-SN	524999	2013-08-14	Luton Properties Woden	440	2011	28	False	False	4	34	1	House	House	1	3	741
56638	VI-3738-PZ	720000	2019-01-14					False	False	10	33		House	House			692
56639	MV-3943-LC	428000	2013-03-14					False	True	2	29		Unit	Unit		2	
56642	YY-6459-GV	747000	2015-05-30					False	False	5	28	3	House	House	2	4	818
56643	VO-8316-QY	135000	1992-03-06					False	False	6	28	2	House	House	1	4	845
56644	RE-8608-JP	617500	2011-09-13					False	False	7	28	1	House	House	1	4	872
56645	MZ-3904-IP	127500	1992-04-13					False	False	8	28		Land	Land			725
56646	XP-2869-RV	550000	2009-04-15	Ian McNamee & Partners - Canberra	450	2010		True	False	9	28	1	House	House	1	3	1028
56647	EN-6249-JB	415000	2016-05-28					False	True	2	29	1	Unit	Unit	1	2	
56648	AO-8379-RX	375000	2014-06-08					False	False	1	28		Unit	Unit			
56649	YV-4737-YY							False	False				Unit	Unit			
56650	LI-7222-EC	652500	2008-09-19					False	False	1	28	2	House	House	1	3	971
56651	QR-8639-GA	600000	2009-12-01	Ian McNamee & Partners - Canberra	450	2011	14	True	False	10	28	2	House	House	1	3	1210
56653	ZQ-9362-RX							False	False				House	House			
56654	XC-1883-GF							False	False				House	House			
56655	MO-1082-OT							False	False				House	House			
56656	CE-0758-RE							False	False				House	House			
56657	GN-0855-VF	413000	2009-09-22					False	True	2	29	1	Unit	Unit	1	2	
56658	GJ-5176-FH							False	False				Unit	Unit			
56659	AK-6839-NW							False	False				House	House			
56660	GP-9408-UX							False	False				House	House			
56661	BC-2858-ZV	143000	1995-01-10	Hodgkinson Real Estate	350	2015	49	True	True	2	29	1	Unit	Unit	1	2	
56662	HB-8730-SK							False	False				Unit	Unit			
56663	XN-6848-NB	285000	2012-02-20					False	False	2	28		House	House			831
56664	HV-9712-ZU							False	False				House	House			
56665	PZ-8382-PJ		2014-11-28					False	False			1	House	House	2	4	
56666	HS-3002-KT		2019-10-31	Archived Peter Blackshaw Real Estate Woden & Weston Cre	425	2016	13	False	True	2	29	1	Unit	Unit	1	2	
56667	KM-4709-UU							False	False				Unit	Unit			
56668	PJ-9401-ET							False	True	1	29		Unit	Unit			
56669	AB-7750-MO		2017-12-04					False	True	1	29	2	Unit	Unit	2	3	
56670	BZ-8155-JB		2016-10-19	Peter Blackshaw Tuggeranong	450	2015	21	False	True			2	House	Townhouse	2	3	
56671	AP-6442-SX	554000	2010-05-08	Peter Blackshaw Canberra City Rentals	0	2019	8	True	True	1	29	1	Unit	Unit	2	3	
56672	ZA-4396-WU		2017-10-28	Total Property Management - Bright	430	2016	14	False	True	1	29	1	Unit	Unit	2	3	
56673	BJ-2358-ZB			Peter Blackshaw Tuggeranong	0	2019	5	False	True			2	House	Townhouse	2	3	
56674	AJ-8174-HJ	232000	1992-08-20					False	True	1	29		Unit	Unit			
56675	ZK-4310-AW							False	True	1	29		Unit	Unit		4	
56676	US-2353-SZ	135000	2000-05-17					False	True	2	29		Unit	Unit			
56677	TK-5688-SB							False	False				Unit	Unit			
56678	JJ-7577-US	900000	2017-04-08					False	False	3	28	4	House	House	2	4	762
56679	KX-2104-GZ							False	False				Unit	Unit			
56680	KM-6260-BG							False	False				Unit	Unit			
56681	EO-2608-KW	491000	2008-07-23					False	False	4	28	0	House	House	1	3	791
56682	TM-7982-IL	670000	2010-12-23					False	False	3	1	2	House	House	2	3	1105
56683	YU-7066-DI	625000	2011-04-15	Laurrie Scheele	530	2011	5	True	False	5	2	2	House	House	1	3	991
56684	GQ-0963-XB							False	False				House	House			
56685	ND-6047-WG	770000	2016-03-19					False	False	7	2	1	House	House	1	3	805
56686	JS-8270-MR							False	False				House	House			
56687	BB-8681-VJ	585000	2013-09-26	One Agency Scott Crossman	550	2019	48	True	False	9	2	1	House	House	1	3	780
56688	BG-1131-PX	285000	2001-09-13					False	False	1	2		House	House		3	991
56689	KA-9520-HK	1305000	2016-12-02					False	False	10	2		House	House			770
56690	VP-2346-OS	533000	2014-12-13	One Agency Sandy Morris	0	2019	26	True	False	11	2	1	House	House	1	3	799
56691	TX-2481-MS	745000	2018-02-09					False	False	12	2		House	House			
56692	JW-1850-MS							False	False				House	House			
56693	ZA-8375-UV	167000	1996-11-15					False	False	14	2	2	House	House	2	5	
56694	VN-4519-PU	550000	2007-03-02					False	False	1	3		House	House			1611
56695	OL-5525-DO	212500	1999-11-01					False	False	4	1		House	House			930
56696	BD-0585-GA	205000	1993-08-31					False	False	15	2		House	House			780
56697	MX-0373-EI	210000	1993-05-10					False	False	2	3		House	House			1149
56698	UC-8940-FA	411000	2006-02-03					False	False	16	2		House	House			780
56699	OH-1049-VZ	125000	2019-04-17					False	False	3	3		House	House			767
56700	ZO-8399-RI	685000	2015-07-27	McGrath Estate Agents	480	2015	20	True	False	17	2	2	House	House	1	3	780
