StreetAddressID	POI	Distance
57886	City GPO	0.2
57886	Major Shopping Centre - Woden Plaza	0.4
57886	Hospital - The Canberra Hospital	1.6
57886	Primary School - Sts Peter And Paul Primary School	0.8
57886	High School - Alfred Deakin High School	2.3
57886	College - Canberra College	0.4
57886	University - Australian National University	7.6
57887	City GPO	0.2
57887	Major Shopping Centre - Woden Plaza	0.4
57887	Hospital - The Canberra Hospital	1.6
57887	Primary School - Sts Peter And Paul Primary School	0.8
57887	High School - Alfred Deakin High School	2.3
57887	College - Canberra College	0.4
57887	University - Australian National University	7.6
57888	City GPO	0.2
57888	Major Shopping Centre - Woden Plaza	0.4
57888	Hospital - The Canberra Hospital	1.6
57888	Primary School - Sts Peter And Paul Primary School	0.8
57888	High School - Alfred Deakin High School	2.3
57888	College - Canberra College	0.4
57888	University - Australian National University	7.6
57889	City GPO	0.2
57889	Major Shopping Centre - Woden Plaza	0.4
57889	Hospital - The Canberra Hospital	1.6
57889	Primary School - Sts Peter And Paul Primary School	0.8
57889	High School - Alfred Deakin High School	2.3
57889	College - Canberra College	0.4
57889	University - Australian National University	7.6
57890	City GPO	1.2
57890	Major Shopping Centre - Woden Plaza	3.1
57890	Hospital - The Canberra Hospital	3.3
57890	Primary School - Torrens Primary	0.5
57890	High School - Melrose High School, Pearce	1.2
57890	College - Marist College Canberra	1.8
57890	University - Australian National University	10.8
57891	City GPO	1.2
57891	Major Shopping Centre - Woden Plaza	3.1
57891	Hospital - The Canberra Hospital	3.3
57891	Primary School - Torrens Primary	0.5
57891	High School - Melrose High School, Pearce	1.2
57891	College - Marist College Canberra	1.8
57891	University - Australian National University	10.8
57892	City GPO	1.2
57892	Major Shopping Centre - Woden Plaza	3.1
57892	Hospital - The Canberra Hospital	3.3
57892	Primary School - Torrens Primary	0.5
57892	High School - Melrose High School, Pearce	1.2
57892	College - Marist College Canberra	1.8
57892	University - Australian National University	10.8
57893	City GPO	1.2
57893	Major Shopping Centre - Woden Plaza	3.1
57893	Hospital - The Canberra Hospital	3.3
57893	Primary School - Torrens Primary	0.5
57893	High School - Melrose High School, Pearce	1.2
57893	College - Marist College Canberra	1.8
57893	University - Australian National University	10.8
57894	City GPO	1.2
57894	Major Shopping Centre - Woden Plaza	3.1
57894	Hospital - The Canberra Hospital	3.3
57894	Primary School - Torrens Primary	0.5
57894	High School - Melrose High School, Pearce	1.2
57894	College - Marist College Canberra	1.8
57894	University - Australian National University	10.8
57895	City GPO	1.2
57895	Major Shopping Centre - Woden Plaza	3.1
57895	Hospital - The Canberra Hospital	3.3
57895	Primary School - Torrens Primary	0.5
57895	High School - Melrose High School, Pearce	1.2
57895	College - Marist College Canberra	1.8
57895	University - Australian National University	10.8
57896	City GPO	1.2
57896	Major Shopping Centre - Woden Plaza	3.1
57896	Hospital - The Canberra Hospital	3.3
57896	Primary School - Torrens Primary	0.5
57896	High School - Melrose High School, Pearce	1.2
57896	College - Marist College Canberra	1.8
57896	University - Australian National University	10.8
57897	City GPO	1.3
57897	Major Shopping Centre - Woden Plaza	3.2
57897	Hospital - The Canberra Hospital	3.4
57897	Primary School - Torrens Primary	0.7
57897	High School - Melrose High School, Pearce	1.3
57897	College - Marist College Canberra	1.9
57897	University - Australian National University	10.9
57898	City GPO	1.3
57898	Major Shopping Centre - Woden Plaza	3.2
57898	Hospital - The Canberra Hospital	3.4
57898	Primary School - Torrens Primary	0.7
57898	High School - Melrose High School, Pearce	1.3
57898	College - Marist College Canberra	1.9
57898	University - Australian National University	10.9
57899	City GPO	1.3
57899	Major Shopping Centre - Woden Plaza	3.2
57899	Hospital - The Canberra Hospital	3.4
57899	Primary School - Torrens Primary	0.6
57899	High School - Melrose High School, Pearce	1.3
57899	College - Marist College Canberra	1.9
57899	University - Australian National University	10.9
57900	City GPO	1.4
57900	Major Shopping Centre - Woden Plaza	3.2
57900	Hospital - The Canberra Hospital	3.5
57900	Primary School - Torrens Primary	0.7
57900	High School - Melrose High School, Pearce	1.4
57900	College - Marist College Canberra	1.9
57900	University - Australian National University	10.9
57901	City GPO	1.3
57901	Major Shopping Centre - Woden Plaza	3.2
57901	Hospital - The Canberra Hospital	3.5
57901	Primary School - Torrens Primary	0.7
57901	High School - Melrose High School, Pearce	1.4
57901	College - Marist College Canberra	1.9
57901	University - Australian National University	10.9
57902	City GPO	1.4
57902	Major Shopping Centre - Woden Plaza	3.2
57902	Hospital - The Canberra Hospital	3.5
57902	Primary School - Torrens Primary	0.7
57902	High School - Melrose High School, Pearce	1.4
57902	College - Marist College Canberra	1.9
57902	University - Australian National University	10.9
57903	City GPO	1.4
57903	Major Shopping Centre - Woden Plaza	3.3
57903	Hospital - The Canberra Hospital	3.5
57903	Primary School - Torrens Primary	0.7
57903	High School - Melrose High School, Pearce	1.4
57903	College - Marist College Canberra	1.9
57903	University - Australian National University	11.0
57904	City GPO	1.2
57904	Major Shopping Centre - Woden Plaza	3.1
57904	Hospital - The Canberra Hospital	3.3
57904	Primary School - Torrens Primary	0.5
57904	High School - Melrose High School, Pearce	1.2
57904	College - Marist College Canberra	1.8
57904	University - Australian National University	10.8
57905	City GPO	1.2
57905	Major Shopping Centre - Woden Plaza	3.1
57905	Hospital - The Canberra Hospital	3.3
57905	Primary School - Torrens Primary	0.5
57905	High School - Melrose High School, Pearce	1.2
57905	College - Marist College Canberra	1.8
57905	University - Australian National University	10.8
57906	City GPO	1.2
57906	Major Shopping Centre - Woden Plaza	3.1
57906	Hospital - The Canberra Hospital	3.3
57906	Primary School - Torrens Primary	0.5
57906	High School - Melrose High School, Pearce	1.2
57906	College - Marist College Canberra	1.8
57906	University - Australian National University	10.8
57907	City GPO	1.2
57907	Major Shopping Centre - Woden Plaza	3.1
57907	Hospital - The Canberra Hospital	3.3
57907	Primary School - Torrens Primary	0.5
57907	High School - Melrose High School, Pearce	1.2
57907	College - Marist College Canberra	1.8
57907	University - Australian National University	10.8
57908	City GPO	1.2
57908	Major Shopping Centre - Woden Plaza	3.1
57908	Hospital - The Canberra Hospital	3.3
57908	Primary School - Torrens Primary	0.5
57908	High School - Melrose High School, Pearce	1.2
57908	College - Marist College Canberra	1.8
