StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
57886	DK-5045-ZN			Fiona Wall Properties	395	2017	21	False	False			1	Unit	Duplex	1	2	
57887	FC-4573-LH							False	False				Unit	Unit			
57888	QJ-1546-AU			Manage Me - Property Sales	0	2020	304	False	False			0	House	House	1	2	
57889	PL-9380-SK			Bertram Ellis	410	2019	14	False	False			1	House	Townhouse	1	2	
57891	QW-3929-VX	530000	2012-02-21					False	True	1	35		Unit	Unit			
57892	JE-6731-FS							False	True				Unit	Unit			
57893	BM-4139-MK	407000	2018-03-24					False	True	1	35	1	Unit	Unit	1	1	
57894	II-6872-TK		2015-02-07					False	True			1	Unit	Unit	1	1	
57895	DM-0827-BR	468000	2018-08-30	Hathaway Real Estate	430	2017	26	False	True	1	35	1	Unit	Unit	1	2	
57896	UC-4357-FJ							False	True				Unit	Unit			
57898	PV-5302-II							False	False				House	House			
57899	VE-5401-UE	550000	2012-12-21					False	False	2	34		House	House		3	733
57900	IE-0731-CC	430000	2006-11-12					False	False	9	25		House	House		3	699
57901	VO-5691-QE	510000	2008-10-21	Cream Residential	440	2015	17	True	False	1	34	2	House	House	1	3	943
57902	IA-9515-QN							False	False	10	25	2	House	House	1	3	760
57903	QI-2379-XC	700000	2017-10-27					False	False	1	33	1	House	House	2	4	894
57905	LI-7494-KJ	355000	2010-03-05					False	True	1	35	1	Unit	Unit	1	1	
57906	XO-4825-TD							False	False			0	House	Semi	1	1	
57907	KH-9006-BP							False	True				Unit	Unit			
57908	ZN-5374-TK			Manage Me - Property Sales	300	2018	10	False	False			0	Unit	Unit	1	1	
57909	LQ-3461-CQ			Bertram Ellis	325	2019	83	False	False			1	House	House	1	1	
57910	OV-5729-IK	405000	2005-07-13					False	False	8	24		House	House		3	729
57912	KK-4393-CG			Key Real Estate ACT	0	2019	37	False	False			2	House	House	1	4	
57913	GM-7545-IG							False	False				House	House			
57914	CO-7421-DO							False	False	13	33		House	House			949
57916	EI-1983-EB	425000	2003-04-28					False	False	12	33		House	House		6	1090
