StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
59090	Rental	22577	LJ Hooker Commercial Canberra	2019-11-13T00:00:00	28000.0	PER WEEK	26.0
59090	Rental	11453	Raine & Horne Commercial Canberra	2018-04-11T00:00:00	0.0	PER WEEK	33.0
59090	Rental		LJ Hooker Canberra Comm	2017-06-09T00:00:00	32500.0	PER WEEK	668.0
59092	Sale	2004-10-18T00:00:00	1000000	PRIVATE TREATY			
59092	Sale	1996-08-14T00:00:00	610000	PRIVATE TREATY			
59095	Rental	22877	Barton Commercial Property	2016-04-27T00:00:00	36000.0	PER WEEK	504.0
59096	Sale	1999-02-01T00:00:00	150000	PRIVATE TREATY			
59098	Sale	2008-11-19T00:00:00	990000	PRIVATE TREATY			
59098	Sale	2006-03-16T00:00:00	675000	PRIVATE TREATY			
59099	Sale		LJ Hooker Canberra Comm	2017-06-20T00:00:00	374000.0	PRIVATE TREATY	251.0
59099	Sale	1998-10-01T00:00:00	138000	PRIVATE TREATY			
59099	Sale	1991-05-21T00:00:00	173000	PRIVATE TREATY			
59104	Sale	22577	LJ Hooker Commercial Canberra	2016-02-03T00:00:00	345800.0	Listed - not sold	134.0
59104	Sale	1998-07-17T00:00:00	130000	PRIVATE TREATY			
59104	Sale	1991-03-26T00:00:00	167000	PRIVATE TREATY			
59107	Sale	22577	LJ Hooker Commercial Canberra	2016-02-03T00:00:00	414200.0	Listed - not sold	252.0
59107	Sale	2000-06-26T00:00:00	125000	PRIVATE TREATY			
59107	Sale	1991-04-30T00:00:00	170000	PRIVATE TREATY			
59109	Sale	1992-07-08T00:00:00	350000	PRIVATE TREATY			
59111	Rental	11453	Raine & Horne Commercial Canberra	2019-03-21T00:00:00	74000.0	PER WEEK	592.0
59111	Rental	22577	LJ Hooker Commercial Canberra	2014-11-05T00:00:00		PER WEEK	580.0
59111	Rental		Raine & Horne Comm Canberra	2012-09-04T00:00:00	78000.0	PER WEEK	
59112	Sale	2006-11-16T00:00:00	440000	PRIVATE TREATY			
59112	Sale	1991-05-30T00:00:00	200000	PRIVATE TREATY			
59114	Sale	2012-05-30T00:00:00	415000	PRIVATE TREATY			
59114	Sale	1991-11-15T00:00:00	200000	PRIVATE TREATY			
59115	Sale	2006-05-24T00:00:00	1160000	PRIVATE TREATY			
59115	Sale	1992-01-23T00:00:00	140000	PRIVATE TREATY			
59116	Sale	1991-11-25T00:00:00	380000	PRIVATE TREATY			
59118	Sale	1998-09-02T00:00:00	492500	PRIVATE TREATY			
59120	Sale	1995-04-13T00:00:00	900000	PRIVATE TREATY			
59130	Rental		Raine & Horne Comm Canberra	2007-04-06T00:00:00	32000.0	PER WEEK	155.0
59135	Rental		Raine & Horne Comm Canberra	2013-05-09T00:00:00	35000.0	PER WEEK	35.0
59136	Sale	2004-10-18T00:00:00	400000	PRIVATE TREATY			
59136	Sale	1996-08-14T00:00:00	610000	PRIVATE TREATY			
59139	Sale	2018-12-14T00:00:00	395000	PRIVATE TREATY			
59139	Sale	2003-05-01T00:00:00	297000	PRIVATE TREATY			
59139	Sale	1996-10-09T00:00:00	100000	PRIVATE TREATY			
59146	Sale	2000-04-14T00:00:00	390000	PRIVATE TREATY			
59147	Sale	2007-11-30T00:00:00	6000000	PRIVATE TREATY			
59147	Sale	1998-02-11T00:00:00	482634	PRIVATE TREATY			
59148	Sale	1996-06-27T00:00:00	315000	PRIVATE TREATY			
59151	Sale	11453	Raine & Horne Commercial Canberra	2019-06-28T00:00:00	720000.0	PRIVATE TREATY	239.0
59151	Sale	2016-12-01T00:00:00	300000	PRIVATE TREATY			
59151	Sale	2008-06-13T00:00:00	700000	PRIVATE TREATY			
59151	Sale	2006-07-07T00:00:00	237500	PRIVATE TREATY			
59151	Sale	1998-05-05T00:00:00	145000	PRIVATE TREATY			
59153	Sale	2012-10-05T00:00:00	778000	PRIVATE TREATY			
59153	Sale	1998-03-28T00:00:00	250000	PRIVATE TREATY			
59161	Sale	2004-08-20T00:00:00	700000	PRIVATE TREATY			
59161	Sale	2001-06-28T00:00:00	575000	PRIVATE TREATY			
59161	Sale	1992-01-29T00:00:00	350000	PRIVATE TREATY			
59172	Sale	1992-03-27T00:00:00	445000	PRIVATE TREATY			
59174	Sale	19647	Civium Property Group - Commercial	2017-06-11T00:00:00	1850000.0	Listed - not sold	9.0
59174	Rental	22577	LJ Hooker Commercial Canberra	2015-04-16T00:00:00	54000.0	PER WEEK	552.0
59174	Sale	2003-08-28T00:00:00	905000	PRIVATE TREATY			
59181	Sale	2006-05-10T00:00:00	365000	PRIVATE TREATY			
59181	Sale	1994-05-02T00:00:00	200000	PRIVATE TREATY			
59181	Sale	1991-10-15T00:00:00	175000	PRIVATE TREATY			
59186	Rental	11453	Raine & Horne Commercial Canberra	2019-01-30T00:00:00	0.0	PER WEEK	518.0
59188	Sale	2001-07-04T00:00:00	85000	PRIVATE TREATY			
59188	Sale	1991-01-31T00:00:00	245000	PRIVATE TREATY			
59193	Rental	22577	LJ Hooker Commercial Canberra	2015-12-02T00:00:00		PER WEEK	768.0
59193	Sale	2015-08-05T00:00:00	1515000	PRIVATE TREATY			
59193	Sale	2006-09-19T00:00:00	1330000	PRIVATE TREATY			
59193	Sale	2001-06-06T00:00:00	778000	PRIVATE TREATY			
59193	Sale	1997-06-07T00:00:00	465000	PRIVATE TREATY			
59194	Sale	1999-11-17T00:00:00	565000	PRIVATE TREATY			
59194	Sale	1995-08-17T00:00:00	463500	PRIVATE TREATY			
59195	Rental	22577	LJ Hooker Commercial Canberra	2020-02-05T00:00:00		PER WEEK	2294.0
59195	Sale	2013-05-27T00:00:00	535000	PRIVATE TREATY			
59195	Sale	2008-01-04T00:00:00	1150000	PRIVATE TREATY			
59197	Sale	1993-11-09T00:00:00	106333	PRIVATE TREATY			
59202	Rental	19647	Civium Property Group - Commercial	2017-11-21T00:00:00	170000.0	PER WEEK	173.0
59204	Sale	2002-03-14T00:00:00	145000	PRIVATE TREATY			
59204	Sale	1991-01-14T00:00:00	180000	PRIVATE TREATY			
59205	Sale		LJ Hooker Canberra Comm	2003-04-04T00:00:00	440000.0	PRIVATE TREATY	
59205	Sale	2002-08-29T00:00:00	400000	PRIVATE TREATY			
59205	Sale	1997-05-02T00:00:00	384000	PRIVATE TREATY			
59205	Sale	1995-08-23T00:00:00	380000	PRIVATE TREATY			
59206	Sale	2014-03-06T00:00:00	900000	PRIVATE TREATY			
59210	Sale	2011-08-29T00:00:00	2100000	PRIVATE TREATY			
59210	Rental		CIVIUM - Build Develop Create	2009-10-29T00:00:00	87000.0	PER WEEK	
59210	Rental		Beachside Realty - HENLEY BEACH	2008-11-03T00:00:00	87000.0	PER WEEK	80.0
59211	Sale	2009-09-15T00:00:00	480000	PRIVATE TREATY			
59213	Sale	19647	Civium Property Group - Commercial	2017-06-01T00:00:00	350000.0	Listed - not sold	54.0
59213	Sale	24120	Laing+Simmons Commercial Canberra	2016-05-05T00:00:00	350000.0	Listed - not sold	118.0
59215	Rental		Raine & Horne Comm Canberra	2007-09-19T00:00:00		PER WEEK	321.0
59220	Sale	11157	Savills Canberra	2016-04-27T00:00:00	575000.0	PRIVATE TREATY	146.0
59220	Rental	22577	LJ Hooker Commercial Canberra	2014-04-02T00:00:00		PER WEEK	159.0
59220	Sale	2014-02-17T00:00:00	489500	PRIVATE TREATY	115.0		
59221	Sale	2013-06-04T00:00:00	345000	PRIVATE TREATY			
59222	Sale	2018-11-05T00:00:00	447500	PRIVATE TREATY			
59222	Sale	22877	Barton Commercial Property	2017-12-10T00:00:00	480000.0	Listed - not sold	52.0
59222	Sale	2013-05-21T00:00:00	390000	PRIVATE TREATY			
59223	Sale	2016-08-04T00:00:00	407000	PRIVATE TREATY			
59223	Sale	11453	Raine & Horne Commercial Canberra	2014-08-21T00:00:00		Listed - not sold	160.0
59224	Sale	2012-11-21T00:00:00	430000	PRIVATE TREATY			
59225	Rental	22877	Barton Commercial Property	2020-02-05T00:00:00	37500.0	PER WEEK	339.0
59225	Sale	22877	Barton Commercial Property	2019-08-01T00:00:00	470000.0	Listed - not sold	22.0
59225	Sale	2014-12-22T00:00:00	380000	PRIVATE TREATY			
59225	Sale	2013-06-14T00:00:00	430000	PRIVATE TREATY			
59226	Sale	2016-04-18T00:00:00	385000	PRIVATE TREATY			
59226	Rental	23279	CBRE Canberra	2014-08-20T00:00:00		PER WEEK	38.0
59226	Sale	23279	CBRE Canberra	2014-07-13T00:00:00		Listed - not sold	185.0
59228	Sale	2014-02-17T00:00:00	473000	PRIVATE TREATY			
59229	Sale	2017-02-24T00:00:00	380000	PRIVATE TREATY			
59230	Sale		CBR Property	2017-12-22T00:00:00	455000.0	PRIVATE TREATY	227.0
59231	Rental		LJ Hooker Canberra Comm	2018-09-28T00:00:00	48000.0	PER WEEK	280.0
59231	Rental		Barton Commercial Property	2017-02-22T00:00:00	48000.0	PER WEEK	222.0
59232	Sale	23279	CBRE Canberra	2017-03-24T00:00:00	412500.0	PRIVATE TREATY	50.0
59232	Sale	22577	LJ Hooker Commercial Canberra	2013-10-25T00:00:00	392500.0	Listed - not sold	
59232	Rental	22577	LJ Hooker Commercial Canberra	2013-10-25T00:00:00		PER WEEK	
59233	Sale		LJ Hooker Canberra Comm	2017-12-22T00:00:00	485000.0	PRIVATE TREATY	227.0
59233	Sale		LJ Hooker Canberra City	2015-11-12T00:00:00		Listed - not sold	322.0
59233	Sale	22877	Barton Commercial Property	2014-12-10T00:00:00	650000.0	Listed - not sold	35.0
59233	Rental	22577	LJ Hooker Commercial Canberra	2014-05-07T00:00:00		PER WEEK	194.0
59233	Sale	22577	LJ Hooker Commercial Canberra	2013-10-25T00:00:00	650000.0	Listed - not sold	194.0
59234	Rental	19647	Civium Property Group - Commercial	2020-02-05T00:00:00	0.0	PER WEEK	456.0
59234	Rental	11453	Raine & Horne Commercial Canberra	2012-09-04T00:00:00	0.0	PER WEEK	
59235	Sale	2013-01-30T00:00:00	418000	PRIVATE TREATY			
59237	Sale	2018-08-22T00:00:00	380000	PRIVATE TREATY			
59238	Sale	2011-06-29T00:00:00	350000	PRIVATE TREATY			
59239	Sale	2011-12-15T00:00:00	395000	PRIVATE TREATY			
59240	Sale	2011-03-31T00:00:00	385000	PRIVATE TREATY			
59242	Rental	22577	LJ Hooker Commercial Canberra	2016-08-28T00:00:00		PER WEEK	4.0
59242	Sale	19866	Knight Frank Canberra	2013-07-16T00:00:00		Listed - not sold	547.0
59243	Rental		CIVIUM - Build Develop Create	2017-12-17T00:00:00	49280.0	PER WEEK	37.0
59243	Sale	28736	Thomas Pucci Commercial	2016-12-21T00:00:00	1980000.0	PRIVATE TREATY	33.0
59244	Sale	22877	Barton Commercial Property	2017-11-28T00:00:00	415000.0	PRIVATE TREATY	202.0
59244	Sale	2016-11-04T00:00:00	401500	PRIVATE TREATY			
59244	Sale	2013-11-01T00:00:00	346500	PRIVATE TREATY			
59246	Sale	22577	LJ Hooker Commercial Canberra	2014-05-15T00:00:00		Listed - not sold	510.0
59246	Sale	2008-03-31T00:00:00	1000000	PRIVATE TREATY			
59247	Sale	2010-04-21T00:00:00	1100000	PRIVATE TREATY			
59247	Sale	2008-03-31T00:00:00	950000	PRIVATE TREATY			
59251	Sale		PBR Manuka	2002-09-08T00:00:00	502500.0	AUCTION	
59386	Rental	13913	Total Property Management - Bright Partners	2016-01-06T00:00:00		PER WEEK	280.0
59414	Sale	2006-03-06T00:00:00	1150000	PRIVATE TREATY			
59414	Sale	2003-03-10T00:00:00	850000	PRIVATE TREATY	96.0		
59414	Sale	1994-10-12T00:00:00	305000	PRIVATE TREATY			
59415	Rental	11453	Raine & Horne Commercial Canberra	2014-12-17T00:00:00	196350.0	PER WEEK	243.0
59415	Sale	2011-02-02T00:00:00	501425	PRIVATE TREATY			
59415	Sale	2002-04-17T00:00:00	895000	PRIVATE TREATY			
59415	Sale	1998-11-12T00:00:00	355000	PRIVATE TREATY			
59421	Rental	13913	Total Property Management - Bright Partners	2015-09-16T00:00:00		PER WEEK	168.0
59444	Rental	22577	LJ Hooker Commercial Canberra	2016-03-30T00:00:00	17500.0	PER WEEK	101.0
59451	Sale		Knight Frank - Canberra	2012-08-02T00:00:00		Listed - not sold	440.0
59461	Sale	2012-04-12T00:00:00	1000000	PRIVATE TREATY			
59463	Sale	2012-08-22T00:00:00	990000	PRIVATE TREATY			
59465	Sale	2012-02-03T00:00:00	1200000	PRIVATE TREATY			
59473	Sale	22577	LJ Hooker Commercial Canberra	2015-09-17T00:00:00		PRIVATE TREATY	692.0
59473	Rental	22877	Barton Commercial Property	2015-09-16T00:00:00		PER WEEK	280.0
59489	Rental	19647	Civium Property Group - Commercial	2017-11-28T00:00:00	105000.0	PER WEEK	182.0
59489	Sale	1992-06-30T00:00:00	420000	PRIVATE TREATY			
59493	Sale	2019-07-17T00:00:00	5480000	PRIVATE TREATY			
59493	Sale	2015-09-09T00:00:00	1200000	PRIVATE TREATY			
59493	Sale	2006-01-25T00:00:00	1237500	PRIVATE TREATY			
59496	Sale	2001-05-10T00:00:00	350000	PRIVATE TREATY			
59497	Sale	2007-08-20T00:00:00	220000	PRIVATE TREATY			
59497	Sale	2004-06-08T00:00:00	125000	PRIVATE TREATY			
59501	Sale	1993-09-01T00:00:00	3750000	PRIVATE TREATY			
59502	Rental		LJ Hooker Canberra Comm	2017-06-28T00:00:00	90000.0	PER WEEK	846.0
59502	Sale	2013-07-01T00:00:00	400000	PRIVATE TREATY			
59502	Sale	2012-06-30T00:00:00	150000	PRIVATE TREATY			
59502	Sale	2010-10-14T00:00:00	865000	PRIVATE TREATY			
59502	Sale	2006-01-16T00:00:00	750000	PRIVATE TREATY			
59514	Rental	22577	LJ Hooker Commercial Canberra	2014-09-10T00:00:00		PER WEEK	199.0
59514	Sale	22577	LJ Hooker Commercial Canberra	2014-07-08T00:00:00	550000.0	Listed - not sold	64.0
59515	Sale	1993-12-06T00:00:00	174000	PRIVATE TREATY			
59517	Sale	2006-09-11T00:00:00	1400000	PRIVATE TREATY			
59517	Sale	2000-03-08T00:00:00	550000	PRIVATE TREATY			
59523	Rental	22577	LJ Hooker Commercial Canberra	2020-02-05T00:00:00		PER WEEK	841.0
59523	Sale	24120	Laing+Simmons Commercial Canberra	2015-10-30T00:00:00	2777500.0	PRIVATE TREATY	89.0
59523	Sale	2006-09-29T00:00:00	3300000	PRIVATE TREATY			
59523	Sale	2001-11-22T00:00:00	300000	PRIVATE TREATY			
59525	Rental		Raine & Horne Comm Canberra	2016-01-13T00:00:00	226500.0	PER WEEK	826.0
59525	Sale		Raine & Horne Comm Canberra	2013-10-09T00:00:00	1900000.0	Listed - not sold	826.0
59525	Sale	2003-07-09T00:00:00	1450000	PRIVATE TREATY			
59527	Sale	2003-04-08T00:00:00	53500	PRIVATE TREATY			
59528	Sale	24120	Laing+Simmons Commercial Canberra	2019-01-15T00:00:00		PRIVATE TREATY	244.0
59528	Sale	1993-12-02T00:00:00	185000	PRIVATE TREATY			
59529	Sale	2008-01-18T00:00:00	5500000	PRIVATE TREATY			
59529	Sale	2002-05-23T00:00:00	293000	PRIVATE TREATY			
59530	Sale	11453	Raine & Horne Commercial Canberra	2012-09-04T00:00:00	2500000.0	Listed - not sold	386.0
59531	Rental		Raine & Horne Comm Canberra	2008-03-13T00:00:00		PER WEEK	356.0
59531	Sale	2006-04-24T00:00:00	800000	PRIVATE TREATY			
59531	Sale	2005-03-03T00:00:00	800000	PRIVATE TREATY			
59533	Rental	11453	Raine & Horne Commercial Canberra	2015-02-04T00:00:00	90000.0	PER WEEK	302.0
59538	Sale	2003-04-08T00:00:00	107000	PRIVATE TREATY			
59539	Sale	1995-06-16T00:00:00	600000	PRIVATE TREATY			
59543	Sale	2005-11-02T00:00:00	800000	PRIVATE TREATY			
59554	Sale	2005-11-02T00:00:00	660000	PRIVATE TREATY			
59559	Sale	2019-04-18T00:00:00	17000000	PRIVATE TREATY			
59559	Sale	2006-02-24T00:00:00	2035000	PRIVATE TREATY			
59566	Sale	23269	CBRE Sydney	2017-10-26T00:00:00		Listed - not sold	7.0
59566	Sale	11453	Raine & Horne Commercial Canberra	2015-02-25T00:00:00	1980000.0	PRIVATE TREATY	904.0
59566	Sale	2010-07-28T00:00:00	2100000	PRIVATE TREATY			
59566	Sale	2007-08-03T00:00:00	1908500	PRIVATE TREATY			
59568	Sale	2009-12-04T00:00:00	1500000	PRIVATE TREATY			
59568	Sale	2007-10-09T00:00:00	1727000	PRIVATE TREATY			
59575	Sale		JLL - Canberra	2000-04-12T00:00:00	2300000.0	AUCTION	
59602	Sale	2018-04-04T00:00:00	271600	PRIVATE TREATY			
59602	Sale	2002-05-03T00:00:00	325000	PRIVATE TREATY			
59602	Sale	1993-12-30T00:00:00	1800000	PRIVATE TREATY			
59609	Sale		CBR Property	2015-11-27T00:00:00	42200000.0	PRIVATE TREATY	91.0
59618	Rental	22577	LJ Hooker Commercial Canberra	2018-02-18T00:00:00		PER WEEK	357.0
59618	Sale	2014-07-08T00:00:00	13	PRIVATE TREATY			
59618	Sale	2001-06-14T00:00:00	13	PRIVATE TREATY			
59619	Sale	2018-04-04T00:00:00	268800	PRIVATE TREATY			
59619	Sale	2002-05-03T00:00:00	325000	PRIVATE TREATY			
59619	Sale	1994-08-02T00:00:00	140000	PRIVATE TREATY			
59619	Sale	1993-08-16T00:00:00	40000	PRIVATE TREATY			
59619	Sale	1992-09-04T00:00:00	125000	PRIVATE TREATY			
59631	Sale	2018-04-04T00:00:00	277200	PRIVATE TREATY			
59631	Sale	2002-05-03T00:00:00	325000	PRIVATE TREATY			
59631	Sale	1997-01-31T00:00:00	142000	PRIVATE TREATY			
59631	Sale	1992-09-10T00:00:00	125000	PRIVATE TREATY			
59641	Sale	2018-04-04T00:00:00	271600	PRIVATE TREATY			
59641	Sale	2002-05-03T00:00:00	325000	PRIVATE TREATY			
59641	Sale	1997-01-31T00:00:00	142000	PRIVATE TREATY			
59641	Sale	1992-09-11T00:00:00	125000	PRIVATE TREATY			
59643	Sale	2018-04-04T00:00:00	1710800	PRIVATE TREATY			
59643	Sale	2002-05-03T00:00:00	325000	PRIVATE TREATY			
59643	Sale	1993-12-30T00:00:00	1800000	PRIVATE TREATY			
59654	Rental	11453	Raine & Horne Commercial Canberra	2016-10-28T00:00:00	27075.0	PER WEEK	121.0
59657	Sale	2010-06-28T00:00:00	286000	PRIVATE TREATY			
59657	Sale	2008-02-19T00:00:00	231000	PRIVATE TREATY			
59660	Sale	11453	Raine & Horne Commercial Canberra	2015-04-20T00:00:00		PRIVATE TREATY	22.0
59660	Sale	2010-02-25T00:00:00	495000	PRIVATE TREATY			
59660	Sale	2007-05-04T00:00:00	500000	PRIVATE TREATY			
59661	Sale	2019-09-11T00:00:00	1039000	PRIVATE TREATY			
59661	Sale	2006-06-29T00:00:00	737000	PRIVATE TREATY			
59661	Sale	1994-04-13T00:00:00	210000	PRIVATE TREATY			
59662	Sale	2011-03-31T00:00:00	560000	PRIVATE TREATY			
59662	Sale	2003-05-05T00:00:00	330000	PRIVATE TREATY			
59663	Sale	2005-07-22T00:00:00	337500	PRIVATE TREATY			
59669	Sale	22877	Barton Commercial Property	2017-07-18T00:00:00		Listed - not sold	210.0
59672	Sale	2006-06-09T00:00:00	715000	PRIVATE TREATY			
59672	Sale	1998-02-10T00:00:00	370000	PRIVATE TREATY			
59680	Sale	2011-06-15T00:00:00	815000	PRIVATE TREATY			
59680	Sale	1997-05-14T00:00:00	235000	PRIVATE TREATY			
59680	Sale	1995-08-17T00:00:00	160000	PRIVATE TREATY			
59682	Sale	23279	CBRE Canberra	2017-07-06T00:00:00	1100000.0	PRIVATE TREATY	1222.0
59682	Sale	2004-09-22T00:00:00	1000	PRIVATE TREATY			
59682	Sale	1996-05-02T00:00:00	315000	PRIVATE TREATY			
59691	Rental	11453	Raine & Horne Commercial Canberra	2013-04-25T00:00:00	20160.0	PER WEEK	230.0
59695	Sale	2008-09-25T00:00:00	632500	PRIVATE TREATY			
59697	Sale	2016-03-30T00:00:00	400000	PRIVATE TREATY			
59697	Sale	2008-04-11T00:00:00	500000	PRIVATE TREATY			
59698	Rental	11453	Raine & Horne Commercial Canberra	2016-03-23T00:00:00	30000.0	PER WEEK	57.0
59699	Sale	2015-09-25T00:00:00	495000	PRIVATE TREATY			
59699	Sale	1995-12-29T00:00:00	180000	PRIVATE TREATY			
59701	Sale	2006-05-12T00:00:00	330000	PRIVATE TREATY			
59701	Sale	2003-08-14T00:00:00	297000	PRIVATE TREATY			
59701	Sale	1999-03-05T00:00:00	145000	PRIVATE TREATY			
59702	Sale	2005-07-22T00:00:00	337500	PRIVATE TREATY			
59711	Sale	2002-02-27T00:00:00	1200000	PRIVATE TREATY			
59712	Sale	2011-12-22T00:00:00	1000000	PRIVATE TREATY			
59714	Sale	1992-07-16T00:00:00	180000	PRIVATE TREATY			
59718	Sale	2007-12-14T00:00:00	423500	PRIVATE TREATY			
59720	Sale	2010-12-21T00:00:00	525000	PRIVATE TREATY			
59720	Sale	2007-03-03T00:00:00	495000	PRIVATE TREATY			
59721	Sale	2011-07-08T00:00:00	190000	PRIVATE TREATY			
59721	Sale	2009-07-01T00:00:00	186250	PRIVATE TREATY			
59721	Sale	1999-01-06T00:00:00	94346	PRIVATE TREATY			
59724	Rental		Laing+Simmons Commercial Canberra	2016-10-14T00:00:00		PER WEEK	439.0
59724	Sale	2000-05-12T00:00:00		PRIVATE TREATY			
59725	Rental		Laing+Simmons Commercial Canberra	2016-10-14T00:00:00		PER WEEK	439.0
59725	Sale	2000-05-12T00:00:00		PRIVATE TREATY			
