StreetAddressID	POI	Distance
62278	City GPO	1.1
62278	Major Shopping Centre - Woden Plaza	3.0
62278	Hospital - The Canberra Hospital	3.3
62278	Primary School - Torrens Primary	0.5
62278	High School - Melrose High School, Pearce	1.1
62278	College - Marist College Canberra	1.7
62278	University - Australian National University	10.7
62279	City GPO	2.8
62279	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62279	Hospital - The Canberra Hospital	5.8
62279	Primary School - St Benedict's Primary School	1.4
62279	High School - Telopea High School, Barton	3.5
62279	College - Narrabundah College	1.5
62279	University - Australian National University	7.3
62280	City GPO	2.8
62280	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62280	Hospital - The Canberra Hospital	5.8
62280	Primary School - St Benedict's Primary School	1.4
62280	High School - Telopea High School, Barton	3.5
62280	College - Narrabundah College	1.5
62280	University - Australian National University	7.3
62281	City GPO	2.8
62281	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62281	Hospital - The Canberra Hospital	5.8
62281	Primary School - St Benedict's Primary School	1.4
62281	High School - Telopea High School, Barton	3.5
62281	College - Narrabundah College	1.5
62281	University - Australian National University	7.3
62282	City GPO	2.8
62282	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62282	Hospital - The Canberra Hospital	5.8
62282	Primary School - St Benedict's Primary School	1.4
62282	High School - Telopea High School, Barton	3.5
62282	College - Narrabundah College	1.5
62282	University - Australian National University	7.3
62283	City GPO	2.8
62283	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62283	Hospital - The Canberra Hospital	5.8
62283	Primary School - St Benedict's Primary School	1.4
62283	High School - Telopea High School, Barton	3.5
62283	College - Narrabundah College	1.5
62283	University - Australian National University	7.3
62284	City GPO	2.8
62284	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62284	Hospital - The Canberra Hospital	5.8
62284	Primary School - St Benedict's Primary School	1.4
62284	High School - Telopea High School, Barton	3.5
62284	College - Narrabundah College	1.5
62284	University - Australian National University	7.3
62285	City GPO	2.8
62285	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62285	Hospital - The Canberra Hospital	5.8
62285	Primary School - St Benedict's Primary School	1.4
62285	High School - Telopea High School, Barton	3.5
62285	College - Narrabundah College	1.5
62285	University - Australian National University	7.3
62286	City GPO	2.8
62286	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62286	Hospital - The Canberra Hospital	5.8
62286	Primary School - St Benedict's Primary School	1.4
62286	High School - Telopea High School, Barton	3.5
62286	College - Narrabundah College	1.5
62286	University - Australian National University	7.3
62287	City GPO	2.8
62287	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62287	Hospital - The Canberra Hospital	5.8
62287	Primary School - St Benedict's Primary School	1.4
62287	High School - Telopea High School, Barton	3.5
62287	College - Narrabundah College	1.5
62287	University - Australian National University	7.3
62288	City GPO	2.8
62288	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62288	Hospital - The Canberra Hospital	5.8
62288	Primary School - St Benedict's Primary School	1.4
62288	High School - Telopea High School, Barton	3.5
62288	College - Narrabundah College	1.5
62288	University - Australian National University	7.3
62289	City GPO	2.8
62289	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62289	Hospital - The Canberra Hospital	5.8
62289	Primary School - St Benedict's Primary School	1.4
62289	High School - Telopea High School, Barton	3.5
62289	College - Narrabundah College	1.5
62289	University - Australian National University	7.3
62290	City GPO	2.8
62290	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62290	Hospital - The Canberra Hospital	5.8
62290	Primary School - St Benedict's Primary School	1.4
62290	High School - Telopea High School, Barton	3.5
62290	College - Narrabundah College	1.5
62290	University - Australian National University	7.3
62291	City GPO	2.8
62291	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62291	Hospital - The Canberra Hospital	5.8
62291	Primary School - St Benedict's Primary School	1.4
62291	High School - Telopea High School, Barton	3.5
62291	College - Narrabundah College	1.5
62291	University - Australian National University	7.3
62292	City GPO	2.8
62292	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62292	Hospital - The Canberra Hospital	5.8
62292	Primary School - St Benedict's Primary School	1.4
62292	High School - Telopea High School, Barton	3.5
62292	College - Narrabundah College	1.5
62292	University - Australian National University	7.3
62293	City GPO	2.8
62293	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62293	Hospital - The Canberra Hospital	5.8
62293	Primary School - St Benedict's Primary School	1.4
62293	High School - Telopea High School, Barton	3.5
62293	College - Narrabundah College	1.5
62293	University - Australian National University	7.3
62294	City GPO	2.8
62294	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62294	Hospital - The Canberra Hospital	5.8
62294	Primary School - St Benedict's Primary School	1.4
62294	High School - Telopea High School, Barton	3.5
62294	College - Narrabundah College	1.5
62294	University - Australian National University	7.3
62295	City GPO	2.8
62295	Major Shopping Centre - Jerrabomberra Shops, Jerrabomberra	6.3
62295	Hospital - The Canberra Hospital	5.8
62295	Primary School - St Benedict's Primary School	1.4
62295	High School - Telopea High School, Barton	3.5
62295	College - Narrabundah College	1.5
