StreetAddressID	POI	Distance
63653	City GPO	2.3
63653	Major Shopping Centre - Cooleman Court	2.3
63653	Hospital - The Canberra Hospital	5.7
63653	Primary School - Charles Weston School	0.5
63653	High School - Stromlo High	3.8
63653	College - Canberra College	4.4
63653	University - Australian National University	8.0
63654	City GPO	2.3
63654	Major Shopping Centre - Cooleman Court	2.3
63654	Hospital - The Canberra Hospital	5.7
63654	Primary School - Charles Weston School	0.4
63654	High School - Stromlo High	3.8
63654	College - Canberra College	4.4
63654	University - Australian National University	8.1
63655	City GPO	2.3
63655	Major Shopping Centre - Cooleman Court	2.3
63655	Hospital - The Canberra Hospital	5.7
63655	Primary School - Charles Weston School	0.5
63655	High School - Stromlo High	3.8
63655	College - Canberra College	4.4
63655	University - Australian National University	8.1
63656	City GPO	2.2
63656	Major Shopping Centre - Cooleman Court	2.2
63656	Hospital - The Canberra Hospital	5.7
63656	Primary School - Charles Weston School	0.5
63656	High School - Stromlo High	3.8
63656	College - Canberra College	4.3
63656	University - Australian National University	8.0
63657	City GPO	2.2
63657	Major Shopping Centre - Cooleman Court	2.2
63657	Hospital - The Canberra Hospital	5.7
63657	Primary School - Charles Weston School	0.5
63657	High School - Stromlo High	3.8
63657	College - Canberra College	4.4
63657	University - Australian National University	8.1
63658	City GPO	2.3
63658	Major Shopping Centre - Cooleman Court	2.3
63658	Hospital - The Canberra Hospital	5.7
63658	Primary School - Charles Weston School	0.5
63658	High School - Stromlo High	3.8
63658	College - Canberra College	4.4
63658	University - Australian National University	8.0
63659	City GPO	2.2
63659	Major Shopping Centre - Cooleman Court	2.2
63659	Hospital - The Canberra Hospital	5.7
63659	Primary School - Charles Weston School	0.5
63659	High School - Stromlo High	3.8
63659	College - Canberra College	4.4
63659	University - Australian National University	8.1
63660	City GPO	2.3
63660	Major Shopping Centre - Cooleman Court	2.3
63660	Hospital - The Canberra Hospital	5.7
63660	Primary School - Charles Weston School	0.5
63660	High School - Stromlo High	3.8
63660	College - Canberra College	4.4
63660	University - Australian National University	8.0
63661	City GPO	2.2
63661	Major Shopping Centre - Cooleman Court	2.2
63661	Hospital - The Canberra Hospital	5.7
63661	Primary School - Charles Weston School	0.5
63661	High School - Stromlo High	3.8
63661	College - Canberra College	4.4
63661	University - Australian National University	8.1
63662	City GPO	2.3
63662	Major Shopping Centre - Cooleman Court	2.3
63662	Hospital - The Canberra Hospital	5.7
63662	Primary School - Charles Weston School	0.5
63662	High School - Stromlo High	3.8
63662	College - Canberra College	4.4
63662	University - Australian National University	8.0
63663	City GPO	2.3
63663	Major Shopping Centre - Cooleman Court	2.3
63663	Hospital - The Canberra Hospital	5.7
63663	Primary School - Charles Weston School	0.5
63663	High School - Stromlo High	3.8
63663	College - Canberra College	4.4
63663	University - Australian National University	8.1
63664	City GPO	2.1
63664	Major Shopping Centre - Cooleman Court	2.1
63664	Hospital - The Canberra Hospital	5.4
63664	Primary School - Charles Weston School	0.8
63664	High School - Stromlo High	3.7
63664	College - Canberra College	4.0
63664	University - Australian National University	7.8
63665	City GPO	2.2
63665	Major Shopping Centre - Cooleman Court	2.2
63665	Hospital - The Canberra Hospital	5.4
63665	Primary School - Charles Weston School	0.8
63665	High School - Stromlo High	3.7
63665	College - Canberra College	4.1
63665	University - Australian National University	7.8
63666	City GPO	2.2
63666	Major Shopping Centre - Cooleman Court	2.2
63666	Hospital - The Canberra Hospital	5.5
63666	Primary School - Charles Weston School	0.8
63666	High School - Stromlo High	3.8
63666	College - Royal College Of Nursing	4.2
63666	University - Australian National University	7.8
63667	City GPO	2.2
63667	Major Shopping Centre - Cooleman Court	2.2
63667	Hospital - The Canberra Hospital	5.4
63667	Primary School - Charles Weston School	0.8
63667	High School - Stromlo High	3.7
63667	College - Canberra College	4.1
63667	University - Australian National University	7.8
63668	City GPO	2.3
63668	Major Shopping Centre - Cooleman Court	2.3
63668	Hospital - The Canberra Hospital	5.5
63668	Primary School - Charles Weston School	0.7
63668	High School - Stromlo High	3.8
63668	College - Royal College Of Nursing	4.2
63668	University - Australian National University	7.8
63669	City GPO	2.2
63669	Major Shopping Centre - Cooleman Court	2.2
63669	Hospital - The Canberra Hospital	5.4
63669	Primary School - Charles Weston School	0.8
63669	High School - Stromlo High	3.7
63669	College - Canberra College	4.1
63669	University - Australian National University	7.8
63670	City GPO	2.2
63670	Major Shopping Centre - Cooleman Court	2.2
63670	Hospital - The Canberra Hospital	5.4
63670	Primary School - Charles Weston School	0.8
63670	High School - Stromlo High	3.7
63670	College - Canberra College	4.1
63670	University - Australian National University	7.8
63671	City GPO	2.2
63671	Major Shopping Centre - Cooleman Court	2.2
63671	Hospital - The Canberra Hospital	5.4
63671	Primary School - Charles Weston School	0.9
63671	High School - Stromlo High	3.7
63671	College - Canberra College	4.1
63671	University - Australian National University	7.7
63672	City GPO	2.2
