StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
63653	Sale	20869	No Agent Property 	2016-04-21T00:00:00	400000.0	PRIVATE TREATY	65.0
63655	Sale	28455	Kolak Living Pty Ltd	2017-05-05T00:00:00		PRIVATE TREATY	218.0
63658	Sale	28455	Kolak Living Pty Ltd	2017-05-05T00:00:00		PRIVATE TREATY	218.0
63658	Sale	2015-05-15T00:00:00	375000	PRIVATE TREATY			
63659	Sale		Luton Properties Gungahlin	2016-10-08T00:00:00	931000.0	AUCTION	
63660	Sale	2014-10-21T00:00:00	349000	PRIVATE TREATY			
63662	Sale	2015-06-03T00:00:00	24500	PRIVATE TREATY			
63663	Sale	2015-04-10T00:00:00	325000	PRIVATE TREATY			
63664	Rental	25486	At Home	2018-12-21T00:00:00	575.0	PER WEEK	31.0
63664	Sale	2016-06-03T00:00:00	550000	PRIVATE TREATY			
63665	Sale	2015-09-09T00:00:00	569000	PRIVATE TREATY			
63667	Rental		Premier Capital Prop	2017-02-16T00:00:00	550.0	PER WEEK	7.0
63667	Sale	2016-06-03T00:00:00	550000	PRIVATE TREATY			
63670	Sale	2016-01-13T00:00:00	555000	PRIVATE TREATY			
63672	Sale	2015-12-22T00:00:00	558250	PRIVATE TREATY			
63673	Rental	13922	Cream Residential	2017-11-19T00:00:00	550.0	PER WEEK	10.0
63673	Rental		Cream Residential	2016-05-04T00:00:00	550.0	PER WEEK	28.0
63673	Sale	2015-05-25T00:00:00	569000	PRIVATE TREATY			
63674	Sale	2016-06-03T00:00:00	550000	PRIVATE TREATY			
63674	Rental	25486	At Home	2016-03-23T00:00:00	550.0	PER WEEK	3.0
63675	Sale	2015-06-19T00:00:00	569000	PRIVATE TREATY			
63676	Sale	2015-05-20T00:00:00	574000	PRIVATE TREATY			
63677	Sale	2015-08-07T00:00:00	555000	PRIVATE TREATY			
63679	Sale	15436	LJ Hooker Weston Creek	2018-08-20T00:00:00	610000.0	PRIVATE TREATY	89.0
63679	Sale	2015-12-15T00:00:00	560500	PRIVATE TREATY			
63680	Sale		Hayman Partners Projects	2019-11-23T00:00:00	642000.0	AUCTION	
63680	Sale	2015-08-04T00:00:00	569000	PRIVATE TREATY			
63681	Sale	2016-06-03T00:00:00	550000	PRIVATE TREATY			
63682	Sale	2015-06-17T00:00:00	310000	PRIVATE TREATY			
63683	Sale	2015-12-02T00:00:00	555000	PRIVATE TREATY			
63685	Sale	2015-09-03T00:00:00	555000	PRIVATE TREATY			
63686	Sale	2015-07-02T00:00:00	312500	PRIVATE TREATY			
63687	Sale	2015-12-21T00:00:00	555000	PRIVATE TREATY			
63690	Sale	2019-08-28T00:00:00	415000	PRIVATE TREATY			
63693	Sale	2014-08-08T00:00:00	355000	PRIVATE TREATY			
63694	Sale		Simplicity Real Estate	2015-06-11T00:00:00	370000.0	PRIVATE TREATY	
63697	Sale	2015-02-26T00:00:00	2000	PRIVATE TREATY			
63698	Sale	2014-11-14T00:00:00	1000	PRIVATE TREATY			
63699	Sale	2015-06-23T00:00:00	2000	PRIVATE TREATY			
63700	Sale	2014-10-01T00:00:00	370000	PRIVATE TREATY			
63703	Rental	29726	Capital Partner Real Estate	2019-02-07T00:00:00	850.0	PER WEEK	28.0
63703	Sale	2014-06-03T00:00:00	10	PRIVATE TREATY			
63707	Sale	24771	One Agency Don McPherson	2015-12-21T00:00:00	880000.0	PRIVATE TREATY	39.0
63708	Sale	24838	Vermillion Developments Group	2015-03-23T00:00:00	870000.0	PRIVATE TREATY	8.0
63713	Sale	2014-06-24T00:00:00	10000	PRIVATE TREATY			
63718	Sale	17473	Ray White Canberra	2015-03-11T00:00:00	470000.0	PRIVATE TREATY	292.0
63720	Sale	2013-12-12T00:00:00	375000	PRIVATE TREATY			
63721	Sale	2012-06-26T00:00:00	343000	PRIVATE TREATY			
63728	Rental	18793	Peter Blackshaw Tuggeranong	2018-06-05T00:00:00	500.0	PER WEEK	12.0
63728	Sale	2015-12-07T00:00:00	625000	PRIVATE TREATY			
63729	Sale	2015-04-30T00:00:00	620000	PRIVATE TREATY			
63730	Sale	2014-07-29T00:00:00	210000	PRIVATE TREATY			
63731	Sale	2015-09-21T00:00:00	650000	PRIVATE TREATY			
63732	Sale	2015-11-11T00:00:00	625000	PRIVATE TREATY			
63733	Sale	2015-04-02T00:00:00	630000	PRIVATE TREATY			
63734	Sale	2015-07-16T00:00:00	479000	PRIVATE TREATY			
63735	Sale	2015-01-31T00:00:00	600000	PRIVATE TREATY			
63736	Sale	2015-08-21T00:00:00	474000	PRIVATE TREATY			
63736	Sale	18604	PRDnationwide Canberra	2014-11-11T00:00:00	474000.0	Listed - not sold	63.0
63737	Sale		POD Projects Group	2015-12-15T00:00:00	670000.0	PRIVATE TREATY	112.0
63738	Rental	31430	Hayman Partners	2019-11-01T00:00:00	680.0	PER WEEK	29.0
63738	Sale	31430	Hayman Partners	2019-07-26T00:00:00	655000.0	PRIVATE TREATY	154.0
63738	Sale	2015-11-26T00:00:00	650000	PRIVATE TREATY			
63740	Sale	2015-03-18T00:00:00	600000	PRIVATE TREATY			
63741	Sale	2015-05-12T00:00:00	479000	PRIVATE TREATY			
63742	Sale	23153	POD Projects Group	2016-07-21T00:00:00	670000.0	PRIVATE TREATY	179.0
63742	Sale		POD Projects Group	2015-07-14T00:00:00	650000.0	Listed - not sold	8.0
63743	Sale		PRD Canberra	2015-04-21T00:00:00	644950.0	Listed - not sold	196.0
63744	Rental	13392	Bertram Ellis	2016-08-14T00:00:00	595.0	PER WEEK	52.0
63744	Sale		POD Projects Group	2016-02-17T00:00:00	650000.0	PRIVATE TREATY	238.0
63745	Sale	21086	Luton Properties - Gungahlin	2017-07-25T00:00:00	455000.0	PRIVATE TREATY	95.0
63745	Sale	2014-09-02T00:00:00	456000	PRIVATE TREATY			
63746	Sale	2014-11-18T00:00:00	200000	PRIVATE TREATY			
63747	Sale	11155	Luton Properties - Weston Creek and Molonglo Valley	2019-03-08T00:00:00	645000.0	PRIVATE TREATY	142.0
63747	Sale	2015-05-01T00:00:00	620000	PRIVATE TREATY			
63748	Sale	2016-05-06T00:00:00	428000	PRIVATE TREATY			
63748	Sale	18604	PRDnationwide Canberra	2014-07-25T00:00:00		Listed - not sold	172.0
63749	Rental	20001	Peter Blackshaw Real Estate Queanbeyan & Jerrabomberra	2017-07-04T00:00:00	685.0	PER WEEK	27.0
63749	Sale	23153	POD Projects Group	2016-02-12T00:00:00	650000.0	PRIVATE TREATY	89.0
63750	Sale	2016-06-27T00:00:00	435000	PRIVATE TREATY			
63751	Sale	20010	Peter Blackshaw Real Estate Manuka	2018-06-29T00:00:00	660000.0	PRIVATE TREATY	78.0
63751	Sale	2015-12-02T00:00:00	650000	PRIVATE TREATY			
63752	Sale	2014-07-03T00:00:00	200000	PRIVATE TREATY			
63753	Sale	2015-08-05T00:00:00	620000	PRIVATE TREATY			
63754	Sale	2015-04-28T00:00:00	489000	PRIVATE TREATY			
63755	Sale	2015-09-02T00:00:00	650000	PRIVATE TREATY			
63756	Sale	2015-11-02T00:00:00	600000	PRIVATE TREATY			
