StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
63653	MN-2678-BE	400000	2016-04-21					False	False	10	15	2	House	House	2	4	
63654	JP-9389-MU							False	False	2	14		House	House			413
63655	MS-8686-HM		2017-05-05					False	False	11	15	0	House	House	2	4	621
63656	MN-1576-AG							False	False				House	House			
63657	JQ-0870-BR							False	False				House	House			
63658	SS-7093-AP		2017-05-05					False	False	7	15	2	House	House	2	4	515
63659	JV-0652-WZ	931000	2016-10-08					False	False	5	14	2	House	House	2	4	540
63660	PN-0791-JM	349000	2014-10-21					False	False	8	15		Land	Land			464
63661	JP-7015-KO							False	False			2	House	House	3	5	
63662	MP-6194-QJ	24500	2015-06-03					False	False	9	15	2	House	House	2	4	464
63663	MM-0586-EI	325000	2015-04-10					False	False	3	14		Land	Land			405
63664	JB-8102-FB	550000	2016-06-03	At Home	575	2018	31	True	False	18	6	2	House	House	2	3	250
63665	DF-7660-TJ	569000	2015-09-09					False	False	13	6		House	House			250
63666	TN-6050-GO							False	False				House	House			
63667	OY-9825-EA	550000	2016-06-03	Premier Capital Prop	550	2017	7	True	False	12	6	2	House	House	3	3	250
63668	KV-5967-AF							False	False				House	House			
63669	KU-2682-FW							False	False				House	House			
63670	PN-4565-YL	555000	2016-01-13					False	False	10	6		House	House			250
63671	GN-2647-QF							False	False	15	7	2	House	House	3	4	743
63672	UK-8208-TS	558250	2015-12-22					False	False	9	6		House	House			250
63673	FU-8745-YE	569000	2015-05-25	Cream Residential	550	2017	10	True	False	8	6	2	House	House	2	3	250
63674	ZS-5510-EL	550000	2016-06-03	At Home	550	2016	3	False	False	7	6	2	House	House	2	3	250
63675	ZC-1779-QQ	569000	2015-06-19					False	False	6	6		House	House			250
63676	FR-9771-IQ	574000	2015-05-20					False	False	17	6		House	House			250
63677	FW-0264-YE	555000	2015-08-07					False	False	5	6		House	House			250
63678	EE-9038-KW							False	False				House	House			
63679	TC-1922-YM	610000	2018-08-20					False	False	3	6	2	House	House	2	3	250
