StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
65433	2020-02-05T19:29:12.873	Medium	860000	1000000	1140000	635	0.0401	Unknown	Unknown
65434	2020-02-05T19:29:12.873	High	640000	740000	840000	635	0.0401	Unknown	Unknown
65435	2020-02-05T19:29:12.873	Low	800000	930000	1060000	570	0.0385	Unknown	Unknown
65436	2020-02-05T19:29:12.873	High	1260000	1460000	1660000	635	0.0401	Unknown	Unknown
65437	2020-02-05T19:29:12.873	Medium	1030000	1200000	1370000	550	0.044	Unknown	Unknown
65438	2020-02-05T19:29:12.873	High	610000	705000	800000	635	0.0401	Unknown	Unknown
65439	2020-02-05T19:29:12.873	High	605000	705000	805000	570	0.0385	Unknown	Unknown
65440	2020-02-05T19:29:12.873	High	615000	715000	815000	570	0.0385	Unknown	Unknown
65441	2020-02-05T19:29:12.873	High	595000	695000	795000	570	0.0385	Unknown	Unknown
65442	2020-02-05T19:29:12.873	High	595000	695000	795000	570	0.0385	Unknown	Unknown
65443	2020-02-05T19:29:12.873	High	590000	690000	790000	570	0.0385	Unknown	Unknown
65444	2020-02-05T19:29:12.873	High	660000	770000	880000	635	0.0401	Unknown	Unknown
65445	2020-02-05T19:29:12.873	High	590000	690000	790000	570	0.0385	Unknown	Unknown
65446	2020-02-05T19:29:12.873	High	585000	680000	775000	570	0.0385	Unknown	Unknown
65447	2020-02-05T19:29:12.873	High	595000	695000	795000	550	0.044	Unknown	Unknown
65448	2020-01-22T10:30:07.47	Medium	550000	640000	730000	550	0.044	Unknown	Unknown
65449	2020-02-05T19:29:12.873	High	575000	675000	775000	570	0.0385	Unknown	Unknown
65450	2020-02-05T19:29:12.873	High	590000	690000	790000			Unknown	Unknown
65451	2020-02-05T19:29:12.873	High	560000	655000	750000	550	0.044	Unknown	Unknown
65452	2020-02-05T19:29:12.873	High	580000	675000	770000	570	0.0385	Unknown	Unknown
65453	2020-02-05T19:29:12.873	High	560000	655000	750000	550	0.044	Unknown	Unknown
