StreetAddressID	POI	Distance
68315	City GPO	0.7
68315	Major Shopping Centre - Cooleman Court	0.8
68315	Hospital - The Canberra Hospital	4.3
68315	Primary School - St John Vianney's Primary School	0.3
68315	High School - Stromlo High	0.7
68315	College - Canberra College	3.2
68315	University - Australian National University	9.6
68316	City GPO	0.7
68316	Major Shopping Centre - Cooleman Court	0.8
68316	Hospital - The Canberra Hospital	4.3
68316	Primary School - St John Vianney's Primary School	0.3
68316	High School - Stromlo High	0.7
68316	College - Canberra College	3.2
68316	University - Australian National University	9.6
68317	City GPO	0.7
68317	Major Shopping Centre - Cooleman Court	0.8
68317	Hospital - The Canberra Hospital	4.3
68317	Primary School - St John Vianney's Primary School	0.3
68317	High School - Stromlo High	0.7
68317	College - Canberra College	3.2
68317	University - Australian National University	9.6
68318	City GPO	1.5
68318	Major Shopping Centre - Cooleman Court	1.5
68318	Hospital - The Canberra Hospital	5.8
68318	Primary School - Duffy Primary	0.5
68318	High School - Stromlo High	2.7
68318	College - Canberra College	4.5
68318	University - Australian National University	9.4
68319	City GPO	1.4
68319	Major Shopping Centre - Cooleman Court	1.4
68319	Hospital - The Canberra Hospital	5.7
68319	Primary School - Duffy Primary	0.6
68319	High School - Stromlo High	2.7
68319	College - Canberra College	4.5
68319	University - Australian National University	9.3
68320	City GPO	1.4
68320	Major Shopping Centre - Cooleman Court	1.4
68320	Hospital - The Canberra Hospital	5.7
68320	Primary School - Duffy Primary	0.6
68320	High School - Stromlo High	2.6
68320	College - Canberra College	4.4
68320	University - Australian National University	9.3
68321	City GPO	1.4
68321	Major Shopping Centre - Cooleman Court	1.4
68321	Hospital - The Canberra Hospital	5.7
68321	Primary School - Duffy Primary	0.6
68321	High School - Stromlo High	2.6
68321	College - Canberra College	4.4
68321	University - Australian National University	9.3
68322	City GPO	1.4
68322	Major Shopping Centre - Cooleman Court	1.4
68322	Hospital - The Canberra Hospital	5.7
68322	Primary School - Duffy Primary	0.6
68322	High School - Stromlo High	2.6
68322	College - Canberra College	4.4
68322	University - Australian National University	9.4
68323	City GPO	1.4
68323	Major Shopping Centre - Cooleman Court	1.4
68323	Hospital - The Canberra Hospital	5.7
68323	Primary School - Duffy Primary	0.6
68323	High School - Stromlo High	2.6
68323	College - Canberra College	4.4
68323	University - Australian National University	9.3
68324	City GPO	1.4
68324	Major Shopping Centre - Cooleman Court	1.4
68324	Hospital - The Canberra Hospital	5.7
68324	Primary School - Duffy Primary	0.6
68324	High School - Stromlo High	2.6
68324	College - Canberra College	4.4
68324	University - Australian National University	9.4
68325	City GPO	1.4
68325	Major Shopping Centre - Cooleman Court	1.4
68325	Hospital - The Canberra Hospital	5.6
68325	Primary School - Duffy Primary	0.6
68325	High School - Stromlo High	2.6
68325	College - Canberra College	4.4
68325	University - Australian National University	9.3
68326	City GPO	1.4
68326	Major Shopping Centre - Cooleman Court	1.4
68326	Hospital - The Canberra Hospital	5.6
68326	Primary School - Duffy Primary	0.6
68326	High School - Stromlo High	2.6
68326	College - Canberra College	4.4
68326	University - Australian National University	9.3
68327	City GPO	1.4
68327	Major Shopping Centre - Cooleman Court	1.4
68327	Hospital - The Canberra Hospital	5.6
68327	Primary School - Duffy Primary	0.6
68327	High School - Stromlo High	2.6
68327	College - Canberra College	4.4
68327	University - Australian National University	9.3
68328	City GPO	1.4
68328	Major Shopping Centre - Cooleman Court	1.4
68328	Hospital - The Canberra Hospital	5.6
68328	Primary School - Duffy Primary	0.6
68328	High School - Stromlo High	2.6
68328	College - Canberra College	4.4
68328	University - Australian National University	9.3
68329	City GPO	1.4
