StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
68315	LQ-3456-JR	755000	2019-06-19					False	True	31	11		Unit	Unit			
68316	FW-8010-TK							False	False				Unit	Unit			
68317	JA-7520-MC							False	True				Unit	Unit			
68318	VT-9152-LI							False	False	5	36		House	House			745
68319	RE-0284-RB							False	False				House	House			
68320	KP-9082-QR	425000	2014-06-28	Bertram Ellis	400	2015	42	True	False	17	38	1	House	House	1	3	1042
68321	RE-0522-KA							False	False				House	House			
68322	ZX-0791-CI	174500	2001-03-30					False	False	3	33		House	House			775
68323	OP-4649-AJ	121000	1997-10-24					False	False	15	38		House	House			921
68324	ZT-2993-XE	477000	2012-05-01					False	False	4	33	2	House	House	1	3	736
68325	MW-1189-CW							False	False				House	House			
68326	ZA-6789-RN	445000	2010-11-04	CIVIUM - Build Develop Create	500	2018	7	True	True	5	40	2	Unit	Unit	2	3	
68327	PH-0046-FN	400000	2015-06-05					False	True	31	11		Unit	Unit			
68328	TO-0516-PF							False	False				Unit	Unit			
68329	OP-3236-YQ	138000	1992-03-10					False	False	5	33		House	House			725
68330	ON-9619-FM	132000	1999-12-15					False	False	13	38		House	House			794
68331	BB-5811-AW	155000	1998-01-14					False	False	6	33		House	House			725
68332	OU-8910-YS	530000	2019-07-17	Dwyer Dunn Property Consultants	460	2009	30	False	False	12	38	1	House	House	1	3	724
68333	JR-3043-YW							False	False	7	33		House	House			725
68334	LF-0408-VZ	750000	2018-08-21					False	False	11	38		House	House			792
68335	OF-7711-EO	915000	2019-10-29					False	False	17	33	3	House	House	3	4	912
68336	KG-5416-NX							False	False				House	House			
68337	EM-3733-KY	554000	2014-04-03					False	False	1	39	1	House	House	2	3	839
68338	PE-5398-KO	369000	2007-05-11					False	True	5	40	2	Unit	Unit	2	3	
68339	JY-6262-HK	390000	2009-07-22					False	True	31	11		Unit	Unit			
68340	VG-8324-OX			Civium Property Group	0	2017	40	False	False	12	37	2	House	House	1	3	733
68341	CA-4568-DQ	194500	1996-08-16					False	False	16	32		House	House			999
68342	RK-8972-LD	630000	2015-12-02					False	False	28	39	2	House	House	2	4	934
68343	JY-5525-QH							False	False	17	32		House	House			889
68344	KW-3082-ZU	66500	1995-02-15	Luton Properties - Weston Creek and Molonglo Valley	460	2016	21	True	False	27	39	1	House	House	1	3	798
68345	OP-2286-EH	590000	2012-07-10					False	False	18	32	2	House	House	2	4	712
68346	OP-2833-WM	693500	2015-12-12					False	False	26	39	4	House	House	2	4	887
68347	SY-4081-XR	440000	2007-03-27					False	False	4	32		House	House		4	725
68348	RK-6811-TU							False	False	25	39		House	House			847
68349	NU-0204-BI	743500	2018-12-21					False	False	5	32	2	House	House	3	4	725
68350	AT-8390-MP	595000	2012-12-19					False	False	24	39		House	House			783
68351	DR-2123-RV	445000	2010-09-10	Bertram Ellis	445	2016	56	True	True	5	40	2	Unit	Unit	1	3	
68352	NX-6432-GU	215000	2002-05-24					False	True	31	11		Unit	Unit			
68353	UV-5534-FG							False	False				Unit	Unit			
68354	CC-5304-PB	538000	2010-10-09					False	False	2	36	0	House	House	2	2	782
68355	QA-4272-SD	828000	2018-05-03					False	False	6	32	2	House	House	3	4	782
68356	UY-7078-HX	490000	2014-04-04					False	False	23	39	1	House	House	1	4	705
68357	US-8735-NM	420000	2005-04-20					False	False	7	32		House	House			964
68358	BB-0054-OZ	299000	2002-03-08					False	False	22	39		House	House			842
68359	SS-1835-OL							False	False				House	House			
68360	JT-3979-DB	605000	2009-08-15					False	False	20	39	2	House	House	3	3	1256
68361	GM-9615-YX							False	False				House	House			
68362	YA-0880-QH	495000	2018-09-12					False	True	5	40	2	Unit	Unit	2	3	
68364	EC-0017-RZ							False	False	1	20		House	House			1073
68365	GY-4100-CW	455000	2010-09-10	Bertram Ellis	465	2017	46	True	True	5	40	2	Unit	Unit	2	3	
68366	KH-1615-VN	545000	2013-05-31	Archived Peter Blackshaw Real Estate Woden & Weston Cre	550	2017	9	True	False	3	36	1	House	House	2	3	802
68367	OA-4774-ZQ							False	False				House	House			
68368	NX-9948-SK	675000	2019-08-01					False	False	7	16	3	House	House	1	4	713
68369	ED-6720-AO							False	False				House	House			
68370	RW-3630-UM	146000	1992-12-18					False	False	8	16		House	House			789
68371	DY-6746-KZ							False	False				House	House			
68372	FP-3647-FP	390000	2004-12-23	McGrath Estate Agents	480	2017	36	True	True	5	40	2	Unit	Unit	2	3	
68373	AY-1795-TM							False	False	9	16	7	House	House	2	3	758
68374	FY-6802-NP							False	False				House	House			
68375	WN-2160-BA	517000	2014-07-09					False	False	10	16	1	House	House	1	3	719
68376	LQ-3876-HO	279500	2002-06-14					False	False	17	10		House	House			682
68377	TV-9035-XC	630000	2019-08-22					False	False	11	16	1	House	House	1	3	796
68378	RH-8781-LT	567000	2010-07-03					False	False	16	10		House	House		3	703
68379	UK-6954-XP							False	False	15	10		House	House			821
68380	EG-4733-HR							False	False				House	House			
68381	IT-2187-CM	720000	2019-03-16					False	False	14	10	2	House	House	1	4	866
68382	BS-8525-RO	470000	2012-10-10					False	True	5	40		Unit	Unit			
68383	BW-5304-LL	155000	1998-10-29					False	False	4	36		House	House			772
68384	PA-6889-QC	141000	1995-04-10					False	False	5	11		House	House			694
68385	EC-9704-HM							False	False				House	House			
68386	XP-6927-DN	585000	2018-10-25					False	False	11	8	2	House	House	1	4	797
68387	ED-6289-FR							False	False				House	House			
68388	MQ-7857-DC	510000	2015-06-05					False	False	10	8	2	House	House	2	3	702
68389	ED-5908-IQ							False	False				House	House			
68390	DP-8964-WP	510000	2018-02-20					False	False	9	8		House	House		3	689
68391	EC-7363-YC	550000	2019-03-05					False	False	1	11		House	House			790
68392	DR-2826-QX	187500	1996-04-04					False	False	8	8	1	House	House	2	4	751
68393	AD-5360-VM	475000	2014-04-30					False	True	5	40	2	Unit	Unit	1	3	
68394	OW-7687-JH		2019-06-19					False	False			2	House	House	2	4	
68395	DU-3456-CM	142500	1995-11-30					False	False	7	8		House	House			760
68396	IL-2246-TI							False	False				House	House			
68397	RY-3586-RJ							False	False				House	House			
68398	OW-5929-BI		2009-07-23	Homefinders Real Estate	0	2019	24	True	False			2	House	Townhouse	1	3	715
68399	ND-4442-YR	465000	2003-09-23	home.byholly	750	2019	1	True	False	13	9	2	House	House	2	4	1116
68400	KQ-5028-GB							False	False	14	9		House	House			1018
68401	VQ-0103-UL	94865	1992-05-12					False	False	15	9		House	House			915
68402	EL-5397-PR	180000	1998-09-22					False	False	16	9		House	House			906
68403	GB-2347-FF							False	False				House	House			
68404	DV-5882-AJ							False	False				House	House			
68405	MP-5862-KM	354000	2003-07-15					False	False	18	9		House	House		3	988
68406	JO-5931-FT							False	False				House	House			
68407	DL-1599-DP							False	False				House	House			
68408	ZG-6555-AL	430000	2003-09-05					False	False	2	6	0	House	House	2	4	910
68409	GE-6945-RN	515000	2013-12-02					False	False	13	10		House	House			727
68410	RW-8642-WE							False	False				House	House			
68411	XJ-7969-BU	263000	2003-11-21					False	False	1	6		House	House			1000
68412	PA-9597-FL	760000	2009-10-30					False	False	37	6		House	House			1084
68413	DU-9108-XZ	184950	1997-09-30					False	False	19	5		House	House			1092
68414	KH-1389-TB							False	False				House	House			
68415	BA-5435-AF	182500	1998-08-21					False	False	20	5		House	House			829
68416	US-7715-QT	300000	2002-09-13					False	False	35	6		House	House			992
68417	CU-0406-DB			Hayman Partners	500	2020	306	False	False			1	House	House	1	4	
68418	ZS-0906-XU		2017-06-16	Cameron Real Estate	480	2008		False	False	34	6	2	House	House	2	4	1066
68419	DC-9134-FK	560000	2015-04-27					False	False	12	8	2	House	House	1	3	671
68420	US-9189-OE	122500	1992-02-13					False	False	22	5		House	House			951
68421	KD-3247-UC							False	False				House	House			
68422	RG-7226-AX	109750	1991-02-07					False	False	23	5		House	House			
