StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
69569	Sale	13392	Bertram Ellis	2008-11-25T00:00:00	540000.0	PRIVATE TREATY	31.0
69569	Sale	2000-01-17T00:00:00	170000	PRIVATE TREATY			
69569	Sale	1997-10-27T00:00:00	138000	PRIVATE TREATY			
69569	Sale	1993-09-20T00:00:00	149300	PRIVATE TREATY			
69572	Sale	11155	Luton Properties - Weston Creek and Molonglo Valley	2018-12-20T00:00:00	567000.0	PRIVATE TREATY	33.0
69572	Sale	2012-05-29T00:00:00	455000	PRIVATE TREATY			
69572	Sale	2003-05-28T00:00:00	293000	PRIVATE TREATY	39.0		
69572	Sale	1996-02-23T00:00:00	107000	PRIVATE TREATY			
69573	Sale	13913	Total Property Management - Bright Partners	2016-09-16T00:00:00	545000.0	PRIVATE TREATY	50.0
69573	Rental		Total Property Management - Bright	2015-12-16T00:00:00	480.0	PER WEEK	14.0
69573	Sale	2008-08-19T00:00:00	390000	PRIVATE TREATY	97.0		
69575	Sale		Sadil Quinlan	2002-08-13T00:00:00	236000.0	PRIVATE TREATY	136.0
69575	Sale	1992-05-28T00:00:00	116700	PRIVATE TREATY			
69577	Sale	24042	Michael Potter Real Estate	2018-03-09T00:00:00	710000.0	PRIVATE TREATY	28.0
69577	Sale	14099	LJ Hooker Belconnen	2015-06-03T00:00:00	578000.0	PRIVATE TREATY	27.0
69577	Sale	2003-07-09T00:00:00	351000	PRIVATE TREATY	109.0		
69577	Sale	1991-04-30T00:00:00	132500	PRIVATE TREATY			
69578	Sale	18961	Philip Kouvelis Real estate	2013-03-28T00:00:00	437000.0	PRIVATE TREATY	27.0
69579	Sale	14516	Luton Properties Woden	2019-12-20T00:00:00	720000.0	PRIVATE TREATY	13.0
69579	Rental	18604	PRDnationwide Canberra	2016-03-02T00:00:00	420.0	PER WEEK	57.0
69579	Sale	1992-02-04T00:00:00	129500	PRIVATE TREATY			
69581	Sale	25422	White Rhino Property	2017-11-10T00:00:00	640000.0	PRIVATE TREATY	7.0
69581	Rental	25422	White Rhino Property	2016-06-09T00:00:00	500.0	PER WEEK	29.0
69581	Sale		Colin McIntyre Property - Chisholm	2012-02-04T00:00:00	460000.0	AUCTION	
69581	Sale	2009-12-23T00:00:00	463000	PRIVATE TREATY			
69581	Sale	2005-11-22T00:00:00	325000	PRIVATE TREATY			
69581	Sale	2002-04-19T00:00:00	209000	PRIVATE TREATY	20.0		
69581	Sale	2001-04-10T00:00:00	67000	PRIVATE TREATY			
69581	Sale	1996-03-20T00:00:00	112000	PRIVATE TREATY			
69586	Sale		Elders Woden	2005-10-24T00:00:00	330000.0	PRIVATE TREATY	93.0
69586	Sale	1997-09-16T00:00:00	155000	PRIVATE TREATY			
69587	Rental	30661	Ashby Partners Real Estate	2019-08-08T00:00:00	0.0	PER WEEK	50.0
69587	Rental	20001	Peter Blackshaw Real Estate Queanbeyan & Jerrabomberra	2017-07-02T00:00:00	460.0	PER WEEK	32.0
69587	Rental	20001	Peter Blackshaw Real Estate Queanbeyan & Jerrabomberra	2016-08-30T00:00:00	460.0	PER WEEK	39.0
69587	Sale	11155	Luton Properties - Weston Creek and Molonglo Valley	2013-06-06T00:00:00	460000.0	PRIVATE TREATY	146.0
69588	Sale	1992-07-06T00:00:00	169950	PRIVATE TREATY			
69589	Sale		LJH Manuka	2003-07-18T00:00:00	316000.0	PRIVATE TREATY	62.0
69589	Sale	1994-04-18T00:00:00	121000	PRIVATE TREATY			
69589	Sale	1992-03-24T00:00:00	117000	PRIVATE TREATY			
69590	Sale	19977	Archived Peter Blackshaw Real Estate Woden & Weston Cre	2015-11-16T00:00:00	518000.0	PRIVATE TREATY	59.0
69590	Sale	2011-02-14T00:00:00	505000	PRIVATE TREATY			
69592	Sale		Luton Properties - Manuka	2015-03-21T00:00:00	547500.0	AUCTION	
69592	Sale	2009-09-29T00:00:00	440000	PRIVATE TREATY			
69592	Rental	11155	Luton Properties - Weston Creek and Molonglo Valley	2009-01-23T00:00:00		PER WEEK	216.0
69592	Sale	2008-03-11T00:00:00	351500	PRIVATE TREATY	18.0		
69595	Sale		LJ Hooker Woden	2007-12-12T00:00:00	405000.0	PRIVATE TREATY	14.0
69595	Sale	1996-07-19T00:00:00	107000	PRIVATE TREATY			
69597	Sale	2009-05-12T00:00:00	425000	PRIVATE TREATY			
69597	Sale	2005-05-25T00:00:00	312450	PRIVATE TREATY			
69597	Sale	2002-04-17T00:00:00	204000	PRIVATE TREATY			
69597	Sale	1996-10-04T00:00:00	107000	PRIVATE TREATY			
69598	Sale	2005-02-25T00:00:00	362000	PRIVATE TREATY			
69598	Sale		Elders Real Estate Belconnen	2004-02-21T00:00:00	399000.0	Listed - not sold	
69598	Sale	2001-07-18T00:00:00	244000	PRIVATE TREATY			
69598	Sale	1997-02-26T00:00:00	115000	PRIVATE TREATY			
69599	Sale	2016-10-10T00:00:00	605000	PRIVATE TREATY			
69599	Sale	1998-04-24T00:00:00	105500	PRIVATE TREATY			
69600	Sale	2001-11-22T00:00:00	185000	PRIVATE TREATY			
69601	Sale	2002-06-04T00:00:00	207000	PRIVATE TREATY			
69601	Sale	1997-02-18T00:00:00	115000	PRIVATE TREATY			
69602	Sale	11155	Luton Properties - Weston Creek and Molonglo Valley	2018-03-23T00:00:00	553000.0	PRIVATE TREATY	20.0
69603	Sale	1994-04-07T00:00:00	144000	PRIVATE TREATY			
69603	Sale	1992-08-28T00:00:00	146000	PRIVATE TREATY			
69604	Sale	2012-05-31T00:00:00	2	PRIVATE TREATY			
69604	Sale		PBR Manuka	2006-05-20T00:00:00	429000.0	Listed - not sold	28.0
69604	Sale	2000-10-30T00:00:00	158000	PRIVATE TREATY	30.0		
69605	Sale		LJH Manuka	2010-02-06T00:00:00	518000.0	AUCTION	
69605	Sale		LJ Hooker Dickson	2000-08-12T00:00:00	169950.0	Listed - not sold	
69606	Sale	2015-03-10T00:00:00	580500	PRIVATE TREATY			
69606	Sale	1996-12-16T00:00:00	142500	PRIVATE TREATY			
69607	Sale	2000-09-05T00:00:00	143000	PRIVATE TREATY			
69608	Sale	2000-04-05T00:00:00	135000	PRIVATE TREATY			
69608	Sale	1997-11-21T00:00:00	115000	PRIVATE TREATY			
69609	Sale	2002-06-20T00:00:00	299000	PRIVATE TREATY			
69609	Sale	1999-05-12T00:00:00	180000	PRIVATE TREATY			
69611	Sale	1999-11-16T00:00:00	100000	PRIVATE TREATY			
69617	Sale		LJ Hooker Woden	2005-09-06T00:00:00	348000.0	PRIVATE TREATY	17.0
69617	Sale	1995-01-06T00:00:00	127500	PRIVATE TREATY			
69618	Sale	1993-03-17T00:00:00	165000	PRIVATE TREATY			
69619	Sale	2000-03-03T00:00:00	207000	PRIVATE TREATY			
69620	Sale	2017-11-02T00:00:00	625000	PRIVATE TREATY			
69620	Sale	2001-05-16T00:00:00	245000	PRIVATE TREATY			
69621	Sale	2010-12-13T00:00:00	501000	PRIVATE TREATY			
69623	Sale	2009-09-09T00:00:00	436500	PRIVATE TREATY			
69623	Sale	2007-02-02T00:00:00	360000	PRIVATE TREATY	14.0		
69623	Sale	2003-07-11T00:00:00	295000	PRIVATE TREATY			
69626	Sale		Bertram Ellis	2013-02-08T00:00:00	590000.0	PRIVATE TREATY	83.0
69626	Sale	2007-04-02T00:00:00	510000	PRIVATE TREATY			
69627	Rental	13922	Cream Residential	2019-06-07T00:00:00	0.0	PER WEEK	9.0
69627	Rental		Cream Residential	2018-08-21T00:00:00	480.0	PER WEEK	33.0
69627	Rental		Cream Residential	2016-09-15T00:00:00	445.0	PER WEEK	69.0
69628	Sale		PBR Manuka	2002-05-17T00:00:00	222000.0	PRIVATE TREATY	62.0
69628	Sale	1992-06-30T00:00:00	133000	PRIVATE TREATY			
69629	Sale	2013-12-16T00:00:00	521000	PRIVATE TREATY			
69630	Sale	19977	Archived Peter Blackshaw Real Estate Woden & Weston Cre	2014-03-15T00:00:00		Listed - not sold	
69630	Sale		Rumbles Real Estate	2006-11-13T00:00:00	355000.0	PRIVATE TREATY	7.0
69631	Sale	10312	Luton Properties Tuggeranong CRE	2018-02-20T00:00:00	735000.0	PRIVATE TREATY	10.0
69632	Sale	1995-10-15T00:00:00	165000	PRIVATE TREATY			
69633	Sale	1993-02-25T00:00:00	145000	PRIVATE TREATY			
69634	Sale	2001-11-15T00:00:00	225000	PRIVATE TREATY			
69634	Sale	1992-01-30T00:00:00	122000	PRIVATE TREATY			
69637	Sale	19977	Archived Peter Blackshaw Real Estate Woden & Weston Cre	2017-03-14T00:00:00	555000.0	PRIVATE TREATY	88.0
69637	Sale	2008-05-16T00:00:00	425000	PRIVATE TREATY	9.0		
69637	Sale	2006-05-15T00:00:00	365000	PRIVATE TREATY	79.0		
69637	Sale	1999-11-01T00:00:00	159000	PRIVATE TREATY			
69637	Sale	1994-02-04T00:00:00	143000	PRIVATE TREATY			
69637	Sale	1991-12-24T00:00:00	139000	PRIVATE TREATY			
69641	Sale	2015-08-04T00:00:00	480000	PRIVATE TREATY			
69641	Sale	1992-02-03T00:00:00	131000	PRIVATE TREATY			
69642	Sale	21656	Independent Gungahlin	2016-07-14T00:00:00	538000.0	PRIVATE TREATY	14.0
69642	Sale	2010-03-23T00:00:00	495000	PRIVATE TREATY			
69642	Sale	2002-01-30T00:00:00	225000	PRIVATE TREATY			
69644	Sale	2000-10-18T00:00:00	149950	PRIVATE TREATY			
69645	Sale	1994-03-01T00:00:00	150500	PRIVATE TREATY			
69645	Sale	1992-07-20T00:00:00	138000	PRIVATE TREATY			
69645	Sale	1991-05-14T00:00:00	96500	PRIVATE TREATY			
69646	Sale		Bertram Ellis	2007-04-16T00:00:00	341000.0	PRIVATE TREATY	30.0
69646	Sale	1995-03-16T00:00:00	115000	PRIVATE TREATY			
69646	Sale	1993-06-10T00:00:00	129500	PRIVATE TREATY			
69648	Sale		LJ Hooker Woden	2009-03-10T00:00:00	398000.0	PRIVATE TREATY	44.0
69648	Sale	1999-04-06T00:00:00	130000	PRIVATE TREATY			
69649	Sale	15357	Civium Property Group	2016-09-22T00:00:00	480000.0	PRIVATE TREATY	114.0
69649	Sale	1996-09-17T00:00:00	120000	PRIVATE TREATY			
69652	Sale		Bertram Ellis	2001-11-05T00:00:00	215000.0	PRIVATE TREATY	44.0
69653	Sale	1998-05-15T00:00:00	115000	PRIVATE TREATY			
69653	Sale	1992-12-23T00:00:00	130000	PRIVATE TREATY			
69655	Sale		LJH Tuggeranong	2010-03-27T00:00:00	519000.0	AUCTION	
69656	Sale	2003-12-18T00:00:00	315000	PRIVATE TREATY			
69657	Sale	1997-01-15T00:00:00	120000	PRIVATE TREATY			
69660	Sale	15868	The Real Estate Shop	2018-07-16T00:00:00	625000.0	PRIVATE TREATY	22.0
69660	Sale	2007-09-07T00:00:00	365000	PRIVATE TREATY			
69660	Sale	2002-04-09T00:00:00	205000	PRIVATE TREATY			
69661	Sale	2005-05-30T00:00:00	415000	PRIVATE TREATY			
69661	Sale	2002-01-31T00:00:00	275500	PRIVATE TREATY			
69664	Sale		Independent Woden	2017-09-09T00:00:00	559000.0	PRIVATE TREATY	
69669	Rental		Luton Properties - Weston Creek and Molonglo Valley	2019-06-24T00:00:00	430.0	PER WEEK	19.0
69669	Sale	2019-04-12T00:00:00	487000	PRIVATE TREATY			
69669	Sale	2003-05-30T00:00:00	326000	PRIVATE TREATY			
69669	Sale	1992-04-21T00:00:00	133500	PRIVATE TREATY			
69671	Rental	26384	CIVIUM	2018-03-27T00:00:00	520.0	PER WEEK	35.0
69671	Rental		Bertram Ellis	2009-08-29T00:00:00	425.0	PER WEEK	2.0
69671	Rental		Bertram Ellis	2008-09-02T00:00:00	415.0	PER WEEK	
69671	Sale		Bertram Ellis	2007-03-15T00:00:00	362000.0	PRIVATE TREATY	85.0
69671	Sale	2000-06-06T00:00:00	148250	PRIVATE TREATY	66.0		
69671	Sale	1991-09-10T00:00:00	118000	PRIVATE TREATY			
69673	Sale		Elders Weston Creek	2000-12-22T00:00:00	130000.0	PRIVATE TREATY	48.0
69673	Sale	1994-08-26T00:00:00	105000	PRIVATE TREATY			
69676	Sale	2012-09-17T00:00:00	550000	PRIVATE TREATY			
69676	Sale	2011-01-05T00:00:00	500000	PRIVATE TREATY			
69678	Sale	2012-10-29T00:00:00	470000	PRIVATE TREATY			
69678	Sale	2003-03-27T00:00:00	307000	PRIVATE TREATY			
69678	Sale	2000-04-14T00:00:00	165000	PRIVATE TREATY			
69678	Sale	1995-08-28T00:00:00	130000	PRIVATE TREATY			
69680	Rental	1544	Elders Woden	2005-09-01T00:00:00	285.0	PER WEEK	
69680	Sale	1991-02-04T00:00:00	117000	PRIVATE TREATY			
69684	Sale		Bertram Ellis	2012-12-11T00:00:00	480000.0	PRIVATE TREATY	21.0
69684	Sale	2005-06-17T00:00:00	327000	PRIVATE TREATY	20.0		
69684	Sale	2003-04-10T00:00:00	295000	PRIVATE TREATY			
69684	Sale	1996-09-20T00:00:00	110000	PRIVATE TREATY			
69688	Sale		Luton Properties - Weston Creek and Molonglo Valley	2012-10-27T00:00:00	466000.0	AUCTION	
69689	Rental	31430	Hayman Partners	2020-01-16T00:00:00	570.0	PER WEEK	34.0
69689	Rental	31430	Hayman Partners	2018-12-19T00:00:00	575.0	PER WEEK	31.0
69689	Sale	11155	Luton Properties - Weston Creek and Molonglo Valley	2016-10-12T00:00:00	538000.0	PRIVATE TREATY	38.0
69690	Sale	11155	Luton Properties - Weston Creek and Molonglo Valley	2016-07-12T00:00:00	507500.0	PRIVATE TREATY	25.0
69690	Sale		Luton Properties - Weston Creek and Molonglo Valley	2015-08-01T00:00:00		Listed - not sold	74.0
69692	Sale	1999-06-21T00:00:00	162950	PRIVATE TREATY			
69694	Sale		One Agency Michael Potter	2016-07-27T00:00:00	621000.0	PRIVATE TREATY	
69694	Sale	1995-07-12T00:00:00	123000	PRIVATE TREATY			
69694	Sale	1991-06-07T00:00:00	114000	PRIVATE TREATY			
69696	Sale	1994-01-05T00:00:00	150000	PRIVATE TREATY			
69696	Sale	1991-01-17T00:00:00	85000	PRIVATE TREATY			
69698	Sale		Luton Properties - Kippax	2017-11-18T00:00:00	555000.0	AUCTION	
69699	Sale		L J Hooker Goolwa	2002-01-26T00:00:00	235000.0	Listed - not sold	
69704	Sale		LJH Manuka	2012-09-22T00:00:00	450000.0	AUCTION	
69707	Sale	1998-04-17T00:00:00	110000	PRIVATE TREATY			
69707	Sale	1995-04-06T00:00:00	42000	PRIVATE TREATY			
69710	Rental	19977	Archived Peter Blackshaw Real Estate Woden & Weston Cre	2017-02-22T00:00:00	485.0	PER WEEK	12.0
69710	Sale	2007-04-04T00:00:00	40500	PRIVATE TREATY			
69710	Sale	1994-11-04T00:00:00	130000	PRIVATE TREATY			
69713	Sale	8032	LJ Hooker Manuka	2008-05-01T00:00:00	460000.0	PRIVATE TREATY	26.0
69713	Sale	2004-04-01T00:00:00	331000	PRIVATE TREATY	68.0		
69713	Sale	2002-04-15T00:00:00	227000	PRIVATE TREATY	100.0		
69713	Sale	1991-03-25T00:00:00	109000	PRIVATE TREATY			
69715	Sale		L J Hooker Goolwa	2002-01-26T00:00:00	235000.0	Listed - not sold	
69717	Rental		LJH Weston Creek	2018-12-12T00:00:00	575.0	PER WEEK	22.0
69717	Rental		LJH Weston Creek	2016-08-11T00:00:00	540.0	PER WEEK	84.0
69717	Sale	1998-08-26T00:00:00	123500	PRIVATE TREATY			
69720	Sale		Luton Properties - Manuka	2017-03-04T00:00:00	510000.0	PRIVATE TREATY	
69720	Rental		Bertram Ellis	2008-08-22T00:00:00	405.0	PER WEEK	29.0
69720	Sale	13392	Bertram Ellis	2008-02-13T00:00:00	435000.0	Listed - not sold	119.0
69720	Sale	1998-04-20T00:00:00	113000	PRIVATE TREATY			
69722	Sale	2011-09-23T00:00:00	477000	PRIVATE TREATY			
69722	Sale	1997-07-11T00:00:00	123500	PRIVATE TREATY			
