StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
69569	US-6336-TS	540000	2008-11-25					False	False	3	56	2	House	House	2	5	813
69570	JG-4661-CV							False	False	37	4		House	House			843
69571	JM-8206-CC							False	False	4	56		House	House			813
69572	XH-0307-TM	567000	2018-12-20					False	False	36	4	2	House	House	1	3	813
69573	JM-3208-DT	545000	2016-09-16	Total Property Management - Bright	480	2015	14	False	False	5	56	2	House	House	1	4	790
69574	OT-3321-SL							False	False				House	House			
69575	CA-7946-VG	236000	2002-08-13					False	False	6	56		House	House		4	817
69576	OS-4853-BR							False	False				House	House			
69577	WD-1719-QP	710000	2018-03-09					False	False	4	55	1	House	House	2	4	852
69578	UU-6881-PB	437000	2013-03-28					False	False	7	56	3	House	House	1	3	733
69579	DJ-2337-XL	720000	2019-12-20	PRDnationwide Canberra	420	2016	57	False	False	33	4	1	House	House	2	4	812
69580	YH-9670-SD							False	False				House	House			
69581	BJ-5054-XV	640000	2017-11-10	White Rhino Property	500	2016	29	False	False	32	4	1	House	House	1	3	972
69582	NS-2811-KB							False	False				House	House			
69583	WD-5062-EE							False	False				House	House			
69584	NN-2952-WA							False	False				House	House			
69585	RX-8897-PE							False	False				House	House			
69586	NK-8305-QM	330000	2005-10-24					False	False	11	56	3	House	House	2	4	707
69587	AL-9287-RQ	460000	2013-06-06	Ashby Partners Real Estate	0	2019	50	True	False	29	4	1	House	House	1	3	721
69588	BE-6300-YB	169950	1992-07-06					False	False	10	1		House	House			776
69589	JA-9397-BY	316000	2003-07-18					False	False	12	56		House	House		3	775
69590	FB-1367-WR	518000	2015-11-16					False	False	28	4	2	House	House	1	4	756
69591	UX-7161-TA							False	False				House	House			
69592	FZ-0739-DL	547500	2015-03-21	Luton Properties - Weston Creek and Molonglo Valley		2009	216	False	False	27	4	4	House	House	2	3	878
69593	LZ-7624-GL							False	False				House	House			
69594	WC-2772-CQ							False	False				House	House			
69595	KQ-7539-GU	405000	2007-12-12					False	False	15	56	1	House	House	1	3	813
69596	WC-7975-FT							False	False				House	House			
69597	WJ-0700-RU	425000	2009-05-12					False	False	16	56		House	House			755
69598	NE-0659-QW	362000	2005-02-25					False	False	24	4		House	House		3	813
69599	GD-5895-IM	605000	2016-10-10					False	False	17	56	1	House	House	1	4	755
69600	RV-1350-SJ	185000	2001-11-22					False	False	23	4		House	House			813
69601	NK-9958-LJ	207000	2002-06-04					False	False	18	56		House	House			755
69602	RZ-1170-SB	553000	2018-03-23					False	False	22	4	2	House	House	1	3	813
69603	BU-3646-VG	144000	1994-04-07					False	False	19	56		House	House			755
69604	SI-3374-YH	2	2012-05-31					False	False	21	4		House	House		4	912
69605	UR-5571-CY	518000	2010-02-06					False	False	20	56	3	House	House	2	3	737
69606	YM-5905-DZ	580500	2015-03-10					False	False	5	8	2	House	House	2	4	878
69607	HZ-4701-WI	143000	2000-09-05					False	False	9	1		House	House			803
69608	HS-8912-HF	135000	2000-04-05					False	False	4	8		House	House			674
69609	YC-7634-OQ	299000	2002-06-20					False	False	3	8		House	House			1239
69610	MR-3700-KJ							False	False	2	8		House	House			805
69611	ID-4077-PE	100000	1999-11-16					False	False	21	8		House	House		3	514
69612	QU-6836-RW							False	False				House	House			
69613	QT-8209-XF							False	False				House	House			
69614	TQ-8846-GE							False	False				House	House			
69615	TS-8809-ZY							False	False				House	House			
69616	YL-0770-SX							False	False				House	House			
69617	GF-9759-PR	348000	2005-09-06					False	False	1	56		House	House		3	866
69618	II-0451-OA	165000	1993-03-17					False	False	11	31		House	House			852
69619	BP-6023-RM	207000	2000-03-03					False	False	20	32		House	House			790
69620	MI-2051-TF	625000	2017-11-02					False	False	6	31		House	House			1181
69621	IJ-0024-AH	501000	2010-12-13					False	False	21	32		House	House			1285
69622	YA-5202-AN							False	False	5	31		House	House			824
69623	KV-2869-TM	436500	2009-09-09					False	False	4	31	2	House	House	1	3	760
69624	ET-0990-LQ							False	False				House	House			
69625	EQ-2750-VS							False	False				House	House			
69626	SY-6345-XB	590000	2013-02-08					False	False	16	32	4	House	House	2	4	824
69627	EX-4272-IN			Cream Residential	0	2019	9	False	False			1	House	House	1	3	
69628	HV-8274-KW	222000	2002-05-17					False	False	10	31		House	House		3	680
69629	CM-4392-EY	521000	2013-12-16					False	False	17	32		House	House			835
69630	HG-4665-EW	355000	2006-11-13					False	False	9	31	1	House	House	1	3	934
69631	NO-5125-JE	735000	2018-02-20					False	False	18	32	1	House	House	2	4	888
69632	XF-2702-DN	165000	1995-10-15					False	False	8	31		House	House			1336
69633	IF-9265-AU	145000	1993-02-25					False	False	19	32		House	House			683
69634	HX-0282-CQ	225000	2001-11-15					False	False	7	31		House	House			968
69635	UG-8162-NL							False	False				Unit	Unit			
69636	BU-4346-LE							False	False				Unit	Unit			
69637	JT-4854-AQ	555000	2017-03-14					False	False	7	16	1	House	House	1	4	987
69638	PP-0987-UB							False	False				Unit	Unit			
69639	WM-5006-LL							False	False				House	House			
69640	CB-4398-CP							False	False				House	House			
69641	HX-6284-SN	480000	2015-08-04					False	False	1	30		House	House			870
69642	OK-1942-RR	538000	2016-07-14					False	False	9	39	2	House	House	1	3	767
69643	EV-4357-RA							False	False				House	House			
69644	HV-6251-KN	149950	2000-10-18					False	False	10	39		House	House			704
69645	NF-7028-KU	150500	1994-03-01					False	False	20	30		House	House			851
69646	LK-6210-GH	341000	2007-04-16					False	False	11	39	1	House	House	1	3	687
69647	ES-4884-GY							False	False				House	House			
69648	LW-9611-ZD	398000	2009-03-10					False	False	12	39	2	House	House	1	3	732
69649	HY-0421-SG	480000	2016-09-22					False	False	18	30		House	House			
69650	IK-8995-FD							False	False				Unit	Unit			
69651	YU-5840-AT							False	False				House	House			
69652	GQ-7535-ZB	215000	2001-11-05					False	False	13	39		House	House		3	744
69653	HZ-9048-NO	115000	1998-05-15					False	False	17	30		House	House			856
69654	EU-2626-TT							False	False				House	House			
69655	NC-3203-RB	519000	2010-03-27					False	False	1	35	2	House	House	1	3	872
69656	IC-4360-OG	315000	2003-12-18					False	False	15	30		House	House			886
69657	LR-9655-AU	120000	1997-01-15					False	False	2	35		House	House			835
69658	EF-5254-RY							False	False				House	House			
69659	AJ-1123-GK							False	False				Unit	Unit			
69660	KT-9054-WE	625000	2018-07-16					False	False	19	14	2	House	House	1	3	743
69661	GE-0193-BS	415000	2005-05-30					False	False	4	35		House	House			975
69662	QI-3750-RH							False	False				House	House			
69663	JC-4779-CL							False	False				Unit	Unit			
69664	YR-7761-DY	559000	2017-09-09					False	False	1	16	4	House	House	1	3	
69665	CX-4790-IO							False	False				Unit	Unit			
69666	WJ-8221-KX							False	False				House	House			
69667	RM-0680-SO							False	False				Unit	Unit			
69668	GZ-4245-OW							False	False				Unit	Unit			
69669	NC-7775-GT	487000	2019-04-12	Luton Properties - Weston Creek and Molonglo Valley	430	2019	19	True	False	21	14	1	House	House	1	3	743
69670	YJ-3285-HI							False	False				Unit	Unit			
69671	BA-1518-PZ	362000	2007-03-15	CIVIUM	520	2018	35	True	False	6	15	2	House	House	1	4	889
