StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
71053	QC-7292-GK							False	False				House	House			
71054	HQ-6635-MS	400000	2011-10-21					False	False	8	11	2	House	House	2	4	
71055	ZK-9784-HP							False	False				House	House			
71056	ZO-1848-PC							False	False				House	House			
71057	FP-6779-MN	322000	2004-04-20					False	False	10	11		House	House		3	1209
71058	QS-3587-IU	315000	2003-04-23					False	False	11	11		House	House			807
71059	PW-9834-PW	158000	2000-04-07					False	False	3	11		House	House			952
71060	ZM-9213-SH							False	False	6	13		House	House			729
71061	XY-6672-SP							False	False				House	House			
71062	GU-3493-VB	105000	1998-01-16					False	False	5	13		House	House			714
71063	HQ-8699-MN	170000	1995-08-25	Archived Peter Blackshaw Real Estate Woden & Weston Cre	520	2017	29	True	False	5	11	2	House	House	1	4	1300
71064	QF-8178-RH							False	False				House	House			
71065	QB-8485-TD							False	False				House	House			
71066	FM-7606-FJ	132000	1992-07-10					False	False	3	13		House	House			792
71067	KQ-6803-GC	410000	2007-03-08	Civium Property Group	580	2019	8	True	False	10	27	2	House	House	2	4	599
71068	LL-3444-HJ	150000	1997-07-11					False	False	11	28		House	House			420
71069	II-8203-HV							False	False	12	28		House	House			524
71070	NY-7496-QY	155000	1994-10-07	Hathaway Real Estate	480	2018	15	True	False	7	28	2	House	House	2	3	578
71071	FX-2170-PK							False	False				House	House			
71072	SP-7577-JP	481000	2010-10-30					False	False	8	28	2	House	House	2	3	459
71073	UK-9839-MD	181000	1993-10-12					False	False	12	27		House	House			590
71074	SP-7004-ED	35000	2017-11-07					False	False	9	28	2	House	House	2	3	565
71075	BA-8098-JS	503500	2010-11-27					False	False	13	27	2	House	House	2	3	532
71076	PO-8661-MT							False	False	10	28	2	House	House	2	3	435
71077	YW-0081-TI	152500	1996-02-29					False	False	14	27		House	House			580
71078	NX-3697-EL	147000	1997-10-17					False	False	11	18		House	House			752
71079	DT-4711-TQ							False	False				House	House			
71080	XK-5907-BB	648000	2013-03-26					False	False	12	18	1	House	House	2	4	775
71081	ER-9894-QG							False	False				House	House			
71082	MZ-9104-BP		2014-03-26					False	False	8	18	2	House	House	1	3	810
71083	LZ-2704-NI	540000	2009-12-22					False	False	4	19		House	House			846
71084	PK-2344-UI	695000	2014-12-01					False	False	9	18	2	House	House	3	5	736
71085	AX-1070-ID	190000	1999-03-08					False	False	3	19		House	House			899
71086	DG-3475-YL	540000	2009-06-16					False	False	10	18	2	House	House	2	4	755
71087	KM-3531-YB	170000	1993-04-20					False	False	2	19		House	House			787
71088	XW-7795-EG	345000	2007-09-26					False	True	4	30		Unit	Unit			
71089	WX-3803-US							False	False				Unit	Unit			
71090	CV-7529-RL							False	False				House	House			
71091	NX-9930-EN	240000	2008-04-02					False	True	4	30		Unit	Unit			
71092	GJ-9092-WJ	460000	2003-07-29					False	False	8	41		House	House		4	655
71093	ZM-2126-ZO	690000	2010-02-06					False	True	4	30	2	Unit	Unit	3	4	
71094	KO-0994-JJ							False	False				House	House			
71095	BM-6591-ZK	482500	2010-09-25					False	True	4	30	2	Unit	Unit	1	3	
71096	LS-5742-TY	662500	2014-07-26					False	False	7	41	3	House	House	2	4	676
71097	SA-1981-BZ	415000	2015-02-21					False	True	4	30	1	Unit	Unit	1	2	
71098	HT-3048-TC	166622	2007-04-03	Little Bird Properties	0	2020	9	True	False	6	22	0	House	House	1	4	895
71099	AA-1161-GW	495000	2019-08-20					False	True	4	30	1	Unit	Unit	1	2	
71100	GR-1229-UV							False	False				House	House			
71101	WU-0329-RQ	578500	2019-09-07					False	True	4	30	2	Unit	Unit	1	3	
71102	EL-8804-XT							False	False				House	House			
71103	WQ-0499-FC	185000	2001-06-04					False	True	4	30		Unit	Unit		3	
71104	IJ-8563-AO	450000	2010-05-10	Civium Property Group	430	2016	146	True	True	4	30	2	Unit	Unit	1	3	
71105	OC-5151-JM	610000	2019-07-01					False	False	4	22		House	House			796
71106	SJ-2732-NA	230000	2002-05-06					False	True	4	30		Unit	Unit			
71107	IV-2110-AS	418000	2016-02-03					False	True	4	30	1	Unit	Unit	1	2	
71108	KM-8120-TB							False	False				House	House			
71109	GY-4445-XH	390000	2013-10-04	Hayman Partners	450	2019	276	True	True	4	30	1	Unit	Unit	1	2	
71110	SS-8003-CY	455000	2003-11-05					False	False	12	41		House	House			1036
71111	TX-4657-IC	242000	2002-10-11					False	True	4	30		Unit	Unit		2	
71112	NF-7802-PN	309000	2001-11-28					False	False	9	34		House	House			722
71113	BT-2558-NQ	135000	2002-06-18					False	True	4	30		Unit	Unit			
71114	EI-0777-ID							False	False				House	House		3	
71115	ZH-3067-NN	260000	2006-11-10	LJH Tuggeranong	380	2010	12	True	True	4	30	1	Unit	Unit	1	3	
71116	LR-5316-TA	557500	2012-12-21	Luton Properties Woden	495	2016	6	True	False	10	34	3	House	House	1	4	757
71117	ID-1283-LA			Peter Blackshaw Tuggeranong	360	2016	7	False	True			1	House	Townhouse	1	2	
71118	JW-8456-HR	350000	2010-05-12					False	True	4	30		Unit	Unit			
71119	HS-3790-VS	750000	2019-05-09					False	False	11	34	2	House	House	2	3	807
71120	AW-4787-WJ	387000	2010-09-25					False	True	4	30	1	Unit	Unit	1	2	
71121	QI-8412-AM	144000	2000-05-05					False	True	4	30	1	Unit	Unit	1	2	
71122	BB-7817-DS	155000	1999-08-27					False	False	12	34		House	House			961
71123	UV-4720-DU	451000	2017-05-27	LJH Weston Creek	390	2015	244	False	True	4	30	2	Unit	Unit	1	2	
71124	PM-9058-PC	128000	1993-05-28					False	False	6	17		House	House			843
71125	ZI-4962-NY	365000	2015-01-29	Hodgkinson Real Estate 	0	2019	12	True	True	4	30	1	Unit	Unit	1	2	
71126	VK-4881-ER							False	True				Unit	Unit			
71127	HA-8786-YF	558500	2011-04-19					False	False	5	17	2	House	House	2	4	763
71128	HJ-6573-JP	379950	2014-05-08					False	True	4	30	1	Unit	Unit	1	2	
71129	YM-5323-KK	280000	2003-04-17					False	False	11	23		House	House			1031
71130	KU-9557-IH	474000	2016-11-26	Archived Peter Blackshaw Real Estate Woden & Weston Cre	400	2014	6	False	True	4	30	2	Unit	Unit	1	2	
71131	JK-7198-AL							False	True				Unit	Unit			
71132	TQ-8443-VO			Luton Properties - Weston Creek and Molonglo Valley	580	2020	41	False	False			2	House	House	2	4	
71133	FV-3457-RL	330050	2008-12-17					False	True	4	30	1	Unit	Unit	1	2	
71135	JW-6977-PI	450000	2019-02-13					False	True	4	30	2	Unit	Unit	1	2	
71136	JE-1551-AE							False	False	3	17		House	House			793
71137	FU-2983-SK	315000	2008-09-25					False	True	4	30	1	Unit	Unit	1	2	
71138	UZ-9511-GI							False	False				House	House			
71139	SV-5772-NX	136000	1991-04-03					False	True	4	30		Unit	Unit			
71140	PQ-9409-QP	188000	1999-04-13					False	False	2	17		House	House			791
71141	DJ-9911-FY	445000	2011-03-16					False	True	4	30	2	Unit	Unit	1	3	
71142	QV-2151-KD							False	False				House	House			
71143	OM-9694-UG	475000	2010-12-21					False	True	4	30	2	Unit	Unit	1	3	
71144	DQ-4637-JC							False	False				House	House			
71145	BP-1335-LJ	287000	2007-01-30					False	True	4	30		Unit	Unit			
71146	EP-0093-HN			Luton Properties - Weston Creek and Molonglo Valley	390	2019	19	False	True			1	House	Townhouse	1	2	
71147	KT-9111-HH							False	False				House	House			
71148	GQ-1669-SJ	395000	2008-09-19	CIVIUM - Build Develop Create	425	2016	30	True	True	4	30	2	Unit	Unit	1	3	
71149	GR-5172-KB							False	False				House	House			
71150	JG-7716-NG	390000	2014-07-09					False	True	4	30	1	Unit	Unit	1	2	
71151	EY-3588-VM	375000	2010-12-22					False	True	4	30		Unit	Unit			
71152	OD-8905-SC	152000	1996-04-02					False	True	4	30		Unit	Unit			
71153	CA-8928-FF	450000	2009-09-14					False	True	4	30	2	Unit	Unit	1	3	
71154	PO-2771-RJ	510000	2015-12-22					False	False	14	16	1	House	House	1	3	942
71155	AW-9483-TG	338000	2006-01-25					False	True	4	30		Unit	Unit		3	
71156	ZC-9898-CQ	180000	2002-03-08					False	True	4	30		Unit	Unit			
71157	AH-6928-SU	100000	1991-01-18	Bertram Ellis	410	2010	14	True	False	13	16	2	House	House	1	3	
71158	WL-4700-EQ	130000	1997-02-11					False	True	4	30		Unit	Unit			
71159	HO-7609-OI							False	False	24	29		House	House			843
71160	ZG-9359-QC							False	True				Unit	Unit			
71161	NY-6719-SQ	122500	1997-03-11	CIVIUM - Build Develop Create	420	2015	28	True	False	12	16	1	House	House	1	3	865
71162	TV-7440-JD	365000	2009-12-23					False	True	4	30		Unit	Unit		2	
71163	JE-2321-RZ							False	False	25	29		House	House			815
