StreetAddressID	POI	Distance
72034	City GPO	1.7
72034	Major Shopping Centre - Cooleman Court	1.7
72034	Hospital - The Canberra Hospital	6.0
72034	Primary School - Duffy Primary	0.3
72034	High School - Stromlo High	2.8
72034	College - Canberra College	4.7
72034	University - Australian National University	9.6
72035	City GPO	11.5
72035	Major Shopping Centre - Kippax Fair	11.7
72035	Hospital - Calvary Private Hospital	15.5
72035	Primary School - Duffy Primary	10.5
72035	High School - Belconnen High School, Hawker	11.5
72035	College - Hawker College	11.0
72035	University - University Of Canberra, Bruce	15.7
72036	City GPO	11.5
72036	Major Shopping Centre - Kippax Fair	11.7
72036	Hospital - Calvary Private Hospital	15.5
72036	Primary School - Duffy Primary	10.5
72036	High School - Belconnen High School, Hawker	11.5
72036	College - Hawker College	11.1
72036	University - University Of Canberra, Bruce	15.7
72037	City GPO	11.5
72037	Major Shopping Centre - Kippax Fair	11.7
72037	Hospital - Calvary Private Hospital	15.5
72037	Primary School - Duffy Primary	10.5
72037	High School - Belconnen High School, Hawker	11.5
72037	College - Hawker College	11.1
72037	University - University Of Canberra, Bruce	15.7
72038	City GPO	11.6
72038	Major Shopping Centre - Kippax Fair	11.8
72038	Hospital - Calvary Private Hospital	15.5
72038	Primary School - Duffy Primary	10.5
72038	High School - Belconnen High School, Hawker	11.5
72038	College - Hawker College	11.1
72038	University - University Of Canberra, Bruce	15.7
72039	City GPO	11.6
72039	Major Shopping Centre - Kippax Fair	11.8
72039	Hospital - Calvary Private Hospital	15.5
72039	Primary School - Duffy Primary	10.5
72039	High School - Belconnen High School, Hawker	11.5
72039	College - Hawker College	11.1
72039	University - University Of Canberra, Bruce	15.7
72040	City GPO	11.6
72040	Major Shopping Centre - Kippax Fair	11.8
72040	Hospital - Calvary Private Hospital	15.6
72040	Primary School - Duffy Primary	10.5
72040	High School - Belconnen High School, Hawker	11.6
72040	College - Hawker College	11.2
72040	University - University Of Canberra, Bruce	15.8
72041	City GPO	11.6
72041	Major Shopping Centre - Kippax Fair	11.8
72041	Hospital - Calvary Private Hospital	15.6
72041	Primary School - Duffy Primary	10.5
72041	High School - Belconnen High School, Hawker	11.6
72041	College - Hawker College	11.2
72041	University - University Of Canberra, Bruce	15.8
72042	City GPO	11.7
72042	Major Shopping Centre - Kippax Fair	11.9
72042	Hospital - Calvary Private Hospital	15.6
72042	Primary School - Duffy Primary	10.5
72042	High School - Belconnen High School, Hawker	11.6
72042	College - Hawker College	11.2
72042	University - University Of Canberra, Bruce	15.8
72043	City GPO	11.4
72043	Major Shopping Centre - Kippax Fair	11.6
72043	Hospital - Calvary Private Hospital	15.4
72043	Primary School - Duffy Primary	10.6
72043	High School - Belconnen High School, Hawker	11.4
72043	College - Hawker College	11.0
72043	University - University Of Canberra, Bruce	15.6
72044	City GPO	11.7
72044	Major Shopping Centre - Kippax Fair	11.9
72044	Hospital - Calvary Private Hospital	15.6
72044	Primary School - Duffy Primary	10.5
72044	High School - Belconnen High School, Hawker	11.7
72044	College - Hawker College	11.2
72044	University - University Of Canberra, Bruce	15.8
72045	City GPO	11.7
72045	Major Shopping Centre - Kippax Fair	11.9
72045	Hospital - Calvary Private Hospital	15.7
72045	Primary School - Duffy Primary	10.6
72045	High School - Belconnen High School, Hawker	11.7
72045	College - Hawker College	11.3
72045	University - University Of Canberra, Bruce	15.9
72046	City GPO	11.7
72046	Major Shopping Centre - Kippax Fair	11.9
72046	Hospital - Calvary Private Hospital	15.7
72046	Primary School - Duffy Primary	10.5
72046	High School - Belconnen High School, Hawker	11.7
72046	College - Hawker College	11.3
72046	University - University Of Canberra, Bruce	15.9
72047	City GPO	11.7
72047	Major Shopping Centre - Kippax Fair	11.9
72047	Hospital - Calvary Private Hospital	15.7
72047	Primary School - Duffy Primary	10.6
72047	High School - Belconnen High School, Hawker	11.7
72047	College - Hawker College	11.3
72047	University - University Of Canberra, Bruce	15.9
72048	City GPO	11.8
72048	Major Shopping Centre - Kippax Fair	12.0
72048	Hospital - Calvary Private Hospital	15.7
72048	Primary School - Duffy Primary	10.6
72048	High School - Belconnen High School, Hawker	11.7
72048	College - Hawker College	11.3
72048	University - University Of Canberra, Bruce	15.9
72049	City GPO	11.8
72049	Major Shopping Centre - Kippax Fair	12.0
72049	Hospital - Calvary Private Hospital	15.7
72049	Primary School - Duffy Primary	10.6
72049	High School - Belconnen High School, Hawker	11.8
72049	College - Hawker College	11.3
72049	University - University Of Canberra, Bruce	15.9
72050	City GPO	11.8
72050	Major Shopping Centre - Kippax Fair	12.0
72050	Hospital - Calvary Private Hospital	15.7
72050	Primary School - Duffy Primary	10.6
72050	High School - Belconnen High School, Hawker	11.8
72050	College - Hawker College	11.3
72050	University - University Of Canberra, Bruce	15.9
72051	City GPO	11.8
72051	Major Shopping Centre - Kippax Fair	12.0
72051	Hospital - Calvary Private Hospital	15.8
72051	Primary School - Duffy Primary	10.7
72051	High School - Belconnen High School, Hawker	11.8
72051	College - Hawker College	11.4
72051	University - University Of Canberra, Bruce	16.0
72052	City GPO	11.8
72052	Major Shopping Centre - Kippax Fair	12.0
72052	Hospital - Calvary Private Hospital	15.7
72052	Primary School - Duffy Primary	10.6
72052	High School - Belconnen High School, Hawker	11.8
72052	College - Hawker College	11.4
72052	University - University Of Canberra, Bruce	16.0
72053	City GPO	11.9
72053	Major Shopping Centre - Kippax Fair	12.1
72053	Hospital - Calvary Private Hospital	15.8
72053	Primary School - Duffy Primary	10.7
72053	High School - Belconnen High School, Hawker	11.8
72053	College - Hawker College	11.4
72053	University - University Of Canberra, Bruce	16.0
72054	City GPO	11.9
72054	Major Shopping Centre - Kippax Fair	12.1
72054	Hospital - Calvary Private Hospital	15.8
72054	Primary School - Duffy Primary	10.6
72054	High School - Belconnen High School, Hawker	11.8
72054	College - Hawker College	11.4
72054	University - University Of Canberra, Bruce	16.0
72055	City GPO	11.9
72055	Major Shopping Centre - Kippax Fair	12.1
72055	Hospital - Calvary Private Hospital	15.8
72055	Primary School - Duffy Primary	10.6
72055	High School - Belconnen High School, Hawker	11.8
72055	College - Hawker College	11.4
72055	University - University Of Canberra, Bruce	16.0
72056	City GPO	11.9
72056	Major Shopping Centre - Kippax Fair	12.1
72056	Hospital - Calvary Private Hospital	15.8
72056	Primary School - Duffy Primary	10.7
72056	High School - Belconnen High School, Hawker	11.8
72056	College - Hawker College	11.4
72056	University - University Of Canberra, Bruce	16.0
72057	City GPO	11.9
72057	Major Shopping Centre - Kippax Fair	12.1
72057	Hospital - Calvary Private Hospital	15.8
72057	Primary School - Duffy Primary	10.6
72057	High School - Belconnen High School, Hawker	11.9
72057	College - Hawker College	11.4
72057	University - University Of Canberra, Bruce	16.0
72058	City GPO	11.9
72058	Major Shopping Centre - Kippax Fair	12.1
72058	Hospital - Calvary Private Hospital	15.8
72058	Primary School - Duffy Primary	10.6
72058	High School - Belconnen High School, Hawker	11.9
72058	College - Hawker College	11.4
72058	University - University Of Canberra, Bruce	16.0
72059	City GPO	11.9
72059	Major Shopping Centre - Kippax Fair	12.1
72059	Hospital - Calvary Private Hospital	15.9
72059	Primary School - Duffy Primary	10.7
72059	High School - Belconnen High School, Hawker	11.9
72059	College - Hawker College	11.5
72059	University - University Of Canberra, Bruce	16.1
72060	City GPO	11.9
72060	Major Shopping Centre - Kippax Fair	12.1
72060	Hospital - Calvary Private Hospital	15.8
72060	Primary School - Duffy Primary	10.8
72060	High School - Belconnen High School, Hawker	11.9
72060	College - Hawker College	11.4
72060	University - University Of Canberra, Bruce	16.0
72061	City GPO	11.9
72061	Major Shopping Centre - Kippax Fair	12.1
72061	Hospital - Calvary Private Hospital	15.9
72061	Primary School - Duffy Primary	10.7
72061	High School - Belconnen High School, Hawker	11.9
72061	College - Hawker College	11.5
72061	University - University Of Canberra, Bruce	16.1
72062	City GPO	11.9
72062	Major Shopping Centre - Kippax Fair	12.1
72062	Hospital - Calvary Private Hospital	15.9
72062	Primary School - Duffy Primary	10.8
72062	High School - Belconnen High School, Hawker	11.9
72062	College - Hawker College	11.4
72062	University - University Of Canberra, Bruce	16.1
72063	City GPO	11.9
72063	Major Shopping Centre - Kippax Fair	12.1
72063	Hospital - Calvary Private Hospital	15.9
72063	Primary School - Duffy Primary	10.8
72063	High School - Belconnen High School, Hawker	11.9
72063	College - Hawker College	11.5
72063	University - University Of Canberra, Bruce	16.1
72064	City GPO	11.4
72064	Major Shopping Centre - Kippax Fair	11.6
72064	Hospital - Calvary Private Hospital	15.5
72064	Primary School - Duffy Primary	10.6
72064	High School - Belconnen High School, Hawker	11.5
72064	College - Hawker College	11.0
72064	University - University Of Canberra, Bruce	15.6
72065	City GPO	11.9
72065	Major Shopping Centre - Kippax Fair	12.1
72065	Hospital - Calvary Private Hospital	15.9
72065	Primary School - Duffy Primary	10.8
72065	High School - Belconnen High School, Hawker	11.9
72065	College - Hawker College	11.5
72065	University - University Of Canberra, Bruce	16.1
72066	City GPO	11.9
72066	Major Shopping Centre - Kippax Fair	12.1
72066	Hospital - Calvary Private Hospital	15.9
72066	Primary School - Duffy Primary	10.9
72066	High School - Belconnen High School, Hawker	11.9
72066	College - Hawker College	11.5
72066	University - University Of Canberra, Bruce	16.1
72067	City GPO	12.0
72067	Major Shopping Centre - Kippax Fair	12.1
72067	Hospital - Calvary Private Hospital	15.9
72067	Primary School - Duffy Primary	10.8
72067	High School - Belconnen High School, Hawker	12.0
72067	College - Hawker College	11.5
72067	University - University Of Canberra, Bruce	16.1
72068	City GPO	12.0
72068	Major Shopping Centre - Kippax Fair	12.1
72068	Hospital - Calvary Private Hospital	15.9
72068	Primary School - Duffy Primary	10.9
72068	High School - Belconnen High School, Hawker	12.0
72068	College - Hawker College	11.5
72068	University - University Of Canberra, Bruce	16.1
72069	City GPO	12.0
72069	Major Shopping Centre - Kippax Fair	12.1
72069	Hospital - Calvary Private Hospital	16.0
72069	Primary School - Duffy Primary	10.9
72069	High School - Belconnen High School, Hawker	12.0
72069	College - Hawker College	11.5
72069	University - University Of Canberra, Bruce	16.2
72070	City GPO	12.0
