StreetAddressID	POI	Distance
72156	City GPO	0.3
72156	Major Shopping Centre - Cooleman Court	1.1
72156	Hospital - The Canberra Hospital	3.8
72156	Primary School - St John Vianney's Primary School	0.4
72156	High School - Stromlo High	0.8
72156	College - Marist College Canberra	2.8
72156	University - Australian National University	9.4
72157	City GPO	0.4
72157	Major Shopping Centre - Cooleman Court	1.0
72157	Hospital - The Canberra Hospital	3.8
72157	Primary School - St John Vianney's Primary School	0.4
72157	High School - Stromlo High	0.8
72157	College - Canberra College	2.8
72157	University - Australian National University	9.3
72158	City GPO	0.4
72158	Major Shopping Centre - Cooleman Court	1.0
72158	Hospital - The Canberra Hospital	3.9
72158	Primary School - St John Vianney's Primary School	0.3
72158	High School - Stromlo High	0.8
72158	College - Canberra College	2.9
72158	University - Australian National University	9.4
72159	City GPO	0.4
72159	Major Shopping Centre - Cooleman Court	1.0
72159	Hospital - The Canberra Hospital	3.8
72159	Primary School - St John Vianney's Primary School	0.4
72159	High School - Stromlo High	0.8
72159	College - Canberra College	2.8
72159	University - Australian National University	9.3
72160	City GPO	0.4
72160	Major Shopping Centre - Cooleman Court	1.0
72160	Hospital - The Canberra Hospital	3.9
72160	Primary School - St John Vianney's Primary School	0.3
72160	High School - Stromlo High	0.8
72160	College - Canberra College	2.9
72160	University - Australian National University	9.4
72161	City GPO	0.4
72161	Major Shopping Centre - Cooleman Court	1.0
72161	Hospital - The Canberra Hospital	3.9
72161	Primary School - St John Vianney's Primary School	0.4
72161	High School - Stromlo High	0.8
72161	College - Canberra College	2.8
72161	University - Australian National University	9.3
72162	City GPO	0.4
72162	Major Shopping Centre - Cooleman Court	1.0
72162	Hospital - The Canberra Hospital	3.9
72162	Primary School - St John Vianney's Primary School	0.3
72162	High School - Stromlo High	0.8
72162	College - Canberra College	2.9
72162	University - Australian National University	9.4
72163	City GPO	0.5
72163	Major Shopping Centre - Cooleman Court	0.9
72163	Hospital - The Canberra Hospital	3.9
72163	Primary School - St John Vianney's Primary School	0.4
72163	High School - Stromlo High	0.8
72163	College - Canberra College	2.9
72163	University - Australian National University	9.3
72164	City GPO	0.4
72164	Major Shopping Centre - Cooleman Court	1.0
72164	Hospital - The Canberra Hospital	3.9
72164	Primary School - St John Vianney's Primary School	0.3
72164	High School - Stromlo High	0.8
72164	College - Canberra College	2.9
72164	University - Australian National University	9.4
72165	City GPO	0.5
72165	Major Shopping Centre - Cooleman Court	0.9
72165	Hospital - The Canberra Hospital	3.9
72165	Primary School - St John Vianney's Primary School	0.4
72165	High School - Stromlo High	0.8
72165	College - Canberra College	2.9
72165	University - Australian National University	9.3
72166	City GPO	0.4
72166	Major Shopping Centre - Cooleman Court	1.0
72166	Hospital - The Canberra Hospital	3.9
72166	Primary School - St John Vianney's Primary School	0.3
72166	High School - Stromlo High	0.8
72166	College - Canberra College	2.9
72166	University - Australian National University	9.4
72167	City GPO	0.4
72167	Major Shopping Centre - Cooleman Court	1.0
72167	Hospital - The Canberra Hospital	3.9
72167	Primary School - St John Vianney's Primary School	0.3
72167	High School - Stromlo High	0.8
72167	College - Canberra College	2.9
72167	University - Australian National University	9.4
72168	City GPO	0.3
72168	Major Shopping Centre - Cooleman Court	1.1
72168	Hospital - The Canberra Hospital	3.8
72168	Primary School - St John Vianney's Primary School	0.4
72168	High School - Stromlo High	0.8
72168	College - Marist College Canberra	2.8
72168	University - Australian National University	9.4
72169	City GPO	0.5
72169	Major Shopping Centre - Cooleman Court	0.9
72169	Hospital - The Canberra Hospital	3.9
72169	Primary School - St John Vianney's Primary School	0.4
72169	High School - Stromlo High	0.8
72169	College - Canberra College	2.9
72169	University - Australian National University	9.3
72170	City GPO	0.4
72170	Major Shopping Centre - Cooleman Court	0.9
72170	Hospital - The Canberra Hospital	3.9
72170	Primary School - St John Vianney's Primary School	0.3
72170	High School - Stromlo High	0.8
72170	College - Canberra College	2.9
72170	University - Australian National University	9.4
72171	City GPO	0.5
72171	Major Shopping Centre - Cooleman Court	0.9
72171	Hospital - The Canberra Hospital	3.9
72171	Primary School - St John Vianney's Primary School	0.4
72171	High School - Stromlo High	0.8
72171	College - Canberra College	2.9
72171	University - Australian National University	9.4
72172	City GPO	0.5
72172	Major Shopping Centre - Cooleman Court	0.9
72172	Hospital - The Canberra Hospital	4.0
72172	Primary School - St John Vianney's Primary School	0.3
72172	High School - Stromlo High	0.8
72172	College - Canberra College	2.9
72172	University - Australian National University	9.4
72173	City GPO	0.5
72173	Major Shopping Centre - Cooleman Court	0.9
72173	Hospital - The Canberra Hospital	3.9
72173	Primary School - St John Vianney's Primary School	0.4
72173	High School - Stromlo High	0.9
72173	College - Canberra College	2.9
72173	University - Australian National University	9.3
72174	City GPO	0.6
72174	Major Shopping Centre - Cooleman Court	0.8
72174	Hospital - The Canberra Hospital	3.9
72174	Primary School - St John Vianney's Primary School	0.4
72174	High School - Stromlo High	0.9
72174	College - Canberra College	2.9
72174	University - Australian National University	9.3
72175	City GPO	0.5
72175	Major Shopping Centre - Cooleman Court	0.9
72175	Hospital - The Canberra Hospital	3.9
72175	Primary School - St John Vianney's Primary School	0.4
72175	High School - Stromlo High	0.9
72175	College - Canberra College	2.9
72175	University - Australian National University	9.3
72176	City GPO	0.6
72176	Major Shopping Centre - Cooleman Court	0.8
72176	Hospital - The Canberra Hospital	3.9
72176	Primary School - St John Vianney's Primary School	0.4
72176	High School - Stromlo High	0.9
72176	College - Canberra College	2.9
72176	University - Australian National University	9.3
72177	City GPO	0.5
72177	Major Shopping Centre - Cooleman Court	0.9
72177	Hospital - The Canberra Hospital	3.9
72177	Primary School - St John Vianney's Primary School	0.4
72177	High School - Stromlo High	0.9
72177	College - Canberra College	2.9
72177	University - Australian National University	9.3
72178	City GPO	0.6
72178	Major Shopping Centre - Cooleman Court	0.8
72178	Hospital - The Canberra Hospital	3.9
72178	Primary School - St John Vianney's Primary School	0.4
72178	High School - Stromlo High	0.9
72178	College - Canberra College	2.8
72178	University - Australian National University	9.3
72179	City GPO	0.3
72179	Major Shopping Centre - Cooleman Court	1.1
72179	Hospital - The Canberra Hospital	3.8
72179	Primary School - St John Vianney's Primary School	0.4
72179	High School - Stromlo High	0.7
72179	College - Marist College Canberra	2.8
72179	University - Australian National University	9.4
72180	City GPO	0.5
72180	Major Shopping Centre - Cooleman Court	0.9
72180	Hospital - The Canberra Hospital	3.9
72180	Primary School - St John Vianney's Primary School	0.4
72180	High School - Stromlo High	0.9
72180	College - Canberra College	2.9
72180	University - Australian National University	9.3
72181	City GPO	0.5
72181	Major Shopping Centre - Cooleman Court	0.9
72181	Hospital - The Canberra Hospital	3.9
72181	Primary School - St John Vianney's Primary School	0.4
72181	High School - Stromlo High	0.9
72181	College - Canberra College	2.8
72181	University - Australian National University	9.3
72182	City GPO	0.5
72182	Major Shopping Centre - Cooleman Court	0.9
72182	Hospital - The Canberra Hospital	3.9
72182	Primary School - St John Vianney's Primary School	0.4
72182	High School - Stromlo High	0.9
72182	College - Canberra College	2.8
72182	University - Australian National University	9.3
72183	City GPO	0.5
72183	Major Shopping Centre - Cooleman Court	0.9
72183	Hospital - The Canberra Hospital	3.9
72183	Primary School - St John Vianney's Primary School	0.5
72183	High School - Stromlo High	0.9
72183	College - Canberra College	2.8
72183	University - Australian National University	9.3
72184	City GPO	0.5
72184	Major Shopping Centre - Cooleman Court	0.9
72184	Hospital - The Canberra Hospital	3.9
72184	Primary School - St John Vianney's Primary School	0.4
72184	High School - Stromlo High	0.9
72184	College - Canberra College	2.8
72184	University - Australian National University	9.3
72185	City GPO	0.5
72185	Major Shopping Centre - Cooleman Court	0.9
72185	Hospital - The Canberra Hospital	3.8
72185	Primary School - St John Vianney's Primary School	0.5
72185	High School - Stromlo High	0.9
72185	College - Canberra College	2.8
72185	University - Australian National University	9.3
72186	City GPO	0.5
72186	Major Shopping Centre - Cooleman Court	0.9
72186	Hospital - The Canberra Hospital	3.8
72186	Primary School - St John Vianney's Primary School	0.4
72186	High School - Stromlo High	0.9
72186	College - Canberra College	2.8
72186	University - Australian National University	9.3
72187	City GPO	0.5
72187	Major Shopping Centre - Cooleman Court	0.9
72187	Hospital - The Canberra Hospital	3.8
72187	Primary School - St John Vianney's Primary School	0.5
72187	High School - Stromlo High	0.9
72187	College - Canberra College	2.8
72187	University - Australian National University	9.3
72188	City GPO	0.5
72188	Major Shopping Centre - Cooleman Court	1.0
72188	Hospital - The Canberra Hospital	3.8
72188	Primary School - St John Vianney's Primary School	0.4
72188	High School - Stromlo High	0.9
72188	College - Canberra College	2.8
72188	University - Australian National University	9.3
72189	City GPO	0.5
72189	Major Shopping Centre - Cooleman Court	0.9
72189	Hospital - The Canberra Hospital	3.8
72189	Primary School - St John Vianney's Primary School	0.5
72189	High School - Stromlo High	0.9
72189	College - Canberra College	2.8
72189	University - Australian National University	9.2
72190	City GPO	0.4
72190	Major Shopping Centre - Cooleman Court	1.1
72190	Hospital - The Canberra Hospital	3.8
72190	Primary School - St John Vianney's Primary School	0.4
72190	High School - Stromlo High	0.8
72190	College - Canberra College	2.8
72190	University - Australian National University	9.4
72191	City GPO	0.4
72191	Major Shopping Centre - Cooleman Court	1.0
72191	Hospital - The Canberra Hospital	3.8
72191	Primary School - St John Vianney's Primary School	0.4
72191	High School - Stromlo High	0.9
72191	College - Canberra College	2.8
72191	University - Australian National University	9.3
72192	City GPO	0.5
72192	Major Shopping Centre - Cooleman Court	0.9
72192	Hospital - The Canberra Hospital	3.8
72192	Primary School - St John Vianney's Primary School	0.5
72192	High School - Stromlo High	0.9
72192	College - Canberra College	2.8
72192	University - Australian National University	9.2
72193	City GPO	0.4
72193	Major Shopping Centre - Cooleman Court	1.0
72193	Hospital - The Canberra Hospital	3.8
72193	Primary School - St John Vianney's Primary School	0.4
72193	High School - Stromlo High	0.9
72193	College - Canberra College	2.8
72193	University - Australian National University	9.3
72194	City GPO	0.4
72194	Major Shopping Centre - Cooleman Court	1.0
72194	Hospital - The Canberra Hospital	3.8
72194	Primary School - St John Vianney's Primary School	0.4
72194	High School - Stromlo High	0.9
72194	College - Canberra College	2.8
72194	University - Australian National University	9.3
72195	City GPO	0.5
72195	Major Shopping Centre - Cooleman Court	1.0
72195	Hospital - The Canberra Hospital	3.8
72195	Primary School - St John Vianney's Primary School	0.5
72195	High School - Stromlo High	0.9
72195	College - Canberra College	2.7
72195	University - Australian National University	9.2
72196	City GPO	0.4
72196	Major Shopping Centre - Cooleman Court	1.0
72196	Hospital - The Canberra Hospital	3.8
72196	Primary School - St John Vianney's Primary School	0.5
72196	High School - Stromlo High	0.9
72196	College - Canberra College	2.8
72196	University - Australian National University	9.3
72197	City GPO	0.5
72197	Major Shopping Centre - Cooleman Court	1.0
72197	Hospital - The Canberra Hospital	3.8
72197	Primary School - St John Vianney's Primary School	0.5
72197	High School - Stromlo High	0.9
72197	College - Canberra College	2.7
72197	University - Australian National University	9.2
72198	City GPO	0.4
72198	Major Shopping Centre - Cooleman Court	1.0
72198	Hospital - The Canberra Hospital	3.8
72198	Primary School - St John Vianney's Primary School	0.5
72198	High School - Stromlo High	0.9
72198	College - Canberra College	2.8
72198	University - Australian National University	9.3
72199	City GPO	0.5
72199	Major Shopping Centre - Cooleman Court	1.0
72199	Hospital - The Canberra Hospital	3.7
72199	Primary School - St John Vianney's Primary School	0.5
