StreetAddressID	BCategory	AgencyId	AgencyName	EventDate	EventPrice	PriceDescription	DaysOnMarket
72156	Rental		Bertram Ellis	2008-09-10T00:00:00	525.0	PER WEEK	18.0
72157	Sale	2001-07-15T00:00:00	130000	PRIVATE TREATY			
72157	Sale	1994-12-05T00:00:00	121500	PRIVATE TREATY			
72158	Sale		Luton Properties Woden	2018-11-17T00:00:00	675000.0	PRIVATE TREATY	
72158	Sale	2013-07-19T00:00:00	485000	PRIVATE TREATY			
72158	Sale	1994-11-04T00:00:00	152000	PRIVATE TREATY			
72159	Sale		Elders Real Estate Belconnen	2010-09-04T00:00:00	572000.0	AUCTION	
72159	Sale		Gold Creek Real Estate	2005-09-17T00:00:00	395000.0	Listed - not sold	
72159	Sale	2002-03-11T00:00:00	267000	PRIVATE TREATY	30.0		
72159	Sale	2001-07-20T00:00:00	170000	PRIVATE TREATY			
72160	Sale	1992-08-14T00:00:00	126000	PRIVATE TREATY			
72161	Sale		IPG Inner North & City	2015-07-08T00:00:00	505000.0	PRIVATE TREATY	50.0
72161	Sale	2008-09-26T00:00:00	385000	PRIVATE TREATY	161.0		
72161	Sale	2003-09-01T00:00:00	329000	PRIVATE TREATY			
72163	Sale		LJH Manuka	2006-08-25T00:00:00	422000.0	PRIVATE TREATY	20.0
72165	Sale		Belle Property Kingston	2018-12-08T00:00:00	732000.0	AUCTION	
72165	Sale		LJH Manuka	2010-12-11T00:00:00	610000.0	AUCTION	
72165	Sale	2005-06-02T00:00:00	0	PRIVATE TREATY			
72165	Sale		LJH Tuggeranong	2003-11-01T00:00:00	445000.0	Listed - not sold	168.0
72165	Sale	2001-10-03T00:00:00	198000	PRIVATE TREATY			
72165	Sale	1991-05-17T00:00:00	120000	PRIVATE TREATY			
72166	Sale	2010-06-11T00:00:00	520000	PRIVATE TREATY			
72168	Sale		Independent Woden	2016-08-27T00:00:00	901000.0	AUCTION	
72169	Sale		CIVIUM - Build Develop Create	2017-12-01T00:00:00	580000.0	PRIVATE TREATY	
72170	Sale	2011-05-27T00:00:00	495000	PRIVATE TREATY			
72172	Sale	1991-08-12T00:00:00	128000	PRIVATE TREATY			
72173	Sale	1991-09-16T00:00:00	117500	PRIVATE TREATY			
72175	Rental	11155	Luton Properties - Weston Creek and Molonglo Valley	2013-12-22T00:00:00	420.0	PER WEEK	18.0
72175	Rental		Luton Properties - Weston Creek and Molonglo Valley	2011-10-12T00:00:00	460.0	PER WEEK	9.0
72175	Sale	1992-11-18T00:00:00	135000	PRIVATE TREATY			
72177	Sale		Wright Dunn Real Estate	2014-10-16T00:00:00	420000.0	PRIVATE TREATY	152.0
72177	Sale	2003-11-07T00:00:00	320000	PRIVATE TREATY	34.0		
72177	Sale	2000-10-06T00:00:00	122000	PRIVATE TREATY			
