StreetAddressID	Year	UnImprovedValue	YearlyGrowthRation
75739	2009-2010	0.0	0.0
75739	2010-2011	0.0	0.0
75739	2011-2012	0.0	0.0
75739	2012-2013	0.0	0.0
75739	2013-2014	0.0	0.0
75739	2014-2015	0.0	0.0
75739	2015-2016	0.0	0.0
75739	2016-2017	0.0	0.0
75739	2017-2018	434000.0	0.0
75739	2018-2019	455000.0	4.838709677419355
75739	2019-2020	476000.0	4.615384615384616
75743	2009-2010	0.0	0.0
75743	2010-2011	0.0	0.0
75743	2011-2012	0.0	0.0
75743	2012-2013	0.0	0.0
75743	2013-2014	0.0	0.0
75743	2014-2015	0.0	0.0
75743	2015-2016	0.0	0.0
75743	2016-2017	0.0	0.0
75743	2017-2018	378000.0	0.0
75743	2018-2019	396000.0	4.761904761904762
75743	2019-2020	414000.0	4.545454545454546
75757	2009-2010	0.0	0.0
75757	2010-2011	0.0	0.0
75757	2011-2012	0.0	0.0
75757	2012-2013	0.0	0.0
75757	2013-2014	0.0	0.0
75757	2014-2015	0.0	0.0
75757	2015-2016	0.0	0.0
75757	2016-2017	0.0	0.0
75757	2017-2018	395000.0	0.0
75757	2018-2019	414000.0	4.810126582278481
75757	2019-2020	433000.0	4.5893719806763285
75772	2009-2010	0.0	0.0
75772	2010-2011	0.0	0.0
75772	2011-2012	0.0	0.0
75772	2012-2013	0.0	0.0
75772	2013-2014	0.0	0.0
75772	2014-2015	0.0	0.0
75772	2015-2016	0.0	0.0
75772	2016-2017	0.0	0.0
75772	2017-2018	378000.0	0.0
75772	2018-2019	396000.0	4.761904761904762
75772	2019-2020	414000.0	4.545454545454546
75801	2009-2010	0.0	0.0
75801	2010-2011	0.0	0.0
75801	2011-2012	0.0	0.0
75801	2012-2013	0.0	0.0
75801	2013-2014	0.0	0.0
75801	2014-2015	0.0	0.0
75801	2015-2016	0.0	0.0
75801	2016-2017	0.0	0.0
75801	2017-2018	378000.0	0.0
75801	2018-2019	396000.0	4.761904761904762
75801	2019-2020	414000.0	4.545454545454546
75816	2009-2010	0.0	0.0
75816	2010-2011	0.0	0.0
75816	2011-2012	0.0	0.0
75816	2012-2013	0.0	0.0
75816	2013-2014	0.0	0.0
75816	2014-2015	0.0	0.0
75816	2015-2016	0.0	0.0
75816	2016-2017	0.0	0.0
75816	2017-2018	395000.0	0.0
75816	2018-2019	414000.0	4.810126582278481
75816	2019-2020	433000.0	4.5893719806763285
75831	2009-2010	0.0	0.0
75831	2010-2011	0.0	0.0
75831	2011-2012	0.0	0.0
75831	2012-2013	0.0	0.0
75831	2013-2014	0.0	0.0
75831	2014-2015	0.0	0.0
75831	2015-2016	0.0	0.0
75831	2016-2017	0.0	0.0
75831	2017-2018	378000.0	0.0
75831	2018-2019	396000.0	4.761904761904762
75831	2019-2020	414000.0	4.545454545454546
75845	2009-2010	0.0	0.0
75845	2010-2011	0.0	0.0
75845	2011-2012	0.0	0.0
75845	2012-2013	0.0	0.0
75845	2013-2014	0.0	0.0
75845	2014-2015	0.0	0.0
75845	2015-2016	0.0	0.0
75845	2016-2017	0.0	0.0
75845	2017-2018	410000.0	0.0
75845	2018-2019	430000.0	4.878048780487805
75845	2019-2020	450000.0	4.651162790697675
75859	2009-2010	0.0	0.0
75859	2010-2011	0.0	0.0
75859	2011-2012	0.0	0.0
75859	2012-2013	0.0	0.0
75859	2013-2014	0.0	0.0
75859	2014-2015	0.0	0.0
75859	2015-2016	0.0	0.0
75859	2016-2017	0.0	0.0
75859	2017-2018	405000.0	0.0
75859	2018-2019	425000.0	4.938271604938271
75859	2019-2020	445000.0	4.705882352941177
75873	2009-2010	0.0	0.0
75873	2010-2011	0.0	0.0
75873	2011-2012	0.0	0.0
75873	2012-2013	0.0	0.0
75873	2013-2014	0.0	0.0
75873	2014-2015	0.0	0.0
75873	2015-2016	0.0	0.0
75873	2016-2017	0.0	0.0
75873	2017-2018	410000.0	0.0
75873	2018-2019	430000.0	4.878048780487805
75873	2019-2020	450000.0	4.651162790697675
75877	2009-2010	0.0	0.0
75877	2010-2011	0.0	0.0
75877	2011-2012	0.0	0.0
75877	2012-2013	0.0	0.0
75877	2013-2014	0.0	0.0
75877	2014-2015	0.0	0.0
75877	2015-2016	0.0	0.0
75877	2016-2017	0.0	0.0
75877	2017-2018	419000.0	0.0
75877	2018-2019	439000.0	4.77326968973747
75877	2019-2020	459000.0	4.555808656036446
75881	2009-2010	0.0	0.0
75881	2010-2011	0.0	0.0
75881	2011-2012	0.0	0.0
75881	2012-2013	0.0	0.0
75881	2013-2014	0.0	0.0
75881	2014-2015	0.0	0.0
75881	2015-2016	0.0	0.0
75881	2016-2017	0.0	0.0
75881	2017-2018	405000.0	0.0
75881	2018-2019	425000.0	4.938271604938271
75881	2019-2020	445000.0	4.705882352941177
75888	2009-2010	0.0	0.0
75888	2010-2011	0.0	0.0
75888	2011-2012	0.0	0.0
75888	2012-2013	0.0	0.0
75888	2013-2014	0.0	0.0
75888	2014-2015	0.0	0.0
75888	2015-2016	0.0	0.0
75888	2016-2017	0.0	0.0
75888	2017-2018	410000.0	0.0
75888	2018-2019	430000.0	4.878048780487805
75888	2019-2020	450000.0	4.651162790697675
75891	2009-2010	0.0	0.0
75891	2010-2011	0.0	0.0
75891	2011-2012	0.0	0.0
75891	2012-2013	0.0	0.0
75891	2013-2014	0.0	0.0
75891	2014-2015	0.0	0.0
75891	2015-2016	0.0	0.0
75891	2016-2017	0.0	0.0
75891	2017-2018	419000.0	0.0
75891	2018-2019	439000.0	4.77326968973747
75891	2019-2020	459000.0	4.555808656036446
75894	2009-2010	0.0	0.0
75894	2010-2011	0.0	0.0
75894	2011-2012	0.0	0.0
75894	2012-2013	0.0	0.0
75894	2013-2014	0.0	0.0
75894	2014-2015	0.0	0.0
75894	2015-2016	0.0	0.0
75894	2016-2017	0.0	0.0
75894	2017-2018	401000.0	0.0
75894	2018-2019	421000.0	4.987531172069826
75894	2019-2020	441000.0	4.750593824228028
75897	2009-2010	0.0	0.0
75897	2010-2011	0.0	0.0
75897	2011-2012	0.0	0.0
75897	2012-2013	0.0	0.0
75897	2013-2014	0.0	0.0
75897	2014-2015	0.0	0.0
75897	2015-2016	0.0	0.0
75897	2016-2017	0.0	0.0
75897	2017-2018	443000.0	0.0
75897	2018-2019	465000.0	4.966139954853273
75897	2019-2020	487000.0	4.731182795698925
75902	2009-2010	0.0	0.0
75902	2010-2011	0.0	0.0
75902	2011-2012	0.0	0.0
75902	2012-2013	0.0	0.0
75902	2013-2014	0.0	0.0
75902	2014-2015	0.0	0.0
75902	2015-2016	0.0	0.0
75902	2016-2017	0.0	0.0
75902	2017-2018	430000.0	0.0
75902	2018-2019	451000.0	4.883720930232558
75902	2019-2020	472000.0	4.656319290465632
75906	2009-2010	0.0	0.0
75906	2010-2011	0.0	0.0
75906	2011-2012	0.0	0.0
75906	2012-2013	0.0	0.0
75906	2013-2014	0.0	0.0
75906	2014-2015	0.0	0.0
75906	2015-2016	0.0	0.0
75906	2016-2017	0.0	0.0
75906	2017-2018	413000.0	0.0
75906	2018-2019	433000.0	4.842615012106537
75906	2019-2020	453000.0	4.618937644341801
75913	2009-2010	0.0	0.0
75913	2010-2011	0.0	0.0
75913	2011-2012	0.0	0.0
