StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
75739								Unknown	Unknown
75743	2020-02-05T19:29:12.873	Low	640000	740000	840000	600	0.0365	Unknown	Unknown
75744	2019-12-23T00:00:00	RecentlySold	330000	330000	330000	470	0.0596	Unknown	Unknown
75746	2020-01-09T10:24:26.003	High	260000	305000	350000	395	0.0685	Unknown	Unknown
75748	2020-02-12T17:27:27.64	High	375000	435000	495000	470	0.0596	Unknown	Unknown
75750	2020-01-29T09:57:42.103	High	330000	385000	440000	470	0.0596	Unknown	Unknown
75751	2020-01-29T09:57:42.103	High	325000	375000	425000	470	0.0596	Unknown	Unknown
75752	2020-02-12T17:27:27.64	High	280000	320000	360000	395	0.0685	Unknown	Unknown
75753	2020-01-29T09:57:42.103	High	330000	385000	440000	470	0.0596	Unknown	Unknown
75757						560		Unknown	Unknown
75758	2020-01-29T09:57:42.103	High	325000	380000	435000	470	0.0596	Unknown	Unknown
75762	2019-12-12T00:45:20.067	High	280000	325000	370000	395	0.0685	Unknown	Unknown
75765	2020-02-05T19:29:12.873	High	320000	375000	430000	470	0.0596	Unknown	Unknown
75766	2020-01-29T09:57:42.103	High	330000	385000	440000	470	0.0596	Unknown	Unknown
75767	2020-01-29T09:57:42.103	High	330000	385000	440000	470	0.0596	Unknown	Unknown
75769						738	0.0444	Unknown	Unknown
75772	2020-02-05T19:29:12.873	Low	780000	910000	1040000	738	0.0444	Unknown	Unknown
75773	2020-01-29T09:57:42.103	High	325000	380000	435000	470	0.0596	Unknown	Unknown
75774	2020-01-29T09:57:42.103	High	330000	385000	440000	470	0.0596	Unknown	Unknown
75775	2020-01-29T09:57:42.103	High	265000	310000	355000	395	0.0685	Unknown	Unknown
75776	2020-02-05T19:29:12.873	High	335000	390000	445000	470	0.0596	Unknown	Unknown
75778	2019-12-12T00:45:20.067	High	280000	325000	370000	395	0.0685	Unknown	Unknown
75779	2020-02-05T19:29:12.873	High	335000	390000	445000	470	0.0596	Unknown	Unknown
75780	2020-01-29T09:57:42.103	High	265000	310000	355000	395	0.0685	Unknown	Unknown
75781	2020-01-29T09:57:42.103	High	330000	385000	440000	470	0.0596	Unknown	Unknown
75782	2020-01-29T09:57:42.103	High	325000	375000	425000	470	0.0596	Unknown	Unknown
75784	2019-10-18T12:32:42.017	High	455000	530000	605000	560		Unknown	Unknown
75787	2020-01-29T09:57:42.103	High	265000	310000	355000	395	0.0685	Unknown	Unknown
75789	2020-02-05T19:29:12.873	High	320000	370000	420000	470	0.0596	Unknown	Unknown
75792	2020-02-12T17:27:27.64	High	405000	470000	535000	543	0.0519	Unknown	Unknown
75793	2020-02-05T19:29:12.873	High	330000	385000	440000			Unknown	Unknown
75796	2019-12-13T00:00:00	RecentlySold	335000	335000	335000	470	0.0596	Unknown	Unknown
75798	2020-01-09T10:24:26.003	High	460000	540000	620000	560		Unknown	Unknown
75801	2020-02-05T19:29:12.873	Low	640000	740000	840000	600	0.0365	Unknown	Unknown
75805	2020-02-05T19:29:12.873	High	320000	370000	420000	470	0.0596	Unknown	Unknown
75806	2020-02-12T17:27:27.64	High	380000	445000	510000	470	0.0596	Unknown	Unknown
75807	2020-02-05T19:29:12.873	High	355000	400000	445000	470	0.0596	Unknown	Unknown
75808	2020-02-05T19:29:12.873	Medium	375000	440000	505000			Unknown	Unknown
75809	2020-02-05T19:29:12.873	High	355000	400000	445000	470	0.0596	Unknown	Unknown
75810	2020-02-05T19:29:12.873	Medium	345000	400000	455000	470	0.0596	Unknown	Unknown
75811	2020-02-05T19:29:12.873	High	330000	385000	440000	470	0.0596	Unknown	Unknown
75813	2020-02-12T17:27:27.64	High	300000	350000	400000	450	0.0572	Unknown	Unknown
75816								Unknown	Unknown
75817	2020-02-05T19:29:12.873	High	355000	400000	445000	470	0.0596	Unknown	Unknown
75818	2020-02-05T19:29:12.873	High	330000	385000	440000	470	0.0596	Unknown	Unknown
75819	2020-02-05T19:29:12.873	High	330000	385000	440000	470	0.0596	Unknown	Unknown
75821	2020-02-12T17:27:27.64	High	330000	385000	440000	470	0.0596	Unknown	Unknown
