StreetAddressID	DomainPropertyId	LastSalePrice	LastSaleDate	LastRentalAgency	LastRentalPrice	LastRentalYear	RentDaysOnMarket	isPotentialInvestment	isPropertyInBuilding	lotNumber	planNumber	parking	propertyCategory	propertyType	bathrooms	bedrooms	BlockSize
83589	GZ-5027-GW							False	False				House	House			
83590	XV-0447-JS							False	False				House	House			
83591	PE-0836-UP							False	False				House	House			
83592	FK-9258-VD							False	False				House	House			
83593	GB-4260-UF							False	False				House	House			
83594	PX-8436-PW							False	False				House	House			
83595	HO-4249-XV							False	False				House	House			
83596	QL-9132-BO							False	False				House	House			
83597	NF-8466-VM							False	False				House	House			
83598	CK-8777-LV							False	False				House	House			
83599	RC-4633-OO							False	False				House	House			
83600	OT-8522-CL							False	False				House	House			
83601	WF-1712-FM							False	False				House	House			
83602	IP-9532-OC							False	False				House	House			
83603	BT-9552-XZ							False	False				House	House			
83604	VM-6108-WS							False	False				House	House			
83605	FQ-4088-FY							False	False				House	House			
83606	OH-8965-CM							False	False				House	House			
83607	SR-7378-SJ							False	False				House	House			
83608	CB-3835-TN							False	False				House	House			
83609	PH-7562-FK							False	False				House	House			
83611	MU-8684-RZ			Homefinders Real Estate	400	2018	70	False	False			1	House	House	1	2	
83612	PS-3477-GL							False	False				House	House			
83613	PQ-4515-DL							False	False				House	House			
83614	YC-3017-SV	323200	1994-01-13					False	False	16	3		House	House			828
83615	AS-3746-FG							False	False	17	3		House	House		4	801
83616	PU-1889-VH							False	False				House	House			
83617	PV-7653-FR							False	True				Unit	Unit			
83618	SG-2994-XO			Sadil Quinlan	450	2010		False	False	19	3	1	House	House	1	3	755
83619	GE-2298-DI	887000	2013-05-06					False	False	1	3		House	House			816
83620	RO-7839-KP			LJ Hooker Manuka	395	2019	41	False	True			1	Unit	Unit	1	2	
83621	SV-6516-GP	15000000	2015-06-04	Laing+Simmons Commercial Canberra		2017	661	True	False	1	130		Commercial	Commercial			
83622	OI-7397-YX			Homefinders Real Estate	630	2018	82	False	False	1	4	1	House	House	1	3	447
