StreetAddressID	POI	Distance
85349	City GPO	1.0
85349	Major Shopping Centre - Cooleman Court	1.4
85349	Hospital - The Canberra Hospital	4.9
85349	Primary School - Chapman Primary	0.6
85349	High School - Stromlo High	0.6
85349	College - Marist College Canberra	3.7
85349	University - Australian National University	10.3
85350	City GPO	1.0
85350	Major Shopping Centre - Cooleman Court	1.4
85350	Hospital - The Canberra Hospital	4.9
85350	Primary School - Chapman Primary	0.6
85350	High School - Stromlo High	0.6
85350	College - Marist College Canberra	3.7
85350	University - Australian National University	10.3
85351	City GPO	1.0
85351	Major Shopping Centre - Cooleman Court	1.4
85351	Hospital - The Canberra Hospital	4.9
85351	Primary School - Chapman Primary	0.6
85351	High School - Stromlo High	0.6
85351	College - Marist College Canberra	3.7
85351	University - Australian National University	10.3
85352	City GPO	1.0
85352	Major Shopping Centre - Cooleman Court	1.4
85352	Hospital - The Canberra Hospital	4.9
85352	Primary School - Chapman Primary	0.6
85352	High School - Stromlo High	0.6
85352	College - Marist College Canberra	3.7
85352	University - Australian National University	10.3
85353	City GPO	1.0
85353	Major Shopping Centre - Cooleman Court	1.4
85353	Hospital - The Canberra Hospital	4.9
85353	Primary School - Chapman Primary	0.6
85353	High School - Stromlo High	0.6
85353	College - Marist College Canberra	3.7
85353	University - Australian National University	10.3
85354	City GPO	1.0
85354	Major Shopping Centre - Cooleman Court	1.4
85354	Hospital - The Canberra Hospital	4.9
85354	Primary School - Chapman Primary	0.6
85354	High School - Stromlo High	0.6
85354	College - Marist College Canberra	3.7
85354	University - Australian National University	10.3
85355	City GPO	1.0
85355	Major Shopping Centre - Cooleman Court	1.4
85355	Hospital - The Canberra Hospital	4.9
85355	Primary School - Chapman Primary	0.6
85355	High School - Stromlo High	0.6
85355	College - Marist College Canberra	3.7
85355	University - Australian National University	10.3
85356	City GPO	1.0
85356	Major Shopping Centre - Cooleman Court	1.4
85356	Hospital - The Canberra Hospital	4.9
85356	Primary School - Chapman Primary	0.6
85356	High School - Stromlo High	0.6
85356	College - Marist College Canberra	3.7
85356	University - Australian National University	10.3
85357	City GPO	1.0
85357	Major Shopping Centre - Cooleman Court	1.4
85357	Hospital - The Canberra Hospital	4.9
85357	Primary School - Chapman Primary	0.6
85357	High School - Stromlo High	0.6
85357	College - Marist College Canberra	3.7
85357	University - Australian National University	10.3
85358	City GPO	1.0
85358	Major Shopping Centre - Cooleman Court	1.4
85358	Hospital - The Canberra Hospital	4.9
85358	Primary School - Chapman Primary	0.6
85358	High School - Stromlo High	0.6
85358	College - Marist College Canberra	3.7
85358	University - Australian National University	10.3
85359	City GPO	1.0
85359	Major Shopping Centre - Cooleman Court	1.4
85359	Hospital - The Canberra Hospital	4.9
85359	Primary School - Chapman Primary	0.6
85359	High School - Stromlo High	0.6
85359	College - Marist College Canberra	3.7
85359	University - Australian National University	10.3
85360	City GPO	1.0
85360	Major Shopping Centre - Cooleman Court	1.4
85360	Hospital - The Canberra Hospital	4.9
85360	Primary School - Chapman Primary	0.6
85360	High School - Stromlo High	0.6
85360	College - Marist College Canberra	3.7
85360	University - Australian National University	10.3
85361	City GPO	1.0
85361	Major Shopping Centre - Cooleman Court	1.4
85361	Hospital - The Canberra Hospital	4.9
85361	Primary School - Chapman Primary	0.6
85361	High School - Stromlo High	0.6
85361	College - Marist College Canberra	3.7
85361	University - Australian National University	10.3
85362	City GPO	1.0
85362	Major Shopping Centre - Cooleman Court	1.4
85362	Hospital - The Canberra Hospital	4.9
85362	Primary School - Chapman Primary	0.6
85362	High School - Stromlo High	0.6
85362	College - Marist College Canberra	3.7
85362	University - Australian National University	10.3
85363	City GPO	1.0
85363	Major Shopping Centre - Cooleman Court	1.4
85363	Hospital - The Canberra Hospital	4.9
85363	Primary School - Chapman Primary	0.6
85363	High School - Stromlo High	0.6
85363	College - Marist College Canberra	3.7
85363	University - Australian National University	10.3
85364	City GPO	1.0
85364	Major Shopping Centre - Cooleman Court	1.4
85364	Hospital - The Canberra Hospital	4.9
85364	Primary School - Chapman Primary	0.6
85364	High School - Stromlo High	0.6
85364	College - Marist College Canberra	3.7
85364	University - Australian National University	10.3
85365	City GPO	1.0
85365	Major Shopping Centre - Cooleman Court	1.4
85365	Hospital - The Canberra Hospital	4.9
85365	Primary School - Chapman Primary	0.6
85365	High School - Stromlo High	0.6
85365	College - Marist College Canberra	3.7
85365	University - Australian National University	10.3
85366	City GPO	1.0
85366	Major Shopping Centre - Cooleman Court	1.4
85366	Hospital - The Canberra Hospital	4.9
85366	Primary School - Chapman Primary	0.6
85366	High School - Stromlo High	0.6
85366	College - Marist College Canberra	3.7
85366	University - Australian National University	10.3
85367	City GPO	1.0
85367	Major Shopping Centre - Cooleman Court	1.4
85367	Hospital - The Canberra Hospital	4.9
85367	Primary School - Chapman Primary	0.6
85367	High School - Stromlo High	0.6
85367	College - Marist College Canberra	3.7
85367	University - Australian National University	10.3
85368	City GPO	1.0
85368	Major Shopping Centre - Cooleman Court	1.4
85368	Hospital - The Canberra Hospital	4.9
85368	Primary School - Chapman Primary	0.6
85368	High School - Stromlo High	0.6
85368	College - Marist College Canberra	3.7
85368	University - Australian National University	10.3
85369	City GPO	1.0
85369	Major Shopping Centre - Cooleman Court	1.4
85369	Hospital - The Canberra Hospital	4.9
85369	Primary School - Chapman Primary	0.6
85369	High School - Stromlo High	0.6
85369	College - Marist College Canberra	3.7
85369	University - Australian National University	10.3
85370	City GPO	1.0
85370	Major Shopping Centre - Cooleman Court	1.4
85370	Hospital - The Canberra Hospital	4.9
85370	Primary School - Chapman Primary	0.6
85370	High School - Stromlo High	0.6
85370	College - Marist College Canberra	3.7
85370	University - Australian National University	10.3
85371	City GPO	1.0
85371	Major Shopping Centre - Cooleman Court	1.4
85371	Hospital - The Canberra Hospital	4.9
85371	Primary School - Chapman Primary	0.6
85371	High School - Stromlo High	0.6
85371	College - Marist College Canberra	3.7
85371	University - Australian National University	10.3
85372	City GPO	1.0
85372	Major Shopping Centre - Cooleman Court	1.4
85372	Hospital - The Canberra Hospital	4.9
85372	Primary School - Chapman Primary	0.6
85372	High School - Stromlo High	0.6
85372	College - Marist College Canberra	3.7
85372	University - Australian National University	10.3
85373	City GPO	1.0
85373	Major Shopping Centre - Cooleman Court	1.4
85373	Hospital - The Canberra Hospital	4.9
85373	Primary School - Chapman Primary	0.6
85373	High School - Stromlo High	0.6
85373	College - Marist College Canberra	3.7
85373	University - Australian National University	10.3
85374	City GPO	1.0
85374	Major Shopping Centre - Cooleman Court	1.4
85374	Hospital - The Canberra Hospital	4.9
85374	Primary School - Chapman Primary	0.6
85374	High School - Stromlo High	0.6
85374	College - Marist College Canberra	3.7
85374	University - Australian National University	10.3
85375	City GPO	1.0
85375	Major Shopping Centre - Cooleman Court	1.4
85375	Hospital - The Canberra Hospital	4.9
85375	Primary School - Chapman Primary	0.6
85375	High School - Stromlo High	0.6
85375	College - Marist College Canberra	3.7
85375	University - Australian National University	10.3
85376	City GPO	1.0
85376	Major Shopping Centre - Cooleman Court	1.4
85376	Hospital - The Canberra Hospital	4.9
85376	Primary School - Chapman Primary	0.6
85376	High School - Stromlo High	0.6
85376	College - Marist College Canberra	3.7
85376	University - Australian National University	10.3
85377	City GPO	1.0
85377	Major Shopping Centre - Cooleman Court	1.4
85377	Hospital - The Canberra Hospital	4.9
85377	Primary School - Chapman Primary	0.6
85377	High School - Stromlo High	0.6
85377	College - Marist College Canberra	3.7
85377	University - Australian National University	10.3
85378	City GPO	1.0
85378	Major Shopping Centre - Cooleman Court	1.4
85378	Hospital - The Canberra Hospital	4.9
85378	Primary School - Chapman Primary	0.6
85378	High School - Stromlo High	0.6
85378	College - Marist College Canberra	3.7
85378	University - Australian National University	10.3
85379	City GPO	1.0
85379	Major Shopping Centre - Cooleman Court	1.4
85379	Hospital - The Canberra Hospital	4.9
85379	Primary School - Chapman Primary	0.6
85379	High School - Stromlo High	0.6
85379	College - Marist College Canberra	3.7
85379	University - Australian National University	10.3
85380	City GPO	1.0
85380	Major Shopping Centre - Cooleman Court	1.4
85380	Hospital - The Canberra Hospital	4.9
85380	Primary School - Chapman Primary	0.6
85380	High School - Stromlo High	0.6
85380	College - Marist College Canberra	3.7
85380	University - Australian National University	10.3
85381	City GPO	1.0
85381	Major Shopping Centre - Cooleman Court	1.4
85381	Hospital - The Canberra Hospital	4.9
85381	Primary School - Chapman Primary	0.6
85381	High School - Stromlo High	0.6
85381	College - Marist College Canberra	3.7
85381	University - Australian National University	10.3
85382	City GPO	1.0
85382	Major Shopping Centre - Cooleman Court	1.4
85382	Hospital - The Canberra Hospital	4.9
85382	Primary School - Chapman Primary	0.6
85382	High School - Stromlo High	0.6
85382	College - Marist College Canberra	3.7
85382	University - Australian National University	10.3
85383	City GPO	1.0
85383	Major Shopping Centre - Cooleman Court	1.4
85383	Hospital - The Canberra Hospital	4.9
85383	Primary School - Chapman Primary	0.6
85383	High School - Stromlo High	0.6
85383	College - Marist College Canberra	3.7
85383	University - Australian National University	10.3
85384	City GPO	1.0
85384	Major Shopping Centre - Cooleman Court	1.4
85384	Hospital - The Canberra Hospital	4.9
85384	Primary School - Chapman Primary	0.6
85384	High School - Stromlo High	0.6
85384	College - Marist College Canberra	3.7
85384	University - Australian National University	10.3
85385	City GPO	1.0
85385	Major Shopping Centre - Cooleman Court	1.4
85385	Hospital - The Canberra Hospital	4.9
85385	Primary School - Chapman Primary	0.6
85385	High School - Stromlo High	0.6
85385	College - Marist College Canberra	3.7
85385	University - Australian National University	10.3
85386	City GPO	1.0
85386	Major Shopping Centre - Cooleman Court	1.4
85386	Hospital - The Canberra Hospital	4.9
85386	Primary School - Chapman Primary	0.6
85386	High School - Stromlo High	0.6
85386	College - Marist College Canberra	3.7
85386	University - Australian National University	10.3
85387	City GPO	1.0
85387	Major Shopping Centre - Cooleman Court	1.4
85387	Hospital - The Canberra Hospital	4.9
85387	Primary School - Chapman Primary	0.6
85387	High School - Stromlo High	0.6
85387	College - Marist College Canberra	3.7
85387	University - Australian National University	10.3
85388	City GPO	1.0
85388	Major Shopping Centre - Cooleman Court	1.4
85388	Hospital - The Canberra Hospital	4.9
85388	Primary School - Chapman Primary	0.6
85388	High School - Stromlo High	0.6
85388	College - Marist College Canberra	3.7
85388	University - Australian National University	10.3
85389	City GPO	1.0
85389	Major Shopping Centre - Cooleman Court	1.4
85389	Hospital - The Canberra Hospital	4.9
85389	Primary School - Chapman Primary	0.6
85389	High School - Stromlo High	0.6
85389	College - Marist College Canberra	3.7
85389	University - Australian National University	10.3
85390	City GPO	1.0
85390	Major Shopping Centre - Cooleman Court	1.4
85390	Hospital - The Canberra Hospital	4.9
85390	Primary School - Chapman Primary	0.6
85390	High School - Stromlo High	0.6
85390	College - Marist College Canberra	3.7
85390	University - Australian National University	10.3
85391	City GPO	1.0
85391	Major Shopping Centre - Cooleman Court	1.4
85391	Hospital - The Canberra Hospital	4.9
85391	Primary School - Chapman Primary	0.6
85391	High School - Stromlo High	0.6
85391	College - Marist College Canberra	3.7
85391	University - Australian National University	10.3
85392	City GPO	1.0
85392	Major Shopping Centre - Cooleman Court	1.4
85392	Hospital - The Canberra Hospital	4.9
85392	Primary School - Chapman Primary	0.6
85392	High School - Stromlo High	0.6
85392	College - Marist College Canberra	3.7
85392	University - Australian National University	10.3
85393	City GPO	1.0
85393	Major Shopping Centre - Cooleman Court	1.4
85393	Hospital - The Canberra Hospital	4.9
85393	Primary School - Chapman Primary	0.6
85393	High School - Stromlo High	0.6
85393	College - Marist College Canberra	3.7
85393	University - Australian National University	10.3
85394	City GPO	1.0
85394	Major Shopping Centre - Cooleman Court	1.4
85394	Hospital - The Canberra Hospital	4.9
85394	Primary School - Chapman Primary	0.6
85394	High School - Stromlo High	0.6
85394	College - Marist College Canberra	3.7
85394	University - Australian National University	10.3
85395	City GPO	1.0
85395	Major Shopping Centre - Cooleman Court	1.4
85395	Hospital - The Canberra Hospital	4.9
85395	Primary School - Chapman Primary	0.6
85395	High School - Stromlo High	0.6
85395	College - Marist College Canberra	3.7
85395	University - Australian National University	10.3
85396	City GPO	1.0
85396	Major Shopping Centre - Cooleman Court	1.4
85396	Hospital - The Canberra Hospital	4.9
