StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
86624						660	0.0236	Unknown	Unknown
86626								Unknown	Unknown
86627								Unknown	Unknown
86628								Unknown	Unknown
86629								Unknown	Unknown
86630								Unknown	Unknown
86631								Unknown	Unknown
86632								Unknown	Unknown
86633						660	0.0236	Unknown	Unknown
86634								Unknown	Unknown
86635						660	0.0236	Unknown	Unknown
86636						700		Unknown	Unknown
86637						700		Unknown	Unknown
86638						660	0.0236	Unknown	Unknown
86639						660	0.0236	Unknown	Unknown
86640						660	0.0236	Unknown	Unknown
86641								Unknown	Unknown
86642						700		Unknown	Unknown
86643						660	0.0236	Unknown	Unknown
86644	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86645	2020-01-22T10:30:07.47	High	580000	680000	780000	490	0.049	Unknown	Unknown
86646	2020-02-05T19:29:12.873	Medium	575000	670000	765000	490	0.049	Unknown	Unknown
86647	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86648	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86649	2020-02-05T19:29:12.873	High	580000	675000	770000	490	0.049	Unknown	Unknown
86650						490	0.049	Unknown	Unknown
86651	2020-02-05T19:29:12.873	High	700000	820000	940000	490	0.049	Unknown	Unknown
86652	2020-02-05T19:29:12.873	High	700000	820000	940000	490	0.049	Unknown	Unknown
86653	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86654	2020-02-05T19:29:12.873	High	640000	745000	850000	750	0.0539	Unknown	Unknown
86655	2020-02-05T19:29:12.873	High	680000	755000	830000	490	0.049	Unknown	Unknown
86656	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86657	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86658	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86659	2020-02-05T19:29:12.873	High	680000	755000	830000	490	0.049	Unknown	Unknown
86660	2020-02-05T19:29:12.873	High	680000	755000	830000	490	0.049	Unknown	Unknown
86661	2020-02-05T19:29:12.873	High	680000	755000	830000	490	0.049	Unknown	Unknown
86662	2020-01-22T10:30:07.47	High	610000	715000	820000	490	0.049	Unknown	Unknown
86663	2020-02-05T19:29:12.873	High	590000	690000	790000	490	0.049	Unknown	Unknown
86664	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86665						440	0.0618	Unknown	Unknown
86666	2020-02-05T19:29:12.873	High	450000	530000	610000	580	0.058	Unknown	Unknown
86667	2020-02-05T19:29:12.873	High	570000	670000	770000	490	0.049	Unknown	Unknown
86668	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86669	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86670	2020-01-22T10:30:07.47	High	550000	640000	730000	490	0.049	Unknown	Unknown
86671	2020-01-22T10:30:07.47	High	630000	740000	850000	490	0.049	Unknown	Unknown
86672	2020-02-05T19:29:12.873	High	710000	830000	950000	490	0.049	Unknown	Unknown
86673						490	0.049	Unknown	Unknown
86674								Unknown	Unknown
86675						490	0.049	Unknown	Unknown
86676	2020-02-05T19:29:12.873	High	655000	760000	865000			Unknown	Unknown
86677	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86678	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86679						660	0.0236	Unknown	Unknown
86680						700		Unknown	Unknown
86681						660	0.0236	Unknown	Unknown
86684	2020-02-05T19:29:12.873	High	625000	725000	825000	750	0.0539	Unknown	Unknown
86685						660	0.0236	Unknown	Unknown
86687						660	0.0236	Unknown	Unknown
86689						700		Unknown	Unknown
86690						660	0.0236	Unknown	Unknown
86691	2020-01-22T10:30:07.47	High	610000	715000	820000	490	0.049	Unknown	Unknown
86693						700		Unknown	Unknown
86694						660	0.0236	Unknown	Unknown
86695								Unknown	Unknown
86696						700		Unknown	Unknown
86697						700		Unknown	Unknown
86698								Unknown	Unknown
86699								Unknown	Unknown
86700								Unknown	Unknown
86701						700		Unknown	Unknown
86702	2020-02-05T19:29:12.873	High	620000	725000	830000	750	0.0539	Unknown	Unknown
86703						660	0.0236	Unknown	Unknown
86704						660	0.0236	Unknown	Unknown
86705						700		Unknown	Unknown
86706						660	0.0236	Unknown	Unknown
86707								Unknown	Unknown
86708						660	0.0236	Unknown	Unknown
86709	2020-02-05T19:29:12.873	Low	1410000	1640000	1870000	660	0.0236	Unknown	Unknown
86710	2020-02-05T19:29:12.873	Low	1380000	1600000	1820000	660	0.0236	Unknown	Unknown
86711						700		Unknown	Unknown
86712	2020-02-05T19:29:12.873	High	635000	735000	835000	750	0.0539	Unknown	Unknown
86713	2020-02-05T19:29:12.873	Low	1360000	1580000	1800000	660	0.0236	Unknown	Unknown
86715	2020-02-05T19:29:12.873	Low	1410000	1640000	1870000	660	0.0236	Unknown	Unknown
86716	2020-02-05T19:29:12.873	Low	1310000	1520000	1730000	700		Unknown	Unknown
86717	2020-02-05T19:29:12.873	Low	1240000	1440000	1640000	700		Unknown	Unknown
86719	2020-02-05T19:29:12.873	Medium	1350000	1560000	1770000			Unknown	Unknown
86720	2020-02-05T19:29:12.873	Low	1350000	1560000	1770000	700		Unknown	Unknown
86721	2020-01-22T10:30:07.47	High	610000	715000	820000	490	0.049	Unknown	Unknown
86722	2020-02-05T19:29:12.873	Medium	1480000	1720000	1960000	700		Unknown	Unknown
86723	2020-02-05T19:29:12.873	High	480000	565000	650000	580	0.058	Unknown	Unknown
86724	2020-02-05T19:29:12.873	Medium	435000	500000	565000	750	0.0539	Unknown	Unknown
86725	2020-02-05T19:29:12.873	Medium	500000	580000	660000	580	0.058	Unknown	Unknown
86726	2020-02-05T19:29:12.873	High	355000	415000	475000	580	0.058	Unknown	Unknown
86727	2020-02-05T19:29:12.873	Medium	505000	585000	665000	490	0.049	Unknown	Unknown
86728	2020-02-05T19:29:12.873	High	355000	415000	475000	580	0.058	Unknown	Unknown
86729	2019-11-06T00:00:00	RecentlySold	620000	620000	620000	580	0.058	Unknown	Unknown
86730	2020-02-05T19:29:12.873	High	405000	470000	535000	580	0.058	Unknown	Unknown
86732	2020-02-05T19:29:12.873	High	365000	410000	455000	580	0.058	Unknown	Unknown
86733	2020-02-05T19:29:12.873	High	450000	525000	600000	580	0.058	Unknown	Unknown
86734						660	0.0236	Unknown	Unknown
86735	2020-02-05T19:29:12.873	High	395000	460000	525000	580	0.058	Unknown	Unknown
86736	2020-02-05T19:29:12.873	High	475000	555000	635000	580	0.058	Unknown	Unknown
86738	2020-02-05T19:29:12.873	High	365000	410000	455000	580	0.058	Unknown	Unknown
86739	2020-02-05T19:29:12.873	High	475000	555000	635000	490	0.049	Unknown	Unknown
86740						660	0.0236	Unknown	Unknown
86741	2020-02-05T19:29:12.873	High	365000	410000	455000	580	0.058	Unknown	Unknown
86742	2020-02-05T19:29:12.873	High	455000	535000	615000	580	0.058	Unknown	Unknown
86743								Unknown	Unknown
86744	2020-02-05T19:29:12.873	High	395000	460000	525000	580	0.058	Unknown	Unknown
86745						660	0.0236	Unknown	Unknown
86746	2020-02-05T19:29:12.873	High	360000	415000	470000	580	0.058	Unknown	Unknown
86747	2020-02-05T19:29:12.873	High	410000	480000	550000	580	0.058	Unknown	Unknown
86749	2020-02-05T19:29:12.873	High	355000	415000	475000	440	0.0618	Unknown	Unknown
86750	2020-02-05T19:29:12.873	High	370000	430000	490000	580	0.058	Unknown	Unknown
86751	2020-02-05T19:29:12.873	High	350000	385000	420000	580	0.058	Unknown	Unknown
