StreetAddressID	POI	Distance
89722	City GPO	0.9
89722	Major Shopping Centre - Jamison Centre	0.8
89722	Hospital - Calvary Private Hospital	1.5
89722	Primary School - St Vincent's Primary School	0.4
89722	High School - Canberra High School, Macquarie	0.8
89722	College - Radford College	2.1
89722	University - University Of Canberra, Bruce	2.4
89723	City GPO	0.9
89723	Major Shopping Centre - Jamison Centre	0.8
89723	Hospital - Calvary Private Hospital	1.6
89723	Primary School - St Vincent's Primary School	0.5
89723	High School - Canberra High School, Macquarie	0.8
89723	College - Radford College	2.2
89723	University - University Of Canberra, Bruce	2.5
89724	City GPO	0.9
89724	Major Shopping Centre - Jamison Centre	0.8
89724	Hospital - Calvary Private Hospital	1.6
89724	Primary School - St Vincent's Primary School	0.4
89724	High School - Canberra High School, Macquarie	0.8
89724	College - Radford College	2.1
89724	University - University Of Canberra, Bruce	2.5
89725	City GPO	0.9
89725	Major Shopping Centre - Jamison Centre	0.8
89725	Hospital - Calvary Private Hospital	1.6
89725	Primary School - St Vincent's Primary School	0.5
89725	High School - Canberra High School, Macquarie	0.8
89725	College - Radford College	2.2
89725	University - University Of Canberra, Bruce	2.5
89726	City GPO	1.2
89726	Major Shopping Centre - Jamison Centre	1.2
89726	Hospital - Calvary Private Hospital	1.7
89726	Primary School - Aranda Primary	0.7
89726	High School - Canberra High School, Macquarie	1.2
89726	College - Radford College	2.3
89726	University - University Of Canberra, Bruce	2.7
89727	City GPO	1.2
89727	Major Shopping Centre - Jamison Centre	1.1
89727	Hospital - Calvary Private Hospital	1.7
89727	Primary School - Aranda Primary	0.8
89727	High School - Canberra High School, Macquarie	1.2
89727	College - Radford College	2.4
89727	University - University Of Canberra, Bruce	2.8
89728	City GPO	1.3
89728	Major Shopping Centre - Jamison Centre	1.2
89728	Hospital - Calvary Private Hospital	1.8
89728	Primary School - Aranda Primary	0.8
89728	High School - Canberra High School, Macquarie	1.2
89728	College - Radford College	2.4
89728	University - University Of Canberra, Bruce	2.8
89729	City GPO	1.2
89729	Major Shopping Centre - Jamison Centre	1.1
89729	Hospital - Calvary Private Hospital	1.8
89729	Primary School - Aranda Primary	0.8
89729	High School - Canberra High School, Macquarie	1.2
89729	College - Radford College	2.4
89729	University - University Of Canberra, Bruce	2.8
89730	City GPO	1.3
89730	Major Shopping Centre - Jamison Centre	1.2
89730	Hospital - Calvary Private Hospital	1.8
89730	Primary School - Aranda Primary	0.8
89730	High School - Canberra High School, Macquarie	1.2
89730	College - Radford College	2.4
89730	University - University Of Canberra, Bruce	2.8
89731	City GPO	1.3
89731	Major Shopping Centre - Jamison Centre	1.2
89731	Hospital - Calvary Private Hospital	1.8
89731	Primary School - Aranda Primary	0.8
89731	High School - Canberra High School, Macquarie	1.2
89731	College - Radford College	2.4
89731	University - University Of Canberra, Bruce	2.8
89732	City GPO	1.3
89732	Major Shopping Centre - Jamison Centre	1.2
89732	Hospital - Calvary Private Hospital	1.8
89732	Primary School - Aranda Primary	0.8
89732	High School - Canberra High School, Macquarie	1.2
89732	College - Radford College	2.4
89732	University - University Of Canberra, Bruce	2.8
89733	City GPO	1.3
89733	Major Shopping Centre - Jamison Centre	1.2
89733	Hospital - Calvary Private Hospital	1.8
89733	Primary School - Aranda Primary	0.8
89733	High School - Canberra High School, Macquarie	1.2
89733	College - Radford College	2.5
89733	University - University Of Canberra, Bruce	2.8
89734	City GPO	1.2
89734	Major Shopping Centre - Jamison Centre	1.1
89734	Hospital - Calvary Private Hospital	1.7
89734	Primary School - Aranda Primary	0.7
89734	High School - Canberra High School, Macquarie	1.1
89734	College - Radford College	2.3
89734	University - University Of Canberra, Bruce	2.7
89735	City GPO	1.3
89735	Major Shopping Centre - Jamison Centre	1.2
89735	Hospital - Calvary Private Hospital	1.7
89735	Primary School - Aranda Primary	0.7
89735	High School - Canberra High School, Macquarie	1.2
89735	College - Radford College	2.3
89735	University - University Of Canberra, Bruce	2.7
89736	City GPO	1.2
89736	Major Shopping Centre - Jamison Centre	1.1
89736	Hospital - Calvary Private Hospital	1.7
89736	Primary School - Aranda Primary	0.7
89736	High School - Canberra High School, Macquarie	1.1
89736	College - Radford College	2.3
89736	University - University Of Canberra, Bruce	2.7
89737	City GPO	1.3
89737	Major Shopping Centre - Jamison Centre	1.2
89737	Hospital - Calvary Private Hospital	1.7
89737	Primary School - Aranda Primary	0.7
89737	High School - Canberra High School, Macquarie	1.2
89737	College - Radford College	2.4
89737	University - University Of Canberra, Bruce	2.8
89738	City GPO	1.2
89738	Major Shopping Centre - Jamison Centre	1.1
89738	Hospital - Calvary Private Hospital	1.7
89738	Primary School - Aranda Primary	0.7
89738	High School - Canberra High School, Macquarie	1.1
89738	College - Radford College	2.4
89738	University - University Of Canberra, Bruce	2.7
89739	City GPO	1.3
89739	Major Shopping Centre - Jamison Centre	1.2
89739	Hospital - Calvary Private Hospital	1.7
89739	Primary School - Aranda Primary	0.8
89739	High School - Canberra High School, Macquarie	1.2
89739	College - Radford College	2.4
89739	University - University Of Canberra, Bruce	2.8
89740	City GPO	1.2
89740	Major Shopping Centre - Jamison Centre	1.1
89740	Hospital - Calvary Private Hospital	1.7
89740	Primary School - Aranda Primary	0.7
89740	High School - Canberra High School, Macquarie	1.2
89740	College - Radford College	2.4
89740	University - University Of Canberra, Bruce	2.8
89741	City GPO	1.3
89741	Major Shopping Centre - Jamison Centre	1.2
89741	Hospital - Calvary Private Hospital	1.7
89741	Primary School - Aranda Primary	0.8
89741	High School - Canberra High School, Macquarie	1.2
89741	College - Radford College	2.4
89741	University - University Of Canberra, Bruce	2.8
89742	City GPO	1.3
89742	Major Shopping Centre - Jamison Centre	1.2
89742	Hospital - Calvary Private Hospital	1.7
89742	Primary School - Aranda Primary	0.8
89742	High School - Canberra High School, Macquarie	1.2
89742	College - Radford College	2.4
89742	University - University Of Canberra, Bruce	2.8
89743	City GPO	1.0
89743	Major Shopping Centre - Jamison Centre	0.9
89743	Hospital - Calvary Private Hospital	0.8
89743	Primary School - Aranda Primary	0.2
89743	High School - Canberra High School, Macquarie	0.7
89743	College - Radford College	1.4
89743	University - University Of Canberra, Bruce	1.8
89744	City GPO	1.1
89744	Major Shopping Centre - Jamison Centre	1.1
89744	Hospital - Calvary Private Hospital	0.7
89744	Primary School - Aranda Primary	0.3
89744	High School - Canberra High School, Macquarie	0.8
89744	College - Radford College	1.3
89744	University - University Of Canberra, Bruce	1.8
89745	City GPO	1.0
89745	Major Shopping Centre - Jamison Centre	1.0
89745	Hospital - Calvary Private Hospital	0.7
