StreetAddressID	date	priceConfidence	lowerPrice	midPrice	upperPrice	rentPerWeek	rentYield	demotionType	guideType
89722	2019-09-14T00:00:00	RecentlySold	715000	715000	715000	815	0.0434	Unknown	Unknown
89723	2020-02-05T19:29:12.873	High	685000	795000	905000	758	0.0414	Unknown	Unknown
89724	2020-02-05T19:29:12.873	High	685000	795000	905000	758	0.0414	Unknown	Unknown
89725	2020-02-12T17:27:27.64	High	790000	920000	1050000	815	0.0434	Unknown	Unknown
89726	2020-01-22T10:30:07.47	High	790000	920000	1050000	758	0.0414	Unknown	Unknown
89727	2020-02-05T19:29:12.873	High	790000	930000	1070000	758	0.0414	Unknown	Unknown
89728	2020-02-05T19:29:12.873	High	800000	930000	1060000	758	0.0414	Unknown	Unknown
89729	2020-02-05T19:29:12.873	High	810000	940000	1070000	758	0.0414	Unknown	Unknown
89730	2020-01-22T10:30:07.47	High	790000	920000	1050000	758	0.0414	Unknown	Unknown
89731	2020-01-22T10:30:07.47	High	790000	920000	1050000	758	0.0414	Unknown	Unknown
89732	2020-01-22T10:30:07.47	High	800000	930000	1060000	815	0.0434	Unknown	Unknown
89733	2019-09-14T00:00:00	RecentlySold	1025000	1020000	1015000	815	0.0434	Unknown	Unknown
89734	2020-01-22T10:30:07.47	High	770000	900000	1030000	758	0.0414	Unknown	Unknown
89735	2020-02-05T19:29:12.873	High	870000	1010000	1150000	815	0.0434	Unknown	Unknown
89736	2020-02-05T19:29:12.873	High	810000	940000	1070000	815	0.0434	Unknown	Unknown
89737	2020-02-05T19:29:12.873	High	695000	810000	925000			Unknown	Unknown
89738	2020-02-05T19:29:12.873	High	870000	1010000	1150000			Unknown	Unknown
89739	2020-02-05T19:29:12.873	High	735000	855000	975000			Unknown	Unknown
89740	2020-01-22T10:30:07.47	High	780000	910000	1040000	758	0.0414	Unknown	Unknown
89741	2015-11-18T00:00:00	High	805000	930000	1055000	758	0.0414	Unknown	Unknown
89742	2019-09-14T00:00:00	RecentlySold	625000	625000	625000			Unknown	Unknown
89743	2020-02-05T19:29:12.873	Medium	930000	1090000	1250000	758	0.0414	Unknown	Unknown
89744	2020-01-29T09:57:42.103	High	950000	1100000	1250000			Unknown	Unknown
89745	2020-02-05T19:29:12.873	Medium	710000	825000	940000			Unknown	Unknown
89746	2020-02-05T19:29:12.873	High	735000	855000	975000			Unknown	Unknown
89747	2020-02-05T19:29:12.873	High	1030000	1190000	1350000	815	0.0434	Unknown	Unknown
89748	2020-02-05T19:29:12.873	High	685000	800000	915000			Unknown	Unknown
89749	2016-12-05T07:11:04.0145783Z	Medium	520000	600000	680000			Unknown	Unknown
89750	2020-01-09T10:24:26.003	High	890000	1040000	1190000	815	0.0434	Unknown	Unknown
89751	2020-02-05T19:29:12.873	High	695000	810000	925000			Unknown	Unknown
89752	2020-02-05T19:29:12.873	Low	750000	870000	990000	758	0.0414	Unknown	Unknown
89753	2020-01-09T10:24:26.003	Medium	930000	1080000	1230000	815	0.0434	Unknown	Unknown
89754								Unknown	Unknown
89755	2020-02-05T19:29:12.873	Low	770000	900000	1030000	758	0.0414	Unknown	Unknown
89756	2020-02-05T19:29:12.873	High	695000	810000	925000			Unknown	Unknown
89757	2020-02-05T19:29:12.873	Low	800000	930000	1060000	815	0.0434	Unknown	Unknown
89758	2020-02-05T19:29:12.873	Low	720000	835000	950000	758	0.0414	Unknown	Unknown
89759	2020-02-05T19:29:12.873	Medium	730000	850000	970000	758	0.0414	Unknown	Unknown
89760	2020-02-05T19:29:12.873	High	900000	1050000	1200000	815	0.0434	Unknown	Unknown
89761	2020-02-05T19:29:12.873	High	740000	870000	1000000	758	0.0414	Unknown	Unknown
89762	2020-02-05T19:29:12.873	Low	730000	845000	960000	758	0.0414	Unknown	Unknown
89763	2019-09-14T00:00:00	RecentlySold	625000	625000	625000			Unknown	Unknown
89764								Unknown	Unknown
89765	2020-02-05T19:29:12.873	High	740000	870000	1000000	758	0.0414	Unknown	Unknown
89766	2020-02-05T19:29:12.873	Low	770000	890000	1010000	758	0.0414	Unknown	Unknown
89767	2020-01-09T10:24:26.003	High	1000000	1160000	1320000	815	0.0434	Unknown	Unknown
89768	2020-02-05T19:29:12.873	High	725000	845000	965000	758	0.0414	Unknown	Unknown
89769	2020-02-05T19:29:12.873	Low	800000	920000	1040000	758	0.0414	Unknown	Unknown
89770	2020-02-05T19:29:12.873	Medium	640000	740000	840000			Unknown	Unknown
89771	2020-02-05T19:29:12.873	Low	790000	910000	1030000	758	0.0414	Unknown	Unknown
89772	2020-02-05T19:29:12.873	High	680000	795000	910000			Unknown	Unknown
89773	2020-02-05T19:29:12.873	High	760000	890000	1020000			Unknown	Unknown
89774	2020-02-05T19:29:12.873	High	705000	820000	935000			Unknown	Unknown
89775	2020-02-05T19:29:12.873	Medium	880000	1020000	1160000			Unknown	Unknown
89776	2020-02-05T19:29:12.873	High	695000	810000	925000			Unknown	Unknown
89777	2020-01-09T10:24:26.003	High	930000	1070000	1210000	815	0.0434	Unknown	Unknown
89778	2020-02-05T19:29:12.873	Medium	790000	920000	1050000	758	0.0414	Unknown	Unknown
89779	2020-02-05T19:29:12.873	High	730000	855000	980000	758	0.0414	Unknown	Unknown
89780	2020-02-05T19:29:12.873	Medium	760000	890000	1020000			Unknown	Unknown
89781	2020-02-05T19:29:12.873	High	740000	865000	990000	758	0.0414	Unknown	Unknown
89782	2020-02-05T19:29:12.873	High	690000	805000	920000			Unknown	Unknown
89783	2020-02-05T19:29:12.873	High	770000	900000	1030000			Unknown	Unknown
89784	2020-02-05T19:29:12.873	High	735000	855000	975000	758	0.0414	Unknown	Unknown
89785	2020-02-05T19:29:12.873	Medium	870000	1010000	1150000	758	0.0414	Unknown	Unknown
89786	2020-02-05T19:29:12.873	High	695000	810000	925000			Unknown	Unknown
89787	2020-02-05T19:29:12.873	Medium	870000	1020000	1170000	815	0.0434	Unknown	Unknown
89788	2020-02-05T19:29:12.873	High	715000	825000	935000	758	0.0414	Unknown	Unknown
89789	2020-01-09T10:24:26.003	High	980000	1140000	1300000	758	0.0414	Unknown	Unknown
89790	2020-02-05T19:29:12.873	High	890000	1030000	1170000	758	0.0414	Unknown	Unknown
89791	2020-02-05T19:29:12.873	Medium	760000	890000	1020000			Unknown	Unknown
89792	2020-02-05T19:29:12.873	High	890000	1030000	1170000			Unknown	Unknown
89793	2020-02-05T19:29:12.873	High	960000	1130000	1300000	815	0.0434	Unknown	Unknown
89794	2020-01-09T10:24:26.003	High	1020000	1180000	1340000	815	0.0434	Unknown	Unknown
89795	2020-02-05T19:29:12.873	Medium	860000	1000000	1140000	815	0.0434	Unknown	Unknown
89796	2020-02-05T19:29:12.873	High	1060000	1240000	1420000	815	0.0434	Unknown	Unknown
